station	latitude	code	revision	longitude	QoS
Zeitz	51.04962	DE	04/14/2014, 00:00:00	12.1369	average
Soroca	48.15659	MD	09/21/2013, 00:00:00	28.28489	good
Chillum	38.96372	US	2021-02-06	-76.99081	good
Damnoen Saduak	13.51825	TH	2013-05-03	99.95469	good
Kelowna	49.88307	CA	2015/07/30	-119.48568	maintenance
Bhit Shah	25.80565	PK	11/23/2017, 00:00:00	68.49143	excellent
Bridgeport	41.16704	US	02 Mar 2014	-73.20483	average
Pontevedra	-34.74785	AR	01/04/2013, 00:00:00	-58.70072	good
Saratoga Springs	40.34912	US	08 Jul 2014	-111.90466	excellent
Magomeni	-6.8	TZ	2015-03-11	39.25	excellent
El Copey	10.15031	CO	2022/05/29	-73.9614	excellent
Rafiganj	24.81757	IN	2017-12-02	84.63445	accep
Pontevedra	-34.74785	AR	2020/05/24	-58.70072	building
Dharmapuri	12.1277	IN	2020/10/14	78.15794	maintenance
Kashipur	29.21399	IN	2013-08-03	78.95693	excellent
Barnet	51.65	GB	01/19/2016, 00:00:00	-0.2	accep
Nizhniy Lomov	53.53041	RU	03 Jun 2021	43.67663	excellent
Kobuleti	41.82143	GE	2018-12-07	41.77921	average
Arua	3.02013	UG	19 Aug 2016	30.91105	accep
Frankston South	-38.16604	AU	13 Sep 2018	145.13643	good
Coralville	41.6764	US	2021/10/08	-91.58045	good
Kovylkino	54.03876	RU	2022-05-21	43.91385	average
Elbeuf	49.28669	FR	2018/02/25	1.00288	good
Puerto Colombia	10.98778	CO	2013-02-12	-74.95472	good
Kyaikto	17.30858	MM	2019/12/28	97.01124	building
Massapequa	40.68066	US	2021-11-27	-73.47429	accep
Pottstown	40.24537	US	11/09/2018, 00:00:00	-75.64963	average
Nikolayevsk-on-Amure	53.14657	RU	2013-12-25	140.72287	accep
Curitiba	-25.42778	BR	2017-09-21	-49.27306	excellent
Le Chesnay	48.8222	FR	2018-06-12	2.12213	average
Salima	-13.7804	MW	01/14/2022, 00:00:00	34.4587	maintenance
Muritiba	-12.91667	BR	17 Mar 2013	-39.25	good
Kendall	25.67927	US	30 Oct 2013	-80.31727	average
Walton-on-the-Naze	51.84819	GB	2021-01-28	1.26738	maintenance
Franceville	-1.63333	GA	2021-06-06	13.58357	average
Cheraga	36.76775	DZ	01/07/2014, 00:00:00	2.95924	good
Aguadilla	18.42745	PR	2018-03-18	-67.15407	excellent
Marly-le-Roi	48.86667	FR	2021/07/18	2.08333	accep
Andijon	40.78206	UZ	03/14/2015, 00:00:00	72.34424	good
Wevelgem	50.8	BE	2016/05/03	3.16667	accep
Mvomero	-6.25	TZ	2022/01/13	38.66667	accep
San Jose	12.35275	PH	07/09/2021, 00:00:00	121.06761	accep
Alfenas	-21.42917	BR	29 Sep 2012	-45.94722	accep
Catania	37.49223	IT	2012-10-28	15.07041	good
Dongdu	35.85	CN	27 Nov 2015	117.7	excellent
Sambalpur	21.46527	IN	2016/12/04	83.97573	average
Saint-Denis	-20.88231	RE	02 Jan 2022	55.4504	excellent
Pottstown	40.24537	US	2021-10-02	-75.64963	good
Soroca	48.15659	MD	12 Jan 2018	28.28489	good
Barbil	22.10194	IN	2018-09-07	85.37752	excellent
Norco	33.93113	US	2015-03-23	-117.54866	excellent
Nkpor	6.15038	NG	01 Dec 2016	6.83042	good
Sirsi	14.62072	IN	01/11/2016, 00:00:00	74.83554	maintenance
Supaul	26.11527	IN	2014-05-27	86.59509	average
Krymsk	44.92934	RU	27 Aug 2022	37.99117	good
Jiangyan	32.50611	CN	10/16/2017, 00:00:00	120.14278	good
Bogovinje	41.92361	MK	2016-05-04	20.91361	average
Halstenbek	53.63333	DE	28 Jan 2018	9.85	building
Talisay	10.7375	PH	06/13/2013, 00:00:00	122.9666	excellent
Baki	9.89206	SO	2016-04-19	43.38531	average
Thomasville	35.88264	US	2017/03/01	-80.08199	building
Karben	50.23019	DE	2013-12-21	8.77155	good
Cheraga	36.76775	DZ	2015-12-08	2.95924	average
Yao	34.61667	JP	2015-09-24	135.6	average
Bushey	51.64316	GB	2014/10/27	-0.36053	accep
Hlukhiv	51.67822	UA	2022-03-15	33.9162	accep
Clacton-on-Sea	51.78967	GB	12 Apr 2022	1.15597	good
Yablonovskiy	44.98901	RU	02/12/2019, 00:00:00	38.94324	excellent
Otradnyy	53.37596	RU	26 Jan 2017	51.3452	maintenance
Mongo	12.18441	TD	2016-02-13	18.69303	maintenance
Binnish	35.95664	SY	2015-05-06	36.7138	accep
Ovalle	-30.60106	CL	09/22/2016, 00:00:00	-71.19901	average
Altamira	-3.20333	BR	2018-12-11	-52.20639	excellent
Rhosllanerchrugog	53.00974	GB	2014-03-30	-3.05814	excellent
Zvenihorodka	49.07866	UA	2015-12-27	30.96755	average
Schleswig	54.52156	DE	2014-08-14	9.5586	average
Carnot	4.94273	CF	2019/03/31	15.87735	excellent
Lesozavodsk	45.47885	RU	19 Nov 2020	133.42825	good
Sishui	35.64889	CN	2017-11-05	117.27583	acceptable
Patti	31.28092	IN	01 May 2022	74.85849	accep
Keene	42.93369	US	16 Sep 2017	-72.27814	maintenance
Bhayandar	19.30157	IN	21 Nov 2012	72.85107	maintenance
Tyoply Stan	55.62047	RU	12 Oct 2012	37.49338	maintenance
Kherson	46.65581	UA	2020-07-17	32.6178	good
Oulmes	33.42585	MA	2013/07/26	-6.00137	average
Temse	51.12794	BE	2017-11-12	4.21372	accep
South Lawndale	41.84364	US	05 Apr 2015	-87.71255	good
Acworth	34.06635	US	29 May 2021	-84.67837	average
Pedro II	-4.42472	BR	2013-05-11	-41.45861	good
Lagarto	-10.91722	BR	2016-03-17	-37.65	good
Haldwani	29.22254	IN	01/07/2021, 00:00:00	79.5286	maintenance
Puducherry	11.93381	IN	26 Oct 2021	79.82979	excellent
Abilene	32.44874	US	06/15/2014, 00:00:00	-99.73314	excellent
Albstadt	48.21644	DE	2012-11-03	9.02596	average
Gainesville	29.65163	US	03 May 2014	-82.32483	maintenance
Paidha	2.41669	UG	11/12/2012, 00:00:00	30.98551	good
Volla	40.87363	IT	10/13/2013, 00:00:00	14.34085	maintenance
Mouscron	50.74497	BE	2021-12-07	3.20639	maintenance
Talipparamba	12.04161	IN	26 Mar 2014	75.35927	maintenance
Durazno	-33.38056	UY	2013-04-19	-56.52361	building
Ksar Chellala	35.21222	DZ	2022/02/19	2.31889	average
Sa Dec	10.29085	VN	2014-04-01	105.75635	average
Gua Musang	4.88441	MY	2019-08-18	101.96857	maintenance
Aurora	39.72943	US	2021/06/09	-104.83192	average
Peabody	42.52787	US	07 Jan 2018	-70.92866	maintenance
Westbury	51.26	GB	06/02/2021, 00:00:00	-2.1875	excellent
Baki	9.89206	SO	2020-06-28	43.38531	good
Hutchinson	38.06084	US	14 Sep 2022	-97.92977	excellent
Bensheim	49.68369	DE	2017-12-17	8.61839	excellent
Pointe-Claire	45.44868	CA	06/22/2014, 00:00:00	-73.81669	average
Nova Xavantina	-14.66463	BR	2018-03-25	-52.35558	accep
Beryozovsky	56.9083	RU	11 Oct 2013	60.8019	good
Aksaray	38.37255	TR	24 Aug 2018	34.02537	building
Tonota	-21.44236	BW	11/04/2015, 00:00:00	27.46153	excellent
Pamiers	43.11667	FR	05/26/2019, 00:00:00	1.6	average
Recife	-8.05389	BR	03/13/2018, 00:00:00	-34.88111	maintenance
Valday	57.97472	RU	11/07/2017, 00:00:00	33.2525	average
Ventimiglia	43.78956	IT	2017/01/14	7.60872	accep
Mongo	12.18441	TD	20 Apr 2017	18.69303	good
Kherson	46.65581	UA	15 Mar 2022	32.6178	maintenance
Barinas	8.62261	VE	23 Apr 2020	-70.20749	average
Yakuplu	40.98894	TR	04/01/2018, 00:00:00	28.67582	maintenance
Arbroath	56.56317	GB	2014-06-05	-2.58736	average
Kensington	40.64621	US	2013/03/27	-73.97069	good
Guaraciaba do Norte	-4.16694	BR	2016/10/11	-40.7475	average
Kulai	1.6561	MY	23 Aug 2016	103.6032	maintenance
Manjeri	11.12018	IN	2016-08-21	76.11996	accep
Tak Bai	6.25947	TH	2017-10-04	102.05461	excellent
Memmingen	47.98372	DE	2013-06-21	10.18527	accep
Talipparamba	12.04161	IN	2013/06/21	75.35927	average
Skalica	48.8449	SK	2021-05-05	17.22635	accep
Bhayandar	19.30157	IN	2019/10/04	72.85107	maitennce
Kahului	20.88953	US	29 Mar 2015	-156.47432	excellent
Nowra	-34.88422	AU	16 Mar 2020	150.60036	good
Viewpark	55.82737	GB	07 Dec 2016	-4.0573	excellent
Chanika	-5.41667	TZ	2016-08-29	38.01667	maintenance
Ueno-ebisumachi	34.75856	JP	03/14/2013, 00:00:00	136.13108	excellent
Yashkino	55.8736	RU	18 Feb 2021	85.4265	excellent
San Giuliano Milanese	45.39402	IT	2013/12/04	9.29109	good
Huntley	42.16808	US	21 Mar 2016	-88.42814	building
Bijeljina	44.75874	BA	2013-09-17	19.21437	excellent
Walton-on-the-Naze	51.84819	GB	25 Nov 2016	1.26738	average
Aksaray	38.37255	TR	12/30/2015, 00:00:00	34.02537	good
Karbala	32.61603	IQ	17 Mar 2014	44.02488	excellent
Collinwood	41.55838	US	04 May 2019	-81.56929	excellent
Rajaori	33.37526	IN	2017-02-08	74.3092	good
Rafaela	-31.25033	AR	2021/02/10	-61.4867	average
Kirchlengern	52.2	DE	26 May 2021	8.63333	building
Kamakura	35.30889	JP	2022-03-06	139.55028	accep
Chiguayante	-36.9256	CL	2013/12/03	-73.02841	good
Ken Caryl	39.57582	US	07 Jul 2015	-105.11221	excellent
Petrozavodsk	61.78491	RU	2017-01-10	34.34691	average
San Juan	26.18924	US	02 Jan 2019	-98.15529	accep
East Jerusalem	31.78336	PS	29 Jun 2014	35.23388	good
Kashipur	29.21399	IN	2013/04/13	78.95693	average
Albstadt	48.21644	DE	2014/06/25	9.02596	excellent
Radevormwald	51.20219	DE	24 Jan 2020	7.36027	accep
Shushary	59.80917	RU	15 May 2018	30.38167	maintenance
Pingyi	35.50056	CN	14 May 2015	117.63083	excellent
La Garenne-Colombes	48.90472	FR	02/27/2022, 00:00:00	2.2469	good
Nova Kakhovka	46.75451	UA	09/07/2021, 00:00:00	33.34864	accep
Sunnyside	46.32374	US	02/10/2017, 00:00:00	-120.00865	accep
Okegawa	36	JP	2018-05-08	139.55722	good
Perth	-31.95224	AU	05/07/2020, 00:00:00	115.8614	good
Jhol	25.95533	PK	2020-02-10	68.88871	accep
Barpeta	26.32293	IN	05/09/2022, 00:00:00	91.00632	average
Brentwood Estates	36.02506	US	2019-03-06	-86.77917	building
Croix-des-Bouquets	18.57677	HT	2022-01-31	-72.22625	accep
Jhol	25.95533	PK	2017-07-13	68.88871	good
Villabate	38.07789	IT	2015-12-27	13.44275	average
Charlottetown	46.23899	CA	2022/02/07	-63.13414	accep
Antipolo	14.62578	PH	2016/10/23	121.12251	excellent
Mira Mesa	32.9156	US	2013-09-14	-117.14392	good
Gua Musang	4.88441	MY	2022-06-04	101.96857	accep
Labuhan Deli	3.7278	ID	10/22/2013, 00:00:00	98.6738	good
Pato Branco	-26.22861	BR	05/26/2017, 00:00:00	-52.67056	average
Nkpor	6.15038	NG	2013-01-29	6.83042	accep
Mouscron	50.74497	BE	21 Aug 2018	3.20639	accep
Shaowu	27.34089	CN	04 Mar 2013	117.4831	accep
Iwade	34.25	JP	2020/01/18	135.31667	excellent
Tarakan	3.31332	ID	03/13/2020, 00:00:00	117.59152	excellent
Barracas	-34.64966	AR	2019/07/23	-58.38341	good
Utica	43.1009	US	2016-01-05	-75.23266	good
Muritiba	-12.91667	BR	09 Jun 2017	-39.25	average
Kherson	46.65581	UA	11 May 2014	32.6178	average
Teziutlan	19.8173	MX	02 Apr 2019	-97.35992	building
Copperas Cove	31.12406	US	2018/08/08	-97.90308	building
Port Huron	42.97086	US	2022-06-17	-82.42491	accep
Tupiza	-21.44345	BO	12/04/2015, 00:00:00	-65.71875	building
Port Huron	42.97086	US	15 Mar 2019	-82.42491	good
Busia	0.46005	KE	19 Oct 2021	34.11169	excellent
Ikalamavony	-21.15	MG	2018/07/16	46.58333	average
Valletta	35.89972	MT	12/08/2016, 00:00:00	14.51472	maintenance
Waterbury	41.55815	US	2016/07/23	-73.0515	good
Iron River	46.09273	US	01/03/2017, 00:00:00	-88.64235	building
Palestine	31.76212	US	02/24/2015, 00:00:00	-95.63079	building
Bavly	54.39304	RU	2018/08/22	53.26023	building
Finnentrop	51.168	DE	2015/03/04	7.973	excellent
Alwaye	10.10649	IN	2015-03-23	76.35484	accep
Lymington	50.75767	GB	09/24/2018, 00:00:00	-1.5443	accep
San Juan de Aznalfarache	37.35813	ES	2021-08-30	-6.03731	excellent
Montana	43.4125	BG	2020/08/11	23.225	good
Gaya	11.86064	NG	05/30/2021, 00:00:00	9.0027	accep
Likhobory	55.85	RU	2016-09-24	37.56667	average
Kendall	25.67927	US	2014/05/27	-80.31727	building
Jambi City	-1.6	ID	12 Jun 2017	103.61667	accep
Valletta	35.89972	MT	2017/01/30	14.51472	average
Liaoyang	41.27194	CN	28 Mar 2020	123.17306	average
Brenham	30.16688	US	21 Aug 2013	-96.39774	accep
Kismayo	-0.35817	SO	2014/10/06	42.54536	average
Keene	42.93369	US	07/02/2022, 00:00:00	-72.27814	average
Alatyr’	54.8421	RU	2018-04-15	46.5813	accep
Yunguyo	-16.25	PE	2019/08/13	-69.08333	building
Ulu Tiram	1.6	MY	05 Nov 2017	103.81667	accep
Bavly	54.39304	RU	06 Dec 2020	53.26023	maintenance
Efon-Alaaye	7.65649	NG	2015/08/12	4.92235	accep
Gariadhar	21.53889	IN	28 Sep 2012	71.57737	excellent
El Alia	37.16911	TN	04/16/2018, 00:00:00	10.03478	good
Coralville	41.6764	US	2022/05/24	-91.58045	good
Dumont	40.94065	US	2019/06/18	-73.99681	maintenance
Ventimiglia	43.78956	IT	07/26/2015, 00:00:00	7.60872	excellent
Carlos Barbosa	-29.2975	BR	10/16/2020, 00:00:00	-51.50361	average
Tonota	-21.44236	BW	04 Apr 2019	27.46153	accep
Tupelo	34.25807	US	02/10/2015, 00:00:00	-88.70464	building
Efon-Alaaye	7.65649	NG	2020/06/02	4.92235	accep
Karatsu	33.4425	JP	03/26/2018, 00:00:00	129.96972	building
Toledo	41.66394	US	05 Sep 2017	-83.55521	excellent
Beni Douala	36.61954	DZ	04/16/2022, 00:00:00	4.08282	excellent
Ajaccio	41.91886	FR	2019-10-10	8.73812	good
Kahului	20.88953	US	25 Mar 2022	-156.47432	maintenance
Lagos	6.45407	NG	2019/08/02	3.39467	maintenance
Freetown	8.48714	SL	2017/09/16	-13.2356	good
Alytus	54.39635	LT	02 Oct 2016	24.04142	average
Schererville	41.47892	US	01/16/2018, 00:00:00	-87.45476	accep
Acayucan	17.94979	MX	01 Nov 2012	-94.91386	accep
Valence	44.92801	FR	01/04/2017, 00:00:00	4.8951	average
Ulu Tiram	1.6	MY	18 Jun 2018	103.81667	excellent
Ueno-ebisumachi	34.75856	JP	2022/06/14	136.13108	good
Zaysan	47.46657	KZ	02 Jun 2019	84.87144	accep
Sojat	25.92493	IN	14 Jun 2013	73.66633	building
Tianfu	37.19723	CN	06 Apr 2018	122.05228	good
Gronau	52.21099	DE	21 Sep 2016	7.02238	excellent
Kovylkino	54.03876	RU	2022/03/18	43.91385	excellent
Culemborg	51.955	NL	27 May 2017	5.22778	maitennce
Itacoatiara	-3.14306	BR	27 Aug 2022	-58.44417	acceptable
Adra	23.49668	IN	2018/03/18	86.68363	building
Pleasant Prairie	42.55308	US	2021-02-11	-87.93341	average
Opportunity	47.64995	US	10/23/2015, 00:00:00	-117.23991	average
Lower Earley	51.42708	GB	27 Jul 2019	-0.91979	excellent
Hendala	6.9909	LK	2017/09/16	79.883	average
Narwar	25.6439	IN	15 Jun 2018	77.9129	accep
Antipolo	14.62578	PH	2016/01/05	121.12251	maitennce
Middletown	41.54566	US	2013-12-17	-71.29144	accep
Lino Lakes	45.16024	US	2021/09/02	-93.08883	excellent
Murray	36.61033	US	08/19/2019, 00:00:00	-88.31476	average
Hlukhiv	51.67822	UA	2013/10/10	33.9162	accep
Adra	23.49668	IN	01 Oct 2016	86.68363	accep
Shepetivka	50.18545	UA	25 Apr 2021	27.06365	maintenance
Kushtia	23.9028	BD	2020-04-29	89.11943	accep
Kelowna	49.88307	CA	12 Nov 2012	-119.48568	good
San Fernando de Henares	40.42386	ES	2015/04/07	-3.53261	good
Antanifotsy	-19.65	MG	15 Jul 2014	47.31667	average
Hita	33.3213	JP	03/02/2013, 00:00:00	130.94098	good
Lakewood	41.48199	US	22 Oct 2014	-81.79819	good
Patti	31.28092	IN	2022/04/21	74.85849	accep
Most	50.50301	CZ	09/19/2018, 00:00:00	13.63617	building
Emmeloord	52.71083	NL	2022/07/22	5.74861	excellent
Kaukauna	44.27804	US	2022-01-11	-88.27205	good
Otegen Batyra	43.41949	KZ	07 Mar 2016	77.0202	building
Novara	45.44694	IT	2021-10-20	8.62118	accep
Greenville	33.41012	US	01/09/2015, 00:00:00	-91.06177	accep
Muncar	-8.43333	ID	02 Feb 2021	114.33333	maitennce
Meizhou	24.28859	CN	2019/07/24	116.11768	good
Shuangcheng	45.35	CN	2020/08/10	126.28333	excellent
Kashipur	29.21399	IN	2019/01/13	78.95693	excellent
Halstenbek	53.63333	DE	10/27/2012, 00:00:00	9.85	building
Beaconsfield	45.43341	CA	2016-12-19	-73.86586	average
Mardin	37.31309	TR	02/17/2018, 00:00:00	40.74357	excellent
Elbeuf	49.28669	FR	2014/07/25	1.00288	average
Pleasant Prairie	42.55308	US	2015/01/05	-87.93341	excellent
Alytus	54.39635	LT	2022/08/18	24.04142	accep
Lebanon	39.43534	US	01/16/2015, 00:00:00	-84.20299	average
Cavaillon	43.83125	FR	03/01/2018, 00:00:00	5.03586	accep
Mouscron	50.74497	BE	01 Feb 2020	3.20639	good
Charlottenburg-Nord	52.53048	DE	10/14/2016, 00:00:00	13.29371	building
Cuenca	-2.90055	EC	07/10/2022, 00:00:00	-79.00453	accep
Kot Addu	30.46907	PK	2022-02-28	70.96699	excellent
Colomiers	43.61058	FR	01/08/2017, 00:00:00	1.33467	average
Meerut	28.98002	IN	2016/07/15	77.70636	good
North Tustin	33.76446	US	2018/04/06	-117.79394	excellent
Marseille 11	43.2907	FR	2017-08-19	5.4384	excellent
Tver	56.85836	RU	02/14/2018, 00:00:00	35.90057	maintenance
Middletown	41.54566	US	01/05/2015, 00:00:00	-71.29144	good
Winsford	53.19146	GB	26 Feb 2016	-2.52398	average
Santa Rosa Jauregui	20.74122	MX	2014-07-22	-100.44843	average
Lancing	50.82882	GB	17 Jun 2021	-0.32247	excellent
Ikalamavony	-21.15	MG	11 Apr 2013	46.58333	good
Negotin	44.22639	RS	2020/09/12	22.53083	building
Bibiani	6.46346	GH	12 Nov 2015	-2.31938	accep
Sarandi	-23.44361	BR	2021-07-31	-51.87389	average
Kundla	21.34222	IN	09/18/2016, 00:00:00	71.30633	accep
Rafiganj	24.81757	IN	01/19/2018, 00:00:00	84.63445	maintenance
Pilkhua	28.71271	IN	2014-09-24	77.656	excellent
Martinsburg	39.45621	US	2018/10/18	-77.96389	average
Palestine	31.76212	US	2020/10/09	-95.63079	excellent
Chichicastenango	14.93333	GT	02/23/2020, 00:00:00	-91.11667	average
Onex	46.18396	CH	2020/11/29	6.10237	accep
Arba Minch	6.03333	ET	2018/01/20	37.55	excellent
Lagos	6.45407	NG	10 Apr 2014	3.39467	average
Shuangcheng	45.35	CN	20 Mar 2016	126.28333	accep
Teluk Intan	4.02219	MY	21 Nov 2016	101.02083	accep
Krymsk	44.92934	RU	2017-10-04	37.99117	average
Media Luna	20.14298	CU	31 Jan 2016	-77.43532	accep
Yonkers	40.93121	US	2016/01/05	-73.89875	accep
Jackson	35.61452	US	2017/01/03	-88.81395	good
Glendale	34.14251	US	2014/03/20	-118.25508	excellent
Zvenihorodka	49.07866	UA	02 May 2015	30.96755	good
Eppingen	49.13645	DE	08 Nov 2015	8.91229	accep
Caravaca	38.10558	ES	03/20/2016, 00:00:00	-1.86343	excellent
Sharypovo	55.54028	RU	2013/10/12	89.20083	maintenance
Arua	3.02013	UG	03/05/2016, 00:00:00	30.91105	maintenance
Independence	39.09112	US	21 Nov 2013	-94.41551	building
Sydney	46.1351	CA	05/10/2019, 00:00:00	-60.1831	accep
Toyokawa	34.81667	JP	13 Mar 2017	137.4	excellent
Camayenne	9.535	GN	08 Dec 2019	-13.68778	building
Waverly	42.7392	US	05/26/2017, 00:00:00	-84.62081	average
Baki	9.89206	SO	2017-03-16	43.38531	excellent
Carlsbad	32.42067	US	06/09/2022, 00:00:00	-104.22884	excellent
Tonota	-21.44236	BW	08/09/2021, 00:00:00	27.46153	excellent
Imbituba	-28.24	BR	2022/06/05	-48.67028	building
Pedro II	-4.42472	BR	2018/12/24	-41.45861	excellent
Devizes	51.35084	GB	2015/04/02	-1.99421	average
Schleswig	54.52156	DE	04 May 2017	9.5586	average
Rahat	31.39547	IL	2020/11/18	34.75699	excellent
Azrou	33.43443	MA	04/21/2018, 00:00:00	-5.22126	excellent
Lakewood	41.48199	US	24 Nov 2018	-81.79819	maintenance
Ulan-Ude	51.82721	RU	15 Dec 2020	107.60627	excellent
Mwandiga	-4.83	TZ	2020-03-08	29.65806	excellent
Santa Cruz de Barahona	18.20854	DO	17 Feb 2014	-71.10077	accep
Buri	-23.7975	BR	2021-07-23	-48.59278	average
Okahandja	-21.98333	NA	2016/10/03	16.91667	good
Norco	33.93113	US	2020/05/31	-117.54866	average
Cibinong	-6.48167	ID	2018-02-28	106.85417	average
Kamina	-8.73508	CD	2015/06/06	24.99798	maintenance
Kundla	21.34222	IN	2019/03/30	71.30633	good
Iringa	-7.76667	TZ	2014-07-05	35.7	maintenance
Greenpoint	40.72371	US	2018/08/24	-73.95097	good
Bothell	47.76232	US	06/14/2016, 00:00:00	-122.2054	good
La Garenne-Colombes	48.90472	FR	02 Aug 2022	2.2469	average
Loanda	-22.92306	BR	2022-09-27	-53.13722	good
Nyangao	-10.33333	TZ	2013/09/09	39.28333	good
Greenpoint	40.72371	US	08 Jan 2016	-73.95097	accep
Namerikawa	36.75965	JP	02/07/2018, 00:00:00	137.36215	accep
Waterbury	41.55815	US	2012-12-05	-73.0515	accep
Solntsevo	55.63711	RU	2014-10-24	37.38115	excellent
Pilkhua	28.71271	IN	11/26/2021, 00:00:00	77.656	excellent
Tuxtla	16.75973	MX	25 Nov 2020	-93.11308	average
Ikalamavony	-21.15	MG	2017/04/19	46.58333	maintenance
Stade	53.59337	DE	08/23/2017, 00:00:00	9.47629	excellent
Kendall	25.67927	US	03/14/2021, 00:00:00	-80.31727	average
Glogovac	42.62833	XK	06/30/2021, 00:00:00	20.89389	accep
Tver	56.85836	RU	2022/08/10	35.90057	maintenance
Arua	3.02013	UG	01/15/2021, 00:00:00	30.91105	accep
Columbia Heights	45.0408	US	17 Dec 2013	-93.263	accep
Itacoatiara	-3.14306	BR	06 Dec 2021	-58.44417	building
Buri	-23.7975	BR	2015-05-29	-48.59278	good
Losheim	49.5099	DE	2015-08-27	6.74549	excellent
Laiwu	36.19278	CN	03 May 2016	117.65694	excellent
Sonzacate	13.73417	SV	06/04/2014, 00:00:00	-89.71472	average
Gainesville	29.65163	US	22 Dec 2013	-82.32483	good
