CH4	PAHs	H2CO	warning	PM10	PM2.5	O3	PRES	NOx	longitude	CFCs	NH3	latitude	Pb	C2H3NO5	TEMP	CO	SO2
7.05419	7.37166	54.26422	1.00000	7.90448	8.40965	4.68438	1100.52637	6.44879	12.38878	43.66813	7.91333	43.1122	41.13355	11.94490	3.97214	4.74944	5.36546
8.51768	5.75296	48.53113	0.00000	7.78384	3.99147	6.75983	1065.40262	6.13739	65.27258	53.70047	7.15164	58.04254	59.22152	10.23419	19.43471	6.55008	8.25731
10.50714	7.60472	36.83782	1.00000	7.88371	5.66637	9.81747	1112.11996	6.01730	-7.35	52.83071	5.49645	53.53333	60.50564	12.46345	10.79458	9.06221	5.39788
9.39004	8.63202	70.75719	1.00000	6.03621	7.39599	8.02851	1123.72006	4.57177	75.37991	51.83780	5.69112	25.75728	56.66302	4.70117	15.81348	10.45341	4.42073
9.25610	8.38923	55.56256	1.00000	5.53258	6.82144	5.50180	1100.18146	5.38137	-82.46148	68.67198	7.12801	28.15112	43.72552	3.50147	-12.87025	6.02949	4.42693
7.53133	8.85206	44.50959	1.00000	7.12681	6.28471	4.84755	1138.62085	6.94058	29.65806	43.05989	8.67302	-4.83	66.14660	8.88372	21.81122	6.07766	5.30863
11.44873	7.40182	44.46042	1.00000	8.35870	6.12812	10.41825	1108.39484	6.59920	29.65806	64.90344	5.34888	-4.83	67.71487	16.01699	7.81919	9.37453	5.47248
7.77851	7.90376	9.03274	1.00000	6.70345	4.86969	8.14109	1183.98050	6.28751	9.15013	53.94702	9.51377	13.70727	51.23068	7.05607	3.28828	8.15348	4.11724
8.97417	7.20431	38.56934	1.00000	6.24604	5.55930	9.64337	1139.37181	7.86743	-38.79084	58.49404	5.03988	-10.95817	44.42288	6.72621	22.79394	9.84149	5.04340
7.25278	8.93688	57.93481	0.00000	7.08127	7.02008	4.88292	1090.09136	7.03449	-8.2194	79.91913	8.44596	43.48961	35.37714	5.45404	7.58438	4.71290	10.94239
6.34403	8.20794	37.67493	1.00000	8.44527	8.00983	5.51176	1170.39147	7.21704	78.23456	46.96829	7.27153	28.92694	42.86390	15.25352	4.56937	5.75610	5.70785
6.97968	5.10996	51.91220	0.00000	6.97636	6.47218	6.75782	1197.84726	7.66986	-47.53028	75.68445	6.39651	-22.45667	42.21927	8.47090	4.70951	6.81868	6.81288
10.17207	9.49945	63.87364	1.00000	6.32620	6.58038	6.78316	1140.27334	8.30379	19.61222	40.67828	6.77156	44.97639	80.25957	7.14624	8.41100	5.62076	3.18877
8.26213	8.57963	49.30111	1.00000	5.75034	6.83067	7.77107	1104.96235	6.44917	-77.43532	47.25438	7.01809	20.14298	51.63639	5.98333	5.95476	10.51972	4.82662
5.44507	10.04107	37.88280	1.00000	7.52629	5.05724	6.62708	1050.92598	7.71855	8.64409	58.07098		48.07667	65.88304	7.77470	-6.12434	7.45969	5.17662
7.87526	9.74278	68.71685	0.00000	7.08675	3.33379	4.60855	1164.47841	6.17325	-75.69947	45.93324	6.05484	8.79577	47.31252	4.98031	14.17040	4.82891	4.57664
7.39985	5.25625	51.09079	0.00000	7.48863	8.48351	3.91624	1133.12283	6.81468	76.11996	59.36857	7.60585	11.12018	48.96235	7.81400	9.43928	7.35951	3.98653
8.22835	6.80795	60.59618	0.00000	6.08364	9.54209	2.03826	1189.40719	7.58640	33	55.81463	6.92145	-2.68333	71.36522	2.40241	13.13428	5.99414	3.29149
6.77538	7.13620	60.20993	1.00000	7.67771	8.65487	4.71594	1169.73075	5.13781	48.41667	61.84793	5.77954	-17.83333	60.80696	8.58212	9.24456	5.39616	5.83564
8.13488	9.19251	54.05603	1.00000	6.10017	6.83099	6.04674	1106.14004	6.19248	122.9666	37.35612	5.79310	10.7375	29.35878	6.46708	9.05148	4.84192	4.10071
10.16969	11.18254	39.95035	1.00000	8.56273	6.20627	6.45905	1107.45741	6.75167	-111.89903	62.85635	7.20698	33.50921	58.26015	19.70696	19.92323	8.24224	9.77134
8.04170	7.53169	40.37806	1.00000	6.78755	4.05077	9.13598	1064.81594	6.78607	-77.02303	57.21172	6.79428	38.70734	38.76074	5.14912	11.11882	9.37133	5.25497
7.79340	7.35419	64.01324	1.00000	7.06019	9.19236	5.08466	1167.04063	6.07672	31.33078	53.85123	7.39585	47.56494	44.73200	6.74104	2.57772	5.55457	6.58685
10.41213	5.76770	30.90458	0.00000	6.91813	3.26174	6.66612	1153.46141	5.36507	31.33078	78.70247	7.58573	47.56494	50.39597	6.87828	10.30424	9.13718	9.12134
6.71330	8.35801	44.08097	1.00000	7.03062	5.92812	6.76792	1150.13273	6.51391	-93.75018	57.50723	6.46926	32.52515	54.73439	8.45748	-15.06977	9.40218	2.33736
9.43486	10.86605	59.23470	1.00000	6.50013	5.76152	7.59405	1079.40001	6.59307	-65.61427	65.28275	6.40586	-27.4338	61.81948	7.02375	14.82132	7.43672	6.11877
9.94016	9.64345	54.73076	1.00000	8.71510	6.54255	5.75466	1151.81883	6.47667	-63.13414	41.23391	7.61272	46.23899	27.23717	21.65092	10.57593	6.31681	6.84627
5.81637	6.09859	61.17353	0.00000	4.16640	8.25622	5.77064	1117.96956	5.59856	33.2525	60.06732	7.44036	57.97472	52.64925	3.11513	29.88812	7.88318	6.78865
7.10247	9.87104	68.11306	1.00000	6.74357	7.59833	5.34682	1129.79679	1.89788	-1.47217	68.32248	6.16969	53.46506	66.83515	6.90611	7.60749	5.84041	7.89394
7.23201	9.60202	39.25181	1.00000	7.45639	6.87872	6.48507	1170.80966	7.49247	-111.89903	43.21127	5.79965	33.50921	79.70598	8.30823	3.16574	6.45680	6.32949
4.96064	4.95575	47.49791	0.00000	5.35541	10.21223	6.11520	1121.50625	5.91918	29.47306	57.97132	8.50700	0.49113	44.73989	4.56971	16.88738	8.82508	7.26556
4.79462	5.50610	34.47962	0.00000	5.82689	8.53201	6.01772	1152.17689	7.71745	44.53333	61.60153	7.92643	-22.9	37.88782	6.32295	8.16821	7.34504	4.52592
8.44767	8.06679	62.65002	1.00000	7.21993	7.83246	5.30164	1192.22001	4.80260	103.6032	64.54548	3.82413	1.6561		5.97558	6.95096	4.76854	3.88784
7.20514	6.01420	33.95985	0.00000	5.14585	5.23637	6.66632	1079.59343	6.67075	-76.78319	68.15772	7.18190	18.00747	46.31495	6.15305	5.64763	5.46595	5.12233
8.46007	7.96277	69.46958	1.00000	7.26987	7.54930	5.59879	1063.82804	6.39642	-95.44744	68.42078	8.65999	29.53885	60.43363	6.41862	27.15517	6.64354	5.27461
5.26620	3.37182	61.85954	0.00000	7.49318	5.45234	7.20479	1139.07928	7.20348	88.28637	83.36689	5.87331	23.07492	40.15856	8.37839	11.89190	10.14321	5.76656
8.91737	9.71062	29.21750	1.00000	6.32037	6.95787	6.95057	1127.64847	6.91023	-5.682	51.42039	8.71616	5.84752	47.28274	6.33923	28.21288	6.77677	5.88541
9.32211	7.67164	49.28620	1.00000	7.91991	8.60657	5.42794	1140.84620	7.18201	49.62251	57.78303	7.36975	27.0174	39.51268	10.45226	46.39316	5.57935	5.92417
12.15763	4.40665	41.32066	1.00000	7.71676	4.09209	14.06384	1092.27043	6.66457	-51.87389	47.48565	6.05568	-23.44361	41.63657	9.36778	17.03955	11.39248	1.85479
6.35010	8.30518	44.09017	1.00000	5.57620	6.82729	5.34024	1120.29017	6.64469	4.08282	33.80117	5.55510	36.61954	38.99625	5.16832	-4.57382	6.14708	4.38156
9.44296	9.64216	44.96052	1.00000	5.41527	7.61545	6.41654	1186.02681	6.34057	51.0193	58.73627	7.58816	35.6803	48.12923	3.38163	25.32731	6.79895	7.49359
7.47380	8.51367	16.05521	0.00000	8.35627	5.75330	7.08427	1097.96540	8.98684	120.97844	50.54580	6.03147	14.8361	42.73444	14.35883	35.81348	6.39350	6.77440
6.30129	8.21132	41.63687	1.00000	6.70298	7.16273	5.49369	1188.49623	6.28652	-117.54866	45.85221	6.11151	33.93113	47.05239	6.92074	19.28453	5.08547	3.41059
6.05975	9.59500	69.50811	1.00000	7.67505	5.59355	5.78813	1053.17045	6.82269	-1.5443	59.59649	6.24118	50.75767	23.23492	9.88000	4.53927	7.93723	7.01413
8.95129	5.81177	39.02459	1.00000	7.21516	9.93099	3.54937	1114.46616	7.48249	12.1369	69.28494	7.62049	51.04962	65.62199	8.68241	19.06377	4.60852	6.31781
8.04804	9.90291	54.85716	1.00000	8.01435	7.14144	6.02490	1074.05170	5.52741	122.8637	56.57416	7.44887	9.3337	31.42736	11.31461	8.12017	9.98462	4.26707
7.36149	8.89027	33.88208	1.00000	6.29394	6.41804	6.63709	1162.85094	6.46398	144.09638	67.02843	5.91234	43.82634	48.28856	6.80462	3.51934	8.38788	4.62588
8.57199	6.97508	29.82180	0.00000	6.51992	5.15778	6.13642	1125.52712	5.95912	71.30633	77.20597	5.38349	21.34222	39.97300	7.06090	6.41540	6.17959	8.87033
7.34894	7.71578	56.73521	1.00000	8.30841	8.86659	5.50179	1129.90895	6.94437	-73.0515		7.16602	41.55815	46.64527	12.84328	16.32781	5.64576	5.78344
7.50329	7.23107	45.31928	0.00000	6.57590	3.52360	5.66234	1083.62976	6.92376	47.31667	55.76390	6.10484	-19.65	58.00205	5.47209	20.22861	6.28506	9.60987
5.75316	4.89835	28.64295	0.00000	9.13195	5.54443	6.37219	1133.36757	5.52127	121.3152	64.36605	7.67260	14.14989	47.11166	26.87923	19.27636	9.11202	6.06892
7.55221	8.08718	52.68486	1.00000	6.31036	8.14737	5.59893	1068.49293	6.37246	18.34717	56.07674	7.24003	54.60528	58.11745	7.53005	18.29448	6.16359	5.86635
4.54977	10.63222	44.90833	1.00000	7.74570	6.15336	4.13475	1114.65794	5.69908	-56.52361	63.78273	7.06769	-33.38056	29.49635	10.03666	7.27085	7.97322	7.95910
7.80369	7.61936	33.93111	0.00000	7.09723	5.10727	5.17366	1168.03083	5.38990	-91.77127	63.75987	6.57683	37.95143	54.01047	8.14442	9.29019	7.30352	11.23813
7.53608	7.14831	43.79102	0.00000	5.75639	8.39995	3.37591	1161.70822	5.26419	-98.15529	58.83580	6.14054	26.18924	63.29623	5.67449	2.93619	6.71728	5.35523
5.32622	4.46903	51.00006	0.00000	7.61061	9.71919	5.60464	1180.49019	5.51719	8.96317	55.13475	5.18890	48.35149	33.95209	10.05288	8.48794	7.72998	4.13000
8.01126	8.36171	53.76185	1.00000	5.76647	5.54399	7.77324	1159.40842	8.24558	120.89694	52.63750	7.47019	14.95472	54.64804	4.19718	8.84689	7.74351	6.19684
6.04628	3.41749	57.34640	0.00000	6.52916	7.84881	5.58068	1155.72799	6.90689	5.37429	66.48994	5.96809	51.03427	44.31813	4.76971	20.00870	10.10792	5.90846
8.85718	4.93595	45.18117	0.00000	8.52861	4.14226	7.54855	1078.11211	6.43362	-6.90656	59.08819	8.41972	33.92866	84.66194	19.60626	17.49944	5.77954	8.02484
4.78695	5.64464	42.02332	0.00000	7.39954	9.28894	5.09171	1138.86325	7.72124	-77.02303	52.95802	6.53746	38.70734	36.94235	7.61674	14.02844	7.91047	4.98804
2.11259	4.87288	33.17780	0.00000	7.41364	8.76400	8.06946	1194.35550	8.28472	23.225	71.18771	5.32525	43.4125	61.74643	7.70745	12.21065	9.01544	6.45504
7.47924	7.18917	40.16578	0.00000	6.99622	5.49343	5.45479	1143.47664	7.73086	51.67462	67.31492	6.53892	32.65246	44.15781	9.27896	18.62340	7.47219	6.93277
7.84628	8.23537	67.72697	1.00000	5.28023	7.58568	4.53128	1153.10652	8.02538	-35.03333	59.62873	6.00894	-8.28333	39.22339	5.65974	17.18787	4.87628	5.93524
6.12818	4.59306	58.92189	0.00000	6.98641	7.64906	4.96206	1149.09838	6.57206	-122.39168	53.71184	6.23584	40.58654	46.36183	7.02702	25.40369	8.02281	3.63492
8.93420	6.70929	54.60054	1.00000	6.07128	4.91591		1178.42174	5.79705	3.1631	60.64768	5.55835	41.91738	45.01941	6.29725	11.68526	10.44257	2.49599
7.32552	8.64172	21.64124	1.00000	5.72855	5.68252	7.03221	1194.46561	7.60983	-61.4867	41.48972	6.03965	-31.25033	34.40450	4.44157	21.97766	6.92481	6.54283
6.41323	8.82063	55.13667	1.00000	5.28237	7.02601	5.94319	1197.39030	6.07494	-97.90308	69.86422	5.96176	31.12406	39.92958	5.56410	22.14127	6.04459	4.81629
5.96262	4.15161	48.66498	0.00000	7.13294	8.90165	4.92483	1098.36413	6.98944	-71.23106	60.08873	6.95941	-32.45242	31.42547	5.18632	12.03537	8.90052	4.80976
5.46645	9.30370	64.84933	1.00000	7.94447	5.86521	6.12517	1101.44014	6.57868	31.3237	66.48036	6.64242	52.4089	58.33089	10.84016	9.79626	7.62511	5.45409
7.38307	8.77966	30.09026	1.00000	7.43081	6.30643	7.15625	1193.18054	7.41069	32.86389	67.93820	8.25282	53.95278	57.33672	10.95087	-0.80379	7.67448	7.51008
7.95325	9.06319	49.63100	1.00000	6.27456	7.04576	7.36479	1189.91144	7.52002	-81.24441	58.67574	7.32947	23.15678	6.89591	6.42993	7.94400	9.95559	7.50619
6.04092	9.48710	41.27732	1.00000	6.77207	5.77067	5.12737	1196.26440	5.86243	15.87735	72.53475	7.10171	4.94273	60.39223	7.66173	11.68781	7.22665	6.49535
8.02584	6.94262	82.35699	1.00000	7.52432	9.89142	4.57870	1096.58863	7.74644	40.74357	47.91778	6.21711	37.31309	51.22422	8.92432	19.55136	4.29214	6.29474
7.51496	7.44176	46.01105	1.00000	8.10306	8.57353	5.71727	1141.33293	5.33248	2.45012	51.76153	7.60428	48.90982	65.61608	16.32307	24.73038	5.39909	4.55971
7.93709	8.00523	43.13742	1.00000	4.99848	7.65918	4.31253	1165.56935	7.03400	76.11996	72.79121	7.41453	11.12018	36.14067	3.67761	13.64121	5.01810	5.76095
5.56982	10.10306	53.91447	1.00000	8.08300	5.21889	5.03149	1136.30116	5.48314	-8.2503	47.32358	5.62122	37.08819	64.09989	14.10156	15.69266	6.45359	6.95014
8.36565	9.74838	59.42800	0.00000	5.69812	5.52181	4.27602	1144.51468	6.70432	-72.86843	59.04105	8.31585	41.27621	46.74663	5.75842	7.79244	6.93068	8.02952
9.63101	8.87657	37.85593	1.00000	6.75446	7.61084	5.79942	1130.35094	7.09108	120.97844	36.13014	5.64663	14.8361	58.59260	2.68247	8.99210	7.84804	8.97280
8.12549	9.12447	73.12699	1.00000	6.07108	6.51711	6.60017	1146.36618	6.39330	3.20639	65.63490	5.53074	50.74497	34.54661	3.19212	11.52555	8.36189	4.37083
7.40888	6.26554	64.12417	0.00000	7.79283	6.82371	5.08730	1136.82670	6.89380	33	72.98857	8.34884	-2.68333	40.44733	10.52278	7.34628	7.34411	6.02924
9.64566	7.94710	35.19623	1.00000	6.70400	8.29464	4.89350	1102.91837	7.50217	85.83636	51.86049	6.35325	25.66795	42.30896	6.24988	8.13134	4.71364	5.32592
8.35592	6.85964	38.74396	1.00000	8.33335	3.38364	9.87259	1138.46724	7.71241	-111.89903	79.15726	8.66851	33.50921	39.87729	17.40507	14.77857	7.79586	4.97143
8.21921	6.69800	59.63248	0.00000	8.62534	6.74777	3.18404	1087.21477	6.27241	-117.71978	65.83520	6.79352	34.09668	59.40285	21.06628	20.42733	7.65990	5.59958
6.55202	5.68212	42.83820	1.00000	6.41396	11.30513	4.91822	1125.53147	8.67013	-0.36053	80.75910	6.26049	51.64316	41.85773	6.17649	8.71758	3.91481	5.33698
5.65694	7.90345	92.58184	1.00000	6.75613	6.53978	4.49390	1057.70559	5.80870	7.00417	53.47486	6.15717	52.26083	59.07418	5.48608	23.20850	5.64693	4.33457
5.10472	7.91926	45.20021	1.00000	6.41015	6.80024	4.65219	1194.16521	7.88890	57.3552	64.09032	7.76479	51.4781	45.58839	2.56540	24.09130	6.17004	5.39236
8.95523	7.88415	70.33997	1.00000	5.91333	5.07452	8.97353	1105.55400	7.52590	137.23333	50.15270	6.67029	35.8	47.47144	6.42692	40.96664	9.93758	4.10340
6.45445	6.63919	49.20246	0.00000	5.94575	10.10279	4.05317	1193.34903	8.00630	104.1451	51.47658	7.68232	15.79408	65.59120	2.75409	7.96014	5.69899	3.67193
7.40314	8.43158	35.79128	0.00000	5.99777	8.56564	3.71872	1157.16512	7.19810	-111.89903	53.01396	6.81918	33.50921	34.75844	4.58210	18.62465	7.38301	8.85408
6.02403	3.77744	50.40750	0.00000	7.61990	6.93878	6.03067	1158.37112	6.42798	-0.45877	76.52257	7.83276	46.32313	52.01064	8.55864	16.91639	10.47774	7.06059
5.80400	8.59973	41.79331	0.00000	7.07803	5.29803	4.90944	1181.06404	6.44482	-98.15529	41.69519	9.16880	26.18924	35.49103	6.60517	19.14590	4.39637	5.82002
7.42291	9.90089	9.56951	0.00000	6.94385	5.97902	4.56038	1109.52725	8.67432	71.67164	50.54805	7.06959	30.29184	40.60263	7.58798	20.73927	4.34016	5.81055
6.91330	7.60460	45.10484	1.00000	6.85368	4.02351	8.19629	1177.58526	5.83433	-91.06177	72.04154	5.59395	33.41012	70.21961	7.61879	9.80465	6.66931	5.61003
9.54151	7.97412	68.65052	1.00000	6.57363	8.84164	5.43216	1179.12292	6.29836	16.54165	42.13194	8.61430	68.79833	40.25691	5.47484	3.11714	5.27676	5.97207
4.42083	5.57316	32.97502	0.00000	6.19656	8.06052	6.56777	1071.54740	6.98649	112.23109	69.28271	7.17088	-7.57897	62.07168	4.42981	5.92887	7.47241	4.91677
4.81688	5.16164	53.48512	0.00000	7.74214	8.84853	6.21387	1116.24929	9.30151	4.92235	51.35566	6.23595	7.65649	44.67223	7.57220	15.54903	7.93844	5.38933
8.33294	6.56917	45.63600	1.00000	6.72624	5.16997	9.87817	1142.80843	7.11912	30.96755	73.12749	6.77368	49.07866	36.98382	7.42355	10.29676	9.08253	5.14464
7.72345	6.27978	55.78407	1.00000	5.87653	3.94047	9.56701	1140.41461	7.51857	111.73861	53.16130	6.44509	35.20889	44.79170	5.70567	16.02092	5.72818	5.34284
6.44618	8.00663	29.29424	0.00000	7.68701	8.17206	4.99291	1053.59413	8.22655	-37.93278	38.99572	5.79852	-11.48472	48.43368	9.31664	22.32560	5.84758	6.16918
9.18431	6.77017	53.52369	1.00000	4.70401	10.36550	6.05070	1169.27889	7.97308	82.85749	37.57768	7.65955	17.54907	50.85849	5.74732	3.29188	3.64133	3.97300
10.53730	6.98533	58.79636	1.00000	7.47200	10.58646	5.90298	1169.59124	6.87252	-156.47432	65.92303	6.38888	20.88953	45.91203	8.69149	29.91496	3.85315	4.65565
7.89471	8.60730	69.30635	1.00000	7.08163	5.65744	7.44518	1195.38037	6.59789	3.1631	44.69487	6.89597	41.91738	52.74707	9.82087	10.29829	7.81144	5.57208
7.66940	9.39280	46.94332	1.00000	6.24449	7.30233	6.59684	1120.82083	7.42500	4.25633	49.91194	6.64984	51.21187	36.10827	6.60847	8.57223	8.64142	7.16060
8.02104	8.37030	46.62397	1.00000	6.56868	4.31101	8.38101	1098.81759	6.62467	2.45012	63.57262	7.36550	48.90982	74.06974	5.06175	36.93787	8.19477	6.55323
6.94658	8.36991		1.00000	7.73823	5.83403	7.09756	1083.19369	6.17732	34.02537	48.18934	6.36184	38.37255	45.06588	11.91888	5.70260	8.88436	3.73046
6.76459	8.51768	41.90316	1.00000	6.62699	6.59255	4.83880	1170.17704	6.96209	-41.88778	45.11384	5.75423	-21.205	50.94240	3.34450	-2.64892	7.24077	6.54110
8.47073	10.91210	66.17915	1.00000	6.23639	5.70010	7.15311	1148.62219	7.96844	-3.52751	39.34951	9.12244	50.7236	46.25630	6.61345	17.93490	8.30921	
6.81148	8.44749	40.85636	1.00000	7.83105	6.92702	5.78622	1161.47186	9.55673	137.95378	65.14655	7.41112	35.82756	40.37420	11.33083	12.92108	6.74395	5.29383
4.65059	5.17650	63.26452	0.00000	7.98423	3.71716	7.06118	1129.80578	8.90692	101.96857	75.95156	6.26750	4.88441	52.04232	11.93351	23.38130	10.58315	7.67590
7.39944	8.94097	39.88516	1.00000	6.86019	4.35970	7.02739	1144.87544	4.88403	140.72287	57.17349	6.78041	53.14657	56.52110	8.88924	20.78746	6.07796	6.18703
8.31632	9.36858	49.59932	1.00000	7.27311	6.92891	5.99142	1137.28584	7.01301	-5.22126	54.47509	6.14135	33.43443	36.35403		6.78067	6.19997	6.38383
5.69446	9.01804	56.39963	1.00000	10.34350	5.82769	5.71735	1088.49633	5.88552	-89.71472	69.07312	6.58892	13.73417	45.35062	87.07196	18.10592	5.28350	7.65767
7.56240	7.01714	50.98790	1.00000	7.75897	3.42587	9.38689	1119.38355	7.78829	-122.24064	61.52012	7.33683	47.80527	35.66566	10.26669	0.85798	6.08613	7.53316
10.17649	10.29321	46.31502	0.00000	7.80688	5.95241	4.25220	1146.13119	7.41448	-0.2	39.57254	6.57478	51.65	30.50171	11.92319	-4.75844	7.28333	9.40917
10.63774	7.32368	30.08371	1.00000	7.35948	9.58340	5.15643	1078.20574	7.72819	-85.76942	46.56390	6.77722	39.78504	43.34242	10.57475	16.23748	3.19824	4.47806
5.59622	8.28075	36.54707	1.00000	6.57031	7.23461	5.24061	1199.11069	7.69855	121.3152	55.69644	5.72300	14.14989	50.10158	4.93304	17.75029	6.18084	5.27912
11.71978	9.32937	56.77435	1.00000	7.79045	8.17267	6.63576	1064.53488	7.10395	15.07041	66.26800	6.71730	37.49223	49.58132	11.73290	17.56589	5.90808	6.60905
9.14262	9.28524	47.55042	0.00000	6.05206	4.13321	5.18120	1078.72578	6.89159	78.14797	69.12993	7.71950	15.45144	42.68145	6.26976	16.94679	4.78540	8.45495
8.05291	7.88478	52.72591	1.00000	8.17584	8.11378	6.24892	1054.74108	6.77594	1.26738	35.57244	7.34523	51.84819	49.15266	12.79106	0.06340	5.56469	4.09463
9.07634	8.39022	52.96526	1.00000	5.78788	6.02668	8.30375	1149.63855	7.47529	17.80774	53.50941	6.12881	40.55851	62.86633	6.65506	25.86948	6.39684	8.81847
5.77046	6.15654	57.34616	0.00000	6.87262	8.63015	5.65498	1108.05143	5.18210	-41.25528	67.79012	6.11024	-19.32556	59.12324	6.81842	21.44573	6.79045	5.15200
7.64718	8.02110	51.96508	0.00000	6.46275	4.65979	5.57510	1111.16470	8.17331	6.9747	53.85091	7.97053	50.82709	48.65470	5.67682	16.31295	4.95897	6.15162
9.95014	9.31217	47.00916	0.00000	7.37365	6.88554	5.76621	1103.67762	4.80179	7.02238	55.73621	6.51146	52.21099		9.08623	0.51980	3.20583	9.35894
9.32894	7.47688	50.08158	0.00000	5.07426	4.22170	5.60160	1158.54776	5.97425	-102.04897	83.21754	6.69836	19.64745	48.99908	5.54249	20.17116	7.65188	10.83819
4.37933	5.43705	56.57047	0.00000	6.64187	8.82620	6.35486	1129.43604	7.99442	-87.45476	61.68919	5.85745	41.47892	71.38691	5.35886	3.77217	8.49679	6.51539
8.39734	8.13238	34.81932	1.00000	6.93396	8.64425	5.70161	1137.14840	6.13112	85.4265	42.63804	7.36524	55.8736	21.95683	7.22741	23.00870	5.47101	6.07969
9.36224	6.27330	34.32317	0.00000	5.93812	3.28706	6.54266	1123.12155	6.31767	33.9162	56.57728	7.27643	51.67822	53.34900	4.52266	7.70996	7.19585	8.61908
7.83279	8.19804	34.42166	1.00000	5.17243	4.18461	7.97498	1095.01744	7.02718	-117.23991	46.78571	7.04031	47.64995	55.75730	4.06087	25.56198	4.80943	8.40751
5.52319	7.68374	54.27957	1.00000	5.88965	7.20727	6.47091	1067.05560	6.79540	-73.89875	70.75781	7.70125	40.93121	50.02961	3.70970	7.08115	5.26476	1.83761
	7.12697	39.78306	0.00000	7.18744	6.52481	6.35880	1195.47237	6.90987	140.72287	54.06242	7.69446	53.14657	50.38886	7.88351	1.00597	4.69066	8.31276
4.35769	4.65283	64.48612	0.00000	5.56185	8.23935	5.67542	1175.16604	6.78817	13.63617	65.24282	6.87783	50.50301	69.26741	4.87876	16.05260	8.57836	4.19224
7.71639	8.18299	36.41224	1.00000	6.54673	4.11741	8.25603	1055.24971	7.95632	98.19151	34.07287	6.91571	14.0823	27.87819	3.72135	18.67239	7.41630	6.79734
11.71228	8.45533	43.05668	0.00000	7.66775	6.51220	6.48773	1066.02778	6.42780	60.8019	66.65434	7.54688	56.9083	16.38089	10.33753	-4.77842	3.96554	9.84395
6.07308	6.53920	37.16448	0.00000	8.54006	7.94936	4.69958	1098.71121	6.27947	-51.50361	63.54246	7.04250	-29.2975	49.75882	18.52518	12.81743	8.20595	6.78338
6.40853	7.69120	63.51853	0.00000	5.93518	7.80018	5.36552	1138.71109	5.23133	3.1631	55.57635	7.08264	41.91738	48.09264	5.27040	19.77481	6.12357	6.31164
