location	revision	longitude	code	QoS	latitude
Africa/Brazzaville	09/27/2020, 00:00:00	15.28318	CG	average	-4.26613
America/Bahia	2021-10-08	-37.93278	BR	accep	-11.48472
Asia/Kolkata	2014/08/15	73.66633	IN	good	25.92493
Europe/Berlin	2021-10-04	12.1369	DE	accep	51.04962
Asia/Tokyo	11 Nov 2019	144.09638	JP	average	43.82634
Asia/Kolkata	2015-07-14	72.85107	IN	excellent	19.30157
Europe/Rome	01/27/2016, 00:00:00	11.04979	IT	accep	44.59445
Europe/Rome	2022-07-28	9.29109	IT	accep	45.39402
America/Chicago	2015/11/10	-95.36969	US	excellent	35.74788
Africa/Abidjan	2015-12-21	-3.59625	CI	building	5.27247
Asia/Shanghai	08/03/2014, 00:00:00	120.74792	CN	average	41.09822
Africa/Douala	2020/01/08	11.5	CM	good	3.51667
America/Mexico_City	10 Mar 2016	-96.72365	MX	excellent	17.06542
Asia/Almaty	2014-01-28	77.0202	KZ	average	43.41949
Asia/Kolkata	02/02/2016, 00:00:00	78.15794	IN	average	12.1277
Asia/Tokyo	2016-03-07	130.94098	JP	good	33.3213
Europe/London	2019-02-18	-0.91979	GB	accep	51.42708
Europe/Paris	2016/08/07	8.73812	FR	accep	41.91886
Indian/Antananarivo	2020-08-02	47.31667	MG	building	-19.65
Europe/Brussels	30 Oct 2016	4.25633	BE	average	51.21187
America/Los_Angeles	16 Feb 2014	-117.71978	US	maintenance	34.09668
America/Bogota	11/02/2015, 00:00:00	-75.69947	CO	excellent	8.79577
Asia/Yangon	08/25/2017, 00:00:00	98.50893	MM	average	16.68911
America/Santarem	08/14/2013, 00:00:00	-52.20639	BR	good	-3.20333
Europe/Madrid	2015/06/12	0.57856	ES	average	40.70995
Europe/Stockholm	26 May 2013	18.28333	SE	excellent	59.33333
Asia/Krasnoyarsk	2018/03/11	89.20083	RU	excellent	55.54028
America/Los_Angeles	2013/08/27	-117.79394	US	average	33.76446
Asia/Baku	2020-12-13	45.36561	AZ	average	41.09246
Asia/Tokyo	20 Apr 2016	139.07204	JP	good	36.24624
Europe/London	2013/12/17	-0.2	GB	maintenance	51.65
Europe/London	2017-05-31	-0.36053	GB	accep	51.64316
Africa/Niamey	18 Aug 2019	9.15013	NE	average	13.70727
Indian/Antananarivo	11/10/2013, 00:00:00	48.41667	MG	good	-17.83333
Asia/Kolkata	2020/02/04	73.66633	IN	building	25.92493
America/Sao_Paulo	23 Feb 2014	-52.2	BR	good	-28.44917
America/New_York	08 Apr 2021	-72.86843	US	maintenance	41.27621
America/Los_Angeles	2018-02-05	-123.02621	US	building	44.99012
America/Phoenix	2021/11/13	-111.89903	US	excellent	33.50921
America/El_Salvador	2016/02/08	-89.71472	SV	accep	13.73417
America/Mexico_City	11/14/2017, 00:00:00	-98.1664	MX	average	19.32932
Asia/Kolkata	10/30/2014, 00:00:00	77.24779	IN	average	10.58806
America/Caracas	08 Oct 2021	-62.64102	VE	building	8.35122
America/Recife	2020/08/04	-35.03333	BR	average	-8.28333
America/Chicago	2022/06/05	-91.58045	US	average	41.6764
America/Chicago	2015-08-12	-91.06177	US	excellent	33.41012
America/Chicago	2015-12-18	-90.10674	US	maintenance	29.84576
Europe/Moscow	12 May 2017	37.49338	RU	excellent	55.62047
America/Chicago	2013/07/03	-91.06177	US	good	33.41012
Asia/Taipei	01/06/2019, 00:00:00	119.58627	TW	average	23.5654
Europe/Amsterdam	2016/11/25	4.47124	NL	excellent	51.95838
Europe/Skopje	2013/11/03	21.32778	MK	building	42
Europe/Moscow	19 Aug 2022	34.34691	RU	average	61.78491
America/Chicago	01/14/2020, 00:00:00	-95.44744	US	excellent	29.53885
Asia/Karachi	2020-06-02	68.88871	PK	accep	25.95533
Europe/London	06/15/2013, 00:00:00	-4.22398	GB	good	57.47908
Africa/Dar_es_Salaam	2018-03-06	29.65806	TZ	average	-4.83
Asia/Manila	2017-04-08	124.84472	PH	accep	10.13361
America/Montevideo	18 Oct 2014	-56.52361	UY	maitennce	-33.38056
Africa/Dar_es_Salaam	2020/07/17	33	TZ	excellent	-2.68333
Asia/Tehran	2017-08-11	51.67462	IR	excellent	32.65246
Europe/Istanbul	2019-07-03	42.85693	TR	good	39.22493
Asia/Kuala_Lumpur	2013/12/31	101.02083	MY	acceptable	4.02219
Asia/Kolkata	2016-08-19	86.59509	IN	building	26.11527
Europe/Lisbon	2020-02-24	-8.2503	PT	accep	37.08819
America/New_York	2017/08/31	-78.04471	US	average	34.25628
Asia/Tokyo	07/26/2017, 00:00:00	144.09638	JP	accep	43.82634
America/Argentina/Ushuaia	23 Dec 2021	-68.3	AR	maintenance	-54.8
America/New_York	2014-04-08	-74.15987	US	maintenance	40.82232
Asia/Kolkata	09/25/2015, 00:00:00	76.12647	IN	accep	32.55531
Europe/Berlin	26 May 2021	13.28702	DE	average	52.4581
Asia/Tokyo	2016-10-03	137.23333	JP	accep	35.8
Asia/Yangon	06/18/2016, 00:00:00	98.50893	MM	excellent	16.68911
Asia/Kolkata	12/15/2012, 00:00:00	82.85749	IN	accep	17.54907
Europe/London	2016-08-10	-5.53715	GB	building	50.11861
America/Chicago	12/25/2017, 00:00:00	-97.90308	US	good	31.12406
America/Sao_Paulo	2021/09/17	-52.2	BR	excellent	-28.44917
Europe/Madrid	2019/09/13	-1.86343	ES	good	38.10558
Europe/Berlin	2016-06-02	9.22796	DE	excellent	48.46458
Asia/Tokyo	03/20/2021, 00:00:00	144.09638	JP	average	43.82634
America/Sao_Paulo	2014-11-03	-41.25528	BR	good	-19.32556
America/New_York	06/01/2022, 00:00:00	-73.95097	US	excellent	40.72371
Europe/Paris	2021-12-28	4.8951	FR	average	44.92801
America/New_York	03 Apr 2015	-74.01042	US	average	41.50343
America/New_York	28 Aug 2016	-76.88442	US	maintenance	40.2737
Asia/Manila	2015/10/14	120.4861	PH	maintenance	16.0438
America/New_York	2015-04-12	-73.95958	US	accep	40.57788
America/Havana	2012/10/16	-81.24441	CU	average	23.15678
America/New_York	02/02/2022, 00:00:00	-84.20299	US	good	39.43534
America/Chicago	11/16/2016, 00:00:00	-88.3162	US	maintenance	42.24113
Africa/Casablanca	2013-09-20	-5.22126	MA	maintenance	33.43443
Asia/Tokyo	07/05/2021, 00:00:00	138.31667	JP	maintenance	36.65
Europe/Berlin	2015/06/16	9.20427	DE	accep	48.49144
Europe/Belgrade	2020-12-28	19.61222	RS	maintenance	44.97639
Europe/Brussels	2014/03/19	3.20639	BE	maintenance	50.74497
Europe/Rome	2019/07/31	17.58522	IT	maintenance	40.53123
Asia/Kolkata	2019-01-30	77.5609	IN	accep	11.00599
Asia/Yangon	07/30/2016, 00:00:00	97.01124	MM	excellent	17.30858
Europe/Amsterdam	18 Nov 2012	5.23333	NL	maitennce	52.09
Asia/Shanghai	06/19/2016, 00:00:00	125.51176	CN	maintenance	42.64031
America/Chicago	2021-11-29	-91.77127	US	good	37.95143
Europe/Dublin	2017/10/08	-7.35	IE	good	53.53333
Indian/Antananarivo	04 Apr 2022	48.41667	MG	excellent	-17.83333
Africa/Dar_es_Salaam	2015/02/24	39.25	TZ	accep	-6.8
Europe/London	13 Jun 2022	-5.53715	GB	good	50.11861
America/Mexico_City	15 Nov 2015	-100.88023	MX	average	20.21322
Africa/Nairobi	2018/07/17	36.36339	KE	accep	0.03813
America/New_York	05 Oct 2015	-82.46148	US	average	28.15112
Africa/Conakry	2021-02-23	-13.68778	GN	good	9.535
Asia/Tokyo	2016/10/22	136.13108	JP	excellent	34.75856
Europe/Paris	2022/07/04	-4.1	FR	good	48
America/Havana	2017-07-08	-77.43532	CU	good	20.14298
Europe/Paris	26 Feb 2018	-0.45877	FR	good	46.32313
America/Los_Angeles	2015/05/31	-122.24064	US	excellent	47.80527
America/Los_Angeles	03/09/2016, 00:00:00	-122.2608	US	accep	38.17492
Africa/Niamey	14 Mar 2017	9.15013	NE	average	13.70727
Europe/Rome	2020/02/16	15.07041	IT	excellent	37.49223
Europe/Madrid	10/16/2013, 00:00:00	-5.55835	ES	good	42.64685
Asia/Kolkata	05 Jan 2018	73.08333	IN	accep	19.21667
America/Chicago	03 Jan 2015	-86.77917	US	building	36.02506
America/Phoenix	11/19/2020, 00:00:00	-111.89903	US	average	33.50921
Asia/Jakarta	07 Oct 2012	113.69785	ID	maintenance	-7.73379
Asia/Yangon	2016-05-19	98.19151	MM	accep	14.0823
Asia/Shanghai	02 Feb 2019	112.9	CN	accep	27.85
Europe/Rome	04 Jun 2018	8.86374	IT	average	44.89784
Asia/Shanghai	06/14/2019, 00:00:00	111.73861	CN	accep	35.20889
Africa/Monrovia	04/22/2019, 00:00:00	-8.53778	LR	excellent	7.57944
Europe/Berlin	2022/04/05	8.70745	DE	average	49.03685
Europe/Skopje	10/26/2021, 00:00:00	20.91361	MK	average	41.92361
Asia/Shanghai	2017-12-03	122.74754	CN	maintenance	40.85158
Asia/Shanghai	11/18/2020, 00:00:00	117.4831	CN	accep	27.34089
Asia/Kolkata	29 Mar 2021	73.66633	IN	accep	25.92493
America/Denver	2019-02-22	-111.90466	US	accep	40.34912
Asia/Yekaterinburg	17 Dec 2021	60.8019	RU	good	56.9083
America/Bogota	11/10/2013, 00:00:00	-75.69947	CO	maintenance	8.79577
Africa/Casablanca	16 May 2018	-6.90656	MA	maintenance	33.92866
Europe/Rome	17 Jan 2016	12.38878	IT	good	43.1122
Asia/Tokyo	03 Dec 2018	136.13108	JP	average	34.75856
Europe/Berlin	2021-10-21	8.91229	DE	good	49.13645
America/Los_Angeles	01 Nov 2019	-122.40433	US	good	37.71715
Europe/Moscow	06/10/2014, 00:00:00	46.5813	RU	accep	54.8421
Europe/Berlin	07/20/2016, 00:00:00	6.8625	DE	average	51.47805
Europe/Paris	2017/03/11	2.45012	FR	excellent	48.90982
Europe/Rome	2015-04-21	9.32241	IT	excellent	44.31771
Europe/Minsk	11/29/2017, 00:00:00	31.3237	BY	excellent	52.4089
Europe/Istanbul	11 Mar 2013	29.26639	TR	average	37.58105
Europe/Volgograd	25 Nov 2015	43.2379	RU	excellent	50.06
Africa/Nairobi	2020-05-02	36.36339	KE	building	0.03813
Asia/Shanghai	12/20/2012, 00:00:00	125.51176	CN	building	42.64031
Europe/Brussels	02 Oct 2020	4.21372	BE	excellent	51.12794
Asia/Dushanbe	07/12/2017, 00:00:00	69.01354	TJ	excellent	38.55632
America/Indiana/Indianapolis	16 Sep 2022	-85.76942	US	average	39.78504
Europe/London	2013-03-01	-0.2	GB	maintenance	51.65
Europe/Paris	09/29/2016, 00:00:00	4.63031	FR	average	43.67681
Africa/Algiers	16 Dec 2018	4.08282	DZ	average	36.61954
Europe/Oslo	05/19/2015, 00:00:00	16.54165	NO	accep	68.79833
Asia/Kolkata	05/16/2013, 00:00:00	77.24779	IN	accep	10.58806
America/New_York	2013-04-30	-69.96533	US	good	43.91452
Europe/London	26 Nov 2012	-1.29772	GB	maintenance	50.76306
Asia/Tokyo	2016/01/01	140.11667	JP	good	37.56667
Asia/Shanghai	29 Apr 2019	120.74792	CN	excellent	41.09822
Asia/Seoul	2020/05/12	126.835	KR	maintenance	37.65639
America/Bahia	18 May 2020	-39.25	BR	building	-12.91667
America/Argentina/Buenos_Aires	04 Mar 2016	-58.70072	AR	accep	-34.74785
Europe/Lisbon	10/28/2017, 00:00:00	-8.33147	PT	average	41.20485
Europe/London	2021/01/04	-1.32471	GB	excellent	51.40148
Europe/Warsaw	2019-07-18	18.34717	PL	average	54.60528
Africa/Douala	2019-10-11	9.00472	CM	average	4.2475
Asia/Karachi	2021/10/18	72.54566	PK	maintenance	29.69221
Asia/Manila	2019/12/19	124.95278	PH	average	6.33444
Asia/Yekaterinburg	04/29/2021, 00:00:00	65.27258	RU	average	58.04254
Europe/London	03/22/2020, 00:00:00	-4.21376	GB	maintenance	55.82885
America/New_York	2018/06/28	-77.02303	US	accep	38.70734
Asia/Phnom_Penh	02/11/2013, 00:00:00	102.56365	KH	average	13.65805
Europe/Moscow	04 Jun 2018	32.86389	RU	maintenance	53.95278
America/New_York	2019-04-07	-82.46148	US	acceptable	28.15112
America/New_York	2018/09/14	-82.61573	US	average	41.24255
Europe/Rome	2014-10-02	14.34085	IT	building	40.87363
America/Lima	07/01/2019, 00:00:00	-73.25383	PE	good	-3.74912
Europe/Brussels	07 Apr 2016	5.37429	BE	excellent	51.03427
Europe/Berlin	12/03/2014, 00:00:00	8.96317	DE	excellent	48.35149
Europe/Rome	21 Oct 2013	12.70038	IT	good	45.9836
Asia/Shanghai	28 Dec 2018	122.74754	CN	good	40.85158
Asia/Manila	2022/08/06	121.12251	PH	accep	14.62578
Asia/Urumqi	2021-06-02	86.00214	CN	average	46.51872
Europe/Berlin	2021/06/24	7.20769	DE	average	50.80019
America/Edmonton	2016-09-30	-113.3187	CA	accep	53.51684
America/Chicago	2015/10/29	-95.36969	US	accep	35.74788
Europe/Minsk	2015-08-28	31.3237	BY	building	52.4089
America/Mexico_City	2016-03-11	-102.04897	MX	excellent	19.64745
America/Detroit	01/02/2014, 00:00:00	-82.42491	US	good	42.97086
America/Menominee	2016-04-05	-88.64235	US	excellent	46.09273
Europe/Moscow	2022-07-14	30.28491	RU	average	60.02427
Asia/Kolkata	2013/09/13	81.54855	IN	average	26.2649
Europe/Paris	2021-04-17	2.29275	FR	average	48.79325
Europe/Minsk	01/19/2015, 00:00:00	31.3237	BY	excellent	52.4089
America/New_York	2022/05/25	-81.79819	US	maintenance	41.48199
Europe/Rome	24 Jan 2020	8.62118	IT	average	45.44694
Europe/Podgorica	03 Aug 2015	18.84	ME	excellent	42.28639
America/Sao_Paulo	11 Oct 2015	-41.88778	BR	good	-21.205
Europe/Paris	2017-07-08	5.4384	FR	maintenance	43.2907
Europe/Paris	2014-08-15	5.03586	FR	maintenance	43.83125
America/Caracas	2017-10-17	-70.20749	VE	good	8.62261
Europe/Rome	03 May 2014	8.86374	IT	maintenance	44.89784
Europe/Amsterdam	2012/11/12	5.22778	NL	good	51.955
Europe/Brussels	06/02/2018, 00:00:00	5.37429	BE	accep	51.03427
Indian/Antananarivo	31 Jul 2017	46.58333	MG	excellent	-21.15
America/Chicago	2016-10-13	-97.92977	US	average	38.06084
Europe/Moscow	06/25/2016, 00:00:00	32.86389	RU	building	53.95278
America/New_York	05 Apr 2017	-82.61573	US	excellent	41.24255
Asia/Shanghai	07 Oct 2015	111.73861	CN	accep	35.20889
Europe/Rome	14 Oct 2018	13.57661	IT	average	37.31065
Europe/Belgrade	05/28/2018, 00:00:00	20.89389	XK	excellent	42.62833
America/Havana	2020-07-09	-80.58556	CU	accep	22.98212
Africa/Kinshasa	22 Jan 2019	15.16554	CD	excellent	-4.5833
Africa/Algiers	2013/05/08	1.04945	DZ	excellent	35.06544
Asia/Shanghai	03/11/2015, 00:00:00	122.22833	CN	accep	40.66482
Asia/Shanghai	2017/09/16	109.22921	CN	good	34.65918
America/New_York	12/02/2020, 00:00:00	-76.72803	US	accep	39.32288
Africa/Dar_es_Salaam	2012-11-28	29.65806	TZ	maintenance	-4.83
America/Sao_Paulo	2015/05/26	-50.00639	BR	building	-25.42944
Asia/Kolkata	2013/03/22	71.57737	IN	accep	21.53889
Asia/Shanghai	2018-05-07	120.74221	CN	accep	31.64615
Europe/Moscow	2017/07/13	30.38167	RU	accep	59.80917
America/Chicago	26 Feb 2016	-88.3162	US	excellent	42.24113
Africa/Dar_es_Salaam	2022/06/18	39.25	TZ	excellent	-6.8
America/New_York	2016-10-29	-81.77285	US	good	28.54944
America/Martinique	30 Dec 2017	-60.94228	MQ	average	14.67751
America/Detroit	10/26/2018, 00:00:00	-83.48216	US	good	42.30865
Europe/Tallinn	2019-03-04	28.19028	EE	accep	59.37722
America/Sao_Paulo	2021-04-09	-51.87389	BR	good	-23.44361
Asia/Kolkata	01 Mar 2014	74.85849	IN	accep	31.28092
America/Sao_Paulo	2018/10/08	-52.67056	BR	accep	-26.22861
Africa/Algiers	2022/06/11	3.50309	DZ	building	34.15429
Asia/Krasnoyarsk	2019/05/31	89.20083	RU	average	55.54028
Asia/Shanghai	01 Mar 2014	105.89333	CN	good	34.56861
Europe/London	01 Jul 2019	-4.22398	GB	excellent	57.47908
Europe/Zaporozhye	06 Mar 2018	38.15035	UA	accep	49.41029
America/Chicago	10/31/2019, 00:00:00	-88.27205	US	excellent	44.27804
America/Chicago	2017-07-22	-88.42814	US	excellent	42.16808
Europe/Kiev	16 Feb 2021	32.6178	UA	excellent	46.65581
Europe/Berlin	04 Aug 2021	9.47629	DE	acceptable	53.59337
Africa/Lagos	18 Apr 2017	3.39467	NG	average	6.45407
Europe/Madrid	2017/08/07	3.1631	ES	excellent	41.91738
Europe/Prague	2015/03/22	12.87117	CZ	maintenance	50.23271
Europe/London	2014/12/17	0.47713	GB	excellent	51.39323
Europe/Amsterdam	02/28/2015, 00:00:00	5.58472	NL	excellent	52.14
Asia/Almaty	15 Jun 2022	84.87144	KZ	average	47.46657
Europe/Warsaw	04 Jan 2017	16.86194	PL	good	54.58048
Europe/Brussels	2015/05/29	5.37429	BE	average	51.03427
Europe/Kiev	25 Nov 2012	33.9162	UA	excellent	51.67822
Asia/Shanghai	2013-09-17	105.89333	CN	good	34.56861
Europe/Amsterdam	12/20/2016, 00:00:00	5.2875	NL	accep	51.65333
America/New_York	05/15/2020, 00:00:00	-77.37331	US	building	37.60876
America/Halifax	2013-01-22	-63.13414	CA	average	46.23899
Asia/Tokyo	2019-04-23	135.6	JP	maitennce	34.61667
Asia/Manila	2014/03/03	120.97844	PH	accep	14.8361
Europe/Rome	03/20/2016, 00:00:00	13.39954	IT	building	43.62558
America/Sao_Paulo	19 Jan 2019	-42.98194	BR	excellent	-22.53722
Asia/Shanghai	09/06/2013, 00:00:00	117.65694	CN	excellent	36.19278
America/Chicago	19 Jan 2014	-95.63079	US	building	31.76212
Europe/Moscow	04 Jun 2013	32.86389	RU	average	53.95278
Europe/Rome	2016/01/13	17.80774	IT	building	40.55851
America/Los_Angeles	2014/10/26	-116.37697	US	maintenance	33.72255
America/Chicago	2019-10-24	-88.31476	US	excellent	36.61033
America/New_York	2013-06-16	-83.2321	US	building	33.08014
Europe/Madrid	05/13/2019, 00:00:00	-2.98884	ES	average	43.32686
Asia/Kolkata	06/09/2022, 00:00:00	78.25795	IN	excellent	9.82564
Asia/Manila	2019/11/08	121.3152	PH	maintenance	14.14989
Europe/Kiev	02/05/2015, 00:00:00	25.34244	UA	average	50.75932
Africa/Kampala	04 Jun 2016	32.88667	UG	average	3.27833
Africa/Nairobi	10/07/2019, 00:00:00	34.11169	KE	maintenance	0.46005
America/Mexico_City	21 Jul 2015	-101.2591	MX	good	21.01858
Asia/Kuala_Lumpur	2018/06/11	101.96857	MY	average	4.88441
Asia/Riyadh	2015/09/26	49.62251	SA	good	27.0174
Asia/Shanghai	2018/02/27	114.68333	CN	good	23.73333
Europe/London	18 Apr 2020	-1.29772	GB	average	50.76306
America/Tegucigalpa	2016/02/21	-86.57415	HN	excellent	15.48131
Europe/Sofia	2014-09-21	23.225	BG	excellent	43.4125
Africa/Casablanca	2020/08/09	-6.90656	MA	good	33.92866
Asia/Yekaterinburg	2014/11/06	65.27258	RU	good	58.04254
Europe/Dublin	2013/04/22	-7.35	IE	average	53.53333
Asia/Kabul	04/18/2022, 00:00:00	65.93249	AF	accep	36.21544
America/Los_Angeles	11/06/2014, 00:00:00	-116.37697	US	accep	33.72255
America/Menominee	2019-03-28	-88.64235	US	excellent	46.09273
Europe/Sarajevo	2019/03/23	19.21437	BA	maintenance	44.75874
America/Sao_Paulo	14 Feb 2022	-48.59278	BR	excellent	-23.7975
Asia/Manila	2014/05/16	120.97844	PH	good	14.8361
Asia/Krasnoyarsk	2020/12/17	89.20083	RU	average	55.54028
America/Santiago	14 Jun 2021	-70.6996	CL	good	-33.59217
America/New_York	2014-11-13	-84.20299	US	good	39.43534
America/Los_Angeles	2019/10/03	-118.25508	US	excellent	34.14251
America/Chicago	05 Jan 2019	-87.882	US	excellent	41.85059
America/New_York	07/08/2017, 00:00:00	-74.38987	US	excellent	40.65538
America/New_York	26 Aug 2016	-71.05977	US	excellent	42.35843
America/Chicago	09/13/2017, 00:00:00	-95.44744	US	good	29.53885
Europe/Istanbul	2015-01-30	42.85693	TR	excellent	39.22493
Africa/Casablanca	2015-08-16	-6.00137	MA	good	33.42585
Asia/Jakarta	2013-11-15	103.61667	ID	excellent	-1.6
Asia/Kolkata	05/17/2015, 00:00:00	77.656	IN	average	28.71271
America/Detroit	2018-01-07	-84.62081	US	accep	42.7392
America/Los_Angeles	03/02/2013, 00:00:00	-122.86705	US	excellent	45.49428
America/Mexico_City	03/29/2014, 00:00:00	-100.88023	MX	excellent	20.21322
Asia/Kolkata	02/16/2013, 00:00:00	84.63445	IN	average	24.81757
Africa/Douala	2014-01-09	11.5	CM	acceptable	3.51667
Europe/Berlin	2012/12/29	9.20427	DE	accep	48.49144
Europe/Vienna	2015-05-24	16.4	AT	accep	48.25
Asia/Kolkata	09/12/2015, 00:00:00	78.15794	IN	average	12.1277
Asia/Tokyo	08 Dec 2017	139.55028	JP	average	35.30889
America/Havana	28 Oct 2021	-82.4017	CU	excellent	23.0072
Asia/Shanghai	04/26/2017, 00:00:00	120.33063	CN	good	37.65181
Europe/Brussels	2016-09-15	4.69889	BE	excellent	50.56149
Asia/Yekaterinburg	09 Dec 2014	57.3552	RU	average	51.4781
Europe/Rome	06 Jul 2022	17.80774	IT	building	40.55851
Asia/Kolkata	2017/09/18	71.57737	IN	excellent	21.53889
America/New_York	09/05/2022, 00:00:00	-76.72803	US	building	39.32288
America/Chicago	23 Jan 2022	-96.39774	US	maintenance	30.16688
America/Argentina/Cordoba	03/20/2016, 00:00:00	-61.4867	AR	maintenance	-31.25033
Asia/Riyadh	07/21/2021, 00:00:00	49.62251	SA	average	27.0174
Europe/Istanbul	06/22/2013, 00:00:00	34.37389	TR	maintenance	40.1675
America/Bogota	2013-11-26	-74.73584	CO	accep	5.20856
Asia/Krasnoyarsk	01/28/2017, 00:00:00	89.20083	RU	good	55.54028
Asia/Tokyo	2014-10-19	140.11667	JP	maintenance	37.56667
Asia/Bangkok	2015/05/04	101.18445	TH	average	13.44581
Europe/Berlin	2017-11-16	8.96317	DE	good	48.35149
America/Santiago	05/23/2015, 00:00:00	-70.6996	CL	accep	-33.59217
Asia/Manila	2016/12/21	121.3152	PH	excellent	14.14989
Asia/Tehran	03/23/2020, 00:00:00	51.0193	IR	good	35.6803
America/Chicago	2014-12-16	-91.73625	US	average	35.25064
Asia/Jakarta	04 Oct 2016	112.23109	ID	accep	-7.57897
America/Lima	01/14/2022, 00:00:00	-73.25383	PE	maintenance	-3.74912
America/Santiago	01/07/2016, 00:00:00	-73.02841	CL	building	-36.9256
Europe/Rome	2016/04/22	8.88104	IT	maintenance	45.79377
Asia/Jakarta	18 Jun 2015	110.8405	ID	excellent	-6.8048
