code	revision	QoS	location	longitude	latitude
MQ	12/09/2021, 00:00:00	average	America/Martinique	-60.94228	14.67751
GB	2017/09/27	excellent	Europe/London	-2.98333	53.83333
FR	05/14/2017, 00:00:00	excellent	Europe/Paris	2.2469	48.90472
DE	2018/12/07	excellent	Europe/Berlin	7.36027	51.20219
ES	11/06/2014, 00:00:00	excellent	Europe/Madrid	0.57856	40.70995
UG	2014/07/13	maintenance	Africa/Kampala	30.98551	2.41669
US	12/03/2020, 00:00:00	excellent	America/New_York	-81.23621	33.98154
PK	2018/04/13	good	Asia/Karachi	73.97117	31.96258
GB	11/25/2014, 00:00:00	excellent	Europe/London	-2.09814	57.14369
HR	2015-12-07	excellent	Europe/Zagreb	16.43915	43.50891
MN	2013/08/21	accep	Asia/Ulaanbaatar	106.88324	47.90771
PR	06/06/2020, 00:00:00	excellent	America/Puerto_Rico	-67.15407	18.42745
US	12/21/2019, 00:00:00	average	America/Los_Angeles	-115.98391	36.20829
US	2016/07/14	average	America/Los_Angeles	-122.38731	45.53929
US	08/30/2020, 00:00:00	average	America/New_York	-69.96533	43.91452
US	01/16/2014, 00:00:00	good	America/Chicago	-87.882	41.85059
CA	2017/08/28	good	America/Vancouver	-119.48568	49.88307
ID	03/15/2015, 00:00:00	average	Asia/Jakarta	110.71639	-7.54972
NL	2015-09-28	average	Europe/Amsterdam	7.00417	52.26083
BR	22 Jan 2019	accep	America/Sao_Paulo	-46.99583	-22.97056
US	2021-10-26	accep	America/Chicago	-88.31476	36.61033
PK	11/08/2015, 00:00:00	building	Asia/Karachi	68.11759	26.9423
MX	2021-01-04	good	America/Mazatlan	-105.36369	22.49396
IE	25 Oct 2017	accep	Europe/Dublin	-7.95	53.43333
BR	08/09/2020, 00:00:00	accep	America/Sao_Paulo	-42.98194	-22.53722
RU	2020/02/18	accep	Europe/Moscow	43.63417	43.96222
US	2021-03-14	good	America/Chicago	-88.70464	34.25807
MW	2017/05/19	accep	Africa/Blantyre	34.4587	-13.7804
IN	09/26/2019, 00:00:00	maintenance	Asia/Kolkata	77.23826	11.50526
CN	2019-01-10	excellent	Asia/Shanghai	114.68333	23.73333
BE	09/27/2013, 00:00:00	accep	Europe/Brussels	4.21372	51.12794
DE	06 May 2021	average	Europe/Berlin	9.5586	54.52156
SA	2022-01-05	average	Asia/Riyadh	49.62251	27.0174
US	17 Apr 2014	average	America/New_York	-73.95097	40.72371
JP	06/12/2016, 00:00:00	excellent	Asia/Tokyo	140.11667	37.56667
US	21 Jan 2022	excellent	America/Los_Angeles	-122.40433	37.71715
FR	01/09/2022, 00:00:00	excellent	Europe/Paris	4.63031	43.67681
AR	2019-06-15	average	America/Argentina/Buenos_Aires	-58.38341	-34.64966
CN	2013-07-02	accep	Asia/Shanghai	122.22833	40.66482
IN	11 Dec 2012	average	Asia/Kolkata	77.54372	10.12268
MX	10/23/2019, 00:00:00	excellent	America/Matamoros	-97.50417	25.87972
PK	2021-09-17	accep	Asia/Karachi	71.67164	30.29184
DE	18 Dec 2015	maintenance	Europe/Berlin	9.72749	48.28259
TH	2015/06/23	excellent	Asia/Bangkok	100.48528	14.37395
IT	2021-06-09	average	Europe/Rome	14.39024	42.22718
US	22 Aug 2016	good	America/New_York	-82.45426	27.09978
NG	07 Mar 2019	excellent	Africa/Lagos	6.26764	4.92675
US	03/28/2014, 00:00:00	good	America/Chicago	-93.71133	41.57721
DE	2014-03-14	average	Europe/Berlin	13.10984	51.30001
US	2016/05/30	maintenance	America/New_York	-81.26367	28.90054
CR	01 Mar 2022	good	America/Costa_Rica	-85.43772	10.63504
LY	2017/05/20	good	Africa/Tripoli	20.22625	30.75545
IL	2018-01-24	building	Asia/Jerusalem	34.8732	32.05971
PK	2013-03-18	average	Asia/Karachi	68.49143	25.80565
IT	2019/03/09	average	Europe/Rome	8.86374	44.89784
MM	11/24/2014, 00:00:00	excellent	Asia/Yangon	98.50893	16.68911
IN	19 May 2021	accep	Asia/Kolkata	79.82979	11.93381
JP	04/17/2020, 00:00:00	excellent	Asia/Tokyo	136.13108	34.75856
IN	2015/10/30	excellent	Asia/Kolkata	77.54372	10.12268
HT	03/09/2015, 00:00:00	accep	America/Port-au-Prince	-72.09391	18.65297
US	2016/06/20	excellent	America/New_York	-73.99681	40.94065
NG	2015/10/31	excellent	Africa/Lagos	3.39467	6.45407
BR	10/18/2012, 00:00:00	good	America/Manaus	-58.44417	-3.14306
LY	2021/07/18	excellent	Africa/Tripoli	20.22625	30.75545
PK	16 Oct 2016	average	Asia/Karachi	74.12286	30.76468
FI	2014-06-07	average	Europe/Helsinki	24.95034	60.18427
CN	2019/04/30	maintenance	Asia/Shanghai	118.53333	27.92333
UA	26 Jun 2019	building	Europe/Zaporozhye	38.15035	49.41029
ID	05/03/2014, 00:00:00	good	Asia/Jakarta	101.44167	0.51667
AF	2018-06-08	excellent	Asia/Kabul	65.93249	36.21544
IN	30 Jan 2022	good	Asia/Kolkata	86.59509	26.11527
IN	07/03/2017, 00:00:00	excellent	Asia/Kolkata	84.13864	22.88783
DE	10/20/2015, 00:00:00	good	Europe/Berlin	10.5511	52.47774
RU	2016/09/16	accep	Europe/Moscow	39.85331	57.30185
DE	01/02/2014, 00:00:00	accep	Europe/Berlin	7.11393	51.08468
US	12 Apr 2016	average	America/Los_Angeles	-117.23991	47.64995
CO	11/23/2021, 00:00:00	excellent	America/Bogota	-72.47417	7.83389
CN	2018-08-13	building	Asia/Shanghai	105.89333	34.56861
NG	2014-01-20	average	Africa/Lagos	9.0027	11.86064
FR	30 Sep 2017	average	Europe/Paris	-0.59543	44.80477
IN	28 Jun 2020	maitennce	Asia/Kolkata	86.59509	26.11527
IT	11/13/2019, 00:00:00	accep	Europe/Rome	14.39024	42.22718
TH	2020/07/18	accep	Asia/Bangkok	103.65309	16.0567
US	2015/02/28	average	America/Los_Angeles	-122.38731	45.53929
US	2020/04/29	accep	America/Los_Angeles	-118.10583	34.09611
TZ	09 Oct 2019	excellent	Africa/Dar_es_Salaam	37.73333	-4.06667
PH	2016-07-27	good	Asia/Manila	123.89071	10.31672
US	21 May 2017	accep	America/Los_Angeles	-118.03917	33.95015
IN	11/24/2014, 00:00:00	excellent	Asia/Kolkata	79.5286	29.22254
DZ	2020-08-01	excellent	Africa/Algiers	2.95924	36.76775
US	06 Feb 2017	average	America/New_York	-73.89875	40.93121
US	2020-06-30	accep	America/Los_Angeles	-119.01677	36.06523
US	27 Aug 2016	maintenance	America/New_York	-80.08199	35.88264
CA	27 Jul 2022	accep	America/Edmonton	-113.3187	53.51684
JP	04 Jun 2015	good	Asia/Tokyo	137.02166	35.48199
GB	07 Dec 2019	average	Europe/London	-1.47217	53.46506
DE	2017-07-05	average	Europe/Berlin	13.29371	52.53048
MQ	29 Aug 2016	good	America/Martinique	-60.94228	14.67751
TR	2013-06-19	excellent	Europe/Istanbul	34.02537	38.37255
BR	2018/09/04	excellent	America/Sao_Paulo	-45.94722	-21.42917
SY	13 Apr 2018	average	Asia/Damascus	36.7138	35.95664
US	2018/09/14	average	America/Chicago	-96.67834	34.77453
PH	2015-02-23	excellent	Asia/Manila	124.84472	10.13361
BO	2013/10/31	building	America/La_Paz	-65.71875	-21.44345
US	2015-02-18	excellent	America/Denver	-104.22884	32.42067
US	05/23/2021, 00:00:00	good	America/New_York	-75.64963	40.24537
GB	04 Jul 2018	good	Europe/London	-1.99421	51.35084
UA	2017/01/10	building	Europe/Zaporozhye	38.15035	49.41029
ID	08/16/2016, 00:00:00	good	Asia/Makassar	116.82887	-1.26753
PH	12/28/2014, 00:00:00	maintenance	Asia/Manila	121.3152	14.14989
JP	02/19/2017, 00:00:00	excellent	Asia/Tokyo	141.95	39.46667
JP	2018/03/25	maintenance	Asia/Tokyo	144.09638	43.82634
IN	2013/02/03	accep	Asia/Kolkata	85.83636	25.66795
US	2016/04/05	good	America/New_York	-73.47429	40.68066
BR	2016-02-07	accep	America/Sao_Paulo	-42.98194	-22.53722
CA	2014/11/10	building	America/Edmonton	-113.3187	53.51684
US	2021-07-13	good	America/Detroit	-83.48216	42.30865
IN	2018-03-13	excellent	Asia/Kolkata	86.59509	26.11527
IN	2020/03/11	good	Asia/Kolkata	86.59509	26.11527
IT	01/05/2013, 00:00:00	accep	Europe/Rome	17.58522	40.53123
NG	2018/04/30	excellent	Africa/Lagos	12.19458	10.61285
US	2013/03/07	accep	America/Chicago	-88.27205	44.27804
IN	2013-09-08	excellent	Asia/Kolkata	76.32756	9.57046
ID	08 Apr 2016	excellent	Asia/Makassar	117.59152	3.31332
IN	2018/11/28	excellent	Asia/Kolkata	78.23456	28.92694
ID	10/11/2016, 00:00:00	good	Asia/Jakarta	110.71639	-7.54972
RU	05/17/2014, 00:00:00	building	Europe/Moscow	43.63417	43.96222
UA	12/09/2014, 00:00:00	building	Europe/Kiev	29.41824	45.99194
NG	2018-04-25	good	Africa/Lagos	4.52514	12.74482
AU	2022-03-20	excellent	Australia/Perth	115.88782	-32.05251
NL	22 Jul 2016	average	Europe/Amsterdam	5.2875	51.65333
JP	28 Oct 2012	excellent	Asia/Tokyo	140.11667	37.56667
US	18 Mar 2017	average	America/New_York	-81.79819	41.48199
BR	2017-03-28	good	America/Sao_Paulo	-42.19667	-21.41222
NL	2013/03/14	good	Europe/Amsterdam	5.2875	51.65333
LR	11/05/2014, 00:00:00	maintenance	Africa/Monrovia	-8.53778	7.57944
LT	01/22/2022, 00:00:00	building	Europe/Vilnius	24.04142	54.39635
AD	2021-06-25	accep	Europe/Andorra	1.53414	42.50729
JP	08/04/2015, 00:00:00	building	Asia/Tokyo	135.31667	34.25
PR	2018-12-12	building	America/Puerto_Rico	-67.15407	18.42745
MX	12/30/2016, 00:00:00	average	America/Mexico_City	-98.1664	19.32932
CL	23 May 2014	average	America/Santiago	-71.19901	-30.60106
DE	03/08/2017, 00:00:00	accep	Europe/Berlin	8.86704	50.23805
ES	2019/07/27	average	Europe/Madrid	-1.64295	42.8139
IN	20 Jun 2019	good	Asia/Kolkata	85.37752	22.10194
US	2014/12/06	accep	America/New_York	-82.90375	32.54044
US	06/08/2017, 00:00:00	good	America/Chicago	-97.92977	38.06084
TR	2014/02/20	maintenance	Europe/Istanbul	37.3825	37.05944
VU	2014/02/20	maintenance	Pacific/Efate	168.31366	-17.73648
BG	10/17/2013, 00:00:00	excellent	Europe/Sofia	27.25	42.7
XK	04 Aug 2018	building	Europe/Belgrade	20.89389	42.62833
PK	2020-09-13	building	Asia/Karachi	72.54064	31.82539
US	15 Oct 2014	excellent	America/New_York	-75.60804	39.96097
BR	2014/03/25	building	America/Sao_Paulo	-47.53028	-22.45667
DE	08/26/2017, 00:00:00	good	Europe/Berlin	13.31783	52.61131
US	03/07/2014, 00:00:00	excellent	America/New_York	-69.96533	43.91452
AR	12/01/2012, 00:00:00	maintenance	America/Argentina/Buenos_Aires	-58.70072	-34.74785
CH	30 Nov 2012	accep	Europe/Zurich	8.52462	47.30997
BR	19 Apr 2018	excellent	America/Porto_Velho	-63.90389	-8.76194
GB	2020/03/18	good	Europe/London	-2.52398	53.19146
MT	07 Oct 2012	average	Europe/Malta	14.51472	35.89972
JP	08/28/2017, 00:00:00	good	Asia/Tokyo	139.55722	36
PT	2016-09-08	excellent	Europe/Lisbon	-7.32097	41.1053
IN	2015/03/16	good	Asia/Kolkata	76.03889	18.18158
AR	2022/09/15	average	America/Argentina/Buenos_Aires	-58.70072	-34.74785
BE	2019/03/20	excellent	Europe/Brussels	4.82313	51.24197
US	12/28/2014, 00:00:00	excellent	America/New_York	-73.95097	40.72371
GB	30 Sep 2016	excellent	Europe/London	-2.98333	53.83333
RU	2014/03/17	excellent	Europe/Moscow	35.90057	56.85836
GB	2019/01/14	accep	Europe/London	0.75	52.41667
RU	2018-03-02	accep	Europe/Moscow	33.2525	57.97472
JP	04/01/2022, 00:00:00	average	Asia/Tokyo	136.84186	34.4833
ID	03/25/2016, 00:00:00	accep	Asia/Jakarta	101.44167	0.51667
IN	24 Nov 2019	average	Asia/Kolkata	76.56719	24.41288
NL	2020/08/22	accep	Europe/Amsterdam	5.22778	51.955
GB	09/27/2021, 00:00:00	excellent	Europe/London	-1.48119	53.0233
DE	2019-03-06	building	Europe/Berlin	10.03988	53.6052
PR	2020-06-13	accep	America/Puerto_Rico	-66.8499	18.03496
GB	2016/04/29	excellent	Europe/London	-1.47217	53.46506
GB	29 Jun 2022	good	Europe/London	1.26738	51.84819
PL	2017-04-10	accep	Europe/Warsaw	15.00835	51.14942
ID	2015-11-24	maintenance	Asia/Jakarta	103.61667	-1.6
BE	2018/12/01	building	Europe/Brussels	5.37429	51.03427
US	2013-03-30	good	America/New_York	-73.47429	40.68066
CN	01/29/2018, 00:00:00	average	Asia/Shanghai	105.89333	34.56861
US	2019/04/24	maintenance	America/Chicago	-88.42814	42.16808
GB	04/30/2014, 00:00:00	good	Europe/London	-5.53715	50.11861
IL	2019-09-04	excellent	Asia/Jerusalem	34.86563	31.92923
JP	2014/06/14	excellent	Asia/Tokyo	135.21667	35.06667
PE	2018/04/17	average	America/Lima	-69.08333	-16.25
IN	2019-05-29	average	Asia/Kolkata	88.58	23.18
TH	2016/06/21	excellent	Asia/Bangkok	103.65309	16.0567
IN	2021/02/10	accep	Asia/Kolkata	84.13864	22.88783
SE	2022-02-17	average	Europe/Stockholm	17.10558	61.72744
PH	2015-08-01	accep	Asia/Manila	123.33471	8.56697
MM	2020/10/12	maintenance	Asia/Yangon	98.50893	16.68911
CD	2013/05/22	excellent	Africa/Lubumbashi	29.47306	0.49113
US	2021/04/20	average	America/Chicago	-87.65644	41.80753
IN	15 Oct 2018	excellent	Asia/Kolkata	86.79271	25.92127
SO	12/03/2017, 00:00:00	good	Africa/Mogadishu	42.54536	-0.35817
ES	2014-04-18	average	Europe/Madrid	-1.60452	42.06166
US	2021-05-18	excellent	America/Los_Angeles	-122.24092	47.4943
DE	2012/12/16	maintenance	Europe/Berlin	12.16179	48.52961
PA	2014/12/07	excellent	America/Panama	-79.62098	9.15093
BG	01 Jan 2019	good	Europe/Sofia	24.71204	41.57439
ID	2014/01/10	good	Asia/Jakarta	99.1625	3.3285
PT	22 Jun 2022	good	Europe/Lisbon	-8.33147	41.20485
RU	12 Jul 2015	good	Europe/Moscow	34.33825	53.59782
VN	24 Jan 2016	accep	Asia/Ho_Chi_Minh	105.75635	10.29085
JP	14 Jan 2019	good	Asia/Tokyo	136.61667	36.53333
US	14 Jan 2016	excellent	America/Chicago	-88.31476	36.61033
CN	08/31/2019, 00:00:00	average	Asia/Shanghai	120.03308	28.88162
UZ	2016-08-09	excellent	Asia/Tashkent	72.34424	40.78206
UA	2017/06/01	building	Europe/Kiev	27.06365	50.18545
LK	10/25/2014, 00:00:00	accep	Asia/Colombo	79.883	6.9909
YE	09/02/2019, 00:00:00	average	Asia/Aden	46.83187	14.53767
AU	08/07/2022, 00:00:00	excellent	Australia/Perth	115.88782	-32.05251
UA	2018/05/13	accep	Europe/Kiev	33.34864	46.75451
US	2013/01/06	excellent	America/Menominee	-88.64235	46.09273
JP	09 Dec 2016	excellent	Asia/Tokyo	136.51667	35
JP	2022/05/27	accep	Asia/Tokyo	130.94098	33.3213
SE	2020/06/02	building	Europe/Stockholm	18.28333	59.33333
US	2012/10/17	average	America/Los_Angeles	-122.23484	47.38093
BR	03/25/2015, 00:00:00	good	America/Recife	-35.03333	-8.28333
GB	2016/12/05	good	Europe/London	0.30367	51.38673
PK	2021/06/03	maintenance	Asia/Karachi	71.52847	32.57756
PS	18 May 2016	building	Asia/Hebron	35.23388	31.78336
RU	2017-04-02	accep	Europe/Moscow	37.92792	53.93361
BR	09/06/2013, 00:00:00	accep	America/Maceio	-37.03861	-10.90889
RU	2015-11-17	building	Europe/Moscow	34.34691	61.78491
US	25 Dec 2014	accep	America/New_York	-73.49484	41.14676
US	20 Oct 2014	accep	America/Chicago	-91.58045	41.6764
IN	2014/06/10	average	Asia/Kolkata	88.1453	22.4711
NL	11/14/2020, 00:00:00	excellent	Europe/Amsterdam	6.76111	53.16167
IT	07/09/2019, 00:00:00	good	Europe/Rome	14.01481	42.67164
AU	2022/06/13	building	Australia/Perth	115.88782	-32.05251
JP	10/22/2018, 00:00:00	average	Asia/Tokyo	137.23333	35.8
US	04 May 2014	good	America/Phoenix	-111.89903	33.50921
TZ	04/27/2019, 00:00:00	building	Africa/Dar_es_Salaam	37.00438	-7.60361
US	08/25/2018, 00:00:00	average	America/New_York	-76.51552	39.32011
CN	2018/04/11	excellent	Asia/Shanghai	123.17306	41.27194
CN	09 Nov 2013	building	Asia/Shanghai	117.33333	34.85
US	10/22/2017, 00:00:00	good	America/Chicago	-91.58045	41.6764
IT	06/12/2018, 00:00:00	accep	Europe/Rome	7.60872	43.78956
DE	03/24/2019, 00:00:00	accep	Europe/Berlin	8.61839	49.68369
US	2017/11/08	maintenance	America/Indiana/Indianapolis	-85.76942	39.78504
BR	15 Dec 2020	building	America/Manaus	-58.44417	-3.14306
IN	29 May 2015	building	Asia/Kolkata	88.58	23.18
RU	05 Nov 2012	maintenance	Europe/Samara	51.3452	53.37596
CU	19 Sep 2017	average	America/Havana	-82.00919	23.04419
DK	01 Mar 2013	accep	Europe/Copenhagen	12.53463	55.67938
CN	10/20/2015, 00:00:00	building	Asia/Shanghai	120.74221	31.64615
DE	05/28/2019, 00:00:00	excellent	Europe/Berlin	8.77069	50.80904
US	03/31/2013, 00:00:00	accep	America/New_York	-82.90375	32.54044
FR	2022-07-28	accep	Europe/Paris	8.73812	41.91886
PH	12/13/2014, 00:00:00	accep	Asia/Manila	122.9666	10.7375
SA	11/13/2017, 00:00:00	average	Asia/Riyadh	49.62251	27.0174
ID	29 Sep 2012	good	Asia/Jakarta	98.6738	3.7278
IT	10 Jan 2016	good	Europe/Rome	8.86374	44.89784
PL	11/24/2014, 00:00:00	maintenance	Europe/Warsaw	15.00835	51.14942
BE	2021/11/26	good	Europe/Brussels	3.20639	50.74497
DE	2013-03-29	excellent	Europe/Berlin	9.15214	49.97704
DE	05/06/2019, 00:00:00	accep	Europe/Berlin	9.47629	53.59337
