Pb	C2H3NO5	SO2	PRES	NOx	O3	CH4	PAHs	warning	PM10	CO	H2CO	longitude	latitude	NH3	CFCs	TEMP	PM2.5
34.12630	1.75322	6.39522	1189.42613	10.01532	8.47146	6.15570	7.77125	1.00000	9.66088	12.59057	41.87426	30.98551	2.41669	10.48867	25.41271		7.28106
50.12954	2.35111	6.10762	1188.80948	4.72255	10.32629	4.19056	8.77549	0.00000	10.01261	7.36304	55.63829	-70.20749	8.62261	10.04875	44.06316	15.61644	8.12037
37.95191	2.39223	7.04641	1148.56763	9.71991	8.82869	7.56090	6.16597	1.00000	10.01999	10.47273	50.49121	144.09638	43.82634	10.47165	67.79529	13.83721	9.44301
50.71565	1.54207	5.55896	1094.25194	6.75150	8.61849	6.37264	8.38706	0.00000	9.52180	7.70379	41.66232	-34.88111	-8.05389	10.48220	69.52429	10.88371	7.53831
12.82201	0.63051	6.05908	1141.95989	8.19942	8.23728	8.10600	7.56397	1.00000	8.55949	9.47446	48.21409	14.72443	36.92574	9.02908	50.60172	17.05959	8.53039
44.77781	0.61881	8.72410	1118.08430	7.49189	7.23149	6.72316	7.80279	1.00000	8.50581	9.86546	61.23043	-65.71875	-21.44345	8.87569	50.91497	30.65157	8.26283
48.82727	1.80382	6.84178	1186.44505	6.32175	10.14918	4.63101	6.43699	0.00000	9.73849	6.28102	39.76816	28.19028	59.37722	8.66167	55.94845	29.81298	7.53674
46.53198	1.55600	7.42597	1179.41422	6.72052	6.97374	8.62159	6.33356	0.00000	9.58140	4.69848	67.14476	9.0027	11.86064	8.56725	48.14465	20.60179	8.13205
72.13183	2.98029	7.38655	1095.46255	10.22797	5.40841	9.55594	7.57500	0.00000	10.26618	7.65392	41.19994	-76.72803	39.32288	5.95803	67.04740	13.20807	8.07574
61.34284	0.69663	6.43607	1169.24587	5.16310	9.03605	5.75650	6.90645	0.00000	8.76526	8.40464	63.94100	14.72443	36.92574	10.65575	69.80421	10.31874	7.26664
29.38518	0.23737	8.69334	1140.08054	6.58600	5.76602	4.16620	7.23422	1.00000	6.07463	5.89112	49.01254	120.56528	14.66	7.10774	69.84399	5.53005	7.99465
34.17281	0.17689	5.17592	1113.93240	4.71898	7.77742	7.99984	5.57565	1.00000	3.19883	5.96430	41.07551	84.13864	22.88783	6.53462	59.03362	14.64812	8.17848
63.76024	0.22246	7.43146	1164.24573	6.16509	7.52847	6.95083	8.92420	0.00000	5.92514	5.34507	30.69532	98.6738	3.7278	7.18561	40.67685	27.18746	8.22468
40.23060	0.25506	7.29100	1051.42539	8.05652	5.94847	6.36656	8.16335	1.00000	7.38920	5.03411	46.07926	123.17306	41.27194	5.93778	53.96313	5.17959	9.66337
64.68059	2.78469	7.32161	1060.02215	4.86877	5.39986	2.61525	6.46813	1.00000	10.19620	6.94947	40.56513	2.25	50.75	8.31447	57.06043	20.98387	7.70746
61.73851	1.68009	8.46224	1091.37398	10.39176	7.74007	10.60088	7.47650	0.00000	9.63172	10.25080	42.49204	9.17702	48.78232	7.89855	25.37454	40.80017	9.47933
31.13637	0.60073	8.26154	1169.18154	10.09669	10.34520	7.74872	8.43903	1.00000	8.27006	10.13592	66.58603	71.30633	21.34222	8.27967	62.72436	14.93105	6.92276
54.45532	1.57166	7.30121	1097.49067	10.60608	5.81479	6.91068	7.97012	0.00000	9.53928	7.28126	44.58545	101.44167	0.51667	6.87143	48.93729	17.94425	7.46530
51.30269	3.39075	8.67544	1174.95206	8.11543	4.21524	8.64988	8.95620	0.00000	10.37899	6.06624	43.11559	12.19458	10.61285	5.18760	30.25362	1.74484	7.29173
37.51613	2.32611	8.28168	1116.67896	8.60159	4.81333	10.27925	7.72343	0.00000	9.97586	8.84683	79.72735	-60.1831	46.1351	6.00185	53.13419	24.84255	6.81547
31.43002	1.58099	7.66022	1050.28473	6.99423	7.42992	6.78146	6.07114	0.00000	9.54959	5.10994	44.51115	112.01667	-7.81667	7.74986	41.06387	10.23844	7.83818
54.32812	0.60674	8.32312	1198.08024	6.54358	9.56951	5.17167	6.37006	0.00000	8.36104	5.73522	54.05202	106.88324	47.90771	7.43171	63.53666	16.36181	6.45223
37.35867	0.25558	8.37815	1185.66625	7.69951	8.68147	5.74035	7.14874	0.00000	7.29578	5.61419	28.45600	38.01667	11.85	6.12073	68.20622	18.11660	6.50689
37.04057	1.81722	8.63476	1050.38924	9.77944	6.07380	8.55339	5.94049	0.00000	9.72276	8.71971	68.50616	114.68333	23.73333	6.80321	41.82202	25.12703	4.61692
37.79032	0.82983	8.19869	1166.73036	6.62882	8.67309	4.10024	8.36391	0.00000	8.93248	6.20262	8.54458	74.3092	33.37526	6.61578	49.15410	26.82842	8.30088
46.19001	0.26953	8.01380	1166.06401	5.60838	6.11460	5.93222	8.45041	1.00000	7.32094	6.72420	52.32861	114.33333	-8.43333	7.18501	63.15193	15.49074	5.93686
52.59211	0.28131	9.43384	1076.21829	4.31152	11.61181	4.87445	8.70961	0.00000	7.07949	7.40266	60.35175	8.61839	49.68369	9.35321	40.22269	15.77270	8.38441
68.77932	1.92655	6.36624	1180.66988	8.25176	7.54010	5.26899	7.33846	1.00000	9.79109	9.83470	54.21482	-67.15407	18.42745	7.79427	43.65796	27.81046	7.43517
62.83398	0.15103	6.21969	1076.64085	7.04131	5.94909	9.21943	9.30706	1.00000	4.77583	5.25897	50.88675	-50.19556	-19.72806	5.59273	66.13958	13.73238	7.29299
60.85612	0.12155	6.02940	1168.78623	6.74459	9.15761	5.83978	8.95191	1.00000	3.99398	5.62207	50.68873	-88.31476	36.61033	5.53272	20.59096	-6.00722	
51.82954	0.81185	8.04691	1077.70960	9.73669	9.54716	7.76679	9.31841	1.00000	8.65829	9.95439	38.18165	-87.65644	41.80753	11.13053	47.27919	4.93667	7.63779
36.69435	0.34526	7.11986	1155.66013	5.81212	6.90719	5.49237	8.56503	1.00000	6.12915	5.84187	80.08505	6.74549	49.5099	6.59622	49.16464	24.43474	7.24771
64.69843	0.60080	7.94702	1070.06973	7.84443	8.76090	7.49722	7.15985	0.00000	8.30981	7.54653	58.37890	2.25	50.75	9.79802	64.03348	-3.07529	9.52926
54.90985	3.92370	9.72002	1160.81136	9.94688	8.14292	4.40943	7.29995	1.00000	10.50566	11.32309	27.62498	-5.53715	50.11861	12.47243	20.65799	0.92186	6.59761
53.22674	0.67849	7.55564	1129.77782	7.03891	8.31465	6.11193	8.02294	0.00000	8.37490	7.31811	49.18346	19.61222	44.97639	8.55997	39.55124	16.96541	6.54301
58.62394	0.20926	6.32903	1133.90769	6.08041	5.72990	8.57388	7.54314	1.00000	5.37916	5.47056	41.62358	8.70745	49.03685	6.86242	43.97736	32.66699	5.11535
33.09697	0.29014	8.35708	1100.69579	4.11872	6.20679	5.97253	6.66383	1.00000	6.79224	5.03302	42.14587	19.27498	50.20528	8.56810	37.17329	12.90100	8.45169
59.65502	0.55513	6.66496	1167.78072	10.52256	11.36365	6.95829	8.29650	1.00000	8.12823	7.55787	69.72198	-2.12139	52.48173	11.89270	70.64017	8.70588	6.36740
36.28823	0.46339	7.13221	1128.49903	10.09711	10.70424	7.07777	8.26287	1.00000	8.02865	9.31011	32.35414	-4.10734	38.68712	8.83270	37.65021	13.31749	6.15956
48.57991	0.22942	7.98322	1086.83227	4.90772	8.60831	4.41248	7.59640	1.00000	4.01043	9.51878	81.40349	112.01667	-7.81667	5.17394	58.04505	34.88841	9.96944
53.17098	2.78287	6.76911	1180.85035		8.36092	6.87010	8.82164	1.00000	10.17739	11.42560	40.58138	136.13108	34.75856	9.72357	29.69232	1.34214	9.60596
52.58963	2.74009	6.70006	1173.61773	7.82177	7.93373	5.59965	7.53300	1.00000	10.15879	6.35601	49.14113	-87.65644	41.80753	7.79525	72.02496	7.10752	6.40890
38.29156	0.27251	4.88458	1119.18422	7.59314	8.22740	3.64077	8.14734	1.00000	7.06500	8.18648	66.35502	111.4834	65.93381	4.03016	57.68702	0.14869	8.01148
50.04080	0.58989	7.56358	1059.09250	6.16421	7.02100	8.08412	7.50551	1.00000	8.30709	7.08598	51.34677	8.55552	40.72586	6.35302	76.62727	7.05311	6.95825
51.34311	0.15354	6.27912	1184.00946	6.41493	8.60938	6.10602	7.76946	1.00000	3.74659	8.48848	52.70435	-81.56929	41.55838	5.05612	39.62491	10.85538	6.93797
58.66503	2.35066	7.18273	1197.30057	7.94646	5.46846	10.91898	7.08113	0.00000	9.96690	9.91929	34.34092	10.18527	47.98372	7.01523	48.45446	7.72008	7.74107
29.54427	0.49173	5.85732	1149.48853	7.50504	9.06715	6.84587	6.50796	0.00000	8.13360	7.68584	69.64916	77.24779	10.58806	9.70491	48.58657	3.46908	9.79946
32.20172	4.58592	8.74883	1091.18508	7.16887	4.07919	4.71714	8.19798	1.00000	10.71393	4.29950	54.52797	-81.26367	28.90054	6.10120	41.22916	10.17008	8.24842
45.14668	0.50211	8.67668	1071.82790	5.93667	9.53525	3.37970	9.11017	0.00000	8.16345	6.44866	58.13988	120.03308	28.88162	6.81011	65.71937	16.89969	7.61419
28.07326	0.36615	8.99072	1104.69219	6.48696	11.94451	5.79408	5.86362	0.00000	7.21338	4.93753	50.78721	99.1625	3.3285	7.00284	44.07400	19.82352	6.49856
58.28491	0.41968	7.32436	1160.61280	6.58532	6.70576	6.68181	7.44405	1.00000	7.88579	9.74546	75.05119	24.95034	60.18427	6.36394	56.54689	13.61938	7.20126
58.48266	0.83486	8.91457	1174.48881	7.92203	8.40536	6.80734	8.28923	1.00000	8.81578	7.69287	50.71345	-115.98391	36.20829	6.61949	68.35937	20.57814	7.16956
38.66747	2.72376	7.16728	1118.02551	8.86627	5.14402	9.55918	6.89025	0.00000	10.14027	8.29233	38.17535	-77.70066	43.16547	5.84096	50.67722	9.74967	7.71434
60.91632	1.14427	8.00763	1136.55445	10.18554	5.88868	6.54921	8.83370	0.00000	9.13661	7.72195	62.43605	15.28318	-4.26613	6.55822	66.37058	3.87239	7.41928
38.78669	1.40113	7.07894	1099.46258	9.33609	9.65603	5.55904	7.58561	0.00000	9.42026	7.33569	66.55848	-122.2054	47.76232	8.35717	63.06038	11.96669	5.63812
40.66106	2.78951	7.58923	1071.21754	10.43874	6.15592	10.21037	6.52120	0.00000	10.21447	10.48883	42.24348	46.83187	14.53767	8.71233	35.61310	17.99541	9.29791
53.40475	0.64802	8.19169	1119.65405	7.40507	5.38717	6.69663	8.38388	1.00000	8.51961	3.72572	43.56683	-77.55777	37.52487	7.00470	27.75906	12.92528	6.48117
38.70054	0.57912	8.15612	1088.33952	8.69954	4.96883	6.08901	5.28414	1.00000	8.25014	6.08758	15.73337	-81.23621	33.98154	5.14692	64.81678	16.33680	7.39609
38.65581	1.19523	9.61512	1110.41610	9.46844	6.38633	8.38935	8.86935	0.00000	9.17432	9.52096	36.57093	34.34691	61.78491	7.52054	69.12515	25.26179	8.15468
25.03536	1.94650	8.04061	1181.14431	9.03178	6.06262	8.69653	7.93801	0.00000	9.76414	8.39048	54.51229	136.84186	34.4833	7.47117	33.85365	24.78267	6.52513
52.92239	0.19853	8.46132	1147.06756	2.83827	4.91569	6.95970	7.34435	1.00000	5.59935	6.49020	42.13522	-81.79819	41.48199	8.89285	32.05946	17.68351	8.36851
65.86095	1.71329	6.60814	1059.65509	9.22003	9.07168	5.85506	7.25023	1.00000	9.72318	7.56301	55.40545	103.81667	1.6	10.25735	51.48973	15.51356	7.43283
47.67267	0.27693	7.86521	1118.23976	6.56815	9.70945	8.45105	7.14122	0.00000	6.96822	7.15783	56.20579	120.5875	16.455	10.37678	75.30176	5.88149	8.27906
48.55360	0.95003	7.22136	1186.21192	8.53511	7.78472	7.57040	6.94529	1.00000	8.98286	10.91549	29.91734	-1.4001	7.06273	10.27278	60.80277	25.08284	8.86784
35.37785	9.95858	8.19098	1188.56521	7.58494	4.14427	11.45608	8.75053	0.00000	11.50392	9.10356	47.26580	-82.07842	26.91756	8.99134	10.99433	3.94912	8.18189
51.34171	0.71208	6.42034	1172.38060	5.89913	9.43754	7.39029	8.06513	0.00000	8.49755	3.35083	57.70675	-82.45426	27.09978	7.19620	54.55140	11.66396	7.74649
55.67931	2.24938	4.98381	1091.22201	6.71211	9.55957	5.73277	8.97152	0.00000	9.96486	4.73765	34.54212	15.28318	-4.26613	8.05243	52.89825	20.19220	6.68682
53.58782	2.77156	6.16464	1121.30067	7.71005	6.59117	12.10579	7.27469	0.00000	10.17624	10.18559	53.44733	34.02537	38.37255	7.62930	50.41153	9.65078	6.63209
52.56340	0.21710	8.25558	1155.90598	5.50146	5.00896	8.25120	5.07996	1.00000	6.22472	3.83628	38.23694	137.02166	35.48199	8.21359	44.70527	-18.24909	8.28541
49.26566	0.43576	8.03836	1100.82713	8.44229	8.46113	3.74708	7.06706	1.00000	7.98400	9.20570	34.61396	0.93333	52.68333	9.53430	25.74006	11.80378	7.86398
56.51774	0.59251	7.73994	1058.21360	8.85243	9.37191	7.69339	7.20507	1.00000	8.55554	8.65107	50.66137	110.8405	-6.8048	6.69417	38.73191	9.28733	7.48476
34.98741	0.33724	6.80622	1050.43786	7.81986	8.48929	7.89013	6.79383	1.00000	6.92087	9.71542	29.04811	30.98551	2.41669	8.98187	57.07719	9.48749	8.06699
66.73827	1.09568	8.30450	1062.90731	10.39870	10.14601	7.07286	8.35564	1.00000	9.11433	10.17825	50.89280	11.412	45.50369	9.90795	48.28268	35.33283	7.53639
52.77277	0.81461	7.96759	1194.56299	6.35126	5.24630	8.67089	5.51335	0.00000	8.77837	6.40592	48.73485	-82.35176	27.71809	3.85719	51.49981	18.83642	5.47840
25.59529	0.77815	7.54038	1117.10188	8.39035	8.67177	4.23157	8.35273		8.60890	7.60848	43.98735	8.86374	44.89784	9.35030	24.81239	11.05378	6.25880
56.55262	1.12771	6.18388	1198.29864	9.26713	9.57068	6.77906	7.56383	1.00000	9.17300	6.73100	70.65371	105.75635	10.29085	11.92835	62.72266	31.58832	7.36084
33.16642	0.30023	7.75990	1050.73347	6.53857	7.73106	4.18611	7.71508	1.00000	6.86582	8.02773	47.00569	37.49338	55.62047	4.54116	27.14352	21.30621	8.79312
66.31072	0.23428	7.39075	1080.79690	7.89855	7.33263	7.18200	8.14039	1.00000	6.09666	4.85148	29.23458	120.33063	37.65181	5.45986	46.04401	7.42239	8.87702
34.17426	0.31176	9.79467	1183.89960	10.79795	8.05796	2.02051	7.44622	1.00000	7.69582	9.88950	53.93058	-87.882	41.85059	1.11218	31.38292	24.50328	8.18780
54.89237	1.00178	7.49595	1112.03235	7.16824	6.16146	8.91722	6.93264	0.00000	9.12671	8.14983	38.45463	-61.4867	-31.25033	5.40871	40.72661	15.24395	7.72306
29.90100	0.26740	5.91954	1171.45545	8.08790	6.68897	4.86174	9.85972	1.00000	6.59586	6.51525	53.19214	29.41824	45.99194	5.56201	57.53806	19.64608	8.05302
56.82850	0.84641	7.08890	1075.91827	9.30281	8.61801	3.31834	7.03292	1.00000	8.91267	10.83790	32.93708	18.34717	54.60528	8.82566	70.11773	18.83838	6.82723
54.50856	0.20000	6.16898	1054.39549	2.96144	6.16762	7.21233	6.51207	1.00000	5.35950	3.37611	27.29388	-60.94228	14.67751	9.94233	31.13894	17.42655	8.65610
49.88441	0.39351	7.45338	1150.46635	8.48317	4.46294	8.32139	9.02592	1.00000	7.68313	4.31871	50.15377	34.8732	32.05971	6.42343	26.04626	12.10098	7.03103
51.84701	0.43318	5.17543	1052.94123	9.37011	5.88496	6.32202	8.89364	0.00000	7.88742	6.99683	16.80127	27.18052	39.12074	4.65123	50.01898	13.94818	7.32202
46.06376	2.63285	7.76386	1123.90719	5.84121	9.74448	5.23591	7.75130	0.00000	10.10318	4.93882	47.41287	2.31889	35.21222	8.49479	38.43384	16.87282	7.96032
39.73470	0.32110	10.18828	1101.03122	4.55036	4.76187	8.98497	7.95557	1.00000	7.10643	0.54962	55.67054	46.10925	43.35071	10.40252	57.50575	22.88325	7.06545
32.08590	0.75642	6.62657	1156.22106	10.93067	10.53203	7.96330	6.25373	1.00000	8.74194	10.50790	41.26416	8.61839	49.68369	12.87081	53.81576	1.64545	7.99169
26.49048	1.17873	8.83464	1132.67564	10.95191	11.22448	5.00268	7.99149	1.00000	9.19188	8.16209	37.76265	-8.07257	12.74409	9.12766	43.94681	13.20547	9.84201
49.91571	3.38319	7.27461	1158.87090	5.01014	9.64155	4.41557	7.54745	0.00000	10.38404	5.42918	24.49863	-81.26367	28.90054	8.65964	18.47595	-2.02942	8.47710
49.37353	0.66446	8.22216	1154.22852	6.56873	9.90110	6.28248	8.04603	0.00000	8.34320	4.88160	43.09811	109.05389	-7.51611	7.38321	62.57178	5.55542	9.44370
24.73642	0.96207	8.55281	1176.66275	9.33922	5.57828	6.35872	8.68408	0.00000	8.91435	6.72653	51.35917	9.5586	54.52156	5.48698	37.34800	25.87988	9.30676
72.71020	0.41044	7.56987	1135.79321	6.67627	4.45829	6.38545	6.59324	1.00000	7.83054	4.40741	47.18356	34.02537	38.37255	7.72462	50.95931	18.21531	7.77412
50.66085	0.43372	6.23067	1099.99011	6.68627	6.83885	3.92900	7.30133	1.00000	7.91765	9.11119	55.69191	8.70745	49.03685	6.37178	81.36153	7.39648	7.58247
25.22279	0.20118	6.04213	1068.91920	6.08027	6.43586	7.00610	8.08134	1.00000	7.04917	6.22530	48.30036	68.11759	26.9423	5.41427	54.83391	2.26703	8.02966
35.23797	0.34095	7.87614	1076.06566	8.52217	7.39393	5.52852	7.25594	1.00000	7.67911	4.49472	79.99525	136.13108	34.75856	5.08260	41.46137	17.32479	8.65600
33.12441	0.70172	8.22222	1179.54900	9.11628	8.28776	10.39193	6.49691	0.00000	8.68005	10.71676	41.11439	-73.89125	40.67705	8.24114	53.97337	16.35578	7.70595
45.10081	0.18985	8.93156	1182.90178	3.45061	5.81785	5.56502	7.36550	1.00000	6.33891	8.79086	60.49033	60.70278	55.75556	7.00170	62.50219	-3.70513	7.51092
46.98773	4.10508	7.65629	1061.82615	6.26265	8.22293	5.13784	8.85439	0.00000	10.58544	4.07010	58.40317	105.89333	34.56861	6.56159	54.63976	19.65533	7.37657
31.76019	0.47125	7.49791	1194.77446	6.23774	9.66167	6.75101	7.65219	0.00000	8.07590	5.34162	41.88747	7.36027	51.20219	8.47258	50.68606	21.90623	6.48103
53.14677	0.72299	7.42538	1136.85484	8.98024	6.15168	9.81148	8.29530	1.00000	8.61014	9.97537	64.69606	-105.11221	39.57582	7.36108	60.60964	8.58552	8.23809
51.96621	2.08702	8.10869	1086.80936	10.09832	2.31806	6.63386	9.08918	0.00000	9.88526	5.45487	54.98920	9.72749	48.28259	5.46050	69.04195	17.40688	7.71828
49.02455	1.91252	6.76966	1083.74821	7.74656	5.39224	9.43303	8.07175	0.00000	9.80020	7.53624	50.95732	112.9	27.85	4.66037	41.11085	16.72526	6.86982
50.90489	4.22510	7.56030	1199.72311	8.24818	7.13958	11.63771	6.64282	0.00000	10.64911	10.14058	70.12526	-76.99081	38.96372	7.68824	36.63710	16.36222	9.43570
38.70283	0.38708	8.94717	1180.24979	9.11101	6.33478	3.72277	8.50506	1.00000	7.58245	7.58606	28.91890	-82.35176	27.71809	4.97535	45.23678	10.13108	6.67130
59.98449	0.47033	8.99167	1199.05082	9.63131	8.81624	8.95966	6.99873	0.00000	8.12845	10.07258	39.43756	79.87116	6.84019	7.30186	61.94617	9.55844	9.10186
66.97239	2.05223	7.30198	1052.43121	8.77347	9.32447	6.36566	6.66547	1.00000	9.87631	5.87913	73.04976	38.12408	53.77166	7.80619	46.70806	33.80320	9.89198
54.57229	1.16600	8.11183	1157.87029	5.71607	9.10280	5.06446	7.38521	0.00000	9.24806	7.53074	48.05856	-8.53778	7.57944	9.24818	35.92178	22.18643	6.77950
35.03020	0.41321	6.41819	1079.61040	5.15989	9.98307	7.25866	8.24764	0.00000	7.52618	6.88298	49.82808	-69.08333	-16.25	10.19951	38.66812	20.26609	6.00388
73.16899	0.22018	5.66366	1124.02419	9.42389	10.76568	10.07644	5.69137	1.00000	6.87866	8.54424	72.08557	120.33063	37.65181	9.75644	48.31368	0.63905	8.78682
33.78913	0.35095	8.34390	1156.29075	5.04920	7.13120	5.12565	6.84843	1.00000	7.17260	7.42206	42.79181	20.22625	30.75545	5.47869	61.72662	3.49630	8.48907
47.43510	1.88350	7.71238	1183.02176	10.17966	9.58903	4.77235	8.66564	1.00000	9.76470	9.71484	41.80227	16.50104	41.24264	9.14908	34.64458	1.10663	7.80039
48.97319	1.78850	9.00651	1175.39340	5.93066	5.12291	5.07305	7.93011	1.00000	9.72687	4.73371	57.27075	65.50917	44.85278	8.46485	54.91537	14.92241	8.44496
38.04800	2.02517	7.91077	1062.96165	10.61202	10.12163	4.77098	7.31431	1.00000	9.83037	9.30211	64.93506	111.73861	35.20889	9.29894	65.88443	-6.23256	8.50131
50.91650	0.25368	7.35978	1152.47616	8.43251	9.01755	6.90697	8.12969	1.00000	6.79515	10.46674	62.09498	34.11169	0.46005	8.07064	61.88787	20.91222	6.64577
65.96720	3.40783	9.54256	1088.57842	4.73619	8.98129	5.80644	7.93181	0.00000	10.40741	4.96473	73.02082	4.47124	51.95838	8.84491	68.41824	11.92504	8.53057
37.91112	0.14215	7.00497	1093.20880	6.78425	5.71709	7.03956	7.34974	1.00000	5.05938	8.58471	35.02078	16.43915	43.50891	5.00862	53.09649	14.92726	7.23459
52.85143	0.55184	6.72720	1180.34497	6.73793	11.03229	6.96045	7.75034	0.00000	8.36621	5.41355	33.13540	74.3092	33.37526	8.92589	61.13501	56.34107	8.99333
29.91231	0.59751	7.69206	1073.68646	9.79527	10.51752	8.34393	5.18471	1.00000	8.40617	7.96797	41.93182	13.57661	37.31065	9.59475	44.71273	11.76229	8.48145
28.37239	0.39392	8.06780	1127.92019	10.41214	5.02356	5.70302	8.08184	0.00000	8.11971	7.12338	24.79920	74.80555	34.08565	4.83793	57.26525	-3.92029	8.05801
49.47213	3.40100	4.05646	1082.42737	5.94604	7.02572	6.55899	9.36953	0.00000	10.36654	7.01334	68.97027	111.73861	35.20889	9.95549	59.25148	20.39469	8.92314
43.14682	0.30180	8.01935	1198.90212	9.15998	9.79009	6.26046	7.53835	1.00000	6.17186	11.36896	73.88463	171.25364	-44.39672	8.78311	54.05297	23.43688	8.20366
52.47710	0.59695	10.61060	1121.49690	7.81728	5.65322	7.33024	9.37861	0.00000	8.50175	7.59706	43.82880	-81.26367	28.90054	3.50498	45.58054	8.30673	7.72908
40.51126	1.35814	8.56121	1080.09097	9.08344	6.59841	10.52091	6.97281	0.00000	9.34987	9.71926	77.31751	121.3152	14.14989	6.82416	34.15324	0.10983	7.18061
45.08106	0.24106	5.94484	1140.18880	8.50141	7.22721	3.24605	7.45568	1.00000	7.08213	10.37689	41.68265	144.23058	-5.85746	2.59015		9.23574	7.87973
56.80052	0.12759	6.31639	1165.66549	1.76626	6.05010	7.57842	8.14964	1.00000	4.61999	6.35567	30.63342	-81.26367	28.90054	9.03858	81.27315	18.83865	7.72652
41.17505	0.46398	8.27324	1127.04268	8.87757	6.62812	8.67696	6.47061	0.00000	8.04707	9.07036	51.72636	5.2875	51.65333	5.37981	46.78278	16.52961	8.35700
58.02851	5.07914	7.30186	1092.94131	7.46969	7.51710	3.66250	9.14437	0.00000	10.80786	6.68448	59.65593	-52.20639	-3.20333	7.41582	44.69554	19.41154	8.03456
31.87834	0.63376	8.97771	1125.93143	7.02326	6.29733	3.30797	7.24202	1.00000	8.40903	7.51432	41.67920	86.00214	46.51872	5.62508	51.63537	9.43059	6.07090
70.59240	0.21904	6.28841	1146.40940	6.04011	7.82555	5.83609	6.72137	1.00000	5.81518	7.72974	59.50478	-41.45861	-4.42472	6.09836	28.36646	1.79153	8.99209
53.55145	0.92064	6.40180	1142.90230	5.79610	8.04687	5.27766	7.12318	0.00000	8.88827	7.32692	40.34672	18.34717	54.60528	8.72140	39.77203	12.47350	7.67231
60.86739	2.99080	9.55786	1058.35729	8.91198	8.78340	5.07659	7.04155	1.00000	10.25511	7.19348	71.99827	10.03988	53.6052	8.44798	50.72162	19.95677	6.87336
31.35605	2.21970	6.62941	1083.78142	8.47984	8.60800	4.79393	7.80136	1.00000	9.91226	7.14660	45.57841	53.47103	54.48147	7.13886	71.85238	27.15842	7.53040
46.99395	1.85679	6.67121	1082.13820	8.96399	4.48299	7.92222	8.69026	0.00000	9.78020	7.21202		-5.682	5.84752		73.18941	3.03055	8.90389
67.28150	0.24409	9.13816	1119.34656	6.14834	6.56055	6.80137	6.11777	1.00000	5.77437	7.27220	43.60306	14.01481	42.67164	6.24025	47.29521	20.44638	7.14534
48.63257	1.64485	7.76733	1142.04231	8.34670	3.68834	9.38671	7.70666	0.00000	9.58368	8.42043	74.04708	-2.68758	53.69786	4.62657	45.41899	13.33192	6.11955
