PAHs	NOx	latitude	NH3	PM10	O3	Pb	H2CO	CH4	SO2	TEMP	C2H3NO5	PRES	longitude	CFCs	warning	PM2.5	CO
7.54402	7.83004	20.88953	8.88508	9.30229	8.85082	40.32204	23.33054	6.47607	5.74031	10.19527	7.48932	1185.83631	-156.47432	65.15497	0.00000	9.06065	9.92214
12.17974	8.66974	52.26083	4.77445	7.72277	10.03983	63.03777	43.45437	9.35125	7.06204	8.65454	2.61629	1121.01279	7.00417	46.00936	0.00000	8.18229	8.28059
6.15807	8.13729	34.06635	8.63203	6.91683	7.24145	40.53773	43.20795	7.46799	8.20234	29.42402	1.94436	1107.21937	-84.67837	47.99179	1.00000	4.91914	6.93730
9.29064	10.12361	52.4089	9.01758	9.27499	9.36543	42.95770	48.57639	7.89047	6.83547	23.15368	7.49091	1072.98660	31.3237	35.16720	1.00000	9.40234	6.42591
9.28998	9.76793	42.64685	8.16923	6.54637	7.25002	41.53719	35.83617	8.99416	7.18273	20.26043	1.00795	1189.09989	-5.55835	42.58505	1.00000	9.02812	6.43751
9.48512	8.62111	40.49748	10.11009	9.42727	8.91838	41.30890	47.15223	8.21030	6.33854	9.32214	8.59429	1198.42335	44.7662	49.92957	1.00000	10.08901	6.75262
5.83596	8.93235	6.95194	8.83903	8.82315	9.00976	71.48031	43.75780	7.72866	6.25759	10.33620	4.96009	1105.06346	121.96361	75.35856	1.00000	7.82670	7.82341
8.18573	10.68281	42.8139	7.21403	7.89678	8.12566	64.59306	46.17926	7.52531	9.86565	20.89737	1.96282	1084.42652	-1.64295	74.07047	0.00000	9.83047	8.15870
11.02131	9.52387	45.79377	9.90856	8.77143	8.36905	44.37081	53.69750	7.59439	8.79002	21.08702	4.65089	1194.08389	8.88104	83.42802	1.00000	10.39218	5.72986
7.20654	10.42881	33.76446	9.48669	8.08460	8.07326	45.09462	58.38119	8.89369	6.19416	2.88808	2.80053	1157.94786	-117.79394	49.34550	1.00000	10.32834	8.73915
8.31166	10.03553	53.78333	7.82466	8.78816	9.48195	30.81005	44.37638	7.53438	9.21209	15.61212	4.46312	1160.82543	-1.06667	50.88791	0.00000	8.22349	6.65685
10.41801		38.96667	6.18126	7.42523	7.93697	58.68644	52.70034	8.62731	7.13645	26.41195	1.75486	1194.03465	-0.18333	47.32461	0.00000	5.41803	6.68407
9.48057	10.89186	34.4833	10.47247	9.20377	9.40896	51.35673	58.26890	8.30046	6.52844	8.17138	7.07256	1189.14960	136.84186	34.01230	1.00000	10.87694	6.49052
8.27231	9.62009	44.73941	10.14771	10.19718	6.64261	47.46291	51.48444	8.38491	6.79976	18.36673	17.22724	1145.34298	-93.12577	57.92373	1.00000	10.45038	7.57213
7.71120	10.41537	3.11988	7.08042	8.18599	8.01899	22.48108	46.11574	8.17995	10.41901	10.00692	2.79908	1070.10662	35.59642	82.04020	0.00000	8.83811	9.29348
10.53982	12.50966	25.80565	5.63763	7.43365	9.23198	58.37322	37.68944	8.37197	7.05146	11.24958	1.67730	1137.37415	68.49143	48.57283	0.00000	5.11450	8.38605
6.48555	10.32868	26.91756	6.46621	8.44351	10.04398	35.01013	31.86347	7.70544	10.20415	18.05767	4.24504	1182.59626	-82.07842	73.54446	0.00000	7.39402	9.18266
5.86171	10.54762	61.78491	11.01291	8.41237	8.38964	30.51056	55.99831	8.07877	0.02544	18.46199	3.45145	1187.19966	34.34691	36.52601	1.00000	14.03143	4.87544
7.30217	10.40302	10.66668	10.88191	8.56100	9.88950	36.43443	45.04689	9.43426	9.71794	-1.37804	4.26268	1067.58942	-61.51889	52.82662	1.00000	10.10976	4.11934
6.57800	8.43905	41.85059	9.66687	9.70968	7.70596	39.60209	44.11123	7.70798	7.46722	8.71605	11.03395	1096.82168	-87.882	51.00248	1.00000	8.10909	6.73475
8.94448	10.84506	-11.78333	8.61293	9.30428	9.76678	54.22580	51.66916	6.98237	6.83214	13.41406	7.38940	1079.49682	19.91667	47.20335	1.00000	9.29206	6.59840
5.02547	11.49975	-27.4338	8.44774	9.02005	9.23790	52.77798	67.60064	8.74300	3.44107	29.49842	5.87795	1156.24348	-65.61427	36.51125	1.00000	10.64208	7.86421
5.51089	9.20746	45.78071	10.10242	7.13827	9.26543	29.31322	65.85131	6.33550	6.72357	22.51359	1.52846	1192.54696	12.84052	40.47997	1.00000	10.47850	8.67804
10.57190	8.58392	41.48199	5.62603	6.73624	10.90045	35.55860	57.39328	6.68355	6.04686	4.99071	1.80632	1050.04152	-81.79819	91.72571	0.00000	8.84586	8.15023
8.65812	10.77003	-11.48472	8.17281	7.36931	7.55739	41.56479	59.87010	8.96091	6.36842	18.93734	1.51979	1078.03351	-37.93278	55.52417	0.00000	11.85980	8.73525
6.12440	10.72408	35.20889	9.85690	8.59601	7.97758	36.77602	46.18464	8.12940	11.04841	6.77304	3.69661	1074.53606	111.73861	41.58647	0.00000	7.21379	8.50642
8.44390	8.97391	57.97472	6.68974	8.57414	7.22198	42.31936	52.71460	7.74826	5.40093	24.00186	4.56133	1054.74944	33.2525	41.88642	0.00000	8.52828	10.36845
10.22663	9.27139	32.55531	10.28158	10.40467	7.76109	44.71983	37.82634	8.67730	6.84867	16.92982	21.31699	1115.88934	76.12647	59.01720	1.00000	12.02205	5.56723
5.68467	10.90406	-10.95817	8.23106	7.63495	7.98747	42.01601	50.13790	9.35379	5.98791	5.46641	2.03283	1088.62159	-38.79084	58.22847	1.00000	11.73049	6.17348
6.67979	9.55261	34.25628	10.05953	8.99394	9.78985	37.33033	54.98505	8.88826	6.16209	6.80198	5.00842	1144.84875	-78.04471	39.32852	1.00000	9.31262	7.16681
11.01274	7.22236	50.86079	9.78289	8.97883	8.35562	61.79652	49.36789	7.95864	3.83782	14.64000	5.51249	1165.51722	17.4674	60.40557	1.00000	10.60818	9.85367
8.31156	7.25362	34.9	9.14690	7.47285	7.56120	31.75158	49.82767	8.78100	7.74907	9.38953	1.45829	1135.47993	137.5	61.30144	1.00000	6.01133	8.18197
7.16620	8.96582	51.21667	7.77254	6.13407	8.04253	62.81365	44.24716	7.00055	3.31034	18.82671	0.78423	1095.54041	6.26667	35.29816	1.00000	10.92119	10.55514
10.59873	11.23711	31.71667	4.31837	8.89622	7.49795	52.18728	61.24037	8.57272	7.37518	19.93780	5.22456	1160.93828	73.38333	32.77766	0.00000	9.88175	8.44865
8.30563	9.54245	32.61603	10.07051	8.32168	10.22502	58.59275	58.97915	6.76695	5.20004	-4.87446	2.83769	1067.07264	44.02488	54.81426	1.00000	10.48226	5.06481
9.22592	8.09315	45.47885	11.30830	8.43085	7.92822	60.47907	65.80753	8.70156	7.12417	8.18829	3.31602	1086.52656	133.42825	65.40419	1.00000	9.93773	9.50219
7.89401	9.62525	8.35122	9.32891	8.96904	8.67359	37.87705	64.16083	8.88850	4.58295	-6.97574	5.75441	1070.87766	-62.64102	33.32102	1.00000	9.89546	7.55816
8.13564	10.00727	41.9001	10.18266	7.79854	9.49143	58.27952	34.76838	8.50025	7.74341	7.52703	2.18654	1178.38451	-71.08977	39.80532	1.00000	12.01692	7.63769
11.46945	6.35596	31.39547	5.82934	9.43063	8.61579	55.32443	49.82248	7.45940	6.21546	17.13507	8.80722	1142.36622	34.75699	60.47779	0.00000	7.77685	8.96024
10.47248	9.96128	41.16704	6.51477	7.89799	7.94090	39.45065	35.39068	7.61990	7.69794	7.15161	3.07588	1195.72530	-73.20483	61.93991	0.00000	9.63208	9.98933
10.23747	10.87558	44.22639	6.32954	9.92701	8.52253	43.38586	61.23060	6.38546	7.89559	22.29626	13.20760	1171.90349	22.53083	51.64641	0.00000	10.63113	8.80039
10.27048	9.24888	15.79408	9.58246	8.75721	7.70462	41.15005	41.43928	8.83405	9.67454	-2.50214	5.13639	1087.36962	104.1451	58.94839	1.00000	9.65280	5.16827
9.25956	7.95627	-11.78333	9.96933	8.49577	8.82830	24.36920	40.33308	7.31097	5.57252	18.77993	3.72386	1179.72163	19.91667	37.44845	1.00000	10.11536	7.32545
8.69076	9.10050	40.49748	8.53852	9.73937	8.22667	35.05431	45.15257	8.56206	6.84010	22.83970	10.91348	1105.22444	44.7662	67.52413	0.00000	10.12551	10.80288
10.47363	11.73778	-20.87306	6.29591	9.24098	7.56902	55.74363	70.03054	7.74695	7.94782	27.30835	7.55595	1074.72842	-48.29694	44.61079	0.00000	7.07763	7.60085
10.04158	7.97186	-22.97056	8.25236	8.30452	7.77778	56.65370	59.40769	9.40959	8.18589	6.27622	2.71837	1099.97074	-46.99583	59.81133	1.00000	7.36035	7.38365
9.40714	9.43256	-21.44345	9.97666	7.23516	10.92734	48.01199	47.64023	8.16112	7.19245	15.51345	1.34724	1158.21716	-65.71875	70.11494	0.00000		6.21086
8.73848	9.67734	14.0823	9.42131	7.84673	7.66031	36.51602	56.27676	7.46412	5.39861	15.93372	2.36261	1196.35324	98.19151	51.63256	1.00000	10.17749	7.20296
4.75530	9.24503	15.79408	7.06181	7.33608	7.83084	54.39223	51.61326	7.10822	11.04353	3.48376	2.02171	1070.66901	104.1451	50.13992	0.00000	6.90267	8.13042
6.64130	9.99054	4.94273	6.80686	9.28318	7.75048	36.50061	56.02543	9.38277	10.04644	19.64105	7.12316	1060.35000	15.87735	54.83373	0.00000	7.45534	7.96765
4.88560	10.12574	40.93121	8.80073	8.95584	7.52153	58.37063	43.76528	9.09856	4.15567	16.72993	4.92715	1085.33265	-73.89875	55.84683	1.00000	11.72346	8.59959
9.41433	10.22761	41.55838	9.28423	8.26817	8.57956	66.07063	50.49082	7.93747	7.19945	17.56224	3.18512	1068.77426	-81.56929	40.27081	1.00000	8.65508	7.24830
7.48581	9.95593	38.70734	11.79849	8.91839	8.23678	24.21979	60.01656	9.54905	9.77399	16.24797	5.44618	1165.34435	-77.02303	46.61956	1.00000	8.87963	5.51099
9.10789	8.58197	40.92298	10.14394	9.21985	8.42287	52.96794	47.57023	8.19105	5.62843	23.39905	7.05638	1080.54768	14.30935	51.38098	1.00000	10.49771	7.58048
9.10268	8.93741	35.61452	8.77642	7.51303	7.72936	68.31252	55.37329	9.00871	5.94050	24.78788	1.62384	1169.15083	-88.81395	43.01576	1.00000	10.40004	7.81048
10.03316	10.47992	41.20485	5.48186	8.51595	9.03293	62.43519	39.84594	8.32679	6.81068	18.01312	3.64686	1166.47367	-8.33147	68.69462	0.00000	10.65342	9.56704
7.39415	10.09333	-27.50578	9.95899	7.39967	7.29004	54.30802	44.89441	7.80273	6.25746	14.49180	1.43010	1173.17001	153.10236	71.64067	1.00000	10.35407	5.35661
3.73163	8.89832	31.28092	6.41775	7.76462	7.96595	11.25284	52.47276	8.26707	12.49982	8.04340	2.49767	1120.57233	74.85849	35.72273	0.00000	7.47357	8.57685
5.05037	9.54306	36.06523	5.80192	8.54953	8.47205	17.36328	63.87768	8.87483	10.87543	8.64832	3.68419	1118.97110	-119.01677	34.29546	0.00000	8.31867	8.15195
10.33434	10.10254	-26.93366	8.78313	8.08345	7.79407	39.20261	49.25318	6.89000	9.01958	2.83174	3.20590	1142.53273	29.24152	53.55885	1.00000	7.87616	7.74506
4.59653	10.55498	12.25282	9.10650	9.70455	7.81124	53.77198	45.77063	6.77557	3.98255	16.11124	11.16367	1114.32341	79.41727	35.09734	1.00000	10.54901	9.51450
7.44475	11.22295	39.43534	9.31816	8.17034	8.90546	48.32132	27.17335	11.21205	7.39018	19.45330	3.04000	1181.06190	-84.20299	56.46262	0.00000	9.73794	10.53582
7.42373	7.75475	35.48199	9.82959	8.79294	7.71309	33.30212	50.21849	7.84307	8.09630	8.89836	4.80879	1172.20202	137.02166	60.96189	1.00000	6.94897	4.65167
6.88782	10.14970	11.8659	9.59789	10.55982	7.78704	9.60221	47.35009	9.80905	6.27714	1.11244	24.54231	1082.72146	34.3869	22.47458	1.00000	10.18424	7.94039
6.84839	10.64249	-3.5403	4.89373	7.72462	10.35345	58.12485	66.60393	8.65503	11.29004	12.44496	1.52145	1063.39939	118.9707	71.09329	0.00000	7.63191	9.18329
7.51120	8.42867	-4.42472	9.35941	6.08895	8.90230	50.54952	53.79860	8.79872	11.71287	20.15657	0.53887	1115.23125	-41.45861	60.06025	1.00000	5.13459	5.46455
4.06659	8.75624	4.92675	6.67756	9.78763	7.89361	36.98154	45.35645	7.64098	10.37262	-2.80897	11.09636	1109.25601	6.26764	53.77721	0.00000	5.59011	7.47732
6.99905	10.12013	-22.57306	12.04635	8.52808	8.01090	49.12949	55.50775	8.87457	9.01721	13.70408	3.76162	1065.61382	-47.1725	49.91816	1.00000	10.53854	7.56004
11.09467	10.47221	41.85059	10.28444	8.93043	9.51616	38.63064	42.64655	7.79183	9.12108	28.48360	4.80549	1079.20195	-87.882	22.16146	1.00000	9.46897	7.92669
9.05727	9.09130	36.08497	8.70112	9.98185	7.34549	20.93659	18.39475	9.63070	6.10129	36.03709	14.24443	1105.54374	9.37082	35.10542	1.00000	9.26241	7.67705
8.44258	6.56594	44.80477	7.89129	6.90232	8.85758	47.45026	42.85165	7.81852	3.17841	20.10755	1.12058	1099.38408	-0.59543	69.61024	1.00000	8.41578	8.19613
9.17154	13.41869	53.00974	5.87105	9.04123	8.69269	53.10028	60.66924	7.93342	7.85601	15.95321	6.39815	1094.00960	-3.05814	29.42211	0.00000	10.64947	9.22084
9.88894	9.71211	33.41012	9.87041	9.90005	10.00639	53.85789	58.59881	8.09945	6.91307	9.00164	13.29687	1140.01591	-91.06177	46.32402	1.00000	10.07075	7.30240
9.75720	7.23059	41.82143	10.18076	9.62760	9.25377	23.46607	58.85577	8.26206	7.10010	26.23207	10.04963	1172.70659	41.77921	95.83823	1.00000	9.40961	6.31953
7.94188	10.12848	-6.91806	8.71108	6.80168	7.88888	64.85307	51.36530	8.86803	4.84469	3.33181	1.84409	1167.76119	106.92667	51.48093	1.00000	9.89834	6.40632
7.39288	10.61330	47.92526	10.08720	7.49324	9.68021	34.01233	59.19110	8.90853	6.71286	18.79435	2.21337	1165.04125	-97.03285	55.74765	0.00000	8.88296	12.02989
8.70162	9.62699	14.0823	10.53436	8.05842	8.00374	35.42004	48.36371	9.73126	4.73406	5.72170	2.37131	1147.62511	98.19151	25.35188	1.00000	11.03075	6.49651
8.39178	9.90294	61.72744	4.98061	8.22162	7.39962	42.71527	54.73755	8.97047	10.36953	21.23295	2.89598	1126.18715	17.10558	56.41039	0.00000	8.93106	8.35528
8.85082	9.16736	55.63711	10.79483	8.65658	8.20927	45.78163	47.60985	7.78975	5.20549	15.80945	4.16717	1124.77579	37.38115	60.13208	1.00000	11.71061	5.11768
10.61970	8.56976	9.82564	10.87981	8.36282	8.55131	41.89254	45.51380	8.99306	7.54876	3.12702	3.31670	1109.18141	78.25795	72.41277	1.00000	10.35150	8.32327
7.81053	10.08131	19.30157	10.86116	8.59416	9.76485	61.71534	38.64121	6.74915	10.45166	12.09646	3.67689	1056.99918	72.85107	67.98105	1.00000	10.43143	5.49178
8.57609	10.38132	25.49043	6.62463	8.37067	9.23845	34.21111	37.30496	8.64836	8.40925	11.60899	3.79083	1156.22193	85.94001	70.46644	1.00000	6.51936	7.78524
9.10920	12.01083	51.20219	8.84256	8.20218	9.31294	52.25249	32.42887	8.11102	7.52245	14.79807	2.45793	1094.86878	7.36027	39.01046	1.00000	8.46152	7.59164
7.35298	11.13891	48.79325	6.56757	8.71630	7.87768	65.83308	47.57520	9.34445	11.06308	18.43763	4.65184	1151.57210	2.29275	44.59582	0.00000	8.05855	9.06130
7.02448	10.16165	-20.25333	5.88929	8.38119	8.12503	48.61311	43.13702	8.95258	10.19908	11.54697	3.91131	1063.59885	-43.80139	42.90315	0.00000	8.65789	7.95004
10.32121	11.78222	47.64995	5.63840	6.19725	9.94603	44.20118	54.80241	8.64723	7.73896	9.20104	1.40467	1083.80748	-117.23991	56.79828	0.00000	10.50659	9.31692
8.16488	7.80097	35.815	10.29410	9.24644	7.85628	45.33293	43.70081	8.88549	7.71865	-0.27256	6.69730	1077.21051	139.6853	33.01129	1.00000	7.90626	7.66334
11.13522	11.25733	25.92493	9.76356	10.43278	7.90822	34.93507	68.91112	8.27892	9.47825	38.40829	21.12501	1071.90420	73.66633	41.07135	1.00000	9.58344	7.23535
8.74107	9.47923	15.73628	9.80985	9.74487	7.52344	36.08837	41.94208	7.47471	5.32080	0.39026	11.42963	1077.67884	75.96976	51.62933	1.00000	9.90790	7.41027
5.57229	11.12432	-19.65	9.34517	8.79754	8.29954	56.56877	45.02383	9.23034	5.12942	34.31462	4.66855	1089.55982	47.31667	47.02246	1.00000	12.78949	8.16587
8.69389	7.93838	39.09112	10.49321	7.72518	11.15955	49.33577	58.71690	6.80418	4.57332	28.43537	2.16836	1140.41027	-94.41551	44.86613	1.00000	11.59570	5.85070
7.60264	11.99864	60.97944	6.85159	8.55729	8.95933	53.75498	45.27256	8.02907	6.85768	20.10220	4.34436	1176.41754	76.92421	52.50398	1.00000	10.71337	5.69459
11.90404		47.48444	9.14385	7.90104	9.74815	57.45884	44.54197	7.11023	10.77694	2.26661	2.21413	1084.97074	36.25361	53.53511	1.00000	8.61690	6.33903
11.03231	9.58571	-36.9256	7.01824	8.49241	10.04544	45.59591	50.73718	9.04140	8.17280	14.35462	3.55266	1169.85309	-73.02841	47.27649	0.00000	10.49774	8.94950
8.85415	11.42669	42.67164	9.43989	8.06589	7.93984	41.52534	78.78121	9.56573	4.99244	44.69991	2.85796	1138.66994	14.01481	38.65226	1.00000	11.60320	7.67701
8.46798	9.94439	13.44581	8.99261	9.82816	8.13132	44.68909	57.84288	9.12248	5.66820	6.39559	12.05253	1077.04864	101.18445	61.63030	0.00000	9.18700	7.02192
3.21926	11.01874	19.32932	8.03044	9.73496	9.04729	33.57874	56.89459	7.48028	6.81875	11.71962	11.47612	1092.45824	-98.1664	23.93309	1.00000	6.91458	4.91678
9.38185	11.02558	-32.05251	8.79652	7.93798	7.24808	60.10978	42.29651	8.02743	6.47547	9.28442	2.11538	1115.67411	115.88782	38.62588	1.00000	10.45138	7.75458
10.80016	10.79838	13.73417	5.62217	7.54078	8.81500	55.04654	30.29181	8.01753	7.62945	18.62235	1.52830	1120.41887	-89.71472	61.83070	0.00000	11.15582	8.62380
9.55261	10.04971	-8.05389	9.63663	9.70668	8.44763	70.44032	30.65468	7.98502	6.77066	4.36037	10.96660	1199.77388	-34.88111	50.55290	1.00000	10.16350	6.45363
6.45969	8.22914	41.63976	10.49161	9.07072	6.33441	36.94617	41.59715	9.34415	5.32744	5.36223	6.32988	1118.89801	2.35739	47.01553	1.00000	7.73941	8.43307
8.60066	11.90686	-19.65	9.89515	7.78744	7.61415	56.45389	49.16408	8.00257	5.83243	22.47856		1112.52377	47.31667	49.73094	1.00000	10.07488	6.24027
8.80308	10.54079	39.78504	7.40268	9.26461	8.70300	49.78764	59.38062	6.84479	8.61891	27.42201	7.58826	1085.39504	-85.76942	43.36550	0.00000	6.08742	8.59270
6.94924	10.64680	53.63333	6.20641	7.52778	7.52704	34.37968	36.28134	7.10184	3.84263	7.39190	1.71800	1070.16086	9.85	36.67691	1.00000	9.68494	5.41205
4.71430	9.90370	4.94273	12.34116	8.48017	5.86997	46.13401	51.46265	5.99758	10.27548	19.46701	4.03982	1061.40426	15.87735	36.34282	1.00000	9.00324	5.58509
8.52575	10.18243	42.06166	7.85236	7.11727	8.94421	25.77679	42.70889	8.37948	6.79414	-0.23238	1.99468	1140.01489	-1.60452	67.24715	0.00000	8.50462	10.63112
9.73863	11.29535	42.67164	8.37690	7.65276	8.58611	40.11081	47.25717	7.65186	8.48012	6.42828	2.28958	1144.48204	14.01481	39.62003	0.00000	7.78528	6.36199
10.20268	11.90737	41.8542	8.35030	8.71534	6.84567	44.28258	42.85022	6.37426	8.91353	14.85455	4.17810	1101.58655	-87.66561	42.62508	1.00000	7.67343	7.84669
9.59817	11.14742	-1.63333	7.71774	8.54979	8.11838	45.53855	58.60251	8.85056	8.24009	10.54386	4.20239	1152.02886	13.58357	68.30829	1.00000	7.69911	8.48188
9.16540	7.81557	41.16704	9.20083	9.20427	9.91516	65.86367	59.76567	9.85298	6.43353	10.90687	6.87308	1189.01073	-73.20483	51.03062	0.00000	9.42341	9.75209
8.73805	10.19964	15.72892	7.93200	8.37716	5.98586	49.16741	45.16828	8.48558	6.89863	1.85509	3.38531	1083.91567	120.57224	45.00219	0.00000	11.27370	8.75068
7.31024	11.41591	61.72744	7.53294	7.55936	7.29690	43.15474	31.66665	9.17516	2.65305	7.39372	1.92560	1103.50000	17.10558	37.39791	1.00000	13.97673	8.26847
9.89101	10.89151	43.78956	6.35846	8.94684	8.92817	37.41990	45.61223	6.91694	7.28364	6.85358	5.40726	1100.48555	7.60872	63.35531	0.00000	8.37973	7.97045
6.61873	11.72860	30.76468	8.75254	7.38015	8.54764	49.71700	44.79481	9.33978	8.66087	9.22115	1.73711	1137.45339	74.12286	68.32191	1.00000	10.24622	4.94911
5.21302	11.06719	-21.205	10.41089	8.67404	7.79918	56.21818	57.92807	8.32063	7.28213	13.65526	4.44140	1079.29330	-41.88778	46.06547	1.00000	11.40688	6.64940
7.42177	7.88487	43.11667	10.81489	9.04925	9.54775	50.65758	66.54308	8.40106	8.62453	6.84502	6.16729	1051.00157	1.6	52.40248	1.00000	8.50728	7.05842
5.96902	8.04302	36.19278	8.75203	6.71174	7.88054	51.77518	48.66627	7.49867	10.87743	10.96992	1.40475	1176.24152	117.65694	66.07825	0.00000	7.17024	5.66875
8.82990	9.33727	-3.5403	5.71388	7.82551	9.32238	31.28396	28.83180	7.95488	7.82302	7.50891	3.07802	1139.30441	118.9707		0.00000	8.09935	7.03824
8.19129	10.28368	27.71809	7.65735	8.21096	8.84550	47.61578	41.38154	7.36360	6.25229	18.74039	3.35726	1100.09534	-82.35176	61.73055	1.00000	8.38147	6.70233
8.88248	10.30383	18.18158	9.09096	8.94242	9.08836	61.28934	37.94897	8.93366	6.50806	19.41023	5.59214	1168.93954	76.03889	44.85303	1.00000	8.75159	6.27479
4.86355	8.35328	38.96372	9.24478	9.26382	9.38545	38.43682	60.92570	10.01370	9.24399	-1.21476	7.64129	1136.41880	-76.99081	22.07984	0.00000	3.47957	3.42699
9.40824	8.60952	33.3213	10.73184	8.56032	8.35250	47.75887	53.92944	10.35062	10.79157	24.48928	3.47409	1177.46078	130.94098	39.11055	1.00000	7.32422	4.43890
6.07664	11.65957	41.55815	7.91345	8.76565	6.95940	57.50483	45.40068	8.05653	5.12454	19.15627	4.65039	1132.23579	-73.0515	65.43278	1.00000	12.18551	6.25986
4.85618	11.80231	22.88783	7.36088	8.77942	8.26934	49.23824	46.45973	7.82505	7.93360	3.00011	4.55217	1091.26024	84.13864	65.40201	1.00000	8.68627	3.50179
9.64080	9.26101	24.96334	9.88280	8.11445	7.13436	58.90248	48.65341	10.83571	6.74282	0.67720	2.87584	1147.40821	10.18003	54.58386	1.00000	10.38204	6.75847
