O3	SO2	PRES	PAHs	C2H3NO5	H2CO	longitude	warning	CFCs	latitude	CH4	TEMP	PM10	NH3	NOx	Pb	PM2.5	CO
4.76357	9.98988	1099.37075	6.80341	2.06744	52.51573	-80.66756	1.00000	39.25272	26.68451	12.35034	22.58338	7.22035	10.48705	7.38292	9.51537	6.70249	4.39459
6.57910	4.85120	1051.60525	6.95521	2.65370	54.92257	77.70636	0.00000	36.87197	28.98002	10.65899	-4.37193	7.12956	6.45441	7.75588	42.52582	8.46388	6.22947
7.51282	8.96370	1089.05564	7.41991	3.27082	39.17794	-84.62081	1.00000	47.62335	42.7392	4.98837	7.28014	7.81440	7.34025	7.41005	67.85796	6.55350	7.14637
8.27000	6.48657	1164.56914	7.41029	1.84105	38.62855	4.18333	0.00000	72.16928	7.6	7.50455	2.84511	6.26947	5.45716	7.67668	65.03238	8.23428	7.83940
3.50290	6.36126	1154.20116	8.84663	2.04053	55.74596	-4.10734	0.00000	36.54467	38.68712	11.27465	20.68164	6.63497	7.65189	7.90187	36.05807	4.79673	6.11730
9.29319	9.78888	1181.88550	6.00583	2.99717	30.39197	68.75915	1.00000	53.28780	27.52948	7.81113	15.33396	7.73241	7.06575	7.43596	57.03091	9.01176	9.65423
7.22435	8.52290	1189.30978	8.26961	3.55341	53.51255	98.6738	1.00000	37.64243	3.7278	8.45511	22.27809	7.81823	11.50057	6.21022	47.99910	9.10933	7.29290
5.82213	12.70929	1058.09095	7.32636	3.53773	54.99447	118.53333	1.00000	67.05613	27.92333	6.94984	22.27535	7.86411	7.11156	8.22687	60.87441	6.59629	3.64094
6.30907	6.09841	1179.59513	8.08778	2.53394	44.40552	-93.11308	1.00000	65.80052	16.75973	8.42252	18.86349	7.00657	4.57044	8.98263	52.80738	6.44311	7.48998
5.98360	6.31166	1172.21263	8.91920	2.92512	67.54985	68.49143	0.00000	61.77375	25.80565	5.41813	9.94599	7.16175	9.55259	7.02425	46.83876	6.50872	8.38318
2.77150	8.88650	1100.25283	9.56361	2.21733	64.43804	2.12213	1.00000	22.41557	48.8222	9.19711	5.44118	7.64699	9.41030	7.28338	57.73219	7.94369	4.28987
6.38617	9.58526	1056.92089	7.18988	2.53806	26.20464	35.96944	1.00000	60.92366	56.03361	5.65758	7.11626	7.06049	7.51579	9.41011	56.92529	6.52151	
6.58764	9.60076	1140.96253	8.95774	15.35545	73.12871	-1.86343	1.00000	55.36904	38.10558	5.19135	-27.55495	9.69424	7.65175	6.99129	27.44038	5.58956	7.33394
6.05876	8.15639	1060.23686	6.87260	4.93762	43.92781	37.99117	1.00000	44.62714	44.92934	5.97820	11.43945	8.35400	4.43885	8.74353	62.92887	7.07036	5.69942
6.64792	5.56756	1177.93447	8.31664	1.52408	36.88978	-87.71255	0.00000	67.03722	41.84364	9.98193	4.92852	5.84716	7.17652	7.30978	53.61754	8.67904	5.65544
6.19430	9.57569	1152.11358	6.38584	2.70018	35.55153	2.44892	1.00000	27.01460	48.98693	9.46019	0.01262	7.31267		5.77692	39.74012	8.07448	6.79486
3.97917	10.64687	1158.12708	7.92198	1.20118	44.87913	137.95378	1.00000	47.87121	35.82756	11.23402	2.12280	6.75209	6.67367	7.73250	48.09216	7.82003	4.69660
7.70952	8.96084	1113.50522	5.13898	2.43201	42.84122	-73.26022	1.00000	41.52463	6.46838	8.39010	14.71925	7.72092	8.51173	9.12838	69.22020	10.26845	6.19119
7.33998	7.32403	1166.23227	6.68983	4.97654	43.25911	-89.66123	1.00000	28.23320	21.28306	5.14413	25.31383	8.19680	6.78529	8.49125	38.25836	6.78461	7.50492
8.22012	4.99599	1143.28525	9.04710	3.91907	45.07073	-9.24671	0.00000	47.13024	38.72706	8.38817	29.30018	8.16229	8.59099	7.65339	49.45544	6.95287	8.91293
5.71677	4.61493	1128.21236	7.82782	3.79028	49.96545	-41.45861	0.00000	43.71189	-4.42472	5.73980	2.42730	8.11924	9.74698	7.16228	50.27093	3.91528	6.67358
5.89360	8.45312	1081.49595	6.77749	2.48853	36.72325	125.21972	1.00000	19.95598	-8.99167	8.69129	11.69644	7.45413	10.82117	9.79523	46.51471	8.06494	8.17775
5.84359	11.27369	1153.52861	8.94413	3.10476	62.82053	88.18466	1.00000	69.82038	22.19303	7.18854	4.67602	7.76441	5.69389	8.18300	55.11808	6.33757	3.51442
4.77022	8.81758	1063.72552	5.95377	2.17002	65.37262	51.67462	1.00000	32.05037	32.65246	9.59559	11.15023	7.15114	8.98128	8.52549	43.17105	8.88401	3.69270
9.43402	10.38546	1198.83056	7.51815	3.16798	62.71569	13.10984	0.00000	47.53241	51.30001	4.53356	17.39918	7.83563	11.70941	7.65008	43.70520	7.66443	2.98749
7.22484	4.82420	1096.39727	8.85838	4.68529	39.48922	146.05093	0.00000	43.60841	-34.28853	6.67535	7.82700	8.22907	8.45625	6.34981	43.50623	7.61044	7.22201
6.67039	7.86766	1112.16072	8.98752	1.60331	51.21231	2.45012	1.00000	64.86282	48.90982	6.33668	19.08440	7.23029	5.78195	7.98507	53.59931	7.09324	5.90539
5.75952	10.56889	1144.85723	8.70888	2.91784	72.45655	-73.0515	1.00000	47.36340	41.55815	6.89289	30.42071	7.76315	7.42983	7.09670	44.41348	5.55296	5.34341
4.34646	11.84539	1153.26883	6.67915	1.50271	69.58314	30.98551	1.00000	76.32314	2.41669	8.05271	12.75794	5.88062	6.52706	5.52267	56.12662	4.52349	4.80006
5.58801	8.88346	1175.83549	7.09148	2.11772	51.28725	-116.56346	1.00000	52.65276	43.54072	10.74383	15.50925	6.49704	9.14801	7.98883	49.14650	8.06132	5.22794
6.33004	4.52170	1188.46276	7.04536	2.12840	59.85101	122.20488	0.00000	65.04722	29.98869	10.10727	14.17275	7.30423	6.27387	7.28553	51.75890	7.69298	5.75611
6.28536	8.28098	1083.88954	6.87778	3.36018	39.16659	14.30935	1.00000	44.42407	40.92298	10.23733	11.42184	8.01924	10.81642	9.63720	52.58893	7.05650	7.08036
5.60732	9.06131	1054.50647	7.26525	1.59089	58.39825	123.33471	1.00000	55.68957	8.56697	10.95404	20.38783	6.41066	8.69104	9.51069	60.99903	8.30975	4.13268
5.33626	7.87619	1141.52931	7.12105	4.56346	50.00631	32.86389	1.00000	49.19741	53.95278	10.49284	9.05213	8.43800	10.25806	9.11079	88.58208	6.09616	7.23034
3.92016	8.98766	1073.69811	8.27338	5.08137	46.37622	-34.88111	1.00000	57.17596	-8.05389	10.59139	16.17872	8.36691	4.17819	6.78116	68.95256	5.28460	5.94326
4.28197	9.43183	1196.55604	7.36115	2.02535	57.10487	24.6522	0.00000	37.04311	60.2052	8.96781	7.93524	5.73356	4.46571	6.75591	24.06937	5.44956	4.80380
6.84337	7.43563	1183.87318	5.83635	1.93876	63.21338	74.4818	1.00000	40.57996	30.21121	7.31246	17.09755	6.75337	8.36567	6.66982	72.62847	8.95103	7.00749
7.28054	9.13924	1079.00765	7.49346	9.34760	48.56635	21.32778	1.00000	30.75681	42	9.57491	17.98807	9.15832	7.49166	7.61211	58.16837	9.59407	5.27040
5.74670	6.81648	1062.34925	8.67483	5.66490	61.31012	78.23456	0.00000	28.35273	28.92694	4.89473	17.41075	8.53922	8.83435	6.82121	38.42636	6.08199	5.69756
4.69314	5.26951	1143.98685	6.90698	9.69895	49.62094	10.03478	0.00000	27.34257	37.16911	6.88746	8.58240	9.20083	7.55527	6.15624	46.71026	6.19124	7.96303
4.56363	13.20298	1123.45173	7.22525	1.64240	58.89425	-77.70066	1.00000	56.51812	43.16547	7.88654	0.70916	5.22373	6.34878	5.45017	37.26363	5.52987	3.63546
6.87085	7.51383	1173.90087	7.47124	2.69782	47.01349	-74.73584	0.00000	54.89881	5.20856	10.23191	-3.41141	6.59586	5.97578	7.41624	62.99039	5.71947	4.08171
6.48528	5.51216	1167.34071	8.04869	1.98208	46.37239	3.55665	0.00000	31.23442	36.72544	6.72081	23.93143	7.11806	8.13986	7.43455	37.49043	6.91306	7.75170
6.66191	7.70572	1078.73177	7.64543	2.75609	30.26459	98.50893	1.00000	44.61086	16.68911	4.86365	25.54250	7.42969	6.90342	6.71585	46.78641	6.00671	7.96186
3.57760	10.43988	1141.99681	7.47992	4.28284	34.04602	71.57737	1.00000	38.03466	21.53889	11.63294	2.64354	8.10695	5.93019	6.60882	44.83807	7.82875	3.62910
5.54555	4.88463	1098.49828	9.34930	3.65293	57.00277	-1.99421	0.00000	54.14186	51.35084	8.29751	14.29465	7.93360	6.88978	7.37860	44.81435	6.71736	6.46862
6.21568	12.00612	1155.67326	8.13360	1.61835	37.22734	146.05093	1.00000	64.36137	-34.28853	5.55723	20.57199	6.43217	7.20063	5.72600	41.58917	6.44612	4.34560
	9.69097	1120.37479	6.93353	1.93954	29.37781	-75.60804	1.00000	39.92529	39.96097	5.81998	3.89278	6.86979	8.43302	6.42320	53.17959	6.27466	6.74191
4.44916	8.95606	1150.99373	7.83057	8.16911	45.88870	38.02486	1.00000	49.10973	55.64776	8.82787	-0.02353	9.07248	6.07524	6.91174	34.63356	4.52607	6.90818
6.58386	6.51055	1078.46522	8.84786	1.03618	51.18948	92.48278	0.00000	46.73348	58.23583	6.46366	16.80751	5.70350	9.59727	8.96334	59.03417	5.83570	5.99762
7.40576	9.97403	1145.18178	8.15720	33.33150	58.47283	78.27539	1.00000	66.73420	12.95629	3.03941	16.87351	10.54744	11.13039	7.22573	49.81503	4.40071	9.35532
6.52100	9.06655	1177.01811	8.22296	14.57871	55.27387	59.80222	1.00000	63.91173	58.63667	6.81154	13.85662	9.69094	5.35685	9.75857	52.36609	7.55790	4.16034
4.91791	8.12368	1126.36861	6.63191	2.90567	27.38496	18.28333	1.00000	41.35107	59.33333	10.58476	7.98581	7.24160	11.37620	7.69352	61.34220	6.19227	5.57858
6.23534	6.75208	1120.75412	7.54479	1.46187	40.40104	27.25	0.00000	44.89723	42.7	6.04928	-3.62875	6.19532	9.61311	8.23615	54.22037	6.54323	4.87911
7.11457	7.88385	1195.75555	6.98574	8.01605	49.63850	32.86389	1.00000	52.33625	53.95278	7.51540	10.78701	9.08312	8.34622	6.89304	61.52623	10.16986	4.92067
7.09893	10.94284	1052.91305	7.93353	12.17722	30.80635	27.46153	1.00000	59.77384	-21.44236	6.05831	29.28457	9.53657	8.23434	9.23957	37.70724	5.88371	6.19462
6.78774	8.73749	1169.97946	7.24254	12.41677	58.11953	-74.01042	1.00000	73.35636	41.50343	9.23332	19.08626	9.50837	8.76460		40.27083	8.34251	7.33996
6.38193	8.95508	1112.36609	8.52076	3.94466	42.16102	11.412	1.00000	52.30997	45.50369	5.69983	9.02769	8.16838	6.17549	8.95151	38.48630	6.65197	6.59676
7.78109	8.07782	1104.98569	8.02835	1.65432	44.45227	33.72798	1.00000	18.06594	53.53395	8.99867	12.83080	7.07975	9.72977	6.91209	88.60901	7.83083	7.32089
3.28554	6.55058	1108.60533	6.78475	0.81935	53.70811	-72.22625	0.00000	57.44977	18.57677	4.78845	19.03650	5.83414	9.66703	5.78139	53.04268	5.00900	4.17949
8.86128	6.69301	1167.66101	7.86883	1.50115	53.51014	-39.25	0.00000	63.25912	-12.91667	8.41905	13.51273	6.56320	5.78371	7.37914	47.16027	8.69784	6.56680
6.01564	6.63271	1150.34357	7.08350	4.89929	43.55662	-99.32556	0.00000	53.36870	19.32889	6.79724	12.20808	8.41709	9.61062	7.90996	37.08549	4.85059	5.56189
6.22143	7.73735	1186.56024	8.58870	5.82786	51.08939	-94.74049	1.00000	43.45960	32.5007	4.99021	20.09008	8.46237	5.04177	7.42517	33.54874	6.66336	5.85601
8.41533	8.18183	1088.07672	8.63959	1.31995	73.26380	139.6853	0.00000	36.15967	35.815	7.36026	22.99916	5.47307	10.00823	7.33275	52.00054	9.18185	8.04932
4.89120	9.22992	1186.36527	6.62252	1.43012	43.82561	-97.90308	1.00000	34.25977	31.12406	7.81306	28.62848	5.22957	6.23708	8.55714	59.15426	9.88374	5.74652
2.83963	5.84592	1076.90351	7.95794	20.93103	50.36695	38.94324	0.00000	54.05815	44.98901		23.89621	10.06089	7.32489	7.43050	57.54399	5.51103	5.16589
4.42786	8.50070	1186.91674	9.75278	2.53496	80.11357	-74.07764	1.00000	54.16249	40.72816	10.79983	-12.41390	6.59654		6.82144	49.49989	7.07786	6.06224
6.54378	4.50430	1067.09145	5.71887	1.51431	50.76036	-9.24671	0.00000	65.11939	38.72706	5.70534	11.87728	6.26956	9.23072	7.14931	68.48954	6.46791	7.27537
5.55160	7.15869	1114.01542	4.81943	8.92081	55.96961	-2.98333	0.00000	69.80415	53.83333	7.80811	33.63024	9.12914	7.19109	7.61920	55.57128	5.66532	6.79425
5.38270	9.45803	1152.93180	8.79016	7.32596	36.21220	-86.58208	1.00000	67.63758	13.48082	10.25435	5.94908	8.81340	9.77893	6.46751	26.93078	8.63550	4.13245
6.17589	6.33372	1168.24890	6.35743	2.47507	52.03264	19.61222	0.00000	52.95464	44.97639	9.72908	22.06363	7.25113	8.44527	7.35040	46.26027	6.73884	4.48224
5.44177	5.55882	1108.09235	6.74643	2.88423	65.49354	-73.75335	0.00000	36.20195	45.4473	9.94575	34.62086	8.00748	7.36493	5.20273	46.00650	6.50790	6.44016
6.17757	9.20595	1154.18091	7.97569	3.03012	33.10830	76.12647	1.00000	43.64992	32.55531	6.46243	7.70872	7.38402	5.26040	7.84705	23.89060	7.12462	4.90820
5.76823	6.86088	1055.95306	8.13847	1.22010	64.15992	82.85749	0.00000	73.21750	17.54907	5.32549	7.21446	6.88013	11.53345	7.68097	55.29834	5.05631	4.30603
7.60626	8.48104	1076.55971	11.59740	5.51546	57.57268	-58.44417	1.00000	44.29153	-3.14306	4.36327	14.07808	8.75659	5.61729	6.10172	33.20078	8.30782	5.10930
5.89601	8.24688	1194.04444	5.84286	1.28923	54.52882	-73.26022	1.00000	59.67752	6.46838	7.48577	11.19585	5.35522	5.03823	9.31042	66.00182	6.01223	6.38249
7.41168	9.52148	1058.37334	6.73343	3.36780	42.00093	-74.96933	1.00000	49.08361	39.71734	8.24149	15.19015	7.69636	8.18122	7.22814	39.85443	10.49456	6.11861
8.58715	7.43272	1158.02228	8.04454	3.90947	59.16377	13.32127	1.00000	41.37278	52.59319	9.24327	14.12887	8.07630	12.14881	8.61493	55.31359	7.05025	8.06562
5.64594	9.14070	1190.56350	7.30878	4.61531	33.77509	-117.14392	1.00000	53.44098	32.9156	11.63623	32.40336	8.21208	10.68623	6.26364	87.92626	6.95195	4.92495
4.44541	6.14582	1163.70156	8.35627	2.63540	36.14174	-65.61427	0.00000	30.04629	-27.4338	4.57730	10.99942	7.55444	10.35347	7.48041	28.45813	3.93689	4.30460
6.34067	9.12940	1072.51555	8.76226	2.76877	58.25432	-119.27337	1.00000	41.82650	50.26729	5.59775	17.14801	7.36177	7.27359	7.74260	19.06123	5.94991	6.42529
6.05082	8.51376	1070.09824	9.07272	4.04994	69.68500	-117.14392	1.00000	43.69965	32.9156	6.59595	20.74692	8.30249	5.31961	6.10303	63.10013	6.77416	5.62807
5.66216	5.49803	1196.20679	10.01245	2.30921	44.29161	55.4504	0.00000	52.36693	-20.88231	4.06020	7.59721	6.74573	10.12490	5.84466	50.39068	6.30640	6.24366
5.95850	7.46091	1087.16238	6.59846	2.55468	30.03748	5.16108	0.00000	44.99510	48.77275	10.70380	8.27934	7.54663	4.93365	6.75646	52.92520	6.28058	4.91456
	8.84792	1050.69824	8.52526	1.30682	39.45329	38.16694	1.00000	62.80424	54.84444	3.82985	19.73968	6.94457	7.95758	7.70296	43.36834	7.55578	6.64965
6.83372	9.80419	1122.31281	7.04532	6.23156	61.94045	2.31889	1.00000	60.11098	35.21222	8.49497	9.70275	8.44224	9.93655	6.98629	54.35437	9.52864	5.85201
8.90385	8.57341	1164.83659	7.55732	1.01619	33.69890	57.3552	1.00000	65.33080	51.4781	7.43432	12.18602	6.35894	8.44466	6.99937	51.87931	11.56260	6.37893
6.79662	8.82327	1077.31700	7.36749	7.72789	50.35094	13.10984	1.00000	59.49641	51.30001	5.16637	2.68413	8.93809		8.32982	45.83109	6.76033	6.43356
5.04659	9.14222	1140.77172	8.06517	4.02418	55.26301	-73.02841	1.00000	61.64176	-36.9256	8.68563	8.09399	8.13472	11.12068	8.56477	51.59135	9.90058	5.81320
6.96932	6.82070	1108.30715	8.21949	2.43126	68.09630	15.00913	0.00000	34.93763	37.51803	6.37140	22.69641	6.69140	9.73425	7.38750	49.61560	5.63844	5.66784
6.08466	3.59574	1057.37077	8.95072	2.35766	39.06682	27.25	0.00000	59.78026	42.7	5.71120	20.00440	7.53910	9.33307	5.50368	45.37803	4.47161	8.44643
6.58555	9.39682	1134.97430	7.66357	5.33222	59.36695	27.18052	1.00000	49.42182	39.12074	8.90253	22.65153	8.54080	8.02119	8.86345	52.75903	8.54081	7.30220
6.00448	6.28056	1157.84845	8.20824	3.69280	72.47445	98.50893	0.00000	57.65284	16.68911	5.35422	1.24052	7.94913	9.91065	6.33738	33.58013	4.20906	5.16978
6.96512	9.67823	1066.78458	8.79384	1.35820	46.14116	-74.95472	1.00000	56.25522	10.98778	10.58638	-2.55945	6.13653	8.76668	9.09119	66.63624	8.77174	4.85501
5.05595	8.02175	1144.32402	7.53283	2.82194	43.65169	-82.00919	1.00000	72.68464	23.04419	7.24535	22.14658	7.80245	4.65158	8.11404	52.61485	5.86598	6.70376
5.29934	5.13705	1072.37935	6.10736	4.37301	34.93201	19.91667	0.00000	48.53142	-11.78333	6.39330	13.48397	7.99370	8.43088	7.90186	55.28352	5.21143	6.42210
6.16961	6.44710	1058.93047	8.23530	1.94561	58.83503	130.57211	1.00000	40.40514	45.75279	4.56980	17.26386	6.49807	7.01555	6.24044	58.82589	4.86281	9.60917
9.77577	7.96943	1050.08157	7.82538	3.33266	56.74994	-85.76942	1.00000	63.52967	39.78504	6.75258	-2.90997	7.88265	8.50231	7.39495	53.62624	10.79267	7.88159
