location	longitude	code	QoS	revision	latitude
Europe/Rome	7.60872	IT	excellent	08/18/2018, 00:00:00	43.78956
America/Detroit	-83.48216	US	maintenance	13 Jun 2021	42.30865
Europe/Istanbul	40.74357	TR	good	2014/08/31	37.31309
Asia/Shanghai	130.57211	CN	excellent	2020/08/07	45.75279
America/New_York	-77.55777	US	excellent	2015-03-17	37.52487
Asia/Vladivostok	133.42825	RU	accep	01/18/2013, 00:00:00	45.47885
America/Guayaquil	-79.00453	EC	good	07/09/2022, 00:00:00	-2.90055
Europe/Berlin	7.2278	DE	good	2018/03/19	50.64336
Africa/Lagos	3.64633	NG	good	2016/08/17	6.8485
Asia/Kolkata	79.5286	IN	accep	05 Nov 2012	29.22254
Europe/Paris	2.18967	FR	excellent	08 May 2015	48.8765
Europe/Volgograd	43.2379	RU	average	26 Jan 2020	50.06
Africa/Brazzaville	15.28318	CG	accep	2020-08-26	-4.26613
Asia/Karachi	68.49143	PK	accep	10/25/2021, 00:00:00	25.80565
America/Sao_Paulo	-47.1725	BR	good	01 May 2020	-22.57306
Europe/Paris	4.63031	FR	accep	2015/10/20	43.67681
Asia/Yangon	98.19151	MM	maintenance	04/22/2022, 00:00:00	14.0823
America/Mexico_City	-101.2591	MX	excellent	10/21/2013, 00:00:00	21.01858
America/Chicago	-94.74049	US	excellent	2020/04/07	32.5007
America/New_York	-84.50855	US	average	07/10/2014, 00:00:00	39.08367
Europe/Moscow	46.10925	RU	accep	03/29/2021, 00:00:00	43.35071
Europe/Kiev	33.34864	UA	accep	2020-04-11	46.75451
Europe/Berlin	11.32903	DE	maintenance	2017-07-04	50.9803
Europe/Zaporozhye	36.25361	UA	excellent	2015-03-21	47.48444
America/New_York	-73.0515	US	maintenance	17 Nov 2018	41.55815
Europe/Rome	7.60872	IT	good	07/28/2021, 00:00:00	43.78956
Europe/Moscow	43.83992	RU	good	2013/10/10	55.39485
Africa/Nairobi	34.11169	KE	average	2020/10/29	0.46005
Europe/Paris	2.2469	FR	building	2021-02-07	48.90472
Europe/Paris	4.7934	FR	building	2021/11/23	45.69558
America/Denver	-105.11221	US	average	2013/12/14	39.57582
America/New_York	-74.96933	US	average	27 Jan 2014	39.71734
Australia/Melbourne	145.06667	AU	excellent	05/15/2018, 00:00:00	-37.88333
America/Vancouver	-119.27337	CA	building	2013-05-12	50.26729
Asia/Jakarta	110.8405	ID	maintenance	05 Nov 2013	-6.8048
America/Menominee	-88.64235	US	average	2013/03/16	46.09273
Europe/Berlin	10.5511	DE	excellent	2020/11/06	52.47774
Europe/Moscow	43.91385	RU	average	30 Jun 2014	54.03876
Africa/Casablanca	-5.22126	MA	excellent	2022/03/27	33.43443
America/Los_Angeles	-122.39168	US	accep	05/02/2019, 00:00:00	40.58654
Asia/Kolkata	73.66633	IN	good	2014/05/19	25.92493
Asia/Manila	122.8637	PH	acceptable	03 Dec 2015	9.3337
Asia/Seoul	128.62667	KR	average	2021/01/11	34.8825
America/Guayaquil	-79.59415	EC	average	06/16/2013, 00:00:00	-2.13404
Australia/Sydney	151.08057	AU	maintenance	2018/02/17	-33.79176
America/Argentina/Tucuman	-65.61427	AR	excellent	26 Feb 2017	-27.4338
Asia/Tokyo	135.31667	JP	good	2017/07/09	34.25
Asia/Kolkata	74.4818	IN	building	2016-05-22	30.21121
Europe/Berlin	13.10984	DE	good	2014/10/24	51.30001
Europe/Lisbon	-7.32097	PT	good	15 Apr 2018	41.1053
Europe/Amsterdam	5.58472	NL	maintenance	05/18/2022, 00:00:00	52.14
Europe/Belgrade	22.53083	RS	average	11/11/2020, 00:00:00	44.22639
Europe/Tallinn	28.19028	EE	average	2020-07-23	59.37722
Europe/Berlin	11.34046	DE	good	2016/09/25	50.72043
Europe/Madrid	2.35739	ES	accep	06/07/2014, 00:00:00	41.63976
Asia/Manila	124.3697	PH	maintenance	13 Jan 2014	9.6531
Asia/Kolkata	88.18466	IN	accep	2013/10/05	22.19303
Asia/Kolkata	77.9129	IN	maintenance	05/18/2014, 00:00:00	25.6439
Europe/Vilnius	24.75	LT	average	09/05/2013, 00:00:00	55.25
America/Panama	-79.62098	PA	average	05/02/2019, 00:00:00	9.15093
Europe/Paris	2.2469	FR	good	10/24/2015, 00:00:00	48.90472
America/Recife	-35.03333	BR	accep	2015/11/29	-8.28333
Asia/Taipei	119.58627	TW	average	2022-09-23	23.5654
Asia/Kolkata	85.83334	IN	accep	04/10/2013, 00:00:00	20.88197
Asia/Shanghai	117.65694	CN	good	10/16/2021, 00:00:00	36.19278
America/Argentina/Buenos_Aires	-58.70072	AR	good	22 Aug 2017	-34.74785
Asia/Manila	121.12251	PH	excellent	2020-03-17	14.62578
Europe/Istanbul	27.18052	TR	building	24 Sep 2017	39.12074
Atlantic/Azores	-25.66689	PT	average	01/27/2021, 00:00:00	37.74615
America/Los_Angeles	-116.21677	US	good	2015-08-04	33.7207
Asia/Baku	48.87498	AZ	good	2020-01-10	38.45598
Africa/Tripoli	20.22625	LY	building	06/03/2014, 00:00:00	30.75545
America/Argentina/Ushuaia	-68.3	AR	excellent	27 Jul 2013	-54.8
Asia/Kolkata	74.4818	IN	good	02/19/2015, 00:00:00	30.21121
Australia/Sydney	150.99292	AU	accep	14 Mar 2022	-33.75881
Europe/Moscow	38.16694	RU	accep	10 Mar 2019	54.84444
Asia/Yekaterinburg	60.8019	RU	accep	2014/12/03	56.9083
America/New_York	-71.06616	US	good	23 Jan 2022	42.4251
Africa/Casablanca	-5.22126	MA	building	02/12/2017, 00:00:00	33.43443
America/Los_Angeles	-117.71978	US	excellent	02/13/2019, 00:00:00	34.09668
Europe/Paris	2.2469	FR	average	16 Oct 2012	48.90472
America/Sao_Paulo	-42.98194	BR	good	2018/09/03	-22.53722
America/Sao_Paulo	-47.53028	BR	building	08/12/2016, 00:00:00	-22.45667
Asia/Shanghai	120.33063	CN	maintenance	02/13/2020, 00:00:00	37.65181
Asia/Kuala_Lumpur	103.6032	MY	good	2014-01-21	1.6561
Europe/Paris	5.4384	FR	good	2014/01/18	43.2907
America/Los_Angeles	-122.24092	US	maintenance	2014/05/17	47.4943
Australia/Brisbane	153.10236	AU	maintenance	2015/12/02	-27.50578
Africa/Johannesburg	29.00974	ZA	average	12/16/2017, 00:00:00	-24.19436
Asia/Kolkata	78.55757	IN	average	09/19/2019, 00:00:00	17.34769
Asia/Almaty	84.87144	KZ	average	2019-05-06	47.46657
America/Denver	-111.99633	US	maintenance	2014/07/28	40.65995
Europe/London	-1.08593	GB	good	05 May 2019	50.79205
America/Los_Angeles	-118.25508	US	maintenance	2013-01-24	34.14251
Asia/Yerevan	44.7662	AM	average	08 Nov 2014	40.49748
Asia/Kolkata	88.18466	IN	building	2017/12/19	22.19303
Africa/Lagos	12.19458	NG	maintenance	2013-08-27	10.61285
America/Indiana/Indianapolis	-86.11084	US	excellent	2016/12/05	41.75338
Europe/Berlin	8.77069	DE	accep	2018-04-29	50.80904
America/Bogota	-75.87877	CO	good	09/20/2014, 00:00:00	5.6561
America/Caracas	-70.20749	VE	accep	2018-09-15	8.62261
Europe/Berlin	8.86704	DE	maintenance	2021-04-03	50.23805
Europe/Lisbon	-7.32097	PT	excellent	2014-05-18	41.1053
Africa/Lagos	4.74161	NG	average	2020/06/21	7.62789
America/New_York	-84.20299	US	excellent	2015/08/28	39.43534
Asia/Bishkek	73	KG	accep	12 Jul 2022	40.93333
Asia/Tokyo	136.61667	JP	accep	06/12/2022, 00:00:00	36.53333
Asia/Jerusalem	34.86563	IL	accep	2019-12-18	31.92923
Pacific/Auckland	178.00417	NZ	average	04 Sep 2013	-38.65333
Africa/Johannesburg	30.79165	ZA	excellent	2017/01/04	-27.76952
America/Lima	-76.70944	PE	average	2017/11/16	-11.94306
Europe/Moscow	38.02486	RU	average	2017/09/16	55.64776
Asia/Tokyo	136.51667	JP	excellent	08/02/2019, 00:00:00	35
America/Chicago	-97.92977	US	average	2020-12-27	38.06084
Australia/Sydney	146.05093	AU	good	01/11/2019, 00:00:00	-34.28853
America/Chicago	-91.77127	US	excellent	07/30/2016, 00:00:00	37.95143
Asia/Tbilisi	41.77921	GE	building	27 Sep 2022	41.82143
Asia/Yekaterinburg	59.4839	RU	good	2019-08-13	58.7002
Asia/Shanghai	115.04814	CN	average	03 Jan 2022	30.24706
Asia/Kolkata	74.4818	IN	building	14 Feb 2022	30.21121
Africa/Johannesburg	30.79165	ZA	accep	2016/04/25	-27.76952
Asia/Yekaterinburg	76.92421	RU	accep	2013/03/17	60.97944
Asia/Manila	124.84472	PH	maintenance	04/17/2022, 00:00:00	10.13361
America/Managua	-86.19903	NI	accep	04/05/2015, 00:00:00	11.84962
America/Chicago	-97.54667	US	maintenance	2013/06/14	30.5427
Europe/Kiev	30.96755	UA	maintenance	2021-09-13	49.07866
Europe/Moscow	37.99117	RU	excellent	2022-04-25	44.92934
Europe/Kiev	33.9162	UA	good	02 Mar 2019	51.67822
America/Chicago	-97.90308	US	accep	2013-09-24	31.12406
Asia/Kolkata	84.63445	IN	excellent	2013-06-16	24.81757
Asia/Jakarta	98.6738	ID	excellent	2014-08-26	3.7278
America/Bogota	-74.95472	CO	accep	2015/01/16	10.98778
Europe/Belgrade	19.61222	RS	building	2018/09/07	44.97639
Asia/Tbilisi	41.77921	GE	good	2018/08/21	41.82143
Africa/Lagos	5.06258	NG	excellent	05 Aug 2019	7.50251
Africa/Libreville	13.58357	GA	average	19 Jan 2019	-1.63333
Africa/Tunis	10.78222	TN	building	2013/07/26	36.46917
Europe/Moscow	37.49338	RU	building	2020-02-05	55.62047
America/Lima	-69.08333	PE	building	13 Mar 2019	-16.25
Australia/Sydney	146.05093	AU	accep	2017/05/24	-34.28853
America/New_York	-78.87836	US	accep	09/14/2017, 00:00:00	35.05266
Africa/Dar_es_Salaam	37.73333	TZ	average	2017/10/27	-4.06667
America/Santo_Domingo	-71.10077	DO	maintenance	06/28/2018, 00:00:00	18.20854
Africa/Addis_Ababa	37.55	ET	good	2021-08-19	6.03333
Asia/Kolkata	75.37991	IN	good	2014-12-17	25.75728
America/New_York	-77.55777	US	accep	2018/12/04	37.52487
Africa/Dar_es_Salaam	39.28333	TZ	accep	07/07/2013, 00:00:00	-10.33333
Asia/Kolkata	84.63445	IN	building	2013-07-29	24.81757
Europe/Brussels	3.16667	BE	good	31 Jan 2018	50.8
America/Managua	-86.19903	NI	accep	2016-09-01	11.84962
Europe/Warsaw	16.86194	PL	average	2015/12/28	54.58048
Asia/Tokyo	141.95	JP	good	08 Jul 2013	39.46667
America/Sao_Paulo	-51.50361	BR	accep	2022-03-20	-29.2975
Asia/Tokyo	129.96972	JP	good	09/26/2013, 00:00:00	33.4425
Asia/Shanghai	115.04814	CN	average	2015/07/26	30.24706
Asia/Karachi	71.67164	PK	excellent	2019-10-10	30.29184
America/New_York	-74.07764	US	average	15 Jun 2021	40.72816
America/Lima	-75.11028	PE	excellent	31 Oct 2021	-15.21194
Asia/Kolkata	78.25795	IN	accep	21 Feb 2013	9.82564
Asia/Seoul	126.665	KR	good	2019-04-08	36.6009
America/Argentina/Buenos_Aires	-59.13316	AR	excellent	10/26/2016, 00:00:00	-37.32167
Europe/London	-2.58736	GB	accep	08/03/2019, 00:00:00	56.56317
Asia/Irkutsk	107.60627	RU	building	05 Jun 2015	51.82721
Asia/Kolkata	74.83554	IN	excellent	2013-04-06	14.62072
Europe/Moscow	40.17171	RU	excellent	09/15/2016, 00:00:00	58.1908
America/Toronto	-73.75335	CA	average	09/12/2020, 00:00:00	45.4473
Africa/Lagos	4.92235	NG	accep	08/24/2021, 00:00:00	7.65649
Asia/Tashkent	72.34424	UZ	accep	01/23/2014, 00:00:00	40.78206
Africa/Johannesburg	29.24152	ZA	maintenance	2015/11/20	-26.93366
Europe/Berlin	9.22796	DE	good	2019/12/07	48.46458
America/Los_Angeles	-117.14392	US	accep	05 Nov 2014	32.9156
Asia/Shanghai	130.57211	CN	average	10/17/2012, 00:00:00	45.75279
Asia/Ulaanbaatar	106.88324	MN	good	09 Oct 2017	47.90771
Africa/Dar_es_Salaam	39.25	TZ	building	07/29/2021, 00:00:00	-6.8
Europe/Berlin	13.10984	DE	average	2019/02/18	51.30001
Indian/Reunion	55.4504	RE	average	2014/08/07	-20.88231
Europe/Madrid	1.10687	ES	good	10/21/2012, 00:00:00	41.15612
Asia/Shanghai	126.28333	CN	building	07/26/2019, 00:00:00	45.35
America/Santiago	-70.6996	CL	excellent	05/10/2015, 00:00:00	-33.59217
Africa/Algiers	2.95924	DZ	accep	07 Sep 2016	36.76775
Europe/Moscow	39.8302	RU	good	2021/06/30	64.5635
America/New_York	-74.13653	US	good	2021/02/07	40.63316
Asia/Dhaka	89.11943	BD	accep	2014/12/18	23.9028
America/Bogota	-73.9614	CO	excellent	06 May 2021	10.15031
Asia/Manila	124.84472	PH	average	01/12/2021, 00:00:00	10.13361
America/Indiana/Indianapolis	-85.76942	US	average	05/14/2016, 00:00:00	39.78504
Europe/London	0.30367	GB	accep	12/22/2015, 00:00:00	51.38673
Europe/Paris	2.44892	FR	excellent	2014-08-28	48.98693
Asia/Jakarta	98.6738	ID	accep	10/01/2012, 00:00:00	3.7278
America/Los_Angeles	-118.10583	US	maintenance	2020-01-25	34.09611
Asia/Makassar	117.59152	ID	accep	2013/06/03	3.31332
Europe/Prague	13.63617	CZ	building	2021/09/02	50.50301
Europe/Moscow	37.99117	RU	average	2013-12-01	44.92934
Europe/Berlin	9.47629	DE	maintenance	09/26/2022, 00:00:00	53.59337
Europe/Vienna	16.4	AT	accep	05 Jun 2015	48.25
Europe/Moscow	38.02486	RU	building	02/16/2018, 00:00:00	55.64776
Indian/Antananarivo	44.53333	MG	good	2017/02/21	-22.9
Asia/Jakarta	112.01667	ID	good	2017-02-03	-7.81667
Asia/Tokyo	129.96972	JP	excellent	29 Apr 2021	33.4425
Europe/Berlin	9.85	DE	average	02/06/2021, 00:00:00	53.63333
Europe/Zaporozhye	36.25361	UA	excellent	2019/03/13	47.48444
Europe/Rome	14.72443	IT	accep	11/22/2012, 00:00:00	36.92574
Asia/Shanghai	117.55417	CN	excellent	04/15/2018, 00:00:00	34.86472
Europe/Madrid	3.1631	ES	excellent	2012/12/31	41.91738
America/Toronto	-73.75335	CA	accep	05/07/2022, 00:00:00	45.4473
America/Caracas	-67.33122	VE	good	2015-11-28	10.22677
Asia/Jerusalem	34.8732	IL	average	2018-09-09	32.05971
Europe/Berlin	6.51352	DE	good	29 Sep 2016	51.19139
America/Martinique	-60.94228	MQ	building	2018-01-13	14.67751
Europe/Moscow	46.5813	RU	average	03/15/2020, 00:00:00	54.8421
Europe/London	1.15597	GB	building	02/03/2013, 00:00:00	51.78967
Asia/Tokyo	137.95378	JP	maintenance	2017/06/04	35.82756
America/Havana	-80.58556	CU	building	2013/02/19	22.98212
Asia/Kolkata	78.25795	IN	excellent	12/01/2019, 00:00:00	9.82564
Asia/Kolkata	86.59611	IN	excellent	2019-10-29	25.87498
Asia/Tokyo	135.21667	JP	building	2018-09-11	35.06667
Europe/Paris	1.00288	FR	average	24 Aug 2013	49.28669
Asia/Seoul	126.665	KR	excellent	2021/08/08	36.6009
America/Costa_Rica	-85.43772	CR	average	02/07/2022, 00:00:00	10.63504
Asia/Tokyo	137.4	JP	average	2013/02/24	34.81667
Asia/Yekaterinburg	65.27258	RU	excellent	24 Mar 2020	58.04254
America/New_York	-84.67837	US	excellent	29 May 2019	34.06635
Asia/Kolkata	76.0586	IN	excellent	12/27/2013, 00:00:00	16.06213
America/Cuiaba	-52.35558	BR	accep	20 Dec 2016	-14.66463
Europe/Andorra	1.53414	AD	average	06/22/2014, 00:00:00	42.50729
Africa/Cairo	29.91582	EG	average	2019-07-24	31.20176
Asia/Kolkata	77.5609	IN	excellent	25 May 2019	11.00599
America/New_York	-82.46148	US	maintenance	17 Apr 2021	28.15112
Europe/Kiev	25.34244	UA	average	2017/11/06	50.75932
America/New_York	-77.96389	US	maintenance	19 Sep 2015	39.45621
Asia/Taipei	119.58627	TW	average	01/21/2022, 00:00:00	23.5654
Asia/Kolkata	74.3092	IN	excellent	2020-09-20	33.37526
America/New_York	-84.20299	US	good	01/28/2013, 00:00:00	39.43534
Asia/Kolkata	76.12647	IN	good	07 Nov 2016	32.55531
Africa/Lubumbashi	29.47306	CD	good	11 Sep 2017	0.49113
America/Mexico_City	-96.72365	MX	excellent	07/20/2020, 00:00:00	17.06542
Asia/Shanghai	122.20488	CN	good	02 Jul 2013	29.98869
America/Los_Angeles	-122.24092	US	accep	2015/09/29	47.4943
Europe/Rome	8.88104	IT	maintenance	01/10/2015, 00:00:00	45.79377
Asia/Kolkata	77.5609	IN	building	2022-06-07	11.00599
Europe/London	-0.91979	GB	accep	2019-01-02	51.42708
Europe/Paris	5.16108	FR	maintenance	17 May 2018	48.77275
America/Puerto_Rico	-67.15407	PR	good	2019/08/15	18.42745
Africa/Dar_es_Salaam	38.01667	TZ	good	01/12/2022, 00:00:00	-5.41667
Asia/Jakarta	98.6738	ID	excellent	27 Jan 2018	3.7278
Europe/Stockholm	18.28333	SE	good	2014/11/05	59.33333
Asia/Kolkata	77.9129	IN	accep	07/28/2022, 00:00:00	25.6439
Europe/Amsterdam	5.74861	NL	accep	04/06/2017, 00:00:00	52.71083
Asia/Kolkata	76.0586	IN	excellent	2015-01-06	16.06213
America/Chicago	-93.263	US	average	2018/07/03	45.0408
Asia/Tashkent	69.67639	UZ	accep	2018-05-09	41.29444
Europe/Rome	15.00913	IT	good	07 Mar 2013	37.51803
Asia/Jakarta	106.85417	ID	maintenance	2014/02/25	-6.48167
Europe/Amsterdam	5.23333	NL	good	11/01/2017, 00:00:00	52.09
Africa/Dar_es_Salaam	39.25	TZ	average	2015-06-01	-6.8
America/El_Salvador	-89.10944	SV	maintenance	03/14/2016, 00:00:00	13.70167
Asia/Kolkata	72.93924	IN	excellent	06/10/2013, 00:00:00	18.87813
Asia/Jakarta	110.8405	ID	average	08/09/2017, 00:00:00	-6.8048
Asia/Shanghai	122.08333	CN	maintenance	13 Dec 2016	46.08333
America/Chicago	-87.66561	US	average	08/18/2013, 00:00:00	41.8542
Europe/Berlin	8.96317	DE	accep	26 Jul 2015	48.35149
Europe/Berlin	10.30215	DE	good	19 Feb 2018	53.94313
Europe/Warsaw	16.86194	PL	maintenance	2016-12-25	54.58048
Europe/Moscow	37.92792	RU	maintenance	2020/11/28	53.93361
Asia/Kolkata	73.06784	IN	excellent	06/11/2018, 00:00:00	25.13915
Africa/Accra	-1.4001	GH	excellent	2020/12/02	7.06273
Europe/Rome	13.39954	IT	good	2014/06/23	43.62558
Africa/Lagos	9.0027	NG	accep	26 Jan 2018	11.86064
America/New_York	-82.61573	US	excellent	21 Jul 2019	41.24255
America/Mexico_City	-103.5687	MX	building	2018/08/15	20.22816
Africa/Abidjan	-5.682	CI	maintenance	07/13/2014, 00:00:00	5.84752
Europe/Brussels	4.21372	BE	building	2015/02/09	51.12794
America/Panama	-79.62603	PA	maintenance	27 Nov 2019	8.88988
Asia/Yangon	98.19151	MM	average	01/16/2021, 00:00:00	14.0823
America/New_York	-73.99681	US	excellent	06/08/2013, 00:00:00	40.94065
Asia/Kolkata	78.23456	IN	maintenance	2017/10/26	28.92694
Asia/Jakarta	104.09701	ID	maintenance	2014-10-21	-1.26424
Europe/Paris	5.03586	FR	maintenance	19 Apr 2021	43.83125
America/Chicago	-97.54667	US	accep	2018-09-25	30.5427
Africa/Freetown	-13.2356	SL	good	2018-04-02	8.48714
America/New_York	-72.86843	US	accep	2016/01/03	41.27621
America/Bogota	-73.26022	CO	excellent	2020/04/15	6.46838
Asia/Tokyo	139.6853	JP	average	2021-12-30	35.815
Africa/Monrovia	-8.53778	LR	average	12 Jun 2018	7.57944
America/Chicago	-97.90308	US	accep	03/04/2021, 00:00:00	31.12406
Europe/Moscow	43.63417	RU	average	05 Jun 2021	43.96222
Europe/Minsk	25.8191	BY	building	2021/04/22	53.5942
America/Bogota	-77.03116	CO	good	11/05/2012, 00:00:00	3.8801
America/Indiana/Indianapolis	-85.76942	US	good	2018-12-01	39.78504
Asia/Shanghai	111.50861	CN	good	2019-07-19	32.54278
Europe/Berlin	12.16179	DE	average	09 Apr 2022	48.52961
Africa/Dar_es_Salaam	37.73333	TZ	accep	04/07/2020, 00:00:00	-4.06667
Asia/Tokyo	138.31667	JP	average	2018/03/19	36.65
America/New_York	-73.0515	US	excellent	2020-03-31	41.55815
America/Fortaleza	-41.45861	BR	average	10/26/2021, 00:00:00	-4.42472
Africa/Algiers	2.31889	DZ	average	10/07/2017, 00:00:00	35.21222
America/Merida	-89.66123	MX	average	2022-01-23	21.28306
Europe/Berlin	7.02238	DE	excellent	2017/06/02	52.21099
America/New_York	-77.96389	US	good	09/07/2016, 00:00:00	39.45621
Europe/Madrid	-0.76773	ES	accep	2018/10/13	38.38479
Europe/Rome	14.30935	IT	excellent	2013-04-09	40.92298
Europe/Berlin	9.17702	DE	accep	2015-05-14	48.78232
Europe/Sofia	24.71204	BG	excellent	14 Aug 2022	41.57439
America/Lima	-75.11028	PE	accep	2018-07-15	-15.21194
America/Los_Angeles	-116.37697	US	accep	10/02/2014, 00:00:00	33.72255
Europe/Moscow	34.33825	RU	good	05 Mar 2019	53.59782
Asia/Shanghai	117.55417	CN	maintenance	20 Feb 2021	34.86472
America/Sao_Paulo	-51.87389	BR	accep	08/02/2020, 00:00:00	-23.44361
Europe/Paris	2.61667	FR	excellent	2014/08/16	48.98333
Asia/Colombo	79.883	LK	excellent	16 Dec 2013	6.9909
Asia/Tokyo	129.96972	JP	maintenance	2016/10/08	33.4425
America/Los_Angeles	-118.10583	US	good	30 May 2015	34.09611
Europe/Rome	13.39954	IT	good	2022-07-18	43.62558
Europe/Paris	5.03586	FR	accep	2017/03/23	43.83125
America/Panama	-79.62603	PA	accep	11/26/2020, 00:00:00	8.88988
Europe/Volgograd	43.2379	RU	maintenance	02/04/2019, 00:00:00	50.06
America/Sao_Paulo	-49.27306	BR	excellent	2015/12/30	-25.42778
America/Chicago	-91.73625	US	maintenance	12/20/2019, 00:00:00	35.25064
Asia/Manila	121.3152	PH	accep	2016/07/25	14.14989
Europe/Brussels	4.21372	BE	excellent	07/12/2014, 00:00:00	51.12794
America/Los_Angeles	-117.79394	US	excellent	2019-11-27	33.76446
America/Mexico_City	-100.44843	MX	good	2017-04-03	20.74122
Europe/Berlin	7.11393	DE	accep	2018-07-08	51.08468
Asia/Jakarta	109.3243	ID	accep	2017-02-07	-7.0981
Asia/Shanghai	111.73861	CN	accep	2019/01/31	35.20889
America/Chicago	-87.88754	US	good	2017/08/19	41.15376
Europe/Sofia	27.25	BG	good	2016/04/13	42.7
Europe/Skopje	21.32778	MK	maintenance	07/27/2021, 00:00:00	42
America/Managua	-86.58208	NI	maintenance	01 Apr 2015	13.48082
Europe/Vilnius	24.75	LT	good	04/26/2013, 00:00:00	55.25
Asia/Kolkata	77.70636	IN	excellent	12/07/2012, 00:00:00	28.98002
Europe/London	-2.12139	GB	accep	2022-08-26	52.48173
America/New_York	-77.96389	US	accep	2018-04-16	39.45621
America/Costa_Rica	-84.13722	CR	excellent	2012-12-07	9.92787
America/Chicago	-97.54667	US	excellent	05/16/2015, 00:00:00	30.5427
Asia/Manila	122.9666	PH	average	05/29/2018, 00:00:00	10.7375
Europe/Istanbul	27.18052	TR	average	01/27/2020, 00:00:00	39.12074
Asia/Kolkata	77.5609	IN	maitennce	05/09/2018, 00:00:00	11.00599
America/Bogota	-72.47417	CO	accep	09/16/2022, 00:00:00	7.83389
Asia/Tokyo	137.4	JP	average	2016-07-29	34.81667
Asia/Tokyo	135.21667	JP	good	04/05/2014, 00:00:00	35.06667
America/Santiago	-73.02841	CL	accep	2016/02/15	-36.9256
Europe/Andorra	1.53414	AD	good	14 Mar 2014	42.50729
Europe/London	-5.53715	GB	good	12/27/2019, 00:00:00	50.11861
Asia/Kolkata	77.40858	IN	average	2021-10-02	24.05979
