PAHs	PM10	C2H3NO5	O3	NH3	Pb	PRES	CFCs	longitude	SO2	latitude	NOx	warning	CO	CH4	PM2.5	H2CO	TEMP
6.34785	8.68944	1.85022	11.10156	7.76616	48.43808	1182.37469	81.29582	-74.07764	8.98572	40.72816	7.21816	0.00000	8.15111	8.71765	10.72186	64.96373	10.38631
5.80344	9.10699	2.66492	10.88279	7.93612	42.60468	1091.10828	75.32867	-38.94722	12.20007	-15.675		1.00000	8.73043	9.19140	7.18728	38.33272	28.05456
9.48576	10.81017	14.56501	5.42837	10.12989	47.90045	1136.90159	84.46195	65.93249	7.65550	36.21544	7.64347	1.00000	7.11146	11.30807	8.45008	47.33539	20.97061
8.12191	7.77486	1.08389	5.87102	10.00616	76.46086	1163.09197	73.58487	1.6	6.11179	43.11667	7.26738	1.00000	9.71854	9.21432	11.45726	48.03045	16.52925
7.78435	9.29875	3.26781	7.95302	9.21423	48.86976	1178.72171	70.36930	13.44275	7.13121	38.07789	7.22936	1.00000	8.90262	7.65616	12.02929	37.07593	14.49108
7.86927	8.40463	1.32734	10.93135	9.00022	61.44263	1145.82742	67.33111	-7.95	10.10695	53.43333	9.94640	0.00000	10.04364	10.00630	10.67137	63.04903	7.04651
10.28710	9.50119	4.07680	6.61272	8.19660	44.01549	1080.94329	55.47698	38.01667	7.57688	-5.41667	7.82833	1.00000	7.82169	9.96263	11.26252	45.04600	21.69267
10.12248	8.78655	2.10841	6.07136	8.98324	24.37979	1083.22314	67.80188	116.11768	7.61200	24.28859	7.36408	1.00000	8.23244	9.43546	8.58829	41.25700	10.48126
10.08652	8.53979	1.76543	10.88918	9.79397	72.22346	1136.63282	70.75958	78.55757	7.37141	17.34769	10.47614	0.00000	7.13900	10.48002	7.96839	56.58220	23.35174
9.46974	10.35680	9.42682	10.04744	8.59502	54.94126	1113.51164	70.07427	68.88871	7.87535	25.95533	8.58331	1.00000	8.92675	10.24677	8.94136	34.84447	11.04976
7.73752	7.83697	0.72665	11.62072	8.66054	43.20356	1053.89359	59.68679	101.44167	10.27646	0.51667	10.43325	0.00000	7.01622	10.34078	11.60200	54.05242	8.66002
12.11366	8.91599	2.20847	7.36471	9.22405	51.73495	1120.13414	70.68252	0.30367	11.86207	51.38673	6.11219	1.00000	8.72241	9.81027	12.77434	70.02869	19.61519
6.73195	8.89844	2.60378	11.14667	8.23451	49.62911	1183.27127	68.79368	130.57211	12.19485	45.75279	11.41165	1.00000	8.32339	6.83446	6.69898	60.64759	10.20723
10.44982	8.57374	1.74330		8.91607	59.89319	1082.85940	74.81843	28.28489	7.20010	48.15659	9.12917	1.00000	8.50945	11.35077	10.65743	38.30255	18.63354
7.41055	8.72965	2.02077	9.73420	9.55501	51.47895	1185.26763	68.14199	57.3552	9.55617	51.4781	10.47113	1.00000	9.47543	8.18774	8.34629	57.57053	19.48218
9.72932	8.93953	2.56938	7.31556	8.76750	54.96047	1143.08234	81.77184	-76.99081	8.07269	38.96372	6.94480	1.00000	9.19285	11.33484	10.11936	77.07150	5.11706
7.08781	7.33810	0.48064	13.28368	8.05262	69.67698	1057.60985	64.53402	-86.57415	10.07780	15.48131	11.76190	1.00000	7.43163	8.00236	7.43421	38.49696	-8.20946
8.91238	7.87677	0.74407	9.27304	9.71837	51.79600	1050.03728	90.26339	-13.68778	10.92631	9.535	9.87130	0.00000	10.40948	9.57255	8.35662	58.89821	28.79866
6.93464	7.83436	0.78050	9.95314	8.38326	36.40886	1050.70385	81.67987	-71.10077	11.17965	18.20854	11.40067	1.00000	9.48654	5.76074	8.64202	51.22858	19.01248
7.87671	7.85228	0.78788	11.13106	11.72307	51.22163	1189.40769	71.47280	17.58522	8.90805	40.53123	8.78893	1.00000	8.57680	10.09788	7.72581	41.00985	26.63129
6.48589	7.48362	0.62037	9.53106	7.81590	49.75552	1063.90379	74.29046	-121.74052	10.37976	38.54491	10.01890	1.00000	9.08949	10.87671	10.13936	38.47615	8.44148
8.06697	9.36804	3.41051	10.87061	8.27032	38.78070	1151.94001	82.79762	-80.58556	8.72930	22.98212	9.37888	1.00000	8.34285	8.96031	7.91048	49.94608	20.24115
6.84999	7.62518	0.68245	9.03472	10.63959	73.16722	1130.83292	70.52048	-74.95472	10.41350	10.98778	10.51082	0.00000	7.97682	11.07112	8.97449	53.77084	23.01852
5.01548	7.45990	0.90360	12.86038	8.76887	59.86165	1056.61934	77.21218	-3.59625	10.91477	5.27247	9.55913	0.00000	8.07534	9.48179	11.46925	37.88827	19.63975
6.77233	7.10888	0.40948	9.36306	8.38558	57.69866	1125.74120	73.01438	-80.22588	9.55910	26.2173	9.35316	0.00000	8.72184	10.41609	10.06118	45.73190	8.06392
6.70988	9.82532	5.47590	11.95349	10.75425	38.25133	1135.29222	67.67409	3.64633	7.63668	6.8485	10.38926	1.00000	9.36540	9.91486	7.12522	38.50385	19.57926
5.14500	8.09135	1.34069	9.68547	9.72035	41.31199	1093.84254	79.04351	7.02238	9.99292	52.21099	9.65009	1.00000	9.64419	7.82984	6.62175	26.65234	25.65524
6.60724	8.51106	1.78014	4.68429	10.24122	49.99213	1105.99253	75.56604	-74.13653	4.64190	40.63316	6.16120	1.00000	10.65643	10.25138	7.38110	73.38238	24.35671
5.66342	8.56516	1.75301	9.37846	8.38468	55.53685	1103.90456	69.17957	-96.72365	13.25307	17.06542	11.58328	1.00000	9.91176	4.71269	7.86619	63.57513	28.25661
11.16154	9.08691	2.84860	5.05112	9.87370	47.73149	1187.01204	84.30008	-91.11667	6.91212	14.93333	9.54526	1.00000	8.27743	13.44713	9.01334	59.92736	-4.94641
6.46013	8.81987	2.11432	12.60558	8.86591	62.86248	1126.37127	73.63600	120.5875	9.64733	16.455	8.94292	0.00000	8.69619	9.87523	12.45334	70.92041	13.07480
8.20698	8.34508	1.51081	10.35202	8.11981	55.54199	1156.29061	66.54503	-2.98884	10.56771	43.32686	10.00790	1.00000	9.70313	7.25435	7.42174	52.27092	13.99177
9.02257	8.03042	1.43618	5.99667	8.51455	41.69142	1077.12733	69.62333	-82.4017	6.89356	23.0072	9.13877	1.00000	9.15027	11.32210	10.75166	41.25347	14.90658
10.11151	8.02765	1.16446	9.18514	10.21064	44.32213	1060.89806	71.39257	-3.05	11.81542	53.81667	10.36158	1.00000	7.71334	6.40801	10.59602	31.68704	12.50604
9.91759	8.50452	1.74075	7.26875	8.09565	51.99602	1129.07620	66.70690	-96.67834	6.69146	34.77453	7.72182	1.00000	8.42436	10.00840	10.14018	51.81173	30.22326
10.02647	9.80484	5.24448	10.46540	10.05887	58.51005	1130.62917	63.11333	65.93249	6.31685	36.21544	10.55859		9.49844	8.65898	8.23195	65.98502	21.20318
	7.50377	0.59679	9.81965	7.34763	75.92875	1103.23919	86.99351	-75.69947	10.65387	8.79577	9.08160	1.00000	7.08786	9.50109	6.43506	70.78146	-0.95567
10.62852	8.55910	1.49146	4.18668	7.58195	65.96250	1075.57509	77.09804	33.9162	9.22518	51.67822	6.62075	1.00000	8.67013	12.32670	8.66813	62.42170	13.01008
9.74480	7.27533	0.71766	9.23790	8.88028	46.08969	1052.62903	70.17075	73.85535	11.08650	18.51957	10.35697	1.00000	9.76124	5.14316	7.09282	68.75937	31.96811
9.99008	6.98953	0.41885	8.14002	8.72392	40.88044	1097.45122	61.01822	42.7125	5.68004	11.15583	8.54594	1.00000	7.69672	8.13750	10.41468	38.53089	30.61764
8.38521	7.38967	0.93461	12.18151	7.99468	35.67356	1172.12080	70.40394	-4.22398	10.74441	57.47908	9.81262	1.00000	8.85638	8.03069	9.25627	60.88413	19.02689
4.18902	8.50612	1.76047	12.54665	8.33338	51.71040	1168.55183	76.26503	117.65694	10.41800	36.19278	9.26946	0.00000	9.24018	10.08248	12.21212	54.22969	10.60215
5.59247	8.16351	1.07002	11.18329	9.06547	33.51853	1073.89864	60.98405	116.82887	10.26267	-1.26753	8.42682	0.00000	9.72209	9.38145	9.56066	35.33863	11.94260
8.05662	9.93605	6.26454	12.12023	8.01616	40.89875	1197.64066	73.10662	-4.0573	10.19177	55.82737	10.00982	0.00000	10.89021	9.85051	11.29753	50.82261	28.86595
9.02121	7.60989	0.78119	8.58857	8.24825	55.68297	1144.77012	77.25928	-2.98884	7.29436	43.32686	9.96761	0.00000	8.25970	10.69721	7.67729	55.08403	19.80664
6.71195	9.64669	4.64773	10.78448	8.83365		1193.96872	84.76393	76.35484	10.75796	10.10649	10.38589	0.00000	9.41738	9.59990	10.17629	57.08873	-5.03109
8.00025	9.36168	3.61353	11.77291	9.18595	31.95070	1171.66763	65.85926	120.5875	8.16500	16.455	10.21286	1.00000	8.58658	8.14112	9.00951	53.33118	31.51578
6.88568	9.15697		11.80335	9.97320	64.62168	1116.80952	67.66538	117.7	9.76045	35.85	9.08586	1.00000	9.28844	8.99783	7.82769	56.14525	15.52733
9.18462	8.28717	1.11988	11.21004	7.79630	83.56941	1101.08867	58.26186	-80.58556	5.55440	22.98212	9.70992	0.00000	8.37296	11.82737	6.67947	41.28104	27.22490
10.15769	7.59617	0.86113	7.14060	8.17631	40.25691	1172.61258	60.68186	-122.24092	7.29218	47.4943	8.13504	1.00000	8.71456	8.62093	10.56870	34.43150	13.89674
8.27327	9.70876	4.74251	7.80617	9.04132	59.51712	1105.37117	70.37603	2.95924	6.92754	36.76775	4.63851	1.00000	8.70999	7.69404	8.02068	63.25306	30.29438
9.81113	9.57211	4.22996	8.41609	7.80943	38.32834	1154.37526	69.27595	6.61944	7.97384	52.57583	8.19438	1.00000	9.27409	10.27213	7.74859	24.39303	19.01539
3.36684	8.37722	1.44797	7.46048	9.42718	37.46252	1149.45497	72.41253	-76.43941	13.61354	39.33427	8.98703	1.00000	9.13223	6.22597	6.79504	66.12460	-16.41047
8.02372	8.90982	2.60492	8.30228	6.43218	45.35486	1111.77595	76.46740	-122.24092	8.62953	47.4943	9.26770	0.00000	7.59062	10.67658	7.05930	63.36149	10.04213
8.26475	9.50483	4.14359	7.61168	10.02659	29.30325	1070.21461	72.78691	-50.00639	4.35380	-25.42944	7.57431	1.00000	8.48751	10.01014		60.50999	21.55339
7.40658	10.02561	6.66548	7.72935	10.56214	45.99352	1117.47023	66.31667	30.4347	11.95714	-1.9487	9.74016	1.00000	7.61357	6.21964	7.96437	45.20370	13.98368
8.37024	9.33065	3.21007	10.03546	8.97955	34.13910	1073.67582	75.26215	59.4839	9.32312	58.7002	8.31615	0.00000	9.28586	9.95856	9.54056	67.71286	20.38593
9.44197	9.31490	3.42706	8.05738	8.57530	62.83523	1104.55925	83.37812	16.91667	7.94721	-21.98333	9.08520	1.00000	8.52683	8.34464	8.93179	32.96581	12.11825
8.94982	8.99064		5.77761	9.32043	55.79292	1068.61128	69.95706	78.55757	8.87206	17.34769	5.78335	1.00000	6.24804	8.33945	9.74570	45.71107	6.45425
9.68428	9.18109	3.23962	12.10695	8.99806	50.49750	1171.58568	69.72009	-2.12139	6.37375	52.48173	10.31821	0.00000	11.42742	10.26759	7.66300	59.48368	12.11480
8.69426	11.21060	21.97361	9.78002	8.88769	71.90758	1084.38968	70.04574	73.97117	7.50258	31.96258	9.53721	0.00000	8.86600	10.94549	8.61402	32.39121	17.20504
11.82674	7.60909	0.78271	8.07757	8.92170	65.32387	1153.61196	80.87026	115.88782	10.43158	-32.05251	7.44360	1.00000	10.06287	8.22105	11.40182	70.34002	-2.96844
9.28094	9.12714	2.68335	6.42637	9.89456	61.51322	1199.88568	72.68056	-93.08883	9.15263	45.16024	9.90967	0.00000	8.95924	10.07352	7.80820	42.98917	40.29320
7.52721	8.91521	2.64495	8.83742	9.14707	58.32477	1064.96382	63.32998	-71.08977	11.37636	41.9001	10.95060	1.00000	8.04369	5.97236	6.95074	58.55615	24.16299
9.70024	8.93275	2.12681	6.41967	10.17843	52.51480	1142.69851	77.91887	20.91361	4.49139	41.92361	8.75641	1.00000	8.06711	9.85800	8.69804	19.70870	21.94845
9.77645	10.72796	13.38669	4.09674	10.02199	43.47142	1177.71087	67.66380	37.56667	9.13684	55.85	5.27497	1.00000	8.40174	11.33482	7.32825	58.62841	19.52656
4.17399	8.53179	1.59177	9.63592	9.06314	70.17096	1096.19397	77.91440	-120.43572	11.40913	34.95303	8.84086	1.00000	10.02886	6.25214	5.99668	58.88799	-13.77757
8.18905	9.32930	3.67085	12.50095	8.64666	35.38296	1164.00746	77.12993	-87.93341	10.59008	42.55308	10.95361	0.00000	8.63276	11.79141	12.34094	56.51131	17.93135
9.70502	9.88279	5.61703	8.41159	6.85924	47.72642	1114.07499	65.98192	-82.32483	6.51783	29.65163	10.54938	0.00000	7.93708	10.41071	8.67632	44.24811	4.67399
7.24217	8.06365	1.06510	9.44554	6.78794	45.63822	1138.19890	59.99303	34.34691	10.60949	61.78491	11.58521	0.00000	6.53024	11.13776	10.25995	44.08528	13.99821
5.96666	6.26987	0.43984	8.92807	8.99807	52.99221	1051.01669	72.38423	-76.78319	11.34642	18.00747	11.21906	0.00000	11.75244	9.70722	7.89230	61.20757	9.49942
9.52348	10.17843	7.93930	9.56324	8.31903	35.10903	1179.65947	66.39916	10.03988	9.30810	53.6052	9.36617	1.00000	9.03859	8.30761	8.13128	17.15346	8.46871
9.67309	8.11073	1.00423	9.05230	8.64282	47.40788	1138.12487	77.76329	36.7138	7.38192	35.95664	4.99751	1.00000	11.13884	10.98825	7.50052	52.98050	27.49596
13.05423	6.78092	0.29892	9.19455	9.33374	42.00265	1124.77638	61.10675	10.18527	6.91227	47.98372	8.92136	1.00000	10.67691	10.90635	9.10894	43.72779	13.90913
7.40598	7.95536	1.19555	10.56805	8.72741	66.15768	1077.54111	80.14338	31.3237	10.56614	52.4089	10.04391	1.00000	8.68645	6.39702	8.09541	70.17674	16.05105
10.91105	6.38686	0.40931	11.48114	9.29127	33.11161	1071.40005	66.64119	-62.64102	5.14659	8.35122	11.10769	0.00000	8.39331	10.96423	10.32291	92.79860	27.41989
8.21272	8.10103	0.99420	7.62452	8.98844	31.46346	1075.67634	77.21280	-1.29772	9.29407	50.76306	9.15348	0.00000	11.30737	9.32457	7.72888	50.30204	5.92686
9.80072	7.40024	0.74652	8.61454	9.53914	38.63887	1187.64689	73.27221	21.32778	6.07933	42	9.90121	1.00000	8.29950	12.55015	11.18101	57.13867	10.50774
7.24214	7.85765	0.84143	7.50579	8.33247	68.97401	1141.50342	77.25339	10.03478	11.81469	37.16911	9.22697	1.00000	8.52204	7.54132	10.02115	37.77805	20.72674
11.03098	8.00783	0.97308	9.69230	6.64858	46.80008	1195.22470	67.14999	-81.24441	6.14444	23.15678	7.52973	1.00000	9.36739	11.56393	10.20757	54.24387	2.14950
7.96399	6.49961	0.50616	8.82161	9.61155	53.84041	1074.11584	92.97168	41.77921	10.37013	41.82143	10.95603	0.00000	9.92716	10.13196	9.00991	43.04209	24.33903
11.64461	8.75267	1.98566	3.45892	9.08287	21.00446	1175.36687	65.53275	150.60036	8.61055	-34.88422	9.38620	1.00000	8.56918	12.65967	13.03688	44.29600	19.06074
10.46289	9.51461	4.24564	7.07950	11.56438	58.80985	1094.65023	69.07943	-96.39774	7.39704	30.16688	6.82149	1.00000	7.89620	10.64340	8.45813	71.80798	14.54643
8.13780	8.13547	1.09158	7.33722	8.52284	56.37639	1099.98754	69.54578	-93.11308	6.02538	16.75973	6.33032	1.00000	7.36650	9.01914	9.29117	41.41607	16.40909
7.34007	7.51173	0.63332	10.55635	7.80670	50.52125	1099.08672	73.95200	78.55757	11.45381	17.34769	10.17181	1.00000	8.61039	8.00855	7.15415	69.28168	6.98390
8.21598	8.68847	1.84326	7.62897	8.22670	44.88127	1159.09411	79.65322	7.20769	9.92024	50.80019	10.98771	0.00000	9.97667	12.03531	8.69895	55.89993	14.56398
7.89122	10.02860	6.66061	10.38273	6.73701	51.96590	1085.28114	73.33722	6.61944	7.81514	52.57583	9.32517	1.00000	8.85598	9.57966	8.32392	43.72983	10.70740
6.23513	9.09702	2.80356	10.90623	9.28404	52.80336	1110.96186	94.30306	3.47717	9.88844	36.76639	8.69264	0.00000	8.70797	8.70647	10.07481	65.21201	12.83310
9.09753	8.67626	1.83712	11.69974	7.54569	54.09090	1067.23397	76.15042	2.25	7.64755	50.75	9.75245	0.00000	9.46060	7.67635	6.06672	40.30293	6.25097
4.69799	9.00457	2.99599	10.03084	10.38839	32.55996	1176.50334	76.37676	-88.31476	9.98531	36.61033	8.07102	0.00000	7.32183	8.39023	8.97730	41.92882	11.90920
8.58714	8.98082	2.62768	9.65434	7.61487	36.61527	1051.39658	64.29132	-73.89125	10.32433	40.67705	10.96103	1.00000	7.39769	6.92896	7.80701	68.42161	34.60416
8.22396	10.29360	8.75872	8.67040	8.32787	59.17396	1134.78849	77.32910	-91.11667	9.98387	14.93333	10.00649	0.00000	9.65656	10.53662	8.65545	52.40777	20.68895
10.31808	9.32996	3.41161	10.70833	8.53252	40.30818	1192.20299	76.32716	18.28333	5.82958	59.33333	10.22198	0.00000	8.30751	9.47144	7.04304	71.08016	11.33982
11.78831	10.15139	7.63852	5.97111	7.90272		1096.77904	81.40254	13.57661	9.79837	37.31065	7.33027	1.00000	8.26014	10.70157	10.48172	39.37791	19.02767
4.63167	7.10597	0.82618	11.69857	9.77515	52.84872	1184.18475	63.49478	106.88324	10.65131	47.90771	10.76956	1.00000	9.01191	5.75992	4.96278	58.00410	18.24465
5.73786	8.11073	1.31748	10.37427	7.39563	40.64310	1174.19559	76.82876	0.47713	11.71000	51.39323	11.99215	1.00000	9.85828	6.37408	5.53608	36.29094	32.87596
8.90277	8.79109	2.11399	9.45111	10.60741	19.63420	1121.14756	79.31624	9.47629	7.07411	53.59337	9.04803	0.00000	8.48890	13.60892	7.77994	60.68477	22.32104
9.71662	8.53756	1.59307	3.99197	7.98008	65.83618	1067.83146	46.58709	38.94324	6.57024	44.98901	9.47276	1.00000	9.46025	12.27375	11.55748	48.85546	21.36339
6.08223	9.68078	4.48514	10.12032	9.24936	38.53190	1160.48285	75.70021	118.53333	10.75365	27.92333	10.56216	0.00000	6.28463	10.16139	9.54716	43.55156	23.34720
	7.47660	0.75556	12.09622	7.27860	36.34459	1128.15163	72.43627	60.70278	7.70300	55.75556	7.56119	1.00000	10.24145	9.83721	9.69540	47.61319	14.05052
9.91868	9.61307	4.55153	3.51769	9.39393	66.04068	1185.16404	75.01313	-4.0573	6.15234	55.82737	9.33166	1.00000	9.18336	11.69402	9.92264	37.62446	24.33364
3.31866	7.32747	0.91370	13.22265	8.56758	47.04993	1139.32071	75.91215	60.70278	11.48024	55.75556	9.89944	0.00000	8.76476	8.66673	11.28263	28.63180	32.65704
11.32773	8.03348	1.00836	9.99024	10.33743	50.46183	1062.71628	77.75568	-86.19903	11.48416	11.84962	4.81023	1.00000	8.23985	8.93203	9.98405	37.38514	29.35411
5.91048	7.29873	0.63359	10.27238	7.95476	36.22046	1087.07164	75.11116	2.59753	11.82648	8.88649	10.18794	1.00000	7.99699	7.22118	5.76707	37.16260	4.99534
5.93514	7.68868	0.76490	12.75319	8.12096	49.96416	1081.00480	78.86788	-84.13722	10.00669	9.92787	9.02078	0.00000	9.19134	9.92590	12.47637	46.99205	5.81898
5.00951	7.07515	0.58022	9.84197	8.55167	64.93410	1084.60603	78.32803	-2.58736	10.66481	56.56317	9.84765	0.00000	8.46885	8.42125	8.76799	30.86951	33.17882
9.78204	10.28449	8.43909	9.02057	8.69545	49.07503	1149.43348	74.47438	112.23109	7.89918	-7.57897	7.49734	1.00000	9.49356	7.85960	13.15790	50.89697	10.38329
8.73848	9.94173	6.18694	11.67131	7.56431	52.83928	1108.85962	66.33727	9.47629	6.83066	53.59337	10.69379	1.00000	9.11113	8.66021	7.63120	50.03731	-7.27123
8.64293	8.54906	1.76811	5.61180	8.88043	48.88321	1077.89490	63.77436	31.3237	7.73351	52.4089	4.54327	1.00000	7.14022	6.11016	8.34685	44.55695	3.24298
6.18941	9.09024	2.72173	8.24567	9.88071	65.96917	1135.30523	71.06581	-85.76942	11.48047	39.78504	10.40241	1.00000	9.72671	5.36889	3.92348	58.89341	-3.29951
7.09445	7.09328	0.56326	10.56563	8.02051	51.70534	1198.44596	72.81221	35.96944	11.52227	56.03361	11.03328	1.00000	9.13115	7.50430	8.03241	50.22319	16.26474
9.90219	9.44103	3.83021	8.84533	10.07039	45.95260	1125.81400	81.64743	-93.11308	9.27186	16.75973	9.34406	1.00000	7.42321	7.88136	7.45814	58.56093	15.63460
9.37361	9.25365	3.45651	5.46257	8.74459	53.65578	1178.47664	70.40962	71.21169	7.37242	21.59983	7.05709	1.00000	9.35025	11.47468	7.88268	47.35090	0.10153
7.47412	9.65433	4.86951	5.50962	10.00034	51.50263	1106.84685	70.70132	-87.882	7.17694	41.85059	6.36040	1.00000	8.91047	9.22740	11.23803	53.34650	19.33268
11.12587	9.78721	5.36734	6.67695	8.66205	37.33068	1151.52810	73.29728	142.45778	8.22856	44.35056	7.92834	1.00000	9.74388	10.39439	9.48354	60.11748	14.17717
8.79393	7.92720	0.77198	5.18201	7.44044	69.02832	1127.83919	76.98641	29.65806	6.78415	-4.83	6.80834	1.00000	8.67455	9.13819	8.46608	39.78853	24.69998
8.29303	10.22678	8.33219	4.04987	7.80914	52.46430	1148.86071	59.16088	65.50917	6.25520	44.85278	6.69932	1.00000	6.75122	9.86472	9.39623	68.20554	18.91285
9.64035	9.60141	4.41270	9.74479	10.01218	42.55544	1140.31497	64.56568	21.32778	10.24329	42	10.89465	0.00000	8.86452	10.77422	9.96125	47.30395	35.95134
6.47572	10.79340	14.33226	10.75183	7.62710	26.50398	1133.97401	57.99871	-111.99633	13.07516	40.65995	11.49145	1.00000	8.36896	5.44110	7.68717	77.05400	16.64237
6.33779	9.11575	2.75862	8.57485	8.94987	72.51038	1193.62896	83.94425	8.96317	11.10422	48.35149	11.35392	0.00000	7.86050	9.80145	8.47869	50.57856	4.51321
6.48959	7.12468	0.66501	9.55343	9.02706	34.00348	1181.47897	70.36559	-1.08593	8.96520	50.79205	9.31257	1.00000	10.27461	7.31333	7.25832	76.83787	25.13969
4.69369	8.96694	2.57794	12.65999	8.61823	60.32741	1138.31390	71.79006	120.14278	10.53492	32.50611	9.49309	0.00000	9.19557	7.91718	11.30963	32.66792	14.21089
13.83496	6.56335	0.59923	11.79458	9.37099	32.50373	1140.53142	73.63503	4.62744	8.16693	36.06386	11.12124	0.00000	7.32854	10.16809	7.27714	35.79994	24.21093
6.90634	10.77266	13.99452	12.21343	7.63522	66.77445	1173.71438	64.94213	105.75635	11.54183	10.29085	10.54484	1.00000	10.59352	8.08726	7.44142	53.71055	7.38309
8.58170	9.24242	3.19642	6.97971	8.63005	51.38572	1141.71778	71.46334	-75.60804	8.22316	39.96097	6.28761	1.00000	7.43804	9.30257	10.40529	43.75791	27.85091
7.93132	8.60205	1.45035	6.44985	8.55287	63.91442	1151.69554	64.59193	37.56667	7.78469	55.85	6.94598	1.00000	8.84806	10.84046	9.86999	41.13522	13.15716
11.09278	9.39796	3.43955	8.85972	7.87909	54.04452	1164.04471	80.33510	-81.23621	9.20284	33.98154	6.07494	1.00000	10.33385	8.45145	11.18179	66.80231	24.35159
8.53590	8.05519	1.14181	9.80932	8.65120	45.58825	1176.57268	77.69806	-4.22398	5.64596	57.47908	9.76357	0.00000	8.00618	11.66302	7.61095	48.94067	16.57247
12.67499	8.09059	1.14445	11.30530	8.36563	47.50462	1073.46310	68.65006	34.33825	8.23041	53.59782	10.98217	0.00000	7.90203	9.10340	7.36024	71.58101	20.66415
7.36531	9.64014	4.51216	11.08264	8.62202	52.32741	1153.24336	74.86838	2.45012	14.18052	48.90982	11.22083	1.00000	6.21016	5.99805	6.16058	40.62982	13.80916
11.04503	6.50009	0.46138	11.14538	10.32349	49.86881	1163.20468	80.18830	2.61667	8.05952	48.98333	8.74370	1.00000	8.57605	9.60365	11.48495	69.49112	22.79981
7.81429	8.31403	1.46101	12.21223	10.47073	60.56131	1098.50926	71.68360	-86.99666	10.61274	33.45122	9.53158	1.00000	7.98115	8.31505	10.52800	60.32753	4.27635
7.21602	8.82812	2.31720	8.34267	8.09987	49.44522	1160.14652	67.26813	-0.74934	9.84513	51.62907	10.45627	0.00000	9.26104	10.27448	9.05003	57.43071	4.37273
