station	latitude	code	revision	QoS	longitude
Blackpool	53.81667	GB	2022-03-25	accep	-3.05
Gingee	12.25282	IN	2019/04/07	average	79.41727
Magong	23.5654	TW	09 Aug 2020	excellent	119.58627
Strathfield	-33.88096	AU	2016/10/03	excellent	151.07986
Azrou	33.43443	MA	2017-09-18	good	-5.22126
Farafenni	13.56667	GM	13 Feb 2020	average	-15.6
Bisceglie	41.24264	IT	10 Jun 2019	accep	16.50104
Martinsburg	39.45621	US	08/04/2017, 00:00:00	average	-77.96389
Kensington	40.64621	US	23 Feb 2020	building	-73.97069
Leland	34.25628	US	02/14/2013, 00:00:00	average	-78.04471
Dobrush	52.4089	BY	03 Aug 2017	good	31.3237
Kashipur	29.21399	IN	02/20/2014, 00:00:00	accep	78.95693
Fort Washington	38.70734	US	11/23/2018, 00:00:00	average	-77.02303
Ataq	14.53767	YE	2016-09-06	accep	46.83187
Portogruaro	45.78071	IT	11/25/2016, 00:00:00	excellent	12.84052
Rudolstadt	50.72043	DE	05/13/2013, 00:00:00	accep	11.34046
Watsonville	36.91023	US	03/10/2021, 00:00:00	excellent	-121.75689
Palm Valley	30.17746	US	2012/11/09	accep	-81.38758
High Wycombe	51.62907	GB	25 Mar 2018	building	-0.74934
High Wycombe	51.62907	GB	2015/03/28	accep	-0.74934
Kahului	20.88953	US	2022/04/12	maintenance	-156.47432
Dharmapuri	12.1277	IN	25 May 2019	average	78.15794
Tandil	-37.32167	AR	2018-04-08	maintenance	-59.13316
Cowes	50.76306	GB	11/08/2020, 00:00:00	good	-1.29772
Carlsbad	32.42067	US	11/09/2013, 00:00:00	building	-104.22884
Venice	27.09978	US	05/18/2015, 00:00:00	excellent	-82.45426
Camayenne	9.535	GN	2013/12/16	average	-13.68778
Brazzaville	-4.26613	CG	11/26/2020, 00:00:00	accep	15.28318
Larkana	27.55898	PK	03/21/2020, 00:00:00	accep	68.21204
Artur Nogueira	-22.57306	BR	13 May 2015	excellent	-47.1725
Gariadhar	21.53889	IN	2017-06-02	average	71.57737
Betamcherla	15.45144	IN	04/15/2013, 00:00:00	excellent	78.14797
Yeysk	46.7055	RU	13 Apr 2015	accep	38.2739
Dobrush	52.4089	BY	2012/12/03	maintenance	31.3237
Andes	5.6561	CO	2013-04-14	excellent	-75.87877
Cypress Hills	40.67705	US	25 Jun 2015	good	-73.89125
Manjeri	11.12018	IN	2020-10-23	accep	76.11996
Catania	37.49223	IT	2014-05-07	accep	15.07041
Caravaca	38.10558	ES	07/28/2020, 00:00:00	maintenance	-1.86343
Weimar	50.9803	DE	25 Jun 2018	accep	11.32903
Dorval	45.4473	CA	05/16/2020, 00:00:00	accep	-73.75335
Aguadilla	18.42745	PR	03/28/2017, 00:00:00	maintenance	-67.15407
Greenfield	39.78504	US	12/07/2016, 00:00:00	maintenance	-85.76942
Dombivli	19.21667	IN	2022-01-05	maintenance	73.08333
Fujioka	36.24624	JP	23 Oct 2012	average	139.07204
Pamiers	43.11667	FR	2017-07-08	excellent	1.6
Farafenni	13.56667	GM	2016-12-25	good	-15.6
Suzaka	36.65	JP	09/06/2015, 00:00:00	average	138.31667
Temara	33.92866	MA	2019/07/09	excellent	-6.90656
Oulmes	33.42585	MA	2020-10-19	excellent	-6.00137
Schererville	41.47892	US	2015/06/29	maintenance	-87.45476
Fazilpur	32.17629	PK	28 Nov 2014	excellent	75.06583
Palmeira	-25.42944	BR	2019/03/10	average	-50.00639
Bhit Shah	25.80565	PK	02/11/2022, 00:00:00	maintenance	68.49143
Hengshui	37.73222	CN	20 Nov 2019	accep	115.70111
Bogoroditsk	53.77166	RU	2020-02-29	good	38.12408
Ulan Bator	47.90771	MN	2016-08-14	accep	106.88324
Messaad	34.15429	DZ	2021/07/31	excellent	3.50309
Canton	42.30865	US	07/03/2022, 00:00:00	excellent	-83.48216
San Jose	12.35275	PH	07 Sep 2017	excellent	121.06761
Memmingen	47.98372	DE	2018/12/19	good	10.18527
Chichicastenango	14.93333	GT	2019/01/25	accep	-91.11667
Tuxtla	16.75973	MX	17 Mar 2016	excellent	-93.11308
Agrigento	37.31065	IT	2013-08-24	accep	13.57661
Itabirito	-20.25333	BR	2019-10-12	excellent	-43.80139
Zeist	52.09	NL	29 Oct 2013	building	5.23333
Sceaux	48.77644	FR	03 Apr 2021	excellent	2.29026
Ehingen	48.28259	DE	02 Sep 2021	accep	9.72749
Barnet	51.65	GB	28 May 2015	maintenance	-0.2
Frankston South	-38.16604	AU	2020/06/14	excellent	145.13643
Griffith	-34.28853	AU	2012-11-01	building	146.05093
Sirsi	14.62072	IN	2021/05/10	accep	74.83554
New Kingston	18.00747	JM	2020-01-02	excellent	-76.78319
Halstenbek	53.63333	DE	2014-02-16	accep	9.85
Landshut	48.52961	DE	2014/05/02	good	12.16179
Beni Khiar	36.46917	TN	2015/05/27	accep	10.78222
Guli	28.88162	CN	2015/11/23	excellent	120.03308
Riverbank	37.73604	US	2015/06/16	building	-120.93549
Aguilares	-27.4338	AR	2014-10-01	average	-65.61427
Newburgh	41.50343	US	2017/07/27	average	-74.01042
Kyaikto	17.30858	MM	19 Aug 2013	average	97.01124
Betamcherla	15.45144	IN	2018-07-25	building	78.14797
Granger	41.75338	US	09/02/2014, 00:00:00	accep	-86.11084
Phanat Nikhom	13.44581	TH	2015-07-20	accep	101.18445
Resplendor	-19.32556	BR	2021/02/03	average	-41.25528
Santa Maria	34.95303	US	2013/08/28	average	-120.43572
Mardin	37.31309	TR	06/03/2018, 00:00:00	excellent	40.74357
Jiangyan	32.50611	CN	18 Jun 2016	excellent	120.14278
Dahlem	52.4581	DE	05/04/2013, 00:00:00	maintenance	13.28702
Aberdeen	57.14369	GB	21 Dec 2020	excellent	-2.09814
Encinitas	33.03699	US	2018/07/01	building	-117.29198
Gaziantep	37.05944	TR	10/05/2014, 00:00:00	average	37.3825
El Copey	10.15031	CO	02/10/2013, 00:00:00	maintenance	-73.9614
Pedro II	-4.42472	BR	08/06/2021, 00:00:00	good	-41.45861
Gariadhar	21.53889	IN	25 Nov 2015	average	71.57737
Espoo	60.2052	FI	2014-12-01	average	24.6522
Losheim	49.5099	DE	2014-01-03	accep	6.74549
Teghra	25.49043	IN	2018/11/21	excellent	85.94001
Porto Velho	-8.76194	BR	2015-05-06	maintenance	-63.90389
Ilopango	13.70167	SV	2017/05/03	building	-89.10944
Hutchinson	38.06084	US	2014-04-15	acceptable	-97.92977
Fitchburg	42.58342	US	2018/06/23	accep	-71.8023
Mitry-Mory	48.98333	FR	2019-06-16	accep	2.61667
Barnet	51.65	GB	08/31/2015, 00:00:00	good	-0.2
Moga	30.81383	IN	03/28/2017, 00:00:00	average	75.16878
El Achir	36.06386	DZ	2012/11/26	good	4.62744
Ghat	24.96334	LY	11/01/2019, 00:00:00	excellent	10.18003
Bonoua	5.27247	CI	2014/05/05	excellent	-3.59625
Kantharalak	14.64056	TH	2016/09/01	excellent	104.64992
Hoxtolgay	46.51872	CN	2013/02/28	excellent	86.00214
Itaperuna	-21.205	BR	2017-03-17	accep	-41.88778
Varadero	23.15678	CU	2019-09-09	excellent	-81.24441
Newbury	51.40148	GB	2020-04-05	accep	-1.32471
Westchester	41.85059	US	2017-10-08	building	-87.882
Hardenberg	52.57583	NL	12 Aug 2020	building	6.61944
Porterville	36.06523	US	11/07/2021, 00:00:00	building	-119.01677
Oktyabr’skiy	54.48147	RU	2021/07/08	good	53.47103
Lymington	50.75767	GB	2012-11-26	maintenance	-1.5443
Ragusa	36.92574	IT	07/09/2018, 00:00:00	excellent	14.72443
Lebanon	39.43534	US	2013/02/12	maintenance	-84.20299
Inverness	57.47908	GB	2016/06/16	accep	-4.22398
Fontenay-aux-Roses	48.79325	FR	2016-03-31	average	2.29275
Zvenihorodka	49.07866	UA	2013-09-26	accep	30.96755
Nowra	-34.88422	AU	2016-04-30	average	150.60036
Itabirito	-20.25333	BR	30 Oct 2014	good	-43.80139
Guanajuato	21.01858	MX	04 Mar 2020	average	-101.2591
Sceaux	48.77644	FR	19 Aug 2015	accep	2.29026
San Rafael	9.92787	CR	03/16/2021, 00:00:00	building	-84.13722
Tongelre	51.44889	NL	2013/06/22	building	5.51978
Jagna	9.6531	PH	17 Nov 2019	good	124.3697
Sonzacate	13.73417	SV	03/27/2014, 00:00:00	building	-89.71472
Laguna Niguel	33.52253	US	07 Jun 2016	average	-117.70755
Oschatz	51.30001	DE	29 Aug 2018	building	13.10984
Freetown	8.48714	SL	18 Jun 2016	average	-13.2356
Dobrush	52.4089	BY	12 May 2014	good	31.3237
Amposta	40.70995	ES	09/04/2021, 00:00:00	good	0.57856
Surbiton	51.39148	GB	2020/09/18	excellent	-0.29825
Xinzhou	38.40917	CN	2017-12-13	average	112.73333
Pato Branco	-26.22861	BR	2020-07-07	good	-52.67056
Lower Earley	51.42708	GB	2016-03-31	good	-0.91979
Igbara-Odo	7.50251	NG	01/24/2016, 00:00:00	excellent	5.06258
Mitry-Mory	48.98333	FR	10/31/2019, 00:00:00	maintenance	2.61667
New Yekepa	7.57944	LR	12/08/2016, 00:00:00	accep	-8.53778
Ken Caryl	39.57582	US	2019-02-18	good	-105.11221
Jumilla	38.47917	ES	2017/04/30	good	-1.325
Rhosllanerchrugog	53.00974	GB	04/22/2016, 00:00:00	good	-3.05814
Kot Addu	30.46907	PK	22 Jan 2016	good	70.96699
Parola	20.88098	IN	2022/01/17	average	75.11937
Boo	59.33333	SE	2018-12-08	good	18.28333
Cowes	50.76306	GB	06/29/2015, 00:00:00	average	-1.29772
Arles	43.67681	FR	20 Sep 2019	accep	4.63031
Beidao	34.56861	CN	2021/09/09	accep	105.89333
Montana	43.4125	BG	13 Feb 2016	good	23.225
Busia	0.46005	KE	2013-12-10	accep	34.11169
Hendala	6.9909	LK	15 May 2014	average	79.883
Naga	10.20898	PH	2013/02/07	accep	123.758
Motomachi	43.82634	JP	18 Sep 2020	building	144.09638
Lakota	5.84752	CI	08/11/2020, 00:00:00	accep	-5.682
Bogovinje	41.92361	MK	2021/09/21	maintenance	20.91361
Brenham	30.16688	US	22 Nov 2019	accep	-96.39774
Timaru	-44.39672	NZ	11/18/2015, 00:00:00	good	171.25364
Petrozavodsk	61.78491	RU	27 Jul 2013	accep	34.34691
Aloha	45.49428	US	10/30/2016, 00:00:00	accep	-122.86705
Oberhausen	51.47805	DE	2015-06-24	average	6.8625
Sremska Mitrovica	44.97639	RS	08 Apr 2013	good	19.61222
Hrazdan	40.49748	AM	09 Sep 2018	average	44.7662
Igbara-Odo	7.50251	NG	2013-03-20	building	5.06258
Perth	-31.95224	AU	08/13/2018, 00:00:00	accep	115.8614
Maryborough	-25.54073	AU	02/13/2016, 00:00:00	good	152.70493
Sherwood Park	53.51684	CA	2017/05/17	maintenance	-113.3187
Guapimirim	-22.53722	BR	10/13/2019, 00:00:00	excellent	-42.98194
Pune	18.51957	IN	09 Aug 2014	maintenance	73.85535
Rahat	31.39547	IL	2013/04/18	maintenance	34.75699
Zhukovka	53.53395	RU	2013-05-06	building	33.72798
Poulton-le-Fylde	53.83333	GB	2012/10/12	accep	-2.98333
Kangayam	11.00599	IN	21 Apr 2016	excellent	77.5609
Devizes	51.35084	GB	2016/12/14	accep	-1.99421
Jingzhou	30.35028	CN	2016-01-03	excellent	112.19028
Fujioka	36.24624	JP	2016-03-24	accep	139.07204
Jaruco	23.04419	CU	12/15/2021, 00:00:00	accep	-82.00919
