code	revision	station	longitude	latitude	QoS
RU	18 Nov 2020	Volokolamsk	35.96944	56.03361	good
ID	08/12/2018, 00:00:00	Diwek	112.23109	-7.57897	accep
TN	10/30/2019, 00:00:00	Msaken	10.58082	35.72917	maintenance
JP	2022-08-09	Hakodate	140.73667	41.77583	average
GB	10 Nov 2016	Inverness	-4.22398	57.47908	excellent
NG	01 Nov 2016	Biu	12.19458	10.61285	good
AU	2014/11/01	Willetton	115.88782	-32.05251	maintenance
ES	10/11/2015, 00:00:00	Reus	1.10687	41.15612	excellent
JP	2015-12-23	Sasayama	135.21667	35.06667	accep
RU	03/03/2020, 00:00:00	Bavly	53.26023	54.39304	excellent
FR	2020-10-16	Le Chesnay	2.12213	48.8222	building
ES	2021/02/10	Puertollano	-4.10734	38.68712	average
US	2020-08-10	Acworth	-84.67837	34.06635	average
CL	2014-05-24	La Ligua	-71.23106	-32.45242	excellent
US	11/17/2018, 00:00:00	North Lauderdale	-80.22588	26.2173	excellent
US	01/04/2018, 00:00:00	Bourbonnais	-87.88754	41.15376	good
US	2022-08-05	Encinitas	-117.29198	33.03699	excellent
AU	2019/04/17	Wheelers Hill	145.18333	-37.9	building
US	22 Mar 2019	Lebanon	-84.20299	39.43534	excellent
GB	2013-03-10	Arbroath	-2.58736	56.56317	average
RE	2015/02/24	Saint-Denis	55.4504	-20.88231	excellent
SE	2018/12/22	Boo	18.28333	59.33333	maintenance
RU	2020-09-05	Arzamas	43.83992	55.39485	accep
PK	09/08/2019, 00:00:00	Larkana	68.21204	27.55898	accep
UA	2013/02/27	Shepetivka	27.06365	50.18545	excellent
PK	14 Aug 2013	Kanganpur	74.12286	30.76468	maintenance
RU	03/21/2018, 00:00:00	Roslavl’	32.86389	53.95278	maintenance
US	2013-05-18	Massapequa	-73.47429	40.68066	good
GB	26 Jan 2017	Exeter	-3.52751	50.7236	good
US	2018/05/11	Laguna Niguel	-117.70755	33.52253	accep
US	2020-09-03	Lower West Side	-87.66561	41.8542	accep
CF	2018/12/25	Carnot	15.87735	4.94273	good
AZ	2018/10/18	Qazax	45.36561	41.09246	excellent
US	2015-01-12	Scotch Plains	-74.38987	40.65538	accep
PH	2017-04-10	Jagna	124.3697	9.6531	accep
US	2020-08-10	Santa Maria	-120.43572	34.95303	excellent
RU	2014-03-15	Petrozavodsk	34.34691	61.78491	maintenance
US	07/26/2022, 00:00:00	Westchester	-87.882	41.85059	excellent
BR	2013-11-29	Itabirito	-43.80139	-20.25333	excellent
DE	05/03/2019, 00:00:00	Stuttgart	9.17702	48.78232	building
ET	10/13/2014, 00:00:00	Debre Tabor	38.01667	11.85	maintenance
TZ	2015-12-18	Chanika	38.01667	-5.41667	good
HN	04/27/2015, 00:00:00	Olanchito	-86.57415	15.48131	average
HT	05/26/2019, 00:00:00	Croix-des-Bouquets	-72.22625	18.57677	good
GB	2012-11-19	Belper	-1.48119	53.0233	accep
JP	06 May 2020	Yamada	141.95	39.46667	average
US	2018-07-21	Pottstown	-75.64963	40.24537	average
NG	2016/04/15	Lagos	3.39467	6.45407	average
BR	2018/04/07	Barra dos Coqueiros	-37.03861	-10.90889	accep
KE	2019-04-28	Nyahururu	36.36339	0.03813	good
IN	01 Aug 2017	Rajaori	74.3092	33.37526	accep
AR	03/13/2018, 00:00:00	Aguilares	-65.61427	-27.4338	excellent
CN	2022/03/24	Haicheng	122.74754	40.85158	accep
UY	2019/07/22	Durazno	-56.52361	-33.38056	accep
GB	06 Jan 2018	Westbury	-2.1875	51.26	excellent
BE	2017-07-17	Temse	4.21372	51.12794	excellent
TH	12/08/2018, 00:00:00	Roi Et	103.65309	16.0567	excellent
IN	12/31/2016, 00:00:00	Supaul	86.59509	26.11527	average
DE	2019/03/22	Schwalmtal	6.26667	51.21667	excellent
UA	2022/08/26	Polohy	36.25361	47.48444	good
US	2020-08-10	Norco	-117.54866	33.93113	good
TT	10/11/2019, 00:00:00	Port of Spain	-61.51889	10.66668	good
DE	10/14/2019, 00:00:00	Finnentrop	7.973	51.168	good
EG	2020-11-26	Alexandria	29.91582	31.20176	maintenance
RU	14 Feb 2014	Volokolamsk	35.96944	56.03361	good
CU	2013-01-11	Media Luna	-77.43532	20.14298	average
US	20 Sep 2021	Encinitas	-117.29198	33.03699	building
IN	2018/10/23	Sojat	73.66633	25.92493	excellent
DZ	2016-12-25	Bordj Zemoura	4.85668	36.27462	average
ID	2017-06-18	Randudongkal	109.3243	-7.0981	good
US	04/27/2019, 00:00:00	Sunnyside	-120.00865	46.32374	good
CN	08/26/2022, 00:00:00	Licheng	113.82465	23.29549	average
MX	2012-11-18	Acayucan	-94.91386	17.94979	maintenance
FR	2020-09-23	Talence	-0.59543	44.80477	excellent
FR	09/15/2022, 00:00:00	Vienne	4.86667	45.51667	maintenance
BY	2015-03-16	Dobrush	31.3237	52.4089	average
CM	2020/07/01	Idenao	9.00472	4.2475	good
GB	2020/12/13	Selby	-1.06667	53.78333	excellent
US	2016/11/28	Estelle	-90.10674	29.84576	building
GB	09/27/2017, 00:00:00	Blackpool	-3.05	53.81667	average
DE	12/09/2015, 00:00:00	Schleswig	9.5586	54.52156	average
PH	2015/01/18	La Trinidad	120.5875	16.455	excellent
DE	2017/02/14	Stade	9.47629	53.59337	average
US	11/14/2016, 00:00:00	Aloha	-122.86705	45.49428	maitennce
ES	22 May 2013	Gernika-Lumo	-2.68333	43.31667	excellent
RU	2014/08/04	Lesozavodsk	133.42825	45.47885	good
AU	07/01/2018, 00:00:00	Nowra	150.60036	-34.88422	excellent
NG	05/28/2021, 00:00:00	Igbara-Odo	5.06258	7.50251	accep
MN	03/30/2014, 00:00:00	Ulan Bator	106.88324	47.90771	good
US	15 Jun 2014	Far Rockaway	-73.75513	40.60538	good
IT	2018/11/07	Afragola	14.30935	40.92298	average
IT	16 Nov 2014	Ariccia	12.6723	41.72063	building
ID	11 Dec 2020	Labuhan Deli	98.6738	3.7278	excellent
IN	2014/01/06	Parola	75.11937	20.88098	accep
IN	2019/12/27	Kundla	71.30633	21.34222	average
US	30 Jan 2013	Lompoc	-120.45794	34.63915	average
ID	03/05/2015, 00:00:00	Kudus	110.8405	-6.8048	excellent
RU	2019/07/03	Kireyevsk	37.92792	53.93361	excellent
US	04/07/2019, 00:00:00	Palm Desert	-116.37697	33.72255	excellent
TH	2017/10/12	Nakhon Pathom	100.04427	13.8196	excellent
US	2014/01/14	Cypress Hills	-73.89125	40.67705	average
RU	2014/04/15	Kashira	38.16694	54.84444	excellent
IT	2016/08/22	Lanciano	14.39024	42.22718	accep
GB	09 Jul 2022	Aberdeen	-2.09814	57.14369	accep
ID	2013-05-28	Majene	118.9707	-3.5403	average
HT	21 Sep 2015	Croix-des-Bouquets	-72.22625	18.57677	accep
PK	2018/02/27	Tharu Shah	68.11759	26.9423	excellent
US	2021/01/19	Port Richmond	-74.13653	40.63316	building
AU	04/27/2015, 00:00:00	Eastwood	151.08057	-33.79176	accep
GB	2021-02-09	East Dereham	0.93333	52.68333	building
BR	08/10/2021, 00:00:00	Miracema	-42.19667	-21.41222	excellent
IN	04/27/2017, 00:00:00	Tiruppuvanam	78.25795	9.82564	accep
TT	2014/02/02	Port of Spain	-61.51889	10.66668	maintenance
IN	2022-05-01	Pandua	88.28637	23.07492	building
CO	23 May 2015	Puerto Colombia	-74.95472	10.98778	acceptable
DE	2015/05/16	Schwalmtal	6.26667	51.21667	maintenance
CN	04/22/2020, 00:00:00	Yingkou	122.22833	40.66482	average
ID	27 Apr 2018	Cibinong	106.85417	-6.48167	average
GB	2022/03/19	Blackpool	-3.05	53.81667	good
US	2016/07/16	Thomasville	-80.08199	35.88264	good
US	01 Mar 2017	Rosemount	-93.12577	44.73941	average
US	2014-07-07	Middletown	-71.29144	41.54566	building
IT	05/15/2021, 00:00:00	Portogruaro	12.84052	45.78071	average
ID	10/29/2020, 00:00:00	Ngemplak	110.71639	-7.54972	maintenance
IT	10 Jan 2019	Cordenons	12.70038	45.9836	good
NL	09 Oct 2013	Culemborg	5.22778	51.955	accep
BW	2016/08/29	Tonota	27.46153	-21.44236	good
MM	05/29/2018, 00:00:00	Kyaikto	97.01124	17.30858	accep
PT	10/22/2016, 00:00:00	Albufeira	-8.2503	37.08819	excellent
IR	2015-08-08	Aleshtar	48.26258	33.86419	average
TH	31 Aug 2020	Nakhon Pathom	100.04427	13.8196	accep
US	2020-11-01	Middletown	-71.29144	41.54566	average
US	2017-02-16	Westchester	-87.882	41.85059	good
GB	2022-08-19	Cowes	-1.29772	50.76306	good
YE	2019/08/07	Ataq	46.83187	14.53767	good
US	2017-06-20	Aurora	-104.83192	39.72943	good
RU	2015/10/05	Roslavl’	32.86389	53.95278	average
BR	2021/05/12	Marau	-52.2	-28.44917	good
IN	08/03/2015, 00:00:00	Pune	73.85535	18.51957	maintenance
PH	08/24/2019, 00:00:00	Maasin	124.84472	10.13361	excellent
IN	2018-05-30	Leteri	77.40858	24.05979	maintenance
KE	24 Sep 2016	Nyahururu	36.36339	0.03813	accep
IN	30 Aug 2018	Rangia	91.61356	26.44931	accep
NL	2021-12-13	Emmeloord	5.74861	52.71083	maintenance
RU	2014-08-09	Kolomyagi	30.28491	60.02427	good
US	06 Oct 2018	Leland	-78.04471	34.25628	maintenance
BE	2014/02/13	Mouscron	3.20639	50.74497	good
AU	14 Feb 2021	Willetton	115.88782	-32.05251	average
BE	2013/10/26	Mouscron	3.20639	50.74497	good
DE	2021-05-24	Walsrode	9.5926	52.86147	good
RU	31 Dec 2016	Likhobory	37.56667	55.85	excellent
RU	09 Oct 2012	Tavda	65.27258	58.04254	accep
MG	2018/09/15	Antanifotsy	47.31667	-19.65	average
BG	03/05/2016, 00:00:00	Aytos	27.25	42.7	average
US	2015/11/02	Mira Mesa	-117.14392	32.9156	good
RU	02/25/2019, 00:00:00	Yashkino	85.4265	55.8736	excellent
US	06/12/2016, 00:00:00	Palm Valley	-81.38758	30.17746	average
RU	2012/12/21	Ozersk	60.70278	55.75556	average
ES	2014/10/22	Tudela	-1.60452	42.06166	accep
TN	18 Jan 2022	Siliana	9.37082	36.08497	average
US	2015-09-09	Palestine	-95.63079	31.76212	average
IN	2020/06/14	Davangere	75.92694	14.46693	accep
US	2016-06-26	Port Richmond	-74.13653	40.63316	excellent
CN	15 Jul 2020	Huangshi	115.04814	30.24706	good
PL	01/25/2013, 00:00:00	Jaworzno	19.27498	50.20528	average
CU	2019-11-05	Boyeros	-82.4017	23.0072	excellent
PT	11 Oct 2012	Ponta Delgada	-25.66689	37.74615	accep
UA	09/17/2018, 00:00:00	Artsyz	29.41824	45.99194	maintenance
IN	07/06/2014, 00:00:00	Pune	73.85535	18.51957	excellent
TZ	2016-11-24	Chanika	38.01667	-5.41667	average
TZ	12/21/2016, 00:00:00	Usagara	33	-2.68333	good
ES	25 Sep 2021	San Fernando de Henares	-3.53261	40.42386	average
CN	2016/01/17	Hushitai	123.50266	41.94175	good
RU	2014-10-12	Yeysk	38.2739	46.7055	average
GH	30 May 2020	Tarkwa	-1.98956	5.30383	excellent
CN	07 Oct 2017	Boli	130.57211	45.75279	building
IN	2015/02/08	Rangia	91.61356	26.44931	maintenance
UA	06/10/2017, 00:00:00	Voznesensk	31.33078	47.56494	excellent
AU	23 Oct 2016	Frankston South	145.13643	-38.16604	average
RU	2020-12-24	Dyat’kovo	34.33825	53.59782	excellent
IE	2017-11-21	An Muileann gCearr	-7.35	53.53333	maintenance
US	2016-10-23	Schererville	-87.45476	41.47892	accep
IT	2016-12-02	Catania	15.07041	37.49223	building
MY	02 Mar 2021	Gua Musang	101.96857	4.88441	excellent
RU	2015-01-29	Kachkanar	59.4839	58.7002	excellent
DZ	03/06/2016, 00:00:00	Thenia	3.55665	36.72544	excellent
US	2016/06/30	Kahului	-156.47432	20.88953	accep
DE	17 Feb 2015	Schleswig	9.5586	54.52156	excellent
TN	2019-10-29	Beni Khiar	10.78222	36.46917	good
CA	03/24/2021, 00:00:00	Dorval	-73.75335	45.4473	good
IN	2012/10/18	Srinagar	74.80555	34.08565	accep
TH	17 Feb 2022	Bua Yai	102.42587	15.58552	average
DE	06/04/2017, 00:00:00	Marburg an der Lahn	8.77069	50.80904	building
TH	11 Jul 2018	Nakhon Si Thammarat	99.96667	8.43333	excellent
MA	2022/05/12	Azrou	-5.22126	33.43443	good
US	26 Dec 2014	Riverbank	-120.93549	37.73604	good
IN	04/03/2022, 00:00:00	Robertsonpet	78.27539	12.95629	good
TZ	29 Jan 2021	Chanika	38.01667	-5.41667	average
US	2015-12-28	Bourbonnais	-87.88754	41.15376	good
PK	05/28/2021, 00:00:00	Qadirpur Ran	71.67164	30.29184	excellent
CO	07/30/2017, 00:00:00	Madrid	-74.26419	4.73245	good
TR	2019-04-17	Mudanya	28.88222	40.37528	excellent
ID	2020/12/19	Cibinong	106.85417	-6.48167	accep
PK	24 Mar 2018	Naushahra Virkan	73.97117	31.96258	excellent
NL	2015-03-23	Schiebroek	4.47124	51.95838	maintenance
DE	2021/09/29	Albstadt	9.02596	48.21644	excellent
PT	09/09/2014, 00:00:00	Custoias	-7.32097	41.1053	accep
GA	2022-07-30	Franceville	13.58357	-1.63333	average
CU	2021-05-07	Varadero	-81.24441	23.15678	average
US	04/23/2013, 00:00:00	Granger	-86.11084	41.75338	accep
IN	2017/06/16	Gajendragarh	75.96976	15.73628	maintenance
GH	04/23/2022, 00:00:00	Tarkwa	-1.98956	5.30383	maintenance
NG	2022/08/27	Igbara-Odo	5.06258	7.50251	good
CR	11/24/2019, 00:00:00	San Rafael	-84.13722	9.92787	good
RU	2012-11-18	Saraktash	56.36091	51.78771	accep
GB	2016-07-30	Arbroath	-2.58736	56.56317	average
RU	30 Jun 2022	Malakhovka	38.02486	55.64776	acceptable
CH	2014-09-24	Onex	6.10237	46.18396	accep
TH	25 Aug 2020	Roi Et	103.65309	16.0567	good
BR	12/19/2020, 00:00:00	Caldas Novas	-48.62789	-17.74431	maintenance
IT	2019/06/17	Falconara Marittima	13.39954	43.62558	accep
ID	2022/06/28	Pameungpeuk	107.60389	-7.01833	excellent
JP	10/23/2020, 00:00:00	Toyokawa	137.4	34.81667	excellent
IN	08 Jun 2018	Patti	74.85849	31.28092	maitennce
MD	13 Oct 2020	Soroca	28.28489	48.15659	excellent
RU	2015/05/22	Malakhovka	38.02486	55.64776	average
DE	21 Apr 2022	Hermsdorf	13.31783	52.61131	good
PL	2018/09/23	Ustka	16.86194	54.58048	good
IN	2016/11/04	Puducherry	79.82979	11.93381	good
GB	2017/07/15	Brierley Hill	-2.12139	52.48173	accep
PH	2016-03-06	Antipolo	121.12251	14.62578	good
US	2022-03-31	Ken Caryl	-105.11221	39.57582	excellent
KG	2021-09-15	Jalal-Abad	73	40.93333	average
PH	2014/06/20	Naga	123.758	10.20898	good
RU	2016-07-10	Kireyevsk	37.92792	53.93361	good
CN	12/02/2015, 00:00:00	Changzhi	111.73861	35.20889	excellent
RW	03/20/2017, 00:00:00	Rwamagana	30.4347	-1.9487	average
EC	08 Feb 2021	Cuenca	-79.00453	-2.90055	average
EC	2015-04-26	Milagro	-79.59415	-2.13404	excellent
PH	2017-11-03	Maasin	124.84472	10.13361	excellent
TD	2020/03/30	Mongo	18.69303	12.18441	building
US	11/25/2020, 00:00:00	Hutto	-97.54667	30.5427	good
MY	06/05/2015, 00:00:00	Donggongon	116.10146	5.90702	good
DE	2016/06/15	Oschatz	13.10984	51.30001	excellent
ES	2018/10/17	Baza	-2.77259	37.49073	accep
PE	09/15/2015, 00:00:00	Minas de Marcona	-75.11028	-15.21194	accep
NL	2022/08/27	Oldenzaal	6.92917	52.31333	excellent
ES	2017-07-05	Tudela	-1.60452	42.06166	building
DE	20 Mar 2019	Schwalmtal	6.26667	51.21667	good
US	2014-07-24	Newburgh	-74.01042	41.50343	average
PT	29 Nov 2014	Carnaxide	-9.24671	38.72706	average
NG	2013-10-24	Biu	12.19458	10.61285	accep
PS	2017/08/17	East Jerusalem	35.23388	31.78336	excellent
DE	09/18/2016, 00:00:00	Albstadt	9.02596	48.21644	accep
AD	2014-11-01	les Escaldes	1.53414	42.50729	average
PK	2014/03/07	Larkana	68.21204	27.55898	building
US	02 Sep 2015	Huntley	-88.42814	42.16808	average
BE	2020-05-15	Houthalen	5.37429	51.03427	maintenance
DZ	07/10/2018, 00:00:00	Beni Douala	4.08282	36.61954	accep
US	2019-01-19	Bryn Mawr-Skyway	-122.24092	47.4943	good
US	17 Dec 2021	Stockbridge	-84.23381	33.54428	accep
BO	2012/10/02	Tupiza	-65.71875	-21.44345	good
RU	12 Feb 2013	Petrozavodsk	34.34691	61.78491	good
IN	11/27/2020, 00:00:00	Supaul	86.59509	26.11527	maintenance
FI	2020-08-22	Kallio	24.95034	60.18427	good
IN	25 May 2019	Chamba	76.12647	32.55531	accep
KH	2013-04-23	Paoy Paet	102.56365	13.65805	good
FR	2022/02/17	La Garenne-Colombes	2.2469	48.90472	excellent
ES	10/30/2018, 00:00:00	Villaquilambre	-5.55835	42.64685	good
RW	28 Jan 2021	Rwamagana	30.4347	-1.9487	good
DZ	2018/04/10	Cheraga	2.95924	36.76775	building
GB	07/04/2016, 00:00:00	Arbroath	-2.58736	56.56317	good
NE	2014-03-29	Mirriah	9.15013	13.70727	average
IN	2012/10/17	Deoli	75.37991	25.75728	building
US	05/24/2014, 00:00:00	Westchester	-87.882	41.85059	accep
JP	14 May 2020	Okegawa	139.55722	36	accep
US	06 May 2021	Sterling	-77.4286	39.00622	good
CN	2017-04-05	Xiangtan	112.9	27.85	excellent
US	2014-06-22	Dublin	-82.90375	32.54044	excellent
BR	14 Nov 2017	Itaperuna	-41.88778	-21.205	accep
IN	2015/01/09	Calangute	73.7553	15.5439	maintenance
JP	2015/11/13	Komono	136.51667	35	building
BY	2017/04/09	Novogrudok	25.8191	53.5942	accep
TR	2022/04/29	Aksaray	34.02537	38.37255	maintenance
US	02/19/2015, 00:00:00	Porterville	-119.01677	36.06523	good
JP	2018-11-15	Hakodate	140.73667	41.77583	good
US	2015/05/12	Dublin	-82.90375	32.54044	building
PH	2017-11-03	Santa Catalina	122.8637	9.3337	good
ME	14 Nov 2018	Budva	18.84	42.28639	accep
NL	06/12/2013, 00:00:00	Oldenzaal	6.92917	52.31333	maintenance
TR	16 Dec 2017	Aksaray	34.02537	38.37255	excellent
IN	17 Feb 2014	Udumalaippettai	77.24779	10.58806	average
JP	2018-01-18	Minokamo	137.02166	35.48199	maintenance
PR	2016-11-23	Aguadilla	-67.15407	18.42745	accep
US	2017-04-26	Davis	-121.74052	38.54491	good
GE	2014/02/24	Kobuleti	41.77921	41.82143	excellent
VN	2020/12/30	Sa Dec	105.75635	10.29085	average
US	2019-08-27	Deltona	-81.26367	28.90054	accep
