longitude	Pb	NH3	PRES	H2CO	SO2	latitude	PM2.5	TEMP	C2H3NO5	CO	PM10	CFCs	PAHs	CH4	O3	NOx	warning
112.23109	35.63702	7.54488	1089.04908	32.06517	5.46521	-7.57897	9.87759	18.25115	1.40858	5.40267	6.80927	64.17695	9.99610	7.24202	8.15096	7.14992	1.00000
15.07041	29.99505	7.87384	1082.31896	62.68905	6.40712	37.49223	12.34218	26.01726	2.36195	5.38987	7.40461	37.90971	9.60406	7.83211	9.11862	8.66974	0.00000
16.50104	57.86045	7.32395	1109.67519	67.74454	8.51834	41.24264	6.27307	-5.24848	13.30412	6.04337	9.49470	56.02717	8.91269	8.61143	8.64343	10.56669	0.00000
44.7662	67.45924	7.45897	1089.12427	23.47208	7.61228	40.49748	10.32204	14.25665	1.53097	5.85726	5.70014	60.81281	8.72692	8.97356	7.13691	9.62383	0.00000
9.29109	28.83898	8.55672	1156.95275	35.09363	7.68327	45.39402	7.61533	-1.68212	1.41221	6.35812	6.92164	54.78134	9.40391	8.89614	8.85559	9.29384	0.00000
1.00288	50.39264	8.91525	1111.50923	32.54860	8.47713	49.28669	4.24341	21.04179	4.67629	6.40251	8.13695	43.87350	7.29939	7.61487	7.22169	7.16091	0.00000
-115.98391	37.26925	9.61123	1116.19306	51.90679	6.34668	36.20829	8.45712	14.73840	3.89280	6.97696	7.93059	48.55989	7.72972	8.88272	9.91757	5.15850	1.00000
13.29371	59.79104	7.63186	1062.95176	42.92206	6.93119	52.53048	9.47468	28.23529	3.18905	6.31252	7.84626	26.07028	9.26854	8.17870	9.70662	7.29921	1.00000
141.95	48.13918	6.05721	1104.61408	47.67709	10.01512	39.46667	9.89970	15.98854	8.24628	5.66532	9.02894	63.85862	12.65093	7.43552	8.34492	9.28122	0.00000
56.36091	43.89014	9.30198	1153.85107	50.21444	8.33101	51.78771	8.95871	23.13939	4.05022	7.44579	8.20958	54.26764	8.05077	7.06296	8.26574	7.21901	0.00000
-111.78903	54.45101	10.70097	1185.96311	38.70111	9.83549	33.35283	3.47387	11.64518	0.59765	4.46846		22.62272	7.25831	7.69257	9.84440	8.10466	0.00000
34.34691	51.45417	5.72983	1195.64838	37.34797	5.78103	61.78491	8.91631	24.40634	4.17162	6.28628	8.30789	69.00594	8.73772	6.27006	9.64262	11.24676	1.00000
35.96944	61.43308	3.60871	1077.96539	35.88122	8.38149	56.03361	11.68248	23.46939	8.52813	7.18357	9.04112	45.89536	11.49965	7.58950	10.40617	5.99563	1.00000
71.57737	69.38311	8.05923	1154.10484	57.98994	6.02486	21.53889	7.74056	17.25469	7.32448	8.72730	8.87876	65.96041	7.08267	8.24382	10.81161	6.36831	0.00000
18.84	58.97239	8.65606	1164.45676	66.81170	6.59328	42.28639	11.67919	5.35362	2.25394	5.32479	7.16766	37.65317	10.47211	6.55087	9.79815	10.63011	1.00000
17.58522	62.63357	4.89462	1121.64793	56.02861	6.10725	40.53123	8.93840	-13.04764	5.36073	3.73543	8.63746	40.57578	7.11419	8.33845	7.17520	13.45455	1.00000
-1.29772	50.08885	6.59374	1198.29533	25.31250	8.64237	50.76306	6.92249	11.80783	2.17589	2.12060	7.26735	53.91663	9.81340	8.27743	9.24395	11.39990	0.00000
4.69889	38.39934	8.25301	1084.51564	35.27992	8.81469	50.56149	11.01715	9.02956	4.73658	6.52053	8.25936	38.41330	9.75943	8.68119	5.48543	7.44451	0.00000
75.37991	50.49258	8.92623	1184.52057	30.59868	5.21696	25.75728	11.05099	14.59958	5.52611	9.93861	8.45847	62.47033	12.30477	5.39909	8.71150	9.75444	1.00000
46.04833	45.48607	8.48660	1164.63799	56.54355	8.22947	51.40944	9.77858	25.41430	3.26650	7.48908	8.06210	30.19402	9.06212	8.29665	5.29712	6.44156	0.00000
117.4831	35.84184	9.86852	1134.64918	51.67363	4.61574	27.34089	8.84487	12.48966	14.56409	8.76128	9.64851	61.94173	6.50958	8.37184		5.25239	0.00000
8.86374	43.98771	7.76804	1077.41004	52.56437	8.04516	44.89784	10.04689	-3.54696	4.44552	5.76714	8.35526	28.46995	7.68675	9.37361	7.90568	10.68649	1.00000
-42.29444	53.70064	5.79331	1105.98352	43.44483	6.87512	-4.24444	9.28367	21.91755	11.81105	7.22129	9.43389	58.83321	10.68440	8.63883	6.87331	6.42341	1.00000
34.11169	59.81403	5.02321	1144.46057	41.72752	7.73300	0.46005	9.17344	15.17318	14.63127	8.18548	9.63925	34.44744	10.18264	7.81601	7.87588	7.39700	1.00000
4.07601	65.42628	7.88436	1083.00032	28.02572	5.69701	50.88506	9.35783	16.48292	4.47197	10.27075	8.36298	48.54172	8.50108	8.62976		4.08614	0.00000
1.53414	64.03807	7.38645	1181.83754	37.01188	6.34626	42.50729	2.75263	32.85687	21.93033	7.83324	10.10207	52.63832	2.86179	8.21030	7.97440	8.53053	0.00000
-104.83192	59.65117	5.99406	1157.57636	49.14451	6.18167	39.72943	11.96945	26.14786	9.18694	5.84384	9.09509	45.52852	11.00500	7.89704	9.22891	9.22235	1.00000
-38.79084	73.15430	8.36337	1122.88948	61.06576	5.63520	-10.95817	11.67270	14.28382	5.06212	6.10089	8.20095	33.97457	11.94701	8.13775	6.21291	11.14414	1.00000
8.86374	61.34444	9.02646	1167.20778	48.25131	7.27790	44.89784	9.00531	15.12640	8.09842	6.73790	8.99232	34.51953	8.37665	8.59267	7.52762	6.47864	0.00000
-1.98956	60.18703	10.31103	1065.86714	50.99484	6.57797	5.30383	7.45876	19.13958	9.82448	5.92851	9.21323	35.81340	6.34517	7.60019	8.49792	7.65638	1.00000
-73.97069	33.79030	7.73940	1131.51907	56.05018	4.44729	40.64621	7.31045	34.45769	2.85683	8.53515	7.88799	62.67060	4.92306	7.57213	8.42857	7.10953	0.00000
0.30367	47.20383	11.60951	1059.67751	52.04662	6.43902	51.38673	6.68470	24.54792	4.07208	4.74139	8.19933	52.11426	6.98775	8.10771	10.35080	7.90513	0.00000
5.06258	32.14688	9.63607	1123.22657	75.53257	7.28393	7.50251	7.93830	15.95331	3.88177	6.69994	8.25846	56.55975	8.24891	8.68687	9.75835	6.86004	0.00000
-25.66689	60.43233	7.03574	1137.76831	60.03714	7.70354	37.74615	6.83547	11.90134	29.95276	7.71143	10.40143	75.12553	9.19149	9.05270	7.28341	4.30713	1.00000
32.86389	70.53950	11.11175	1140.46399	57.69020	6.09612	53.95278	7.81264	11.46328	1.77289	5.80207	7.01915	54.24594	5.69178	9.09090	8.09176	7.58549	0.00000
-76.43941	57.36691	6.32273	1177.53333	71.59952	6.65767	39.33427	7.27554	9.72114	1.44508	8.26818	6.61726	30.41651	10.28944	9.78854	9.90755	3.63242	1.00000
9.02596	49.54806	8.97886	1098.25823	16.54365	5.48411	48.21644	12.28859	11.56475	3.49268	6.83873	8.15682	51.16648	9.51104	8.37585	9.38112	14.15130	1.00000
106.88324	47.17195	8.32291	1175.62463	45.92529	7.37797	47.90771	11.25683	12.03109	3.66542	7.25067	8.24361	33.40141	11.07548	7.08361	7.30977	8.97401	1.00000
-120.45794	68.15647	8.37053	1056.30316	50.82066	7.44549	34.63915	10.07216	17.67306	5.99366	8.14889	8.77081	63.98032	9.97371	6.77110	8.25777	8.12904	1.00000
13.31783	40.98097	8.64108	1120.72115	45.57894	6.01911	52.61131	9.00098	18.13482	9.43343	7.58808	9.15918	44.40085	8.36347	7.47206	6.17334	7.51497	1.00000
-79.00453	45.52837	8.85121	1079.21019	41.27008	6.81118	-2.90055	7.78073	17.51825	4.85729	7.85116	8.63051	47.82836	7.61204	7.50609	9.34092	7.17072	1.00000
2.2469	62.73590	7.18849	1172.74512	55.86606	8.35538	48.90472	9.28671	26.63550	43.58135	7.60410	10.75994	14.88028	9.45583	8.01837	7.86380	7.86170	1.00000
-50.00639	56.16369	5.59610	1131.95699	42.85888	5.36033	-25.42944	9.68701	25.52661	4.68181	6.46634	8.29613	37.22089	11.35718	7.71468	6.11642	9.51881	1.00000
31.3237	46.19585	7.91041	1166.13853	28.70028	7.78614	52.4089	9.37879	25.19900	4.54301	8.08237	7.81847	56.01453	10.16912	8.47115	8.11913	6.94559	1.00000
-3.59625	57.27203	10.06283	1143.52345	39.80865	8.91957	5.27247	5.26685	12.77553	11.38078	5.34361	9.39912	49.51124	7.02574	7.78480	9.69581	8.44841	0.00000
-73.9614	49.36731	6.51285	1171.05052	64.86066	9.49255	10.15031	3.62638	-5.12757	19.06882	10.76896	9.89381	55.95029	11.29512	8.30705	8.29472	10.41031	0.00000
5.06258	63.57296	8.19793	1134.43597	50.27195	7.36098	7.50251	7.84008	32.40899	1.13641	3.09517	5.26026	13.74859	7.37406	8.38860	7.37822	9.91396	0.00000
38.02486	56.39310	7.59199	1145.52283	54.61745	8.95386	55.64776	7.75667	21.41153	5.95481	6.10663	8.55012	39.00370	9.73944	7.33450	8.39872	9.43306	0.00000
-2.58736	64.91317	2.84024	1149.19685	53.54347		56.56317	13.21406	1.71379	4.48376	6.22896	8.12903	41.11268	11.92178	8.92522	7.36533	9.71487	1.00000
55.4504	43.95114	10.41069	1137.79448	45.55807	4.98153	-20.88231		8.14579	5.82210	7.54266	8.57324	14.13911	5.13777	7.16040	6.12669	6.80203	0.00000
-87.882	52.97296	4.36082	1144.54834	48.74169	6.09003	41.85059	7.79477	13.36087	7.00730	7.81565	8.75747	58.16489	12.00366	8.75316	9.47000	6.38615	1.00000
1.10687	45.48764	6.48219	1079.60312	20.53385	7.13062	41.15612	12.77352	14.49814	1.54371	5.85551	6.77293	56.42968	9.48544	8.95513	7.24999	10.63563	1.00000
73.85535	42.07601	5.15095	1064.98984	42.41193	6.48394	18.51957	11.14814	26.76751	6.25820	6.23805	8.55409	60.93820	10.95862	8.75864	8.92445	8.99876	1.00000
120.4861	43.37950	10.69187	1169.11474	72.75950	7.43475	16.0438	6.48941	21.49237	8.28618	6.41591	8.97113	52.85536	7.92494	7.73625	6.55341	6.06586	0.00000
144.23058	45.54148	5.06089	1151.52137	49.12287	7.41815	-5.85746	10.76719	4.36328	4.20373	6.61947	8.17934	52.66086	10.93850	6.98472	6.31639	7.35242	0.00000
15.87735	46.38962	8.84840	1196.48973	56.01652	6.80199	4.94273	11.40337	-3.82651	1.95580	7.46773	7.18281	62.37182	11.03165	8.68800	8.68636	10.34464	1.00000
32.88667	36.89667	5.15931	1130.77587	41.73996	6.75415	3.27833	8.15635	15.25586	7.35341	7.13084	8.88821	35.70349	10.90234	8.70573	8.48880	7.50440	1.00000
137.02166	55.05866	9.14728	1090.08568	43.18780	6.64380	35.48199	6.28406	21.80877	5.83855	7.25088	8.58569	54.89408	6.98695	8.15624	7.59006	6.46989	0.00000
-74.96933	53.20092	8.72445	1090.29521	23.16413	6.93918	39.71734	7.67215	31.64778	2.16094	6.40187	7.33490	62.44645	8.42022	8.71744	9.01832	7.24896	1.00000
75.35927	34.70708	6.97730	1189.74281	67.41021	7.36490	12.04161	7.68543	24.21785	1.67039	7.26574	7.60239	49.09710	9.45576	9.37547	7.68772	5.62069	1.00000
75.11937	55.57038	6.58473	1081.63267	31.85535	8.68284	20.88098	8.29050	26.88495	10.96849	7.02494	9.30559	54.48905	7.09093	9.52929	9.84686	8.27326	1.00000
150.60036	53.12859	9.24418	1081.05842	35.99482	7.43914	-34.88422	6.80426	6.71895	13.01367	5.71499	9.56422	37.01864	6.93004	7.44567	8.41301	7.93478	0.00000
34.02537	45.27556	6.55594	1080.57091	42.51189	9.40988	38.37255	9.06667	19.82578	5.40425	5.90259	8.52790	46.57355	10.81559	7.56063	7.67853	9.49764	0.00000
-104.83192	21.53062	6.26086	1134.62716		7.59132	39.72943	6.25675	6.92851	3.51558	9.10927	7.63103	52.94719	7.35279	7.21361	8.02817	6.22121	0.00000
-73.9614	36.81318	7.02977	1124.98846	52.95799	6.61815	10.15031	8.43838	18.33273	10.52926	8.72703	9.27303	25.36594	8.96293	7.63728	8.77526	5.44575	0.00000
-71.06616	58.43740	10.59130	1103.91599	23.86364	6.17401	42.4251	12.23850	5.31172	2.17457	7.75318	7.84120	23.54186	12.60153	9.04279	7.97798	10.25231	1.00000
79.87116	76.08174	11.21643	1082.46097	41.31603	4.98692	6.84019	7.86341	4.45333	3.96738	7.39087	8.09080	49.77337	7.34703	7.70700	9.06103	5.51557	0.00000
34.33825	49.44395	5.03599	1190.31728	43.25313	8.29099	53.59782	7.90750	18.16323	3.43462	5.03654	7.80720	59.97488	8.84226	8.19999	9.53556	8.25958	1.00000
4.52514	40.70826	8.31878	1059.68496	53.06650	6.49016	12.74482	10.15455	19.53782	3.48034	8.09475	7.82681	67.11374	8.59667	7.47076	7.78464	10.63275	1.00000
-39.25	42.04755	3.87112	1139.67254	39.62011	11.22634	-12.91667	5.69757	4.76411	18.31100	7.12644	9.90418	49.90232	12.77494	10.15406	7.20711	11.14513	0.00000
-74.26419	50.74120	6.45850	1100.64118	47.02128	9.58572	4.73245	8.31792	5.08974	6.68236	6.81465	8.72132	24.26724	9.82503	9.32145	8.40359	9.64821	0.00000
72.85107	58.65550	5.93655	1198.91986	55.58422	9.73824	19.30157	6.78069	0.90478		4.51415	7.36942	21.75129	8.93580	9.91342	8.63894	10.66401	0.00000
68.75915	33.24689	7.85853	1114.65504	63.43703	8.00157	27.52948	8.92004	10.88395	23.77529	6.33995	10.18434	43.97557	10.96067	9.24680	8.33065	8.98999	0.00000
-86.99666	55.19770	7.76383	1065.98256	25.70101	5.83308	33.45122	10.92728	17.86000	2.30727	5.74645	7.69342	17.38374	11.90927	6.89207	6.83470	10.94742	1.00000
-76.43941	48.56652	7.15095	1195.97263	59.08690	7.05934	39.33427	8.41579	21.26154	9.65819	6.52127	9.19237	58.24357	9.55485	7.97560	8.01605	5.49655	1.00000
60.70278	46.92401	8.18467	1125.86559	39.61500	5.38456	55.75556	10.61464	4.50872	2.48162	6.23953	7.34256	51.20782	10.04437	9.22790	7.97775	11.91738	1.00000
4.08282	71.31995	8.94298	1134.06218	27.50282	6.60410	36.61954	11.55670	1.97249	2.36972	7.91371	7.85863	55.98870	11.77139	8.47195	9.26059	9.94711	1.00000
6.8625	49.17768	9.13168	1148.67702	50.19035	7.18686	51.47805	8.63847	6.16518	29.65227	6.66460	10.37619	53.50173	7.73465	8.43238	8.77342	5.53475	1.00000
-89.99038	57.43468	8.39660	1106.25304	50.30506	5.57570	38.58894	6.44426	10.21389	4.63832	8.34542	8.34784	48.60507	5.80484	9.30178	8.03062	6.36970	0.00000
110.71639	69.52803	4.90741	1094.82990	56.57671	5.92898	-7.54972	9.77160	16.86772	19.22695	6.72861	9.90964	50.76056	11.86180	8.89584	7.99942	6.78257	1.00000
25.8191	58.07183	5.82140	1080.14662	63.65323	11.14497	53.5942	5.87775	-1.93260	2.53067	6.28780	7.20917	18.22943	10.04707	7.28415	8.73926	9.89346	0.00000
-60.93173	57.91335	7.55440	1085.63472	53.86472	5.90907	-31.4488	10.11308	9.63643	2.93666	6.92788	7.28102	52.68462	11.11215	6.62703	7.42009	10.05814	1.00000
7.20769	37.46639	7.44592	1093.13736	67.68464	9.71496	50.80019	6.54740	5.47622	8.62343	7.85388	9.15670	57.57656	9.68651	7.68675	8.04354	9.00549	0.00000
122.8637	38.27710	6.01855	1103.52154	20.67364	6.44572	9.3337	10.66344	16.27042	4.57241	6.63583	8.35099	31.12298	10.35774	9.18147	8.53783	6.85570	1.00000
4.8951	24.72957	9.07564	1126.99650	39.00106	8.11678	44.92801	10.00063	6.03288	1.63158	5.77339	6.63130	55.79031	7.76246	7.75876	7.57174	4.80272	1.00000
82.85749	39.46258	9.92047	1172.60163	38.03369	6.52439	17.54907	6.76007	12.90943	1.88458	8.14385	7.45415	44.03306	6.38364	6.00692	8.52244	5.95120	0.00000
74.85849	74.66652	6.78988	1099.31945	67.40821	6.08282	31.28092	9.13871	35.44601	4.52397	7.98484	8.32267	31.71273	11.78614	7.16621	7.75463	7.75846	1.00000
4.07601	61.33945	4.43966	1056.46183	51.77211	8.94357	50.88506	13.34020	8.36240	14.67183	6.12765	9.67428	26.47447	10.40261	9.37562	8.24132	6.57350	1.00000
-81.24441	95.20868	4.94090	1186.06784	26.82072	7.70527	23.15678	9.49545	16.49928	9.56164	6.33210	9.17357	79.91043	11.31819	8.91099	9.55161	5.37319	1.00000
86.79271	48.02029	5.98205	1148.67851	38.34301	9.00905	25.92127	6.00446	24.26692	3.99149	8.98466	8.23360	68.09179	12.73874	8.23336	8.97182	10.58379	0.00000
-75.23266	38.46891	10.79481	1104.84131	47.69478	9.14916	43.1009	6.22480	6.62046	2.10528	6.21634	8.01849	37.03273	8.25871	8.41050	6.73302	7.22947	0.00000
37.38115	46.34343	7.42712	1178.85676	13.91805	6.13971	55.63711	10.28664	-3.24770	9.24968	6.39469	9.16632	47.43292	9.19705	6.90489	6.35824	8.77450	1.00000
-13.68778	51.02645	9.51227	1073.13854	45.07035	5.49075	9.535	9.60439	15.10229	6.24558	7.29393	8.73069	23.61836	6.77457	8.35144	9.73262	7.21206	0.00000
171.25364	42.97639	10.53824	1123.42340	40.76721	7.48542	-44.39672	5.27616	13.01433	1.73082	6.14479	6.77986	41.98552	6.62878	7.07427	9.58695	7.13048	0.00000
27.25	28.22161	5.70377	1069.63851	36.97225	10.56886	42.7	6.41620	1.91059	10.81624	6.37916	9.30038	40.94249	11.76643	9.21684	8.91171	10.31888	0.00000
8.77155	38.52654	6.84798	1105.46209	26.23836	5.03724	50.23019	7.82476	15.44880	4.13219	9.60162	8.11193	51.23909	6.02332	8.34131	7.19349	6.27561	0.00000
-72.22625	48.22416	5.80620	1137.96517	53.68106	10.44500	18.57677	3.37919	26.55669	6.73378	9.48868	8.74248	50.04880	9.32193	8.76924	10.14180	10.82035	0.00000
151.08057	23.04046	5.17290	1176.16572	42.00221	6.88036	-33.79176	7.96968	27.41384	8.05159	6.82004	9.01129	54.89597	8.93526	7.12591	9.36795	9.94254	1.00000
43.63417	42.76865	10.49174	1112.48606	52.45261	8.96280	43.96222	6.60145	18.40845	2.31428	7.73991	6.89137	38.32247	9.41123	5.17524	6.64966	5.59066	0.00000
14.30935	63.00426	6.49424	1089.76164	49.58292	7.47186	40.92298	8.85264	20.36148	5.28497	7.55114	8.46205	51.43809	9.42925	8.44472	10.09361	7.73916	1.00000
-40.7475	53.32804	9.01857	1054.77267	55.71646	8.31875	-4.16694	11.15897	22.50943	1.79224	6.70343	7.11509	37.62163	6.96019	9.39121	9.71120	6.80378	1.00000
88.28637	60.71858	5.77867	1133.80000	54.77230	6.39957	23.07492	8.18597	15.56913	15.28822	7.55352	9.70501	50.37274	9.53098	9.07797	8.42588	8.45065	1.00000
4.92235	40.60659	4.22481	1197.30824	48.60886	5.62954	7.65649		18.32087	5.15759	4.15981	8.42154	44.60372	8.35870	7.01046	7.46900	11.50660	1.00000
91.61356	61.79747	9.76619	1120.06750	30.65089	8.67956	26.44931	6.37196	19.42811	5.81554	6.90601	8.62796	35.82936	8.88185	8.94996	6.33546	6.02541	0.00000
-73.49484	46.44651	7.51225	1191.73207	60.08777	7.91875	41.14676	8.29508	15.89530	7.42140	6.23013	8.93211	52.20499	10.74670	9.04927	7.46821	9.92981	0.00000
-50.00639	42.44066	8.06928	1101.94952	49.72611	9.23945	-25.42944	9.00331	12.88889	13.85083	10.03453	9.64532	53.84322	9.62791	9.74878	6.98302	5.13670	1.00000
121.96361	59.26227	5.78408	1079.09380	52.34267	5.91232	6.95194	8.69356	-12.35757	2.29210	6.50257	6.69311	30.93660	11.40128	8.48707	9.61185	8.98626	1.00000
36.36339	53.83863	6.10370	1172.07484	58.60280	8.10361	0.03813	8.60326	9.03094	6.08214	6.47065	8.75349	24.03585	10.10991	8.23876	9.30977	5.53477	1.00000
13.10984	31.49862	4.76579	1074.33500	47.85710	5.31882	51.30001	8.48123	17.10989	2.63015	6.46790	7.09380	21.94834	8.95086	9.46789	6.91111	12.58149	1.00000
-97.35992	46.34861	6.33240	1061.22128	41.35315	4.87665	19.8173	10.58811	22.28744	3.36723	5.67089	7.89665	67.52282	10.97296	9.02866	8.40676	11.63774	1.00000
-76.72803	53.06911	11.35337	1166.57141	48.52487	7.52415	39.32288	6.32181	8.38726	7.44506	6.11270	8.95019	45.50936	7.39955	9.62058	7.37060	6.68655	0.00000
27.06365	65.19418	8.09001	1189.90489	36.33575	6.47305	50.18545	7.16047	31.45705	10.95503	8.37434	9.32639	49.93642	6.92026	8.36961	7.04596	5.66582	0.00000
38.01667	42.02182	10.38072	1135.52601	61.05104	8.23680	-5.41667	6.63109	27.80404	10.38579	6.40121	9.25653	29.77191	7.97833	8.08881	7.80139	7.32775	0.00000
112.23109	43.71822	7.22383	1087.99674	38.62647	8.40340	-7.57897	10.08525	16.66312	8.84474	8.02568	9.10852	53.20018	8.23710	9.31260	9.23547	6.97053	1.00000
-8.2194	32.08481	7.91333	1193.60204	41.27008	5.96401	43.48961	7.11949	6.25949	7.18296	8.37816	8.84666	51.16349	8.80152	8.66428	8.51141	7.77725	1.00000
120.57224	29.33786	6.45591	1064.40078	38.77175	6.67533	15.72892	6.33748	11.19703	2.47446	8.98061	7.62225	61.92535	9.84817	7.02042	8.08655	4.50232	1.00000
73.66633	46.06366	7.23319	1119.00475	62.05981	9.05234	25.92493	10.71008	41.17021	8.31909	6.86358	9.06783	52.53875	8.31314	7.40816	7.10914	4.55759	1.00000
120.56528	72.75211	7.17667	1110.03101	37.67983	6.30567	14.66	9.74424	22.92900	1.10659	8.58984	6.62936	54.84717	9.96850	7.72909	10.24578	9.54276	1.00000
-58.38341	52.37661	7.72156	1139.52302	48.74180	9.40698	-34.64966	6.14428	25.95491	6.45176	5.62533	8.74753	61.48316	7.14807	9.44017	7.73944	9.22885	0.00000
-37.93278	74.80158	8.02254	1063.89458	57.49303	7.81443	-11.48472	10.20465	17.32892	3.33271	8.98760	8.20955	70.81587	9.36830	8.54652	7.79597	9.05508	1.00000
0.93333	62.88248	11.56384	1108.73391	46.94444	6.71282	52.68333	7.94024	26.32778	1.89206	5.40092	5.91115	65.36038	6.55597	8.83397	8.49475	7.70469	0.00000
38.01667	47.91180	8.19317	1138.89941	20.63935	4.29506	-5.41667	7.59541	28.65758	5.88893	6.46309	8.55864	57.49528	9.98824	6.34000	8.12612	4.71150	1.00000
38.02486	39.73937	4.41906	1112.28613	57.16410	9.10603	55.64776	11.35892	19.91898	6.98831	6.58392	8.93161	51.65479	10.41083	7.76933	6.52832	8.32084	1.00000
41.77921	58.03616	6.48131	1166.37718	57.69267	11.71552	41.82143	2.71580	5.83706	1.28937	7.26830	6.89303	78.16101	7.41938	9.74520	6.69666	9.94825	0.00000
30.4347	42.72107	5.68818	1068.81774	64.43935	8.80621	-1.9487	5.72259	27.01309	4.32483	6.63039	8.01284	46.95247	8.43330	9.55258	8.19243	11.51405	0.00000
122.22833	61.52490	8.84648	1055.70791	53.73665	5.28456	40.66482	8.13588	1.83036	5.83952	6.61557	8.53809	62.98293	8.96695	8.56637	8.97387	6.34708	1.00000
109.3243	53.39795	9.09667	1198.72544	58.31233	8.38877	-7.0981	11.96439	8.27191	10.88953	7.14519	9.19398	49.55118	11.11038	7.32384	7.92199	7.98343	1.00000
4.07601	33.87156	9.55619	1152.15613	61.63943	8.79426	50.88506	5.93264	25.03159	2.97411	5.09121	7.72673	45.95656	6.94875	6.91122	10.64013	9.00178	0.00000
-100.44843	75.03065	6.93241	1093.82082	27.41665	4.62610	20.74122	9.73323	9.93430	3.51492	8.18338	7.73786	72.58768	9.64621	7.50667	8.31008	11.49134	1.00000
145.18333	56.91665	7.58354	1182.67817	61.63967	7.16583	-37.9	10.25587	9.65335	14.98969	8.56028	9.68671	57.57066	11.39228	9.09968	7.03772	7.82514	1.00000
-89.66123	68.61409	6.65727	1186.17149	25.48100	8.66746	21.28306	7.79995	16.76623	3.99515	6.03142	7.82134	60.87485	8.14186	7.79779	8.56305	9.96118	0.00000
113.82465	55.91811	8.19335	1082.24762	50.93668	6.86080	23.29549	4.88400	13.34548	6.47173	7.48038	8.67243	36.17884	5.81449	6.81531	7.33858	7.36097	0.00000
120.03308	62.76916	9.05063	1168.94278	84.03921	6.27697	28.88162	10.18159	19.58141	8.21205	4.15566	9.01140	68.19621	8.63728	9.02276	8.48195	5.30476	1.00000
4.8951	52.17973	8.36304	1127.72141	36.83172	7.33116	44.92801	6.42065	1.10234	82.75923	2.99201	11.43690	48.04601	6.75866	5.22381	9.14531	10.77875	0.00000
-111.90466	42.89469	8.09045	1085.99104	42.28978	7.67724	40.34912	9.80009	12.92269	14.29819	4.29938	9.64049	86.07341	9.20348		8.32285	8.88090	0.00000
-75.23266	44.11434	6.89596	1185.71072	39.28380	6.78671	43.1009	10.16976	11.63692	12.10303	5.28799	9.40711	64.99137	9.34277	6.38879	6.70274	10.79986	0.00000
-117.29198	54.58024	9.29464	1141.14211	43.94231	7.05719	33.03699	5.92950	11.77436	3.91885	5.55088	7.91200	31.86261	8.13188	8.10955	7.92376	9.72568	0.00000
2.95924	45.85678	7.11217	1195.39813	45.10182	7.56765	36.76775	10.36581	0.45411	12.22959	6.11620	9.44350	49.33817	9.58233	7.59608	7.73478	5.46502	1.00000
-82.61573	54.04431	8.15781	1198.04944	41.61307	8.70626	41.24255	8.12483	7.60043	11.02023	4.79794	9.27317	53.44316	7.58753	7.12599	9.48452	8.59137	0.00000
83.62389	27.66410	7.89048	1094.64483	17.21141	7.25330	53.30972	9.59625	2.65416	1.55521	6.35132	6.35137	70.71832	8.99954	7.97426	8.25129	4.00418	1.00000
