warning	PM2.5	TEMP	NOx	CO	longitude	H2CO	CFCs	CH4	PRES	Pb	PM10	NH3	O3	SO2	C2H3NO5	latitude	PAHs
0.00000	7.44996	26.39200	8.06276	5.52103	70.91106	31.83679	42.53259	6.44519	1093.68854	63.33965	8.60717	7.44528	8.84162	6.88218	1.10434	29.38242	8.58500
1.00000	7.58342	16.75574	8.04590	4.97354	171.25364	52.81634	29.19995	9.73401	1189.49363	42.03196	6.81780	5.71274	8.36632	7.50945	0.46633	-44.39672	6.83381
0.00000	7.46092	18.34238	8.86388	3.38230	76.12647	57.91257	42.29706	6.60558	1081.07591	56.83971	8.12125	8.03892	9.70180	9.85374	0.96740	32.55531	5.02367
0.00000	6.76562	-4.91933	11.18024	3.75596	-5.55835	64.28961	36.02535	3.95523	1134.08184	51.87474	9.49713	8.55994	8.51210	6.72634	2.48916	42.64685	8.59754
1.00000	7.07418	15.45808	6.25714	8.30615	-90.10674	66.12545	46.47808	9.91723	1111.27450	44.26765	5.62123	6.99050	10.87894	6.53933	0.29315	29.84576	7.38963
1.00000	7.72866	33.92048	5.54444	4.70606	-103.5687	73.39388	32.69498	10.94745	1176.32126	47.65480	8.72001	6.16921	4.08657	6.69633	1.40574	20.22816	8.31820
0.00000	8.19726	6.07796	10.60777	4.05414	-76.99081	34.03141	48.77525	5.11914	1145.63863	50.71800	8.73203	5.45032	6.92896	7.59249	1.39278	38.96372	7.20979
1.00000	6.66778	28.17253	4.70395	10.29056	-0.29825	55.69675	37.83699	8.67292	1116.87878	34.00867		6.73324	5.56214	8.93949	0.49298	51.39148	6.94417
1.00000	8.55507	20.85559	9.87243	5.06138	34.3869	71.03683	43.30440	11.98734	1125.67144	70.44252	3.56543	8.00523	11.30270	8.00921	0.31691	11.8659	6.86238
1.00000	7.28149	1.58050	5.96951	4.15190	120.5875	70.96784	42.78369	7.81791	1198.56689	59.85816	2.99500	6.56241	8.44916	7.68077	0.29188	16.455	7.03267
0.00000	6.63554	14.73225	5.94499	5.61822	-82.32483	49.05405	15.20455	8.95145	1087.40136	47.69204	6.40280	5.33147	8.72981	7.53144	0.30168	29.65163	6.69541
1.00000	7.74513	-0.75715	8.60079	2.09228	1.15597	16.54921	59.67157	11.44887	1070.46850	56.82069	4.31664	7.81880	9.51156	8.48710	0.53666	51.78967	5.68307
1.00000	6.51168	-1.56197	5.24338	8.96072	73.97117	58.22973	57.49840	9.14598	1148.45895	57.07290	8.18214	6.62693	4.95561	7.55549	0.75320	31.96258	7.49220
0.00000	7.69555	10.47505	5.97514	3.85673	-25.66689	54.85982	34.71260	9.34309	1117.59074	40.19732	6.73811	7.35262	6.81393	7.39555	0.34211	37.74615	
0.00000	6.03774	26.89912	7.97611	7.80719	-60.94228	33.75200	47.43736	6.11409	1100.05075	79.34345	6.23562	5.29435	8.64071	8.15600	0.42789	14.67751	7.48196
1.00000	8.46093	18.61486	5.71270	6.76646	-60.93173	66.72410	30.34321	8.25128	1145.65750	43.95417	9.47390	6.71181	5.91256	7.60982	2.49224	-31.4488	6.46272
1.00000	7.44386	16.41596	6.20598	6.91156	-81.24441	45.78865	42.73400	9.00042	1051.99543	56.56363	9.05852	6.94052	5.37084	9.77870	1.78352	23.15678	9.34854
1.00000	8.63638	29.19769	6.35299	6.55969	-122.2054	51.06280	48.32217	9.20319	1134.94829	65.47665	8.25396	6.22998	7.56388	8.34436	1.05112	47.76232	6.85139
1.00000	6.11635	14.83109	9.41740	5.27524	111.50861	53.98263	41.85433	11.10012	1060.22046	46.16381	6.50139	7.38277	9.87789	7.16138	0.38983	32.54278	7.61921
1.00000	7.25274	27.58485	6.83586	4.91974	136.51667	22.52297	44.83337	5.55716	1136.33974	61.14131	4.72151	7.96297	4.50312	5.73823	0.28639	35	9.09709
1.00000	6.84143	0.61751	6.28822	9.31133	39.28333	41.51100	46.44095	8.13920	1174.84747	72.11536	9.04680	6.01088	6.45356	6.93090	1.75153	-10.33333	8.15992
1.00000	6.49716	24.06034	5.77045	9.38075	27.18052	57.52538	46.03415	8.24947	1137.46351		8.57846	6.86706	6.90857	8.71504	1.26204	39.12074	6.06360
1.00000	7.40354	26.18916	5.78482	8.04109	86.79271	78.85109	53.15704	7.95673	1179.18499	74.20487	6.70133	6.42689	8.65381	8.37108	0.42517	25.92127	7.73825
0.00000	7.27175	16.69000	6.78735	6.57428	2.2469	51.53531	34.32404	10.91103	1115.10458	46.55896	5.59354	4.74430	6.59464	6.72666	0.24717	48.90472	8.04689
0.00000	9.00062	35.16176	5.84607	4.86499	12.38878	66.94444	45.43615	8.12264	1137.46191	48.37014	6.92396	8.20745	5.57254	7.65639	0.39942	43.1122	5.73602
0.00000	6.76074	23.57493	7.00339	6.51085	78.95693	57.21484	49.93938	9.38377	1086.38742	61.47414	7.14286	6.48270	8.83515	7.15151	0.54571	29.21399	7.20669
0.00000	7.09505	13.88128	8.64464	4.13195	-60.94228	58.23010	43.83149	5.90258	1187.70943	47.90210	9.64106	7.26318	8.91410	8.01629	2.88895	14.67751	5.80574
0.00000	7.02431		8.83656	3.74317	-53.13722	46.92794	43.52460	6.57942	1198.42722	48.16238	7.57455	6.31659	8.53636	8.23503	0.64840	-22.92306	6.35967
0.00000	7.92760	14.58500	6.50833	4.63758	76.92421	46.83977	61.57143	9.33259	1192.08876	72.04593	7.22910	8.54828	4.93976	7.82776	0.54845	60.97944	8.86618
1.00000	7.25353	16.89875	5.42439	5.55542	34.86563	59.94201	46.95561	9.14647	1068.34674	61.76254	10.24171	2.57055	8.84327	7.77385	5.13416	31.92923	7.09456
0.00000	7.94254	14.49075	5.25636	9.40808	15.00913	59.69862	43.37212	8.28115	1171.85752	62.72894	8.20432	7.45736	7.39008	8.03652	0.84070	37.51803	6.61040
0.00000	7.25639	5.76708	5.33607	3.60714	-7.95	41.93268	55.93699	8.19628	1125.10750	48.56249	7.26223	7.10483	5.94206	6.35724	0.56513	53.43333	7.93523
0.00000	8.33870	18.58124	4.93101	5.00375	7.973	32.15236	46.37408	7.98924	1112.89615	57.15732	5.61995	4.71378	4.95849	7.45292	0.43881	51.168	7.67957
0.00000	6.49789	9.51220	7.10566	8.08743	-73.89125	35.49776	55.77490	7.35567	1185.42914	69.00684	7.67951	4.98730	10.53904	7.51562	0.60545	40.67705	5.61366
1.00000	8.89953	20.34442	5.72262	7.40814	86.79271	46.58427	51.91078	9.83011	1168.53989	43.23642	9.04910	5.76392	4.63350	8.38732	1.75855	25.92127	5.77839
1.00000	4.82451	2.49713	6.57540	7.40079	17.22635	83.14584	36.37697	8.90325	1133.01621	46.88061	4.20711	6.88031	10.16242	7.54220	0.34550	48.8449	7.32199
0.00000	6.71124	8.59033	5.62692	5.10482	115.04814	51.05979	59.70992	9.10705	1173.86688	49.03976	6.42407	6.50574	6.02872	6.06818	0.24973	30.24706	8.71236
1.00000	6.68851	10.16554	7.78117	5.72577	15.00835	56.79589	51.16653	9.20308	1094.50725	43.80291	3.25449	7.15764	9.35295	6.52152	0.36907	51.14942	8.49970
1.00000	7.06210	31.35820	8.49633	6.77386	123.758	49.13758	62.92781	10.94588	1125.71385	52.96090	6.17630	7.28550	10.32737	7.70711	0.53465	10.20898	7.76824
1.00000	6.49352	4.86910	7.02551	7.01053	98.50893	62.47217	31.00215	9.28153	1192.42291	37.44102	8.52151	3.88495	4.31858	6.37848	1.08746	16.68911	8.92466
0.00000	5.75173	4.02930	7.12234	9.64332	123.758	49.62066	53.84382	9.52148	1054.25868	70.28760	7.93401	6.04334	6.95311	9.22645	0.50764	10.20898	7.59947
0.00000	9.36740	26.57423	5.34972	6.34085	6.92917	47.24418	46.23770	7.64285	1088.11735	50.95439	5.07247	5.19145	5.12952	9.12816	0.33083	52.31333	7.08130
0.00000	8.92333	13.11908	5.72354	2.46433	-73.47429	26.62423	59.41282	10.01342	1064.39154	37.61140	8.35424	8.90612	7.45727	5.46612	1.01091	40.68066	8.03170
1.00000	7.55140	39.03396	8.21841	9.62387	124.95278	63.45631	36.30748	10.78592	1051.63004	56.78569	8.28096	8.17522	6.77474	6.11569	0.86279	6.33444	6.99108
1.00000	8.34348	18.72659	5.79752	7.50158	13.10984	57.46957	65.50880	7.40477	1059.80244	38.54509	9.10980	7.62918	8.74866	7.27657	1.87991	51.30001	6.74699
0.00000	5.45993	39.39621	11.85732	6.12603	4.18333	52.19055	47.18200	3.76046	1112.15198	58.36475	9.90456	5.27864	6.59049	9.79566	3.82114	7.6	6.76528
0.00000	7.40335	18.70537	5.86751	5.20845	-75.64963	26.14066	60.65735	7.32377	1175.75757	47.56147	6.77091	8.14297	4.15531	6.64049	0.41826	40.24537	6.79034
1.00000	7.36717	7.85844	5.26361	7.78591	106.92667	39.28615	62.96715	8.46379	1192.10711	41.10044	8.39901	4.87966	6.26032	4.81796	1.06697	-6.91806	7.46712
0.00000	7.47308	15.87028	6.75009	6.98702	75.16878	50.20084	48.84886	9.46716	1085.48077	55.39791	5.89274	5.50693	6.42195	7.79278	0.52675	30.81383	7.07291
1.00000	7.30880	18.32804	5.87814	5.95738	-76.88442	19.53724	20.54568	9.99784	1187.10446	58.54522	9.67426	5.62248	4.70050	7.87522	2.97188	40.2737	5.39051
1.00000	10.66481	19.44843	7.29454	6.34571	123.758	64.27101	56.45158	8.60220	1165.61807	60.69836	7.50404	5.05485	5.50349	6.97459	0.47448	10.20898	8.51430
1.00000	7.45522	2.16981	6.30958	7.74210	-77.43532	65.96401	46.04146	7.92051	1197.11954	22.15895	3.92711	7.45715	8.25486	6.70930	0.28416	20.14298	5.94081
1.00000	7.44841	3.52162	6.39592	7.75039	29.00974	42.57128	26.15759	7.26386	1162.79362	47.24316	8.05523	4.36738	6.12704	7.50927	0.85857	-24.19436	6.81888
0.00000	7.54974	19.30142	6.15747	3.49593	-73.02841	73.24745	41.49371	9.33393	1057.06428	57.44267	7.98423	9.53918		6.34205	0.73621	-36.9256	8.36675
1.00000	8.34571	25.56729	6.47783	9.85683	77.70636	43.27941	44.68705	9.19923	1184.25207	50.56944	8.17850	5.68260	6.00178	7.60227	0.85682	28.98002	8.62910
0.00000	6.12238	13.59707	9.55546	6.04758	9.5586	42.97840	44.19189	5.86544	1193.99755	49.84795	10.13647	5.71950	7.98763	8.78779	4.59289	54.52156	5.58986
1.00000	6.65853	2.59873	4.35999	6.24617	120.57224	50.12880	60.44037	8.21857	1070.91931	58.68630	9.08276	2.70201	8.45293	6.30068	1.84579	15.72892	7.26140
1.00000	6.70653	-7.41296	8.64372	3.99552	-98.1664	33.65559	48.99131	9.01727	1050.37515	74.84030	6.72392	6.09364	6.70425	8.28662	0.57181	19.32932	7.84053
1.00000	7.28289	20.23995	6.24947	4.25890	-117.23991	51.16613	40.96900	7.77379	1172.27877	68.66370	1.58884	6.97180		6.79065	0.31124	47.64995	7.63971
0.00000	9.10695	24.28084	5.50918	6.33306	-13.2356	57.45856	71.61316	9.00352	1113.00345	55.56716	5.11942	5.41913	5.53863	6.54244	0.38285	8.48714	
1.00000	7.14854	11.41646	5.80733	8.95027	136.51667	51.92399	43.85510	9.00104	1128.44549	73.47918	7.69663	6.76694	5.58961	7.88195	0.69269	35	6.84604
1.00000	8.62352	22.03450	5.06056	7.45142	-1.64295	60.81103	37.04539	10.02380	1099.43684	48.95520	4.47657	6.03431	11.97018	6.51144	0.25968	42.8139	7.94778
1.00000	7.45288	7.71962	3.07997	8.17268	30.38167	56.04913	32.44066	7.15530	1098.09104	52.30654	9.06815	5.68808	5.79419	7.78765	1.77920	59.80917	7.09889
1.00000	7.09114	26.18583	6.56703	7.49236	56.36091	67.87669	56.12822	8.28298	1193.32557	71.37966	8.70617	5.44839	5.12859	8.04422	1.31124	51.78771	8.51964
1.00000	6.53886	14.94694	5.00153	7.09221	-67.15407	33.55143	52.78578	9.67465	1199.51971	40.34512	8.89214	7.22955	3.75965	7.81303	1.56404	18.42745	7.02922
1.00000	6.88253	5.57695	5.67317	4.03271	31.4976	40.41602	31.89467	7.59243	1100.79579	57.79159	4.17998	5.60955	7.65846	7.22556	0.27430	26.67319	9.07984
1.00000	7.54360	35.37511	10.05722	5.69169	-122.40433	53.65009	63.89719	12.31157	1082.52086	40.83642	6.67971	9.04864	10.39652	7.00640	0.33195	37.71715	7.05840
1.00000	6.15047	9.98260	6.96572	6.66059	86.79271	48.20009	71.61498	9.05765	1061.45103	52.35179	7.92133	6.19755	7.63201	6.14899	0.92842	25.92127	8.18596
0.00000	7.66554	16.36765	5.05963	5.82767	-74.96933	26.89995	66.05831	6.74555	1080.21304	50.79575	5.99692	5.47745	7.35438	6.62691	0.37286	39.71734	7.22709
1.00000	8.07239	16.44215	4.08305	7.06574	-74.95472	29.44633	16.09025	8.38887	1112.14369	48.10825	8.75588	2.57319	9.94019	6.74806	1.40147	10.98778	8.67672
0.00000	8.32845	27.24052	12.59778	3.78767	-90.10674	46.92026	43.16446	3.94018	1178.42740	48.20285	11.04424	8.88006	6.99957	8.05425	11.14836	29.84576	5.99856
1.00000	9.85970	12.69353	6.30483	7.46732	10.30215	79.64802	55.50065	7.85223	1199.47911	50.54326	5.83122	5.42338	8.21824	7.18131	0.43167	53.94313	8.59287
1.00000	7.90628	7.42891	7.40381	9.37603	16.86194	37.32081	50.06526	8.66563	1104.77592	74.90138	9.02616	4.45913	5.67103	7.13665	1.71660	54.58048	6.15345
0.00000	7.50387	20.75302	5.73514	7.86333	5.4584	52.57088	46.89945	8.14372	1085.87841	46.48707	4.85137	4.29616	7.29877	7.42390	0.23548	43.32393	7.59047
1.00000	6.78597	-6.02559	2.97520	5.57321	-70.20749	58.42420	47.98667	6.72812	1142.67190	71.72734	4.60965	5.22018	8.02380	9.16174	0.36911	8.62261	7.94818
1.00000	8.21733	10.39832	2.43429	7.14471	-82.32483	62.99925	26.13237	6.43565	1199.53941	43.12252	1.50444	4.98307	9.70045	7.05414	0.34978	29.65163	7.43254
1.00000	6.34021	23.26980	6.73782	6.40448	24.14662	53.58474	58.01358		1189.93851	82.64394	5.13538	8.73107	10.04638	7.86746	0.23466	65.84811	4.02200
1.00000	7.08009	21.94761	4.78725	10.51382	121.06761	28.04458	41.61401	9.01618	1185.61121	57.09787	8.21998	6.69271	6.00338	6.47626	1.00185	12.35275	7.66442
1.00000	8.52170	11.75637	4.55177	7.52376	8.73812	50.92715	40.86393	7.78478	1148.31665	64.51129	6.61763	5.75438	8.73592	6.10230	0.37812	41.91886	8.46103
1.00000	7.21590	13.82335	7.54119	6.71162	0.47713	28.85907	64.14785	10.06200	1101.39906	42.04407	9.97579	6.59528	5.43553	9.53236	3.89887	51.39323	7.35456
1.00000	5.42447	2.76624	6.29996	4.89938	144.09638	43.58962	40.84399	7.70911	1062.94339	47.46979	8.90905	7.54457	7.07467	7.82440	1.59700	43.82634	7.86527
1.00000	9.19275	0.07935	4.26517	7.56064	11.37703	48.74085	56.20139	5.88627	1075.06408	50.34622	7.82586	4.19008	6.28319	6.83517	0.48244	48.06919	6.59002
0.00000	6.67052	24.64747	10.06505	6.66143	24.71204	65.27168	44.48537	4.38999	1071.06116	27.97034	9.60031	6.53887	8.28113	9.22794	2.79059	41.57439	7.56529
1.00000	6.88062	18.54945	6.28066	6.42371	78.95693	60.66199	48.69979	9.60485	1199.65211	52.78409	8.88896	6.68214	6.55836	5.81511		29.21399	6.28343
1.00000	6.82792	4.43492	4.60886	9.45552	9.29109	44.37036	49.32111	6.70831	1155.05336	45.90747	9.28670	7.09635	6.27518	5.45942	2.07154	45.39402	8.63331
1.00000	7.78253	7.72339	7.19917	11.80290	6.26667	12.29463	57.42590	6.29800	1152.42810	36.20887	9.14197	7.48669	8.59964	7.87053	2.00782	51.21667	7.81812
0.00000	6.92602	14.31664	7.35975	10.53326	33.72798	52.04041	44.82400	10.22200	1141.70820	46.63724	11.25782	5.86435	3.90863	6.53756	13.65114	53.53395	7.39563
0.00000	6.96701	23.53780	10.20473	6.90296	-8.2503	38.39389	71.90893	5.74647	1199.01366	44.64116	6.75575	6.45857	9.15977	7.28327	0.27988	37.08819	8.97721
0.00000	7.42666	21.74319	5.02657	6.53402	113.13148	43.37692	37.76587	7.30562	1138.18133	52.99816	4.84688	3.08045	8.64169	6.19181	0.24947	23.02677	6.29665
0.00000	6.57731	25.05416	8.85817	6.45323	-74.01042	73.47684	52.87094	5.75539	1067.94525	69.12828	8.71279	5.85902	7.18037	6.56977	1.38694	41.50343	7.95404
0.00000	7.72414	11.51280	6.22124	5.63913	-88.27205	72.00951	24.73777	9.49088	1161.85283	90.64048	6.77245	6.98233	5.36305	6.59216	0.60662	44.27804	5.77161
1.00000	6.63128	12.84854	4.75326	7.75941	111.50861	45.68343	35.90335	8.87739	1141.99944	52.24998	6.46196	5.38349	10.55684	9.64814	0.33528	32.54278	6.21623
0.00000	7.31083	14.03381	8.03425	6.17009	78.25795	47.18501	51.46578	6.54398	1121.33480	71.94974	7.79841	6.44900	9.72627	8.79749	0.66384	9.82564	7.47831
1.00000	8.16016	5.59474	5.79141	4.49916	-94.74049	27.90191	39.83901	7.85953	1060.67211	55.31518	7.64407	4.69376	7.00811	6.86849	0.62524	32.5007	7.53629
1.00000	9.25849	40.06289	6.84697	5.59230	10.30215	40.68442	54.62050	10.19891	1174.48321	48.60295	2.06259	8.54631	10.97918	6.57325	0.26373	53.94313	7.38551
1.00000	9.52851	17.59803	3.42725	6.03736	-43.80139	76.91779	51.24126	5.78304	1080.14169	16.85450	6.07203	3.53112	6.77941	8.13824	0.40258	-20.25333	7.17281
1.00000	8.36424	7.94413	6.28681	8.37753	104.1451	70.60884	67.44068	9.12867	1093.03833	40.67785	7.91202	3.95713	6.25683	6.66061	0.85278	15.79408	7.47390
1.00000	8.45276	32.78238	6.54752	12.34840	73.66633	44.99950	48.26212	6.74592	1077.35920	60.46215	10.07012	8.26292	7.88490	7.41964	4.38877	25.92493	6.89104
0.00000	6.77527	14.78234	9.99342	5.74094	10.58082	66.86523	28.38118	3.89174	1113.68485	46.20545	11.28762	6.57548	7.68159	6.87015	13.93151	35.72917	6.67751
1.00000	5.76056	17.22470	7.70507	4.23115	6.26667	69.28779	58.39164	9.39779	1078.82049	28.41581	7.35246	6.13556	7.63087	7.12025	0.49566	51.21667	5.62312
0.00000	7.14389	18.43730	8.64582	7.39204	85.94001	29.84794	32.57630	5.14213	1181.78913	46.04394	8.95519	5.39316	8.00714	5.36785	1.63763	25.49043	7.10170
0.00000	6.32697	38.68363	8.27130	6.61733	2.2469	46.06457	42.09066	4.63673	1118.76868	39.41695	8.69616	5.97404	7.93750	7.59898	1.32291	48.90472	8.70572
1.00000	8.91159	9.18186	5.33917	4.28791	37.49338	64.13424	56.54390	7.97905	1087.82435	77.43374	5.94419	6.11387	7.53477	6.48953	0.34840	55.62047	7.49250
1.00000	8.85849	24.31150	6.41135	8.08216	-37.07167	46.54845	45.41154	6.90188	1180.64364	38.11125	8.70091	5.97322	7.66245	8.82083	1.27591	-10.91111	7.81529
0.00000	9.01931	23.75039	5.11498	6.33000	-87.45476	36.03422	46.13004	7.61359	1188.64036	40.92189	4.85746	5.42904	3.95860	6.66790	0.19744	41.47892	6.90023
0.00000	8.81131	22.22826	7.42113	8.17330	117.59152	46.76622	48.07201	10.95129	1133.13115	52.43983	5.34334	4.76921	5.78024	7.67166	0.32380	3.31332	7.18708
1.00000	8.02971	20.26043	5.71589	7.64144	-96.39774	53.94783	44.99060	7.48717	1178.13783	52.67058	4.82019	7.23426	8.25390	7.20850	0.21392	30.16688	7.67233
0.00000	7.10255	19.65510	5.88319	6.08333	-1.32471	31.95482	33.23863	7.84576	1177.61477	29.03572	5.88430	5.69822	7.33639	7.87540	0.11414	51.40148	9.03141
1.00000	7.29485	22.48467	7.58971	6.78325	-62.64102	48.36163	29.07810	10.05232	1077.29143	45.54058	6.83354	6.56820	9.08359	5.13791	0.37357	8.35122	7.09792
1.00000	8.58539	31.55280	7.61200	7.31184	121.12251	74.70446	40.96787	9.29522	1129.12083	63.73480	7.26816	7.93738	8.68528	7.39301	0.51329	14.62578	7.29186
0.00000	8.74717	24.66568	4.71745	4.88975	55.4504	56.39963	45.25388	6.31649	1166.80334	46.00839	5.48766	5.99588	4.30115	6.94880	0.20789	-20.88231	7.23683
0.00000	6.57354	8.28756	6.18012	5.00088	57.3552	40.15935	49.34646	9.09479	1107.42081	47.81294	7.96487	5.36931	9.70790	6.66987	0.65347	51.4781	7.60946
1.00000	6.26761	3.68345	5.00216	3.75061	-104.22884	53.34356	45.18852	7.67729	1058.56585	51.39415	8.32291	3.05162	6.60018	5.86939	1.19520	32.42067	6.78157
1.00000	7.19673	14.17672	3.82318	9.54233	120.14278	40.41949	43.42644	10.77429	1062.74603	45.02360	6.60360	8.03582	13.12355	7.55342	0.45207	32.50611	5.63934
0.00000	5.94186	16.32559	6.07074	4.78238	9.22796	65.72322	48.04749	7.99360	1066.19839	56.72746	7.03939	8.56286	4.42026	5.78297	0.53647	48.46458	8.01030
1.00000	6.34846	13.05765	4.04642	9.22840	-75.69947	54.79054	58.49776	6.91740	1154.37454	61.31525	9.35021	4.80289	5.12954	7.22805	2.25238	8.79577	7.76552
1.00000	6.69110	17.10422	9.51235	5.07682	118.53333	56.70336	41.00967	9.81939	1152.87160	43.15703	5.68085	6.19097	8.02328	6.16296	0.41224	27.92333	8.86259
0.00000	6.94341	13.15558	6.50084	7.58857	101.18445	32.21757		8.78510	1154.91145	64.04120	5.21852	4.79930	5.00500	8.27580	0.27310	13.44581	7.71770
0.00000	8.84696	15.37643	7.02101	7.33563	37.92792	67.35060	53.69397	7.33827	1124.92257	37.24115	7.90845	4.47386	9.13209	8.22235	0.84579	53.93361	7.01362
0.00000	8.40125	6.08786	4.37381	2.17401	120.89694	29.50512	42.45415	7.64618	1108.39962	54.47955	7.28738	7.23325	5.12088	7.96494	0.46871	14.95472	8.67959
0.00000	8.09929	27.81973	5.10910	5.12576	-94.41551	40.93985	60.90680	8.08635	1110.38117	72.88670	10.32536	6.36574	9.85533	8.44834	5.44309	39.09112	8.48731
1.00000	6.22267	20.47758	7.91609	7.18438	106.85417	33.12114	41.74592	6.77937	1185.50961	48.72999	8.03363	4.43571	8.01119	8.18093	0.78734	-6.48167	6.11160
0.00000	7.29569	-2.26891	7.35647	4.72357	4.82313	81.96285	69.30975	5.50750	1129.05259	26.94636	11.61357	7.70025	8.92036	6.22076	19.28755	51.24197	6.07530
0.00000	9.41956	24.72740	10.29082	3.24514	-100.88023	37.73216	29.38874	5.74333	1197.61380	65.52036	8.80111	7.00309	8.33288	7.84968	1.36809	20.21322	6.80414
1.00000	8.58577	17.87331	6.13377	4.91800	-2.16	46.73043	47.91688	10.45776	1082.99972	56.23419	6.54258	5.89735	10.23298	7.60483	0.52861	34.31	6.63650
0.00000	6.06268	3.38292	7.90835	6.80082	75.35927	63.45689	61.98146	5.38159	1182.60005	50.86941	9.76484	4.79621	8.13490	7.94201	3.26765	12.04161	8.74273
1.00000	5.97071	5.61421	4.67925	8.17663	-73.99681	63.09904	50.83623	7.72955	1085.50696	66.35314	8.77104	7.67863	5.62511	7.94628	1.37150	40.94065	7.49917
1.00000	7.58846	10.30831	6.54326	5.63333	12.70038	56.12062	47.28577	8.40462	1131.02454		5.35532	7.41055	7.34170	7.15792	0.30516	45.9836	7.88563
1.00000	7.61868	16.73577	3.66106	7.89208	120.14278	45.17890	43.70190	8.82337	1089.84241	50.87182	9.62309	6.27379	4.31463	7.97281	2.85812	32.50611	7.86240
0.00000	8.80706	8.88023	5.56133	6.41708	-8.2194	38.73426	47.58404	8.03486	1081.11424	48.10024	5.44090	6.12990	4.92576	8.55037	0.25230	43.48961	8.13793
1.00000	6.91998	-2.65798	6.05586	9.29670	-73.89125	51.68448	37.68778	8.45786	1184.15692	27.30773	8.27569	4.67845	6.32648	8.41814	0.91091	40.67705	9.48337
1.00000	7.80672	22.72778	5.05960	5.88563	-53.13722	59.49845	30.54533	9.03924	1076.96116	50.17444	6.40805	5.03384	9.55250	6.96972	0.34352	-22.92306	7.52028
1.00000	6.72521	20.98727	6.63925	7.55580	-84.62081	52.16020	57.38052	8.93746	1089.52008	53.46650	5.14061	6.07876	9.77640	6.93277	0.43880	42.7392	6.85632
0.00000	6.74587	10.88963	8.00780	5.49533	139.6853	52.02161	52.79206	5.68476	1155.31626	30.93262	8.67547	6.98904	8.45692	8.27185	1.14085	35.815	6.01600
1.00000	7.48271	2.62236	5.82366	7.65057	-75.23266	45.28566	44.28176	9.00718	1194.77473	57.21787	8.96323	5.94469	4.81972	7.79644	1.64447	43.1009	6.14049
1.00000	7.64121	16.21738	6.14955	4.08998	-67.33122	63.71016	47.85633	7.33641	1094.86798	52.90900	5.86064	5.65193	7.18057	7.44444	0.26657	10.22677	7.64592
1.00000	7.46480	10.89892	6.31637	9.51625	-105.36369	79.72347	59.11655	7.61727	1103.45814	29.89315	9.62025	6.70811	4.42198	7.46240	2.74770	22.49396	5.93759
