location	latitude	revision	longitude	code	QoS
Africa/Lagos	11.86064	2017-10-18	9.0027	NG	excellent
Asia/Yekaterinburg	54.48147	20 Apr 2022	53.47103	RU	average
Africa/Lagos	6.8485	08/29/2013, 00:00:00	3.64633	NG	excellent
Europe/London	51.39323	12/27/2021, 00:00:00	0.47713	GB	accep
Europe/Rome	45.9836	2016-10-26	12.70038	IT	good
Europe/Zagreb	43.50891	03 Dec 2013	16.43915	HR	good
Africa/Freetown	8.48714	03/25/2013, 00:00:00	-13.2356	SL	building
Asia/Kabul	36.21544	2017/04/19	65.93249	AF	excellent
America/Phoenix	33.35283	2014-04-23	-111.78903	US	average
Asia/Baku	38.45598	06/05/2019, 00:00:00	48.87498	AZ	good
America/New_York	40.57788	2014-05-04	-73.95958	US	excellent
Europe/Moscow	53.77166	23 Jun 2015	38.12408	RU	good
Europe/Paris	45.69558	2015-06-01	4.7934	FR	accep
Asia/Bangkok	8.43333	2015/07/05	99.96667	TH	good
Africa/Bangui	4.94273	2018-05-10	15.87735	CF	average
Asia/Seoul	37.65639	2017/07/20	126.835	KR	good
Europe/Bratislava	48.43174	2016/01/17	17.8031	SK	average
Europe/Moscow	56.03361	08/14/2014, 00:00:00	35.96944	RU	good
Europe/Amsterdam	52.57583	2017-05-01	6.61944	NL	accep
America/Puerto_Rico	18.42745	2020-11-07	-67.15407	PR	excellent
America/Los_Angeles	36.91023	2016/12/18	-121.75689	US	good
Europe/Moscow	54.03876	08/07/2014, 00:00:00	43.91385	RU	average
America/Sao_Paulo	-21.42917	14 Mar 2016	-45.94722	BR	building
Asia/Kuala_Lumpur	2.2139	2016/11/15	102.3278	MY	accep
America/Port_of_Spain	10.66668	2022-04-18	-61.51889	TT	maintenance
Europe/London	50.82882	09 Jul 2015	-0.32247	GB	building
Europe/Amsterdam	52.26083	09 Oct 2020	7.00417	NL	average
Europe/Moscow	54.03876	06/12/2019, 00:00:00	43.91385	RU	average
Asia/Kolkata	25.49043	01/23/2020, 00:00:00	85.94001	IN	average
Europe/Paris	48.98333	23 Sep 2022	2.61667	FR	average
America/New_York	34.25628	03/24/2021, 00:00:00	-78.04471	US	accep
Europe/London	55.82737	08/29/2014, 00:00:00	-4.0573	GB	excellent
Europe/Berlin	51.168	08 Mar 2018	7.973	DE	average
Europe/Amsterdam	52.26083	27 Aug 2019	7.00417	NL	average
America/Detroit	42.7392	27 Mar 2018	-84.62081	US	good
Europe/Paris	46.67535	03/12/2017, 00:00:00	5.55575	FR	good
America/Phoenix	33.50921	2013-11-27	-111.89903	US	good
America/New_York	41.16704	2017-03-05	-73.20483	US	maintenance
Asia/Kolkata	32.55531	06/27/2017, 00:00:00	76.12647	IN	excellent
Asia/Yangon	16.68911	2020-08-26	98.50893	MM	building
Europe/Helsinki	65.84811	05 Feb 2013	24.14662	FI	good
America/New_York	40.67705	2022/03/19	-73.89125	US	accep
America/New_York	28.90054	2013/11/13	-81.26367	US	accep
America/New_York	39.45621	08/11/2022, 00:00:00	-77.96389	US	accep
Europe/London	53.38333	2016-02-21	-0.76667	GB	excellent
Europe/London	51.39148	2015-10-07	-0.29825	GB	accep
Africa/Casablanca	33.92866	09/13/2013, 00:00:00	-6.90656	MA	excellent
Europe/Oslo	68.79833	16 Dec 2019	16.54165	NO	excellent
America/Argentina/Buenos_Aires	-34.64167	2017-07-24	-60.47389	AR	accep
America/Mazatlan	22.49396	2017-09-28	-105.36369	MX	good
America/Los_Angeles	33.52253	2016/01/27	-117.70755	US	accep
Africa/Dar_es_Salaam	-10.33333	09/16/2016, 00:00:00	39.28333	TZ	accep
Europe/Paris	46.67535	12/12/2021, 00:00:00	5.55575	FR	maintenance
Asia/Jakarta	-7.73379	2020-10-03	113.69785	ID	excellent
America/Chicago	42.55308	2021/07/07	-87.93341	US	accep
Europe/London	51.35084	06/02/2021, 00:00:00	-1.99421	GB	average
Europe/London	51.78967	04/14/2018, 00:00:00	1.15597	GB	average
Asia/Kolkata	14.62072	2018/10/02	74.83554	IN	building
Europe/Minsk	53.5942	2017/02/23	25.8191	BY	average
Africa/Lagos	12.74482	2019/01/01	4.52514	NG	excellent
Europe/London	52.48173	2013-08-10	-2.12139	GB	building
Europe/Kiev	45.99194	2016-07-07	29.41824	UA	average
America/Toronto	42.8334	2014-05-29	-80.38297	CA	accep
Asia/Tokyo	35	2022/02/12	136.51667	JP	accep
America/Port-au-Prince	18.57677	2015/08/21	-72.22625	HT	good
Indian/Antananarivo	-21.15	09 Nov 2017	46.58333	MG	excellent
America/Toronto	43.86682	03/05/2016, 00:00:00	-79.2663	CA	average
America/New_York	43.1009	2021-09-04	-75.23266	US	building
Asia/Karachi	29.38242	05/26/2016, 00:00:00	70.91106	PK	maintenance
Europe/Madrid	41.91738	2014/03/21	3.1631	ES	maintenance
America/Mexico_City	17.94979	11/21/2016, 00:00:00	-94.91386	MX	excellent
Asia/Shanghai	27.92333	22 Nov 2015	118.53333	CN	good
Asia/Vladivostok	45.47885	06 Nov 2018	133.42825	RU	good
America/Chicago	32.35126	2019-04-05	-95.30106	US	accep
Asia/Tokyo	35.82756	2021-07-10	137.95378	JP	maintenance
America/Santarem	-3.20333	03/11/2013, 00:00:00	-52.20639	BR	accep
Africa/Kampala	3.02013	05/17/2015, 00:00:00	30.91105	UG	building
Europe/Berlin	53.6052	27 Apr 2014	10.03988	DE	good
Europe/Rome	45.9836	28 Feb 2018	12.70038	IT	good
Asia/Shanghai	30.24706	2018-02-06	115.04814	CN	excellent
America/Indiana/Indianapolis	39.78504	19 Jan 2016	-85.76942	US	good
Africa/Dar_es_Salaam	-7.60361	02/20/2021, 00:00:00	37.00438	TZ	excellent
Asia/Makassar	3.31332	2015-01-18	117.59152	ID	average
Europe/Rome	45.78071	2018-10-02	12.84052	IT	accep
Europe/Amsterdam	52.26083	2021-12-25	7.00417	NL	maintenance
Europe/London	50.82882	2014-09-25	-0.32247	GB	good
Asia/Almaty	43.41949	2013/04/03	77.0202	KZ	excellent
Africa/Lagos	4.92675	2014-08-15	6.26764	NG	average
Asia/Kolkata	14.62072	02 Dec 2018	74.83554	IN	maintenance
America/Sao_Paulo	-22.45667	16 Feb 2015	-47.53028	BR	excellent
America/Mexico_City	20.74122	2016-08-03	-100.44843	MX	average
Europe/Zurich	47.30997	05/19/2017, 00:00:00	8.52462	CH	excellent
America/Sao_Paulo	-22.53722	2014-09-26	-42.98194	BR	building
Asia/Tokyo	35.815	10 May 2019	139.6853	JP	good
Europe/Kiev	47.56494	2022/02/20	31.33078	UA	good
America/Caracas	9.91861	2020/01/02	-68.30472	VE	maintenance
Europe/London	52.68333	21 Oct 2013	0.93333	GB	maintenance
Asia/Tokyo	35	06 May 2016	136.51667	JP	average
Asia/Shanghai	34.85	05/16/2018, 00:00:00	117.33333	CN	maintenance
America/Chicago	41.84364	03/23/2019, 00:00:00	-87.71255	US	excellent
Africa/Kampala	2.41669	08/26/2020, 00:00:00	30.98551	UG	good
Asia/Jakarta	-7.01833	2016/02/16	107.60389	ID	good
Europe/Moscow	53.53041	2016-05-09	43.67663	RU	maintenance
Europe/Paris	48.79325	03/15/2015, 00:00:00	2.29275	FR	building
Asia/Shanghai	27.85	04/12/2013, 00:00:00	112.9	CN	building
America/Vancouver	49.88307	2018-10-25	-119.48568	CA	accep
America/New_York	40.24537	09 Mar 2017	-75.64963	US	building
Europe/Rome	45.39402	2017-03-01	9.29109	IT	good
Asia/Shanghai	34.56861	2018-03-06	105.89333	CN	good
America/Bogota	10.98778	07 Jul 2022	-74.95472	CO	excellent
Europe/Berlin	49.03685	2013/05/09	8.70745	DE	excellent
Asia/Shanghai	38.40917	08/09/2018, 00:00:00	112.73333	CN	building
Asia/Jakarta	-1.26424	2013-03-04	104.09701	ID	maintenance
Asia/Yekaterinburg	51.78771	10 Sep 2022	56.36091	RU	maintenance
Europe/Moscow	53.53395	2015-03-01	33.72798	RU	accep
America/Los_Angeles	45.49428	2017/06/21	-122.86705	US	average
Africa/Ndjamena	12.18441	2015-07-14	18.69303	TD	accep
America/Chicago	45.0408	2021-05-23	-93.263	US	maintenance
Europe/Paris	48.98994	10/10/2016, 00:00:00	2.1699	FR	excellent
America/Mexico_City	20.28527	2017/09/19	-103.42897	MX	excellent
Asia/Kolkata	21.59983	26 Jun 2020	71.21169	IN	building
Asia/Kolkata	20.88098	12/10/2019, 00:00:00	75.11937	IN	accep
America/Sao_Paulo	-28.81833	2019-10-21	-52.51028	BR	average
Europe/Oslo	68.79833	05/14/2015, 00:00:00	16.54165	NO	good
Africa/Kinshasa	-4.5833	30 Apr 2019	15.16554	CD	average
America/Puerto_Rico	18.42745	24 Nov 2015	-67.15407	PR	average
Indian/Antananarivo	-17.83333	2022-06-15	48.41667	MG	building
Australia/Sydney	-34.28853	2021-07-28	146.05093	AU	excellent
Asia/Shanghai	32.54278	2013-07-22	111.50861	CN	accep
Europe/Istanbul	39.22493	08/04/2013, 00:00:00	42.85693	TR	good
America/Chicago	41.47892	2014/12/24	-87.45476	US	good
Europe/Berlin	52.53048	01/04/2015, 00:00:00	13.29371	DE	excellent
America/Boise	43.54072	17 Feb 2015	-116.56346	US	accep
Europe/Berlin	51.30001	2017-04-29	13.10984	DE	good
Europe/Madrid	37.13548	13 Oct 2012	-3.67029	ES	good
America/Lima	-3.74912	2019-05-09	-73.25383	PE	good
Europe/Helsinki	60.2052	2020/02/26	24.6522	FI	maintenance
Europe/Paris	48.90472	2022/04/11	2.2469	FR	average
Asia/Kolkata	33.37526	2016-09-21	74.3092	IN	accep
Europe/Madrid	39.96348	22 Jun 2015	-4.83076	ES	average
Europe/Paris	46.67535	2016-04-09	5.55575	FR	excellent
Asia/Yekaterinburg	60.97944	11 Feb 2018	76.92421	RU	average
Asia/Bangkok	14.64056	02/10/2014, 00:00:00	104.64992	TH	maintenance
Africa/Nairobi	3.11988	10 Jul 2017	35.59642	KE	excellent
Asia/Seoul	37.1759	18 Dec 2015	128.9889	KR	accep
America/Mexico_City	20.21322	08 Jan 2013	-100.88023	MX	accep
Europe/Madrid	43.48961	2017-02-17	-8.2194	ES	average
Europe/Rome	40.87363	12 Apr 2018	14.34085	IT	excellent
America/Chicago	32.35126	24 Mar 2019	-95.30106	US	good
America/New_York	41.14676	19 Dec 2021	-73.49484	US	accep
Asia/Seoul	37.1759	2018/07/14	128.9889	KR	excellent
America/New_York	41.0051	05/24/2015, 00:00:00	-73.78458	US	excellent
Asia/Kolkata	19.30157	2021/10/31	72.85107	IN	good
Asia/Baku	41.09246	01/03/2014, 00:00:00	45.36561	AZ	good
Africa/Maputo	-23.85972	12/15/2019, 00:00:00	35.34722	MZ	good
Europe/Moscow	44.92934	27 Feb 2019	37.99117	RU	good
Africa/Casablanca	34.31	2022/05/22	-2.16	MA	good
Asia/Jakarta	-7.51611	2017-05-20	109.05389	ID	average
Europe/Berlin	52.86147	2015/03/26	9.5926	DE	excellent
Indian/Antananarivo	-17.83333	06/10/2018, 00:00:00	48.41667	MG	good
Africa/Porto-Novo	8.88649	08/05/2014, 00:00:00	2.59753	BJ	average
Europe/Moscow	56.85836	17 May 2019	35.90057	RU	accep
America/Bahia	-15.675	2019-04-13	-38.94722	BR	excellent
Europe/Moscow	53.93361	2019/03/31	37.92792	RU	excellent
Asia/Tokyo	34.61667	2018/10/24	135.6	JP	building
Europe/London	57.47908	12 May 2020	-4.22398	GB	excellent
Asia/Shanghai	32.50611	04/29/2016, 00:00:00	120.14278	CN	excellent
Europe/Vienna	47.05	2016-11-16	15.46667	AT	excellent
Europe/London	50.79205	10 Feb 2019	-1.08593	GB	excellent
Europe/Vilnius	55.25	23 Feb 2020	24.75	LT	acceptable
Europe/Kiev	49.07866	16 Mar 2016	30.96755	UA	good
Asia/Tokyo	33.3213	2014-02-17	130.94098	JP	excellent
America/New_York	40.81	08/21/2015, 00:00:00	-73.9625	US	building
Asia/Bangkok	13.8196	2016/09/21	100.04427	TH	maintenance
Europe/Rome	40.55851	04/25/2018, 00:00:00	17.80774	IT	accep
Europe/Rome	37.49223	2019/02/21	15.07041	IT	accep
America/Sao_Paulo	-23.7975	07/22/2015, 00:00:00	-48.59278	BR	average
Asia/Kolkata	12.04161	2015-12-01	75.35927	IN	excellent
Europe/Berlin	49.13645	2015/08/09	8.91229	DE	excellent
Europe/London	53.19146	2017/01/02	-2.52398	GB	good
Africa/Cairo	31.20176	2019-12-18	29.91582	EG	accep
Europe/Rome	40.55851	2021/06/19	17.80774	IT	good
America/New_York	41.48199	08/30/2014, 00:00:00	-81.79819	US	excellent
America/New_York	41.66394	2018-06-14	-83.55521	US	excellent
Europe/Rome	43.78956	2014-06-22	7.60872	IT	building
America/Bogota	7.83389	04/01/2014, 00:00:00	-72.47417	CO	accep
Europe/Stockholm	61.72744	2015/02/27	17.10558	SE	excellent
America/New_York	29.65163	22 Jan 2019	-82.32483	US	building
Europe/Paris	46.67535	2015/01/16	5.55575	FR	good
Africa/Banjul	13.56667	2014/08/31	-15.6	GM	excellent
Europe/Istanbul	39.12074	09/03/2022, 00:00:00	27.18052	TR	accep
Asia/Bangkok	15.46063	05/13/2014, 00:00:00	99.89166	TH	average
Europe/Madrid	39.96348	2022-02-24	-4.83076	ES	accep
Asia/Shanghai	45.75279	2019/12/08	130.57211	CN	good
Asia/Kolkata	14.46693	2018/07/29	75.92694	IN	good
Asia/Karachi	27.52948	2013-03-23	68.75915	PK	average
Europe/Istanbul	40.1675	03 Oct 2018	34.37389	TR	maintenance
Asia/Karachi	25.95533	04/20/2013, 00:00:00	68.88871	PK	building
America/Chicago	32.5007	08/11/2016, 00:00:00	-94.74049	US	good
Europe/Madrid	42.64685	2021/12/10	-5.55835	ES	excellent
Asia/Kolkata	24.81757	10/19/2015, 00:00:00	84.63445	IN	excellent
Asia/Tokyo	34.75856	01/01/2016, 00:00:00	136.13108	JP	building
Asia/Kolkata	26.44931	2015/12/26	91.61356	IN	excellent
America/Sao_Paulo	-21.42917	2015/05/04	-45.94722	BR	building
Europe/Berlin	51.21667	02/18/2019, 00:00:00	6.26667	DE	good
Europe/Moscow	43.35071	2019-04-22	46.10925	RU	maitennce
Africa/Banjul	13.56667	2019-09-24	-15.6	GM	accep
America/New_York	40.68066	2015-07-18	-73.47429	US	maitennce
America/Denver	32.42067	2015-09-10	-104.22884	US	average
Europe/Sofia	43.4125	06/13/2022, 00:00:00	23.225	BG	good
America/New_York	40.64621	2014/03/28	-73.97069	US	maintenance
America/Puerto_Rico	18.42745	03 May 2021	-67.15407	PR	accep
America/Chicago	44.27804	2014-11-23	-88.27205	US	average
Europe/Paris	48.86667	03/08/2018, 00:00:00	2.08333	FR	building
Europe/Berlin	52.59319	2013-08-11	13.32127	DE	building
Europe/Amsterdam	52.57583	01/17/2013, 00:00:00	6.61944	NL	excellent
Africa/Monrovia	7.57944	12 Jul 2014	-8.53778	LR	good
Europe/Paris	46.32313	2019/11/14	-0.45877	FR	average
Europe/Berlin	53.94313	05/24/2021, 00:00:00	10.30215	DE	maintenance
Europe/Amsterdam	51.95838	2014/05/28	4.47124	NL	good
Asia/Tokyo	35	10/12/2019, 00:00:00	136.51667	JP	good
Europe/Amsterdam	52.57583	10 Jun 2014	6.61944	NL	accep
Asia/Yekaterinburg	54.48147	2017-05-30	53.47103	RU	excellent
Africa/Tripoli	30.75545	26 Feb 2017	20.22625	LY	good
Asia/Hebron	31.78336	2013/04/08	35.23388	PS	average
Europe/London	51.42708	2015-07-06	-0.91979	GB	maintenance
Africa/Accra	5.30383	2015-05-01	-1.98956	GH	good
Europe/Berlin	48.06919	2014-03-09	11.37703	DE	accep
Europe/Moscow	55.85	11/29/2017, 00:00:00	37.56667	RU	good
America/Panama	9.15093	02/05/2022, 00:00:00	-79.62098	PA	good
Asia/Manila	12.35275	2017/08/10	121.06761	PH	good
Asia/Tehran	32.65246	07/12/2020, 00:00:00	51.67462	IR	building
Asia/Shanghai	35.50056	07/15/2016, 00:00:00	117.63083	CN	average
America/Denver	39.57582	03 Dec 2018	-105.11221	US	excellent
Europe/Rome	40.53123	04/04/2022, 00:00:00	17.58522	IT	accep
Europe/Moscow	55.38752	04 Jan 2018	36.73307	RU	maitennce
Asia/Shanghai	42.64031	22 Dec 2019	125.51176	CN	good
America/Chicago	30.5427	03 Dec 2021	-97.54667	US	average
Asia/Kolkata	26.11527	2017/04/15	86.59509	IN	good
Europe/Paris	48.8222	2020/10/28	2.12213	FR	accep
Asia/Kolkata	23.49668	11/13/2013, 00:00:00	86.68363	IN	average
America/New_York	41.48199	09/16/2013, 00:00:00	-81.79819	US	excellent
America/Santiago	-30.60106	27 Dec 2020	-71.19901	CL	accep
America/New_York	39.32011	06 Oct 2015	-76.51552	US	accep
Europe/Paris	43.2907	2019-02-26	5.4384	FR	accep
Europe/Brussels	50.56149	2017-01-04	4.69889	BE	good
America/New_York	29.65163	2014/02/06	-82.32483	US	good
Africa/Algiers	35.06544	2022-07-23	1.04945	DZ	good
Africa/Algiers	35.21222	2013/07/03	2.31889	DZ	average
Europe/Rome	43.1122	09/30/2015, 00:00:00	12.38878	IT	maintenance
Africa/Tripoli	30.75545	2016-11-27	20.22625	LY	average
America/Santiago	-33.59217	07/28/2022, 00:00:00	-70.6996	CL	building
Europe/Moscow	56.85836	01/20/2019, 00:00:00	35.90057	RU	average
Asia/Manila	10.20898	08/24/2016, 00:00:00	123.758	PH	average
Europe/London	53.19146	2021-07-12	-2.52398	GB	accep
Europe/London	51.42708	06 Nov 2018	-0.91979	GB	accep
Africa/Johannesburg	-26.93366	27 Jul 2015	29.24152	ZA	average
America/Maceio	-10.91111	2022/01/24	-37.07167	BR	excellent
Asia/Kolkata	19.21667	30 Sep 2014	73.08333	IN	excellent
America/Sao_Paulo	-28.24	17 Jun 2016	-48.67028	BR	excellent
Asia/Yekaterinburg	58.63667	15 Feb 2015	59.80222	RU	average
Europe/Berlin	51.30001	05 Jul 2013	13.10984	DE	maintenance
Europe/Rome	37.51803	2015-09-04	15.00913	IT	accep
America/New_York	28.54944	11 Jan 2013	-81.77285	US	average
America/Chicago	41.80753	2020/03/16	-87.65644	US	excellent
Asia/Kolkata	22.75218	2017/09/27	72.68533	IN	average
America/New_York	33.08014	01/16/2018, 00:00:00	-83.2321	US	maintenance
America/New_York	43.1009	04/20/2020, 00:00:00	-75.23266	US	excellent
Europe/Amsterdam	53.16167	2022-09-02	6.76111	NL	good
America/Sao_Paulo	-22.53722	04 Sep 2014	-42.98194	BR	excellent
America/Phoenix	33.35283	26 Mar 2017	-111.78903	US	building
America/Chicago	32.5007	2013/05/26	-94.74049	US	excellent
Asia/Shanghai	23.73333	02/21/2016, 00:00:00	114.68333	CN	excellent
Europe/Kiev	50.18545	2021/06/04	27.06365	UA	good
Europe/Paris	48.77644	12/13/2013, 00:00:00	2.29026	FR	average
America/Havana	20.14298	05 Mar 2019	-77.43532	CU	good
America/Argentina/Buenos_Aires	-34.74785	05 Jan 2016	-58.70072	AR	good
America/Chicago	31.12406	24 Jan 2022	-97.90308	US	good
Europe/Saratov	51.40944	20 Sep 2020	46.04833	RU	good
America/Santiago	-36.9256	2016-08-26	-73.02841	CL	excellent
Australia/Melbourne	-38.16604	13 Nov 2014	145.13643	AU	good
Europe/Madrid	43.48961	2014/04/11	-8.2194	ES	good
Asia/Kolkata	10.10649	07/13/2022, 00:00:00	76.35484	IN	excellent
Asia/Samarkand	40.11583	2020-08-10	67.84222	UZ	excellent
Asia/Jakarta	3.3285	10 Apr 2013	99.1625	ID	building
Africa/Mogadishu	9.89206	2015/11/21	43.38531	SO	average
Europe/Belgrade	44.22639	2017/10/04	22.53083	RS	good
Asia/Shanghai	41.27194	2016/02/28	123.17306	CN	accep
America/New_York	41.55815	08/16/2015, 00:00:00	-73.0515	US	excellent
Asia/Shanghai	40.66482	20 Jan 2017	122.22833	CN	good
Europe/Bratislava	48.43174	26 Jul 2017	17.8031	SK	maintenance
Asia/Shanghai	36.19278	15 May 2015	117.65694	CN	average
Asia/Kolkata	20.88098	08/19/2016, 00:00:00	75.11937	IN	maintenance
America/Los_Angeles	33.7207	09/25/2018, 00:00:00	-116.21677	US	maintenance
Asia/Tokyo	34.4833	2020/08/22	136.84186	JP	average
Europe/Amsterdam	52.71083	26 Mar 2017	5.74861	NL	accep
Australia/Sydney	-33.75881	25 Dec 2012	150.99292	AU	excellent
Europe/London	51.39148	2015/08/25	-0.29825	GB	excellent
Asia/Kolkata	21.46527	24 Oct 2018	83.97573	IN	excellent
Asia/Kolkata	30.21121	10 Feb 2016	74.4818	IN	average
Europe/Berlin	52.4581	23 Nov 2017	13.28702	DE	accep
Europe/Rome	45.44694	08/12/2016, 00:00:00	8.62118	IT	accep
Asia/Karachi	31.71667	19 Mar 2014	73.38333	PK	building
America/Caracas	10.22677	19 Feb 2020	-67.33122	VE	building
America/Bogota	3.8801	2019-05-28	-77.03116	CO	good
America/Matamoros	25.87972	2019-03-08	-97.50417	MX	accep
Asia/Karachi	29.38242	03 Feb 2021	70.91106	PK	average
America/Detroit	42.7392	2022-03-10	-84.62081	US	good
America/Bogota	4.73245	28 Apr 2015	-74.26419	CO	maintenance
Africa/Lagos	4.92675	2019/06/22	6.26764	NG	accep
Australia/Sydney	-34.28853	04/14/2019, 00:00:00	146.05093	AU	average
Europe/Brussels	50.8	2016-02-13	3.16667	BE	average
America/Boise	43.54072	2013/03/02	-116.56346	US	accep
America/Tegucigalpa	15.48131	2019/09/05	-86.57415	HN	accep
America/Bogota	10.15031	08 Jul 2022	-73.9614	CO	maintenance
Africa/Lagos	6.45407	07/24/2016, 00:00:00	3.39467	NG	average
Europe/London	51.78967	18 Oct 2016	1.15597	GB	maintenance
Asia/Aqtobe	47.83333	2017/03/14	59.6	KZ	building
Europe/Madrid	38.47917	03/18/2018, 00:00:00	-1.325	ES	accep
Asia/Seoul	37.65639	23 May 2021	126.835	KR	average
Europe/Paris	48.90472	2019/01/10	2.2469	FR	accep
Europe/Istanbul	37.05944	03/29/2021, 00:00:00	37.3825	TR	excellent
America/Maceio	-10.91722	01 Mar 2022	-37.65	BR	excellent
Europe/London	53.69786	10/11/2015, 00:00:00	-2.68758	GB	accep
Asia/Shanghai	27.85	2016-12-21	112.9	CN	maintenance
Asia/Baghdad	32.61603	17 May 2018	44.02488	IQ	accep
America/Bahia	-10.95817	19 Nov 2015	-38.79084	BR	excellent
Europe/London	50.79205	2018-07-27	-1.08593	GB	excellent
America/New_York	40.60538	25 Jun 2018	-73.75513	US	maintenance
America/Bogota	8.79577	2021/11/30	-75.69947	CO	accep
America/Chicago	45.16024	2017-01-27	-93.08883	US	building
Asia/Jakarta	-7.01833	05/01/2018, 00:00:00	107.60389	ID	average
Europe/Berlin	50.80904	2013/03/22	8.77069	DE	good
Asia/Shanghai	35.85	05 Feb 2022	117.7	CN	excellent
America/Puerto_Rico	18.42745	2018/09/29	-67.15407	PR	average
Europe/Lisbon	37.08819	2015-09-15	-8.2503	PT	building
Asia/Kuala_Lumpur	4.88441	27 Oct 2020	101.96857	MY	excellent
Europe/Warsaw	51.14942	01 Jan 2015	15.00835	PL	excellent
Europe/Moscow	54.39304	02 Oct 2019	53.26023	RU	maintenance
Europe/Bucharest	44.43579	2018-03-19	26.01649	RO	building
Europe/Zaporozhye	49.41029	2015/03/19	38.15035	UA	average
Africa/Dar_es_Salaam	-5.41667	2021-03-03	38.01667	TZ	good
America/Bahia	-12.91667	2015-04-05	-39.25	BR	maintenance
Europe/Oslo	68.79833	04/02/2018, 00:00:00	16.54165	NO	excellent
America/Indiana/Indianapolis	41.75338	08/01/2016, 00:00:00	-86.11084	US	accep
Africa/Porto-Novo	8.88649	30 Sep 2020	2.59753	BJ	accep
America/New_York	40.24537	2014-02-21	-75.64963	US	accep
Africa/Maputo	-23.85972	04/20/2017, 00:00:00	35.34722	MZ	good
Asia/Manila	10.20898	16 Feb 2013	123.758	PH	average
America/Chicago	35.25064	2017/01/25	-91.73625	US	good
America/Los_Angeles	34.09611	2020/11/21	-118.10583	US	average
