station	longitude	QoS	code	latitude	revision
Kearns	-111.99633	good	US	40.65995	04/16/2016, 00:00:00
Emmeloord	5.74861	good	NL	52.71083	2014/04/06
Hungund	76.0586	average	IN	16.06213	28 Sep 2012
Arles	4.63031	accep	FR	43.67681	02/13/2015, 00:00:00
Herblay	2.1699	excellent	FR	48.98994	25 Jun 2015
Sillanwali	72.54064	excellent	PK	31.82539	21 Oct 2018
Oktyabr’skiy	53.47103	accep	RU	54.48147	05/26/2019, 00:00:00
Kuvandyk	57.3552	good	RU	51.4781	01 Oct 2014
Baliuag	120.89694	excellent	PH	14.95472	01/27/2016, 00:00:00
Jaruco	-82.00919	good	CU	23.04419	2013/03/19
Abilene	-99.73314	excellent	US	32.44874	2012/12/22
Otegen Batyra	77.0202	average	KZ	43.41949	08/22/2016, 00:00:00
Keizer	-123.02621	average	US	44.99012	2020/10/08
Deoli	75.37991	good	IN	25.75728	2016/08/20
Cordenons	12.70038	maintenance	IT	45.9836	2021-11-03
Hudiksvall	17.10558	building	SE	61.72744	12/10/2018, 00:00:00
el Camp de l'Arpa del Clot	2.18247	maintenance	ES	41.41204	20 Dec 2021
Kismayo	42.54536	average	SO	-0.35817	2017-01-25
Martinsburg	-77.96389	maintenance	US	39.45621	05/08/2021, 00:00:00
Inawashiro	140.11667	accep	JP	37.56667	2018/11/29
Jerada	-2.16	good	MA	34.31	2020/12/07
Gembloux	4.69889	excellent	BE	50.56149	2013-01-17
Beni Khiar	10.78222	maintenance	TN	36.46917	10 Apr 2018
Ulan Bator	106.88324	average	MN	47.90771	2012-11-08
Emmeloord	5.74861	average	NL	52.71083	03/09/2019, 00:00:00
West Chester	-75.60804	accep	US	39.96097	2015/02/12
Odessa	-102.36764	accep	US	31.84568	2014-01-27
Progreso	-89.66123	average	MX	21.28306	12/22/2020, 00:00:00
Carnegie	145.06667	average	AU	-37.88333	24 Oct 2017
Oldenzaal	6.92917	good	NL	52.31333	2017/11/07
Donggongon	116.10146	excellent	MY	5.90702	2012-10-15
Viradouro	-48.29694	average	BR	-20.87306	08 Sep 2022
Santa Cruz de Barahona	-71.10077	average	DO	18.20854	2015-08-18
Ksar Chellala	2.31889	good	DZ	35.21222	30 Jan 2015
Alwaye	76.35484	accep	IN	10.10649	2015/01/27
Cypress Hills	-73.89125	accep	US	40.67705	2020-04-20
Tonota	27.46153	average	BW	-21.44236	03 Mar 2016
Esmeraldas	-44.31389	average	BR	-19.7625	2016/07/04
Zhoucun	117.81667	accep	CN	36.81667	13 Dec 2015
Riverbank	-120.93549	excellent	US	37.73604	2021-03-12
Southsea	-1.08593	accep	GB	50.79205	2019/03/06
Gajendragarh	75.96976	maintenance	IN	15.73628	2015-10-03
La Ligua	-71.23106	excellent	CL	-32.45242	2017/09/08
Novosilikatnyy	83.62389	good	RU	53.30972	2017-08-12
Scottsdale	-111.89903	good	US	33.50921	2021-04-07
Middle River	-76.43941	good	US	39.33427	2014/02/15
Losser	7.00417	excellent	NL	52.26083	06 Mar 2020
Losheim	6.74549	average	DE	49.5099	2021-06-13
Quimper	-4.1	average	FR	48	30 Jul 2020
Ramla	34.86563	excellent	IL	31.92923	2014-06-24
Mexborough	-1.29243	building	GB	53.49389	18 May 2019
Ponta Delgada	-25.66689	average	PT	37.74615	2015/06/19
Denderleeuw	4.07601	building	BE	50.88506	2016-05-22
Memmingen	10.18527	excellent	DE	47.98372	03 Nov 2021
Ken Caryl	-105.11221	excellent	US	39.57582	2013-03-30
Pingyi	117.63083	good	CN	35.50056	2018/08/02
Karlovy Vary	12.87117	good	CZ	50.23271	2014/09/22
Baliuag	120.89694	accep	PH	14.95472	2013-09-28
Jambi City	103.61667	good	ID	-1.6	2022-01-03
East Haven	-72.86843	average	US	41.27621	2016-06-12
Landshut	12.16179	average	DE	48.52961	19 Jul 2021
Lons-le-Saunier	5.55575	accep	FR	46.67535	02/15/2022, 00:00:00
Tupiza	-65.71875	accep	BO	-21.44345	2013/07/04
Maasin	124.84472	accep	PH	10.13361	2013-09-24
Rafiganj	84.63445	accep	IN	24.81757	07/17/2013, 00:00:00
Azrou	-5.22126	excellent	MA	33.43443	2019-12-08
Novelda	-0.76773	good	ES	38.38479	2018-10-08
Artur Nogueira	-47.1725	accep	BR	-22.57306	12/13/2021, 00:00:00
Meerut	77.70636	building	IN	28.98002	2017-03-26
Progreso	-89.66123	accep	MX	21.28306	09/09/2018, 00:00:00
Sterling	-77.4286	average	US	39.00622	18 Jun 2022
Uran	72.93924	accep	IN	18.87813	2016-10-15
Gates-North Gates	-77.70066	average	US	43.16547	09/03/2022, 00:00:00
Taozhuang	117.33333	good	CN	34.85	11/27/2012, 00:00:00
Stupino	38.07083	excellent	RU	54.90083	2019/08/05
Mianwali	71.52847	maintenance	PK	32.57756	2020-04-01
Uran	72.93924	maintenance	IN	18.87813	2021/11/03
Rolla	-91.77127	excellent	US	37.95143	2017/04/06
Marburg an der Lahn	8.77069	accep	DE	50.80904	2021/11/26
Kushtia	89.11943	building	BD	23.9028	01/08/2016, 00:00:00
Arles	4.63031	excellent	FR	43.67681	05 Dec 2021
Meerut	77.70636	average	IN	28.98002	01 May 2018
Beni	29.47306	excellent	CD	0.49113	03 Jan 2013
Barneveld	5.58472	average	NL	52.14	2014-11-28
Bar-le-Duc	5.16108	accep	FR	48.77275	2019-11-28
Jagna	124.3697	excellent	PH	9.6531	10 Dec 2017
Manaoag	120.4861	good	PH	16.0438	2019-03-16
Sungurlu	34.37389	maintenance	TR	40.1675	2019-03-21
Davangere	75.92694	accep	IN	14.46693	2021-10-23
Tonga	10.7	building	CM	4.96667	2014/08/17
Novopavlovsk	43.63417	good	RU	43.96222	2021/04/02
Hungund	76.0586	average	IN	16.06213	2017-05-10
Kampung Ayer Molek	102.3278	excellent	MY	2.2139	2014/02/02
Qazax	45.36561	average	AZ	41.09246	31 Mar 2019
Lakota	-5.682	good	CI	5.84752	01/16/2019, 00:00:00
Leland	-78.04471	good	US	34.25628	19 Nov 2016
Valletta	14.51472	average	MT	35.89972	24 Feb 2022
Imbituba	-48.67028	accep	BR	-28.24	01/16/2021, 00:00:00
Wheelers Hill	145.18333	excellent	AU	-37.9	2021-04-28
Middle River	-76.43941	good	US	39.33427	2015-02-13
Salvatierra	-100.88023	good	MX	20.21322	16 Nov 2020
Soledade	-52.51028	maintenance	BR	-28.81833	05/05/2022, 00:00:00
Brighton Beach	-73.95958	accep	US	40.57788	04/29/2013, 00:00:00
Hartley	0.30367	average	GB	51.38673	08/20/2018, 00:00:00
Tak Bai	102.05461	good	TH	6.25947	10 Jul 2014
Donggongon	116.10146	accep	MY	5.90702	2018-01-01
Iwade	135.31667	good	JP	34.25	05 Oct 2012
Zhoushan	122.20488	excellent	CN	29.98869	2017-01-23
Alexandria	29.91582	excellent	EG	31.20176	08/10/2014, 00:00:00
Licheng	113.82465	excellent	CN	23.29549	06/25/2014, 00:00:00
Pleasant Prairie	-87.93341	excellent	US	42.55308	2018-12-16
Timaru	171.25364	building	NZ	-44.39672	2016/09/05
Tornio	24.14662	accep	FI	65.84811	06/26/2021, 00:00:00
Randudongkal	109.3243	average	ID	-7.0981	2017/05/14
Boo	18.28333	average	SE	59.33333	23 Apr 2021
Gorakhpur	83.36889	excellent	IN	26.76628	10/25/2012, 00:00:00
Pamiers	1.6	good	FR	43.11667	08/31/2019, 00:00:00
Namerikawa	137.36215	average	JP	36.75965	2021/03/25
Vitebsk	30.2049	excellent	BY	55.1904	27 Apr 2019
Thomazeau	-72.09391	average	HT	18.65297	2013/10/02
Krasyliv	26.97253	average	UA	49.65186	29 Mar 2022
T’aebaek	128.9889	average	KR	37.1759	2021/08/19
Pottstown	-75.64963	good	US	40.24537	25 Oct 2018
Hechingen	8.96317	accep	DE	48.35149	2021/03/07
Memmingen	10.18527	excellent	DE	47.98372	2013-06-21
Biu	12.19458	good	NG	10.61285	13 Mar 2015
Tarakan	117.59152	good	ID	3.31332	2018/12/08
Copperas Cove	-97.90308	average	US	31.12406	2018/11/05
Socorro	-73.26022	excellent	CO	6.46838	2012-10-11
Jalal-Abad	73	accep	KG	40.93333	2019-04-10
Chiavari	9.32241	excellent	IT	44.31771	11/30/2018, 00:00:00
Yeysk	38.2739	average	RU	46.7055	2021-09-17
Luena	19.91667	maintenance	AO	-11.78333	07/19/2013, 00:00:00
Minokamo	137.02166	building	JP	35.48199	2013/08/23
Roslavl’	32.86389	average	RU	53.95278	08 Aug 2018
Hoxtolgay	86.00214	accep	CN	46.51872	2015/02/26
Voznesensk	31.33078	maintenance	UA	47.56494	2015/08/12
Loanda	-53.13722	good	BR	-22.92306	10/31/2016, 00:00:00
Sheoganj	73.06784	accep	IN	25.13915	10/19/2013, 00:00:00
Jizzax	67.84222	accep	UZ	40.11583	30 Jul 2022
Malaut	74.4818	accep	IN	30.21121	2019-09-05
Reutlingen	9.20427	excellent	DE	48.49144	28 Dec 2013
Kahului	-156.47432	average	US	20.88953	09/24/2017, 00:00:00
Waterbury	-73.0515	acceptable	US	41.55815	2014/07/25
Sakaraha	44.53333	building	MG	-22.9	16 Nov 2014
Kireyevsk	37.92792	accep	RU	53.93361	2014/10/01
Mouscron	3.20639	building	BE	50.74497	01/10/2018, 00:00:00
Indio	-116.21677	accep	US	33.7207	2015-07-08
Kundla	71.30633	average	IN	21.34222	2020/08/04
Voznesensk	31.33078	average	UA	47.56494	19 May 2015
Yakuplu	28.67582	good	TR	40.98894	04/13/2016, 00:00:00
Namerikawa	137.36215	good	JP	36.75965	2013/02/22
Kangayam	77.5609	good	IN	11.00599	2018-02-28
Port Richmond	-74.13653	maintenance	US	40.63316	2021-04-16
Teziutlan	-97.35992	accep	MX	19.8173	04/01/2016, 00:00:00
Alfenas	-45.94722	maintenance	BR	-21.42917	24 Oct 2018
Rosemount	-93.12577	accep	US	44.73941	2020/08/17
Corralillo	-80.58556	good	CU	22.98212	03/29/2015, 00:00:00
Belper	-1.48119	good	GB	53.0233	01/31/2022, 00:00:00
Hita	130.94098	building	JP	33.3213	02/04/2020, 00:00:00
Port Richmond	-74.13653	average	US	40.63316	2014/01/28
Bang Ban	100.48528	excellent	TH	14.37395	2015-12-10
Jocotepec	-103.42897	maintenance	MX	20.28527	25 Aug 2021
Arba Minch	37.55	maintenance	ET	6.03333	09 Oct 2017
Gavrilov-Yam	39.85331	accep	RU	57.30185	2022/04/05
Sterling	-77.4286	accep	US	39.00622	22 Jun 2013
Salvatierra	-100.88023	average	MX	20.21322	2021/01/25
Culemborg	5.22778	building	NL	51.955	2021-02-10
Shahre Jadide Andisheh	51.0193	excellent	IR	35.6803	05/05/2020, 00:00:00
New Canaan	-73.49484	average	US	41.14676	12/06/2018, 00:00:00
Hermsdorf	13.31783	maintenance	DE	52.61131	2014/05/04
Lanciano	14.39024	good	IT	42.22718	2016/03/24
Chiavari	9.32241	excellent	IT	44.31771	2019/04/15
Hendala	79.883	average	LK	6.9909	06/01/2016, 00:00:00
Zhukovka	33.72798	maintenance	RU	53.53395	08/15/2015, 00:00:00
Keizer	-123.02621	average	US	44.99012	17 May 2019
Villa del Rosario	-72.47417	building	CO	7.83389	2018-05-19
Imbituba	-48.67028	excellent	BR	-28.24	17 Oct 2020
Amreli	71.21169	accep	IN	21.59983	05/08/2017, 00:00:00
Minokamo	137.02166	good	JP	35.48199	2020/10/29
Puertollano	-4.10734	accep	ES	38.68712	2021/12/25
Malnate	8.88104	maintenance	IT	45.79377	2014-12-12
Buenaventura	-77.03116	building	CO	3.8801	2014-04-19
Yonkers	-73.89875	average	US	40.93121	2013-10-08
Oulmes	-6.00137	average	MA	33.42585	2020-05-27
Calangute	73.7553	good	IN	15.5439	2014/07/08
Rutland	-72.97261	accep	US	43.61062	2013-12-04
High Wycombe	-0.74934	excellent	GB	51.62907	27 Feb 2017
Dyat’kovo	34.33825	average	RU	53.59782	2019-05-15
Yamada	141.95	accep	JP	39.46667	2020-06-25
Busia	34.11169	excellent	KE	0.46005	2021/06/19
Yasothon	104.1451	excellent	TH	15.79408	2019-12-20
Ilopango	-89.10944	good	SV	13.70167	2021-02-19
Frederiksberg	12.53463	excellent	DK	55.67938	2019/02/17
Ghat	10.18003	excellent	LY	24.96334	15 Dec 2016
Durazno	-56.52361	average	UY	-33.38056	03/09/2016, 00:00:00
Zgorzelec	15.00835	excellent	PL	51.14942	2020-02-26
Zgorzelec	15.00835	excellent	PL	51.14942	2014-06-09
Devizes	-1.99421	excellent	GB	51.35084	2022-06-30
Mesagne	17.80774	average	IT	40.55851	2016/06/20
Nonoichi	136.61667	excellent	JP	36.53333	2020-09-22
Oaxaca	-96.72365	good	MX	17.06542	06/02/2022, 00:00:00
Cuenca	-79.00453	average	EC	-2.90055	01/21/2022, 00:00:00
Bavly	53.26023	excellent	RU	54.39304	03/12/2015, 00:00:00
Krasyliv	26.97253	good	UA	49.65186	2018/01/07
Boo	18.28333	maintenance	SE	59.33333	21 Oct 2013
Labuhan Deli	98.6738	building	ID	3.7278	2017-07-29
Novogrudok	25.8191	good	BY	53.5942	10/05/2013, 00:00:00
Lesozavodsk	133.42825	building	RU	45.47885	2021-01-19
Rolla	-91.77127	average	US	37.95143	14 May 2018
Puerto Colombia	-74.95472	excellent	CO	10.98778	10 Mar 2022
Muskogee	-95.36969	average	US	35.74788	2013-05-14
An Muileann gCearr	-7.35	good	IE	53.53333	15 Apr 2021
Fort Washington	-77.02303	accep	US	38.70734	2016-09-11
Rahat	34.75699	excellent	IL	31.39547	2014/10/17
Ksar Chellala	2.31889	average	DZ	35.21222	07/04/2016, 00:00:00
Mira Mesa	-117.14392	building	US	32.9156	02 Aug 2021
Newbury	-1.32471	good	GB	51.40148	05/31/2019, 00:00:00
Liberia	-85.43772	excellent	CR	10.63504	2019-11-26
Ustka	16.86194	maintenance	PL	54.58048	2015/03/20
Simpang	104.09701	building	ID	-1.26424	01 Apr 2022
Troutdale	-122.38731	excellent	US	45.53929	2018/09/02
Sirsi	74.83554	building	IN	14.62072	2020/06/05
Rajaori	74.3092	average	IN	33.37526	2012-10-03
Kahului	-156.47432	average	US	20.88953	12 Jul 2021
Karlovy Vary	12.87117	excellent	CZ	50.23271	2015-02-02
Ferrol	-8.2194	average	ES	43.48961	07/19/2018, 00:00:00
Kallio	24.95034	average	FI	60.18427	03/22/2020, 00:00:00
Kasangulu	15.16554	building	CD	-4.5833	2016/12/08
Fresno	-95.44744	excellent	US	29.53885	2016/11/05
Davis	-121.74052	good	US	38.54491	08/03/2015, 00:00:00
Baliuag	120.89694	good	PH	14.95472	10/08/2018, 00:00:00
Crystal Lake	-88.3162	accep	US	42.24113	2014/04/25
Oulmes	-6.00137	maintenance	MA	33.42585	02 Nov 2015
Bavly	53.26023	excellent	RU	54.39304	2021/06/11
High Wycombe	-0.74934	building	GB	51.62907	2021/09/22
New City	-87.65644	accep	US	41.80753	2016/08/22
Kantharalak	104.64992	average	TH	14.64056	2015/09/23
Muritiba	-39.25	building	BR	-12.91667	2017/10/16
Yao	135.6	maintenance	JP	34.61667	24 Jul 2019
Beni Douala	4.08282	excellent	DZ	36.61954	11/27/2012, 00:00:00
Riverbank	-120.93549	good	US	37.73604	2022/07/16
Fontenay-aux-Roses	2.29275	excellent	FR	48.79325	2015-09-12
Guapimirim	-42.98194	good	BR	-22.53722	2021/10/15
Tongelre	5.51978	accep	NL	51.44889	2020/02/08
Cypress Hills	-73.89125	excellent	US	40.67705	2015-02-25
Parkent	69.67639	maintenance	UZ	41.29444	2018-08-24
Ilesa	4.74161	maintenance	NG	7.62789	2013/12/10
Osmanabad	76.03889	accep	IN	18.18158	12/08/2012, 00:00:00
Chapletown	-1.47217	building	GB	53.46506	02/19/2014, 00:00:00
Rolla	-91.77127	average	US	37.95143	2013-03-17
El Copey	-73.9614	excellent	CO	10.15031	12/19/2016, 00:00:00
Nidderau	8.86704	building	DE	50.23805	2013/07/03
Las Gabias	-3.67029	excellent	ES	37.13548	2018/10/21
Santa Rosa Jauregui	-100.44843	average	MX	20.74122	2016/02/21
Iturama	-50.19556	excellent	BR	-19.72806	2015-09-01
Haldwani	79.5286	building	IN	29.22254	2022-01-11
Krymsk	37.99117	maintenance	RU	44.92934	12/28/2021, 00:00:00
Same	37.73333	excellent	TZ	-4.06667	05/13/2013, 00:00:00
Jalal-Abad	73	maintenance	KG	40.93333	16 Sep 2020
Evergreen Park	-87.70172	accep	US	41.72059	13 Mar 2019
Ukmerge	24.75	accep	LT	55.25	08 Aug 2022
Andijon	72.34424	average	UZ	40.78206	2018/03/15
Yasothon	104.1451	average	TH	15.79408	11 Mar 2014
Dorval	-73.75335	accep	CA	45.4473	02/05/2016, 00:00:00
Malnate	8.88104	good	IT	45.79377	2019/07/15
Port Richmond	-74.13653	excellent	US	40.63316	2013-09-11
Davis	-121.74052	accep	US	38.54491	2016-12-31
Gua Musang	101.96857	maintenance	MY	4.88441	2016/01/06
Rosedale	-76.51552	excellent	US	39.32011	11/16/2019, 00:00:00
T’aebaek	128.9889	excellent	KR	37.1759	2021/02/08
Taozhuang	117.33333	accep	CN	34.85	2018/05/04
Shushary	30.38167	good	RU	59.80917	28 Nov 2013
Kamakura	139.55028	building	JP	35.30889	11/24/2018, 00:00:00
Hita	130.94098	accep	JP	33.3213	2015/09/21
Sambalpur	83.97573	building	IN	21.46527	2016-01-17
Mianwali	71.52847	maintenance	PK	32.57756	07/13/2014, 00:00:00
Keene	-72.27814	good	US	42.93369	04 Jul 2019
Montpellier	3.87723	excellent	FR	43.61092	2022/05/02
Afragola	14.30935	excellent	IT	40.92298	11/07/2020, 00:00:00
Afragola	14.30935	average	IT	40.92298	2015-07-12
Tarkwa	-1.98956	average	GH	5.30383	03 May 2020
Ken Caryl	-105.11221	accep	US	39.57582	2018-12-02
Ilesa	4.74161	accep	NG	7.62789	08 Oct 2017
'Ali Sabieh	42.7125	average	DJ	11.15583	07/08/2018, 00:00:00
Waterbury	-73.0515	excellent	US	41.55815	10 May 2022
Narwar	77.9129	building	IN	25.6439	27 Oct 2016
Lal Bahadur Nagar	78.55757	accep	IN	17.34769	2013/05/22
Muskogee	-95.36969	excellent	US	35.74788	2020-06-02
Rafiganj	84.63445	accep	IN	24.81757	18 Mar 2019
Schererville	-87.45476	average	US	41.47892	06/20/2014, 00:00:00
Redding	-122.39168	excellent	US	40.58654	2017-06-23
Abilene	-99.73314	good	US	32.44874	07/21/2014, 00:00:00
North Tustin	-117.79394	excellent	US	33.76446	11/17/2013, 00:00:00
Glendale	-118.25508	building	US	34.14251	26 Jul 2016
Jersey City	-74.07764	maintenance	US	40.72816	05/22/2013, 00:00:00
Aksaray	34.02537	accep	TR	38.37255	07/28/2021, 00:00:00
Progreso	-89.66123	excellent	MX	21.28306	07/04/2018, 00:00:00
Kherson	32.6178	average	UA	46.65581	31 Jul 2015
Gainesville	-82.32483	building	US	29.65163	2020-01-04
Nkpor	6.83042	excellent	NG	6.15038	30 Jul 2016
Kitgum	32.88667	average	UG	3.27833	2016-08-04
Narwar	77.9129	excellent	IN	25.6439	2014/04/10
Collinwood	-81.56929	maintenance	US	41.55838	07 Dec 2014
Kenda	86.51499	excellent	IN	23.1959	2012-11-16
'Ali Sabieh	42.7125	building	DJ	11.15583	2015-09-19
Davangere	75.92694	excellent	IN	14.46693	03/24/2018, 00:00:00
Carnegie	145.06667	excellent	AU	-37.88333	17 Oct 2018
Athlone	-7.95	accep	IE	53.43333	2014/04/30
Burscheid	7.11393	accep	DE	51.08468	31 Oct 2016
Gembloux	4.69889	good	BE	50.56149	2017-11-26
Jalal-Abad	73	accep	KG	40.93333	05/19/2019, 00:00:00
Siegburg	7.20769	average	DE	50.80019	05 Dec 2017
Newburgh	-74.01042	accep	US	41.50343	2012-12-15
Athlone	-7.95	average	IE	53.43333	04/07/2022, 00:00:00
Sangla Hill	73.38333	maintenance	PK	31.71667	2022/04/29
South Lawndale	-87.71255	accep	US	41.84364	2018/01/26
Barracas	-58.38341	good	AR	-34.64966	2018-02-23
Calangute	73.7553	accep	IN	15.5439	2014/06/18
Dorval	-73.75335	good	CA	45.4473	2019-09-07
Gronau	7.02238	good	DE	52.21099	2013/07/18
Beaumont	-116.97725	excellent	US	33.92946	12/14/2020, 00:00:00
Huangshi	115.04814	accep	CN	30.24706	2012-12-01
Alfenas	-45.94722	good	BR	-21.42917	2022/03/27
Stade	9.47629	building	DE	53.59337	2022/01/28
Malakhovka	38.02486	excellent	RU	55.64776	2017-10-04
Nakhon Pathom	100.04427	building	TH	13.8196	01/14/2018, 00:00:00
Les Olives	5.4584	building	FR	43.32393	2019/06/26
Talipparamba	75.35927	maintenance	IN	12.04161	2019-02-28
Santa Catalina	122.8637	average	PH	9.3337	08/14/2022, 00:00:00
Changshu City	120.74221	accep	CN	31.64615	10/14/2014, 00:00:00
Nyahururu	36.36339	average	KE	0.03813	03/09/2019, 00:00:00
Qazax	45.36561	average	AZ	41.09246	2014/02/23
Ganei Tikva	34.8732	average	IL	32.05971	08/12/2021, 00:00:00
Bridgeport	-73.20483	accep	US	41.16704	2020/04/03
Talisay	122.9666	accep	PH	10.7375	03 Nov 2018
Saint-Denis	55.4504	average	RE	-20.88231	01/06/2016, 00:00:00
Zvenihorodka	30.96755	maintenance	UA	49.07866	2014-07-28
Ulan Bator	106.88324	excellent	MN	47.90771	09/06/2019, 00:00:00
Labuhan Deli	98.6738	accep	ID	3.7278	30 Dec 2012
Kahului	-156.47432	average	US	20.88953	2013/10/26
Ushuaia	-68.3	building	AR	-54.8	02/18/2015, 00:00:00
Tonota	27.46153	maintenance	BW	-21.44236	2015/06/04
Jersey City	-74.07764	maintenance	US	40.72816	2017/01/26
Carnot	15.87735	maintenance	CF	4.94273	26 Oct 2012
Hlohovec	17.8031	good	SK	48.43174	2019-03-01
Salima	34.4587	average	MW	-13.7804	31 May 2017
Quimper	-4.1	maintenance	FR	48	2013-03-26
Zaozhuang	117.55417	accep	CN	34.86472	30 Apr 2018
Darreh Shahr	47.3799	accep	IR	33.14447	16 Nov 2014
Rueil-Malmaison	2.18967	accep	FR	48.8765	2020-08-16
Ariccia	12.6723	building	IT	41.72063	2018/08/24
Oulmes	-6.00137	good	MA	33.42585	02 Jul 2015
Viewpark	-4.0573	building	GB	55.82737	05/15/2022, 00:00:00
Mechanicsville	-77.37331	building	US	37.60876	06/11/2013, 00:00:00
Boli	130.57211	accep	CN	45.75279	05/17/2019, 00:00:00
Supaul	86.59509	excellent	IN	26.11527	2015/07/12
Pune	73.85535	maintenance	IN	18.51957	2016/08/13
Progreso	-89.66123	average	MX	21.28306	2022/08/31
Tongelre	5.51978	average	NL	51.44889	12/30/2019, 00:00:00
Hechingen	8.96317	building	DE	48.35149	2022-07-30
Beveren	4.25633	excellent	BE	51.21187	01/12/2018, 00:00:00
Gorgonzola	9.40531	accep	IT	45.53069	02 Feb 2015
Bothell West	-122.24064	maintenance	US	47.80527	2014-12-10
Randudongkal	109.3243	maintenance	ID	-7.0981	04/13/2018, 00:00:00
Baulkham Hills	150.99292	excellent	AU	-33.75881	26 Sep 2019
Hoogezand	6.76111	average	NL	53.16167	2016/06/26
Casa Blanca	-98.11889	good	MX	19.04222	2014/11/06
Sa Dec	105.75635	excellent	VN	10.29085	27 Jul 2016
Carnegie	145.06667	excellent	AU	-37.88333	2018-09-01
Dumont	-73.99681	average	US	40.94065	2020/02/15
Longgang	120.33063	excellent	CN	37.65181	2013-01-27
Ghat	10.18003	accep	LY	24.96334	2021-09-14
Pato Branco	-52.67056	good	BR	-26.22861	2015-08-27
Chichicastenango	-91.11667	accep	GT	14.93333	2017/04/18
Sainte-Catherine	-73.58248	good	CA	45.40008	2022-09-03
Kalavoor	76.32756	excellent	IN	9.57046	09 Apr 2019
Manikchari	91.84128	good	BD	22.83957	11 Feb 2022
Vienne	4.86667	excellent	FR	45.51667	09/16/2016, 00:00:00
Walsrode	9.5926	good	DE	52.86147	04/13/2015, 00:00:00
Culemborg	5.22778	accep	NL	51.955	08/05/2013, 00:00:00
Francavilla Fontana	17.58522	excellent	IT	40.53123	11/28/2014, 00:00:00
Trossingen	8.64409	accep	DE	48.07667	26 Jun 2013
Lutsk	25.34244	excellent	UA	50.75932	18 Sep 2017
Tarkwa	-1.98956	excellent	GH	5.30383	2015-05-02
Aleshtar	48.26258	average	IR	33.86419	2020/09/30
Tchaourou	2.59753	accep	BJ	8.88649	2013-11-23
Hoogezand	6.76111	accep	NL	53.16167	2014/11/07
Chiavari	9.32241	accep	IT	44.31771	07/07/2019, 00:00:00
Morningside Heights	-73.9625	average	US	40.81	15 Nov 2017
Toba	136.84186	average	JP	34.4833	20 Aug 2019
Paracho de Verduzco	-102.04897	average	MX	19.64745	2016-09-28
Veracruz	-79.62603	average	PA	8.88988	02/06/2016, 00:00:00
Lanciano	14.39024	maintenance	IT	42.22718	03/12/2022, 00:00:00
Naro-Fominsk	36.73307	good	RU	55.38752	22 May 2016
Aberdeen	-2.09814	accep	GB	57.14369	06/07/2014, 00:00:00
Zeitz	12.1369	average	DE	51.04962	2019-05-05
Ehingen	9.72749	excellent	DE	48.28259	05 Apr 2020
Carnaxide	-9.24671	accep	PT	38.72706	2020/08/24
Lancing	-0.32247	good	GB	50.82882	12/13/2020, 00:00:00
Burgos	120.57224	accep	PH	15.72892	07/01/2020, 00:00:00
Moga	75.16878	accep	IN	30.81383	2013/11/18
