Pb	CH4	latitude	warning	PM2.5	TEMP	longitude	NH3	PAHs	H2CO	NOx	PRES	CO	SO2	C2H3NO5	CFCs	PM10	O3
62.46677	8.05151	43.41949	1.00000	10.09320	14.02674	77.0202	7.69863	11.79686	51.76408	7.16187	1171.82217	7.71223	8.66218	0.78610	59.90755	7.65433	9.44548
50.42051	7.27161	11.00599	0.00000	9.28758	2.64109	77.5609	8.22651	8.61584	27.17050	7.23840	1152.31433	7.94504	7.69825	8.06764	60.64295	10.13556	6.01907
32.52361	9.01462	23.5654	1.00000	8.56616	39.24739	119.58627	9.25793	7.74413	49.31975	5.79643	1060.06410	7.87183	9.12827	2.92423	63.70952	9.00609	5.47342
62.84770	8.57921	33.42585	1.00000	7.75913	25.20644	-6.00137	7.74540	8.16271	53.67211	4.43968	1085.29527	5.73181	10.62913	10.24038	65.43043	10.36985	1.13709
62.13814	8.73075	18.65297	0.00000	10.13433	14.64072	-72.09391	8.66520	8.42518	64.10568	7.38425	1155.36639	7.88051	7.82931	1.17235	55.99165	7.99674	7.34440
69.07074	7.13002	8.43333	1.00000	10.32151	-0.00333	99.96667	8.03763	11.27730	39.88250	7.55752	1154.84192	8.41288	8.94639	1.48059	71.38907	8.32982	8.61069
60.91780	6.87974	33.3213	1.00000	7.59021	9.10934	130.94098	7.72987	11.13438	37.03525	6.12256	1083.01673	6.06625	10.98498	1.69533	55.71495	8.41597	5.19921
65.39430	7.98141	40.65995	0.00000	9.19713	4.85391	-111.99633	8.80023	7.82912	48.70016	8.30968	1188.58009	8.66452	6.16232	1.89020	58.66292	8.55101	6.36150
52.56640	6.77157	41.91886	1.00000	9.47843	28.24098	8.73812	7.28549	7.19516	65.33108	6.69587	1114.99746	8.68755	8.08919	1.15530	54.66916	7.74644	6.72682
54.80020	7.80360	34.25	0.00000	6.33892	2.36041	135.31667	8.70678	7.87583	66.28313	8.91234	1195.50202	6.22389	9.69338	2.58374	60.83934	8.82984	5.88993
68.74272	8.14271	34.06635	0.00000	10.99131	14.40270	-84.67837	8.11900	7.75872	60.38442	5.77145	1079.66665	5.57398	8.63352	0.71049	51.38213	7.23830	7.75138
36.64450	8.74719	30.24706	1.00000	9.39618	21.90803	115.04814	9.83807	11.03671	51.90797	6.54028	1057.48673	6.00978	10.12066	1.00513	45.41548	7.77333	8.60421
29.35252	8.23313	33.37526	1.00000	10.27987	20.54964	74.3092	9.99867	9.88802	78.25129	6.68647	1124.78660	3.99281	11.96598	0.93520	69.41482	7.64396	9.58297
50.66685	7.59297	38.38479	1.00000	11.30503	10.85589	-0.76773	8.45239	9.78322	44.44954	7.87027	1153.36757	6.90776	9.07174	1.57223	54.12868	8.35678	11.68336
49.47664	6.54725	38.96667	0.00000	5.49594	12.66927	-0.18333	8.38692	5.43252	68.23875	5.79003	1101.12363	5.50148	6.96402	3.27461	77.14729	9.24704	8.90061
31.30704	9.63268	45.53069	0.00000	7.65185	20.20168	9.40531	7.18079	9.13963	87.14007	5.88051	1115.52604	6.59490	9.51507	2.54966	66.14902	8.97333	8.82889
72.62415	9.31237	46.32313	1.00000	7.56547	28.01932	-0.45877	6.64489	8.87632	60.57663	5.64963	1182.61141	8.51469	9.34375	1.27136	53.57524	7.27203	8.03637
29.75477	8.39054	57.30185	0.00000	6.97445	21.20103	39.85331	7.51739	7.82085	55.72336	5.12213	1178.91151	6.81112	9.87805	4.65942	35.24298	9.54433	7.47521
70.22091	7.92810	6.45407	0.00000	7.04768	17.91063	3.39467	8.58337	7.26567	56.47540	9.90021	1196.13952	7.74061	9.69344	1.07113	64.66122	7.12865	7.20477
51.91205	9.48213	34.8825	1.00000	8.29508	5.03508	128.62667	6.82192	9.18345	65.44359	8.99784	1066.17694	9.03291	8.43665	2.09732	62.11252	8.73042	8.74053
48.63530	8.07489	38.37255	1.00000	9.22144	30.44806	34.02537	8.04032	10.78873	46.68030	6.83756	1074.73443	6.43384	9.93690	0.69407	44.13274	7.33307	9.02025
38.65118	7.87602	41.55815	1.00000	10.79369	5.05747	-73.0515	8.12913	8.49670	26.67057	8.39700	1183.98608	10.18377	7.66264	1.98970	56.86603	8.76514	8.42270
61.72865	7.81116	48	0.00000	7.96331	17.99835	-4.1	8.52813	6.27263	53.80407	8.84010	1184.05047	4.82565	10.93741	5.60797	36.08390	9.72468	6.14434
66.60502	7.75996	-21.44345	0.00000	5.51195	2.58033	-65.71875	9.56349	6.72875	53.78718	6.56244	1173.54383	7.14592	7.57300	1.21738	47.22802	7.99459	7.69758
43.92756	8.82619	40.94065	1.00000	9.44462	6.42741	-73.99681	7.10590	11.14629	42.97143	8.28893	1103.24487	8.89082	9.74533	3.17963	60.39900	9.19488	6.18961
29.06468	7.89942	39.00622	0.00000	3.71716	25.56443	-77.4286	6.06393	6.75097	50.46633	9.41657	1098.71016	9.62001	7.83741	0.66565	31.81688	7.38432	9.95166
54.97678	8.19958	27.0174	1.00000	9.90083	30.89901	49.62251	10.38741	10.50270	61.21981	5.66726	1087.57384	4.65120	10.51426	2.32323	74.96753	8.85769	6.21569
61.27480	7.31299	43.67681	0.00000	6.32717	10.87389	4.63031	7.39379	8.51747	64.34434	7.45971	1067.51282	7.65717	8.21327	2.19413	58.58141	8.79104	8.14392
49.64043	8.78360	45.79377	1.00000	7.33805	21.16693	8.88104	6.14778	10.36691	49.13499	7.03793	1140.18621	4.11565	11.98701	2.36435	56.48977	8.85102	7.07890
59.74866	8.78493	33.76446	0.00000	8.87201	25.11751	-117.79394	8.16142	6.54357	62.31015	9.91394	1163.25809	6.21660	11.05321	1.03943	49.78564	7.76587	5.83795
52.08678	8.50451	47.80527	0.00000	6.78886	7.92275	-122.24064	8.46489	7.21268	74.63512	6.04840	1192.45537	5.71171	8.31364	1.05303	38.88257	7.93850	9.80901
53.70973	8.28604	44.89784	0.00000	6.96025	19.56699	8.86374	7.62035	7.04655	48.53132	5.77666	1059.67432	5.92913	8.02594	1.87324	50.84698	8.46694	9.29560
63.42574	9.32360	25.66795	1.00000	9.09469	18.65668	85.83636	8.43022	7.19717	56.55263	5.71332	1096.49443	6.74969	9.32098	1.69107	62.04367	8.32722	4.11454
61.98930	7.92849	17.34769	1.00000	10.49480	43.43254	78.55757	9.20348	11.66504	44.72244	8.96405	1067.33807	8.15563	9.70724	2.24622	64.18253	8.75513	8.53801
45.02922	7.84663	44.85278	1.00000	10.16783	7.41572	65.50917	9.74004	9.92509	34.35220	3.25359	1097.73597	7.38486	10.18397	0.49460	67.51737	6.55874	9.17480
34.19597	7.29609	10.20898	0.00000	9.08443	5.16934	123.758	9.77150	8.77202	55.29127	7.86526	1084.96173	8.53807	7.88393	1.92345	66.11052	8.61905	6.60610
47.90300	9.64104	45.9836	1.00000	10.56315	21.35708	12.70038	9.53290	10.31206	40.76760	6.69275	1073.43323	5.49360	10.59723	2.30840	54.20668	8.86360	10.11886
45.62435	7.63070	43.62558	0.00000	7.64136	-2.41093	13.39954	10.65653	6.75327	35.81834	9.48239	1109.27366	4.20407	8.96272	2.98119	57.63138	8.96585	5.62859
63.53929		39.45621	0.00000	6.69814	36.54261	-77.96389	8.87338	6.35501		6.12513	1076.29307	5.84407	7.16561	0.30818	64.81202	5.87306	9.79226
39.09847	6.87143	12.04161	1.00000	9.53496	-2.77133	75.35927	6.86081	9.80841	54.87476	6.91858	1077.71682	6.26968	10.19848	6.92935	48.50523	9.94539	6.04591
46.01538	8.65330	41.92361	1.00000	9.92109	9.70133	20.91361	8.79406	9.90818	75.24101	6.16597	1097.97804	4.13704	10.52004	1.83012	55.38873	8.40574	7.73349
56.21649	7.14103	18.18158	1.00000	8.07403	2.70855	76.03889	8.25770	10.43832	41.49055	6.29630	1079.81637	9.31762	9.07268	1.16335	47.19777	8.04531	6.73962
50.20123	9.39991	14.62072	0.00000	7.02226	6.34649	74.83554	7.70094	7.19272	58.92678	8.06211	1169.85307	8.60490	6.77131	1.02309	50.97201	7.91587	5.82858
73.04499	9.18417	55.54028	0.00000	4.27388	-9.94080	89.20083	9.60924	4.01683	55.04773	5.78066	1199.76226	5.08370	7.28575	1.59430	46.24070	8.34172	6.63733
43.77873	7.82675	15.5439	1.00000	8.05049	28.40449	73.7553	7.55856	8.08074	70.70462	3.88489	1139.28744	4.29186	10.66669	0.93562	60.18384	7.68712	4.17467
62.25820	8.23010	48.43174	1.00000	9.84676	20.56683	17.8031	9.88861	9.35184	71.25824	6.93177	1076.92263	4.29619	11.81413	3.94603	59.24894	9.30687	9.41465
45.56705	7.85683	60.2052	0.00000	8.55607	28.15780	24.6522	7.62934	7.19722	60.58959	7.50939	1127.03362	7.65924	7.30319	6.62561	38.17878	9.90873	5.67044
45.12701	7.94053	31.92923	0.00000	7.15820	24.35203	34.86563	7.34276	7.57062	40.60612	5.55126	1150.06901	6.15925	9.22237	1.26052	63.72581	7.85177	7.09203
43.14449	8.66060	41.91738	1.00000	9.20408	-8.50035	3.1631	8.44279	9.60394	67.02470	6.48634	1199.69272	5.43197	10.41264	1.58689	44.51960	8.18888	6.15694
51.13592	8.30721	-22.92306	1.00000	10.09856	10.98425	-53.13722	9.68058	12.26937	58.08461	5.38883	1099.66137	5.22021	11.48015	2.63650	54.43035	8.91596	7.69663
40.77442	8.52400	32.57756	1.00000	10.55567	2.44265	71.52847	9.58655	7.14633	61.79306	6.63819	1115.46457	4.77366	9.39181	1.82760	50.91287	8.56431	8.97943
51.81399	8.11226	-22.92306	0.00000	7.37966	2.53640	-53.13722	9.20772	9.76231	60.22290	6.94913	1097.29764	7.64546	9.17274	0.85039	63.53542	7.48118	7.97863
41.02620	8.85897	20.28527	1.00000	11.46367	22.49117	-103.42897	8.77946	11.53201	38.62570	5.73845	1105.21387	6.55821	10.43658	3.49036	76.57307	9.28143	9.09283
48.71783	7.74667	45.4473	0.00000	6.97313	16.77155	-73.75335	9.09490	7.29667	32.80367	6.67948	1161.45220	6.23023	7.84569	0.87124	34.04870	7.52214	6.57311
61.62368	8.53392	-19.7625	1.00000	7.63038	23.25568	-44.31389	8.63379	8.77240	41.96521	9.86315	1121.04262	9.36249	11.22014	7.26417	57.22736	10.01122	6.03976
37.66337	7.64056	19.30157	1.00000	8.62405	22.63287	72.85107	9.73286	10.99286	43.64790	7.10496	1146.76249	7.60432	10.03925	3.57610	57.92989	9.29102	5.05819
57.38919	7.30435	41.66394	1.00000	8.67262	10.05230	-83.55521	8.07615	10.80839	66.00406	6.58471	1081.11958	6.71926	10.54319	2.10335	69.12273	8.63845	5.33727
59.47581	8.16346	34.25	1.00000	10.29241	0.76899	135.31667	8.98399	7.62701	40.74798	8.10693	1081.36265	8.46295	8.15784	1.44208	38.55408	8.23771	8.98421
57.63674	8.25356	28.98002	1.00000	11.02950	31.80443	77.70636	6.86714	9.62744	39.38816	7.23121	1089.17935	6.97667	9.53018	7.14973	61.37030	9.99264	10.53784
45.65722	6.81616	41.41204	1.00000	8.96494	3.05035	2.18247	8.20441	9.07584	30.41062	8.21724	1088.43421	8.30377	8.49085	2.20206	35.05353	8.71808	9.71199
51.08834	8.06233	41.85059	1.00000	8.36397	1.15551	-87.882	8.24046	11.92353	34.22043	6.91318	1114.98349	6.93358	10.78693	0.81735	66.50744	7.51843	4.92600
50.67654	7.77505	68.79833	1.00000	11.13331	9.46476	16.54165	8.93460	9.68143	44.92784	7.50414	1183.87621	4.93828	9.62951	1.50838	54.81381	8.14028	12.46449
40.72588	8.96552	39.96348	0.00000	7.98687	9.11451	-4.83076	7.53244	8.02045	41.26226	8.99337	1053.94584	6.35427	11.24675	2.38274	71.86698	8.88697	5.11850
45.34861	8.88745	31.20176	1.00000	7.97764	28.01367	29.91582	8.98117	10.28824	65.00800	6.12741	1153.59761	8.06835	10.32150	2.14193	67.54036	8.69638	3.48721
62.61832	7.53664	44.80477	1.00000	9.04688	10.42236	-0.59543	7.34485	7.51725	57.01022	5.52451	1123.98251	6.45683	8.90553	13.33565	56.33740	10.63753	6.55398
49.74156	5.32159	-34.74785	0.00000	7.91669	34.37122	-58.70072	8.29849	8.89390	38.08424	8.72040	1191.09913	7.91865	11.32161	2.64595	67.07664	9.01350	6.48943
46.55130	7.91357	42.52787	1.00000	9.56742	24.88402	-70.92866	7.48383	7.04961	24.65795	6.40638	1108.41210	7.22279	8.75087	1.26932	71.26417	8.19563	6.13709
39.85742	6.87069	38.40917	0.00000	8.52890	-2.08804	112.73333	9.67790	9.92300	47.09241	8.35939	1114.57935	8.14594	8.11710	0.59709	79.39152	7.20118	6.80329
43.23284	9.18315	43.31667	1.00000	7.90100	11.90858	-2.68333	8.88166	10.89822	47.91248	6.13017	1141.63085	6.62546	10.55669	1.06157	53.38317	7.54892	6.56273
