PAHs	warning	PRES	CO	CH4	C2H3NO5	Pb	latitude	CFCs	H2CO	PM10	longitude	SO2	TEMP	NOx	O3	PM2.5	NH3
10.14240	0.00000	1183.88854	3.77654	7.92070	3.69452	35.72498	16.06213	72.11107	34.66909	6.31954	76.0586	9.32046	9.64610	6.43767	6.96234	8.87545	10.14530
4.62290	0.00000	1166.00423	6.34231	7.85356	3.06000	51.31007	-21.205	42.92850	55.69342	6.38407	-41.88778	9.45091	7.54025	5.13815	6.40653	8.01368	4.82840
9.53170	1.00000	1140.29738	9.35256	7.37970	3.94627	52.58549	43.61062	48.09449	57.67156	7.24254	-72.97261	6.69847	12.42205	7.66012	8.52340	9.05344	7.16115
9.52457	1.00000	1067.16698	6.02103	7.33321	10.50069	43.49547	51.40148	37.76091	69.19048	8.63630	-1.32471	8.29777	18.90705	6.68718	8.79805	5.66933	9.09824
3.94538	0.00000	1087.06475	9.00575	6.84759	2.01019	38.97236	45.43341	52.39722	38.04216	5.91841	-73.86586	6.82071	-2.11227	7.45929	7.77946	8.32099	8.96221
5.99729	0.00000	1052.74246	6.69660	3.81066	5.86107	58.85738	17.30858	49.37317	52.44599	7.91460	97.01124	10.92367	9.49894	6.67280	8.04994	9.04053	6.20632
9.74413	0.00000	1158.44375	5.41948	7.91722	3.51520	41.60832	41.92361	53.06673	35.38092	6.79139	20.91361	11.82765	15.51047	6.73079	9.80594	8.81845	5.81069
8.93644	0.00000	1093.20994	8.31712	8.39877	4.87610	64.19599	60.02427	70.65191	45.62016	7.62287	30.28491	8.70191	19.44420	8.81383	8.21594	7.47686	7.35309
4.87400	1.00000	1080.78604	6.69687	8.86572	2.45697	42.25416	55.25	39.87825	78.61734	7.01219	24.75	7.83506	0.13713	9.37333	7.11470	8.85142	8.92326
6.54222	0.00000	1126.92247	6.56482	6.68674	8.81016	51.85425	10.22677	39.70209	44.69267	8.52085	-67.33122	8.01571	10.52414	4.67947	7.82096	7.60205	6.75242
8.10329	0.00000	1167.19725	5.10637	4.94482	6.10797	35.84145	43.54072	22.27117	44.25325	7.74276	-116.56346	9.20291	23.22665	7.31577	7.76097	7.24702	7.31235
7.70262	0.00000	1075.04158	6.21573	7.93477	3.86106	42.78570	28.92694	61.50705	62.91527	7.44959	78.23456	6.40688	-0.45081	6.41774	5.38382	7.00657	5.64213
8.51935	1.00000	1195.27411	4.69787	6.44642	4.13424	45.57491	41.0051	48.52232	52.14872	7.44974	-73.78458	8.26499	0.20616	5.35356	7.83612	8.11279	10.56449
9.72680	1.00000	1112.65874	4.73168	8.09816	6.63487	56.16351	13.51825	29.20625	59.87315	8.04871	99.95469	8.69055	23.17739	7.29049	8.06109	6.16896	9.35211
5.89305	1.00000	1111.50664	6.17519	8.69129	4.92324	74.46194	48.46458	32.20355	53.05175	7.56627	9.22796	8.96484	15.00224	8.52548	7.39108	9.36996	8.73362
6.37012	1.00000	1094.94718	5.13219	9.00724	4.63434	52.04511	33.45122	59.30546	69.05559	6.71732	-86.99666	9.57010	18.64338	6.17604	6.96296	6.87035	8.41098
9.38924	0.00000	1180.58049	5.06212	10.17437	3.82431	47.85903	20.88098	50.27557	48.98783	6.87115	75.11937	8.37263	21.13585	8.60727	6.84217	7.51019	6.22766
3.93825	1.00000	1093.85083	5.89439	6.95698	2.46542	66.09366	32.5007	55.92418	63.56524	6.95627	-94.74049	8.52359	9.35134	10.58759	8.25928	8.18484	8.44772
5.57232	0.00000	1162.42591	6.99671	5.57118	6.26182	38.23916	48.90982	33.32806	47.40569	8.04181	2.45012	10.50806	19.43293	7.31349	7.77642	8.16115	5.54586
8.69075	0.00000	1080.28208	5.57852	7.80498	8.12203	61.09958	14.8361	51.37844	50.81375	8.08085	120.97844	11.10784	17.58896	8.10762	8.83915	7.11844	5.99831
7.89163	0.00000	1055.61935	8.42153		5.09102	30.87099	52.14	55.99094	43.55739	7.91760	5.58472	5.14069	15.83278	6.32004	6.25233	9.61508	7.58103
3.78045	0.00000	1090.40056	6.53387	6.38220	6.35071	51.07514	9.535	49.32233	48.34311	7.81628	-13.68778	10.15650	4.73457	5.62029	6.65706	6.84364	4.47548
5.12342	1.00000	1112.06039	6.79656	8.47098	5.30284	20.01001	38.58894	52.21399	34.12078	7.65853	-89.99038	8.09940	10.74686	8.90478	6.58451	7.58102	10.37717
4.92940	0.00000	1056.82667	7.65795	7.06883	4.15449	53.82075	45.51667	49.48218	47.15124	6.70567	4.86667	6.72297	7.60797	7.01216	8.00795	6.60012	8.01866
8.20636	1.00000	1103.67761		4.05080	4.24395	43.09022	41.63976	58.34831	51.67050	7.26449	2.35739	9.20230	26.40438	4.66952	6.76282	7.23696	7.91826
7.14840	1.00000	1136.68291	6.13488	9.16272	7.77594	47.16378	37.08819	38.75943	49.92606	8.34404	-8.2503	9.82089	8.39521	7.20919	7.09125	7.40485	10.28595
8.71845	0.00000	1063.66340	8.26899	6.16454	6.98733	62.05075	42	38.17245	65.38246	8.05603	21.32778	10.47251	14.54995	7.96600	9.04438	7.37232	7.07300
7.77722	1.00000	1123.57707	6.90832	5.88189	4.24715	42.48215	41.54566	68.92386	70.91804	7.30430	-71.29144	7.89363	9.06181	5.88465	5.18443	7.76540	9.15937
7.99386	0.00000	1100.17469	5.60154	10.32014	4.21903	53.83795	43.61062	58.46163	46.36638	7.00564	-72.97261	9.31864	18.42402	9.90772	7.86712	6.45248	5.69358
9.80759	1.00000	1174.12775	4.32277	8.57471	5.50253	53.46291	40.87329	55.71448	27.85273	7.90806	14.43865	8.71902	-2.92780	7.25161	5.97116	8.41153	10.36723
8.23250	1.00000	1091.17212	4.12178	5.00922	6.89507	49.33170	41.75338	37.13215	54.66961	8.46131	-86.11084	11.38289	24.47763	5.58160	8.19537	7.78846	9.89365
5.00825	1.00000	1064.80432	6.50899	7.77772	3.78693	40.09133	29.98869	29.92572	54.95211	7.11660	122.20488	8.50884		10.09329	6.79028	7.97573	10.42754
9.17052	1.00000	1056.20085	7.10042	5.83219	2.31207	72.05762	-4.26613	70.37024	33.75774	5.80892	15.28318	9.38010	18.48952	6.94404	6.98021	7.35034	6.66849
9.26304	1.00000	1060.98298	5.00062	9.22528	2.53920	43.18865	-8.99167	48.57087	60.52798	6.88791	125.21972	11.16120	21.00330	7.86117	10.57256	9.17835	7.59480
7.75148	0.00000	1123.45901	3.54963	4.57779	3.35797	39.12254	29.84576	50.99198	60.44100	6.93361	-90.10674	8.86312	31.36989	6.19431	8.89998	7.32544	7.47101
9.39687	1.00000	1149.22817	6.35660	11.90427	7.07553	42.57980	38.07789	34.05198	40.05035	8.21549	13.44275	8.32955	31.35788	8.06145	7.46252	8.97505	6.01986
8.82113	1.00000	1184.30558	6.81819	4.94116	6.80884	46.38650	36.02506	45.91701	59.14069	7.89752	-86.77917	8.55553	7.05750	4.78937	7.12145	6.09478	9.24510
7.43057	0.00000	1145.10048	10.76017	9.08237	13.84339	56.87080	37.35813	45.13573	60.98162	8.97899	-6.03731	10.61442	10.14532	9.33893	8.29664	8.67498	8.24984
7.09086	1.00000	1136.88698	7.81448	5.53815	4.96504	56.71520	45.79377	28.80181	51.39808	7.15533	8.88104	6.76660	1.81026	5.05058	7.53392	6.19903	9.73638
7.32300	1.00000	1119.09079	5.64906	3.49359	6.75321	65.53508	24.05979	54.39753	52.68403	7.95926	77.40858	12.06075	3.11315	6.08541	8.36279	5.84628	6.48995
7.64418	1.00000	1053.99644	5.72099	4.55540	10.82875	73.42536	19.32932	43.31459	71.50119	8.87493	-98.1664	8.42754	14.54913	4.31958	7.39851	7.13212	9.18588
7.72781	1.00000	1075.31543	8.02991	6.22171	4.16602	63.58083	-22.45667	53.88883	58.74397	6.63347	-47.53028	9.00457	10.75471	7.97842	7.47814	5.63409	6.37039
6.88688	1.00000	1062.23389	6.56748	8.76195	10.05564	42.24993	16.0438	49.76087	69.56678	8.41054	120.4861	8.68099	23.53373	10.01385	6.28003	9.55296	8.21535
6.51255	1.00000	1190.70605	6.84668	9.77407	2.86099	41.49480	40.98894	56.11215	53.90675	7.09536	28.67582	8.90190	11.83543	7.96846	8.22643	7.35791	10.49374
6.03544	0.00000	1056.25535	5.89953	6.23833	3.28690	55.41446	59.37722	63.62801	37.79277	7.13801	28.19028	8.14392	2.69509	6.96518	7.87639	8.15444	7.33303
10.20819	1.00000	1161.98350	5.71797	5.91483	6.14413	53.78050	48.98333	24.75147	44.94149	7.99530	2.61667	9.77756	-10.53202	5.48282	8.07785	8.20376	8.66714
5.34809	0.00000	1124.23902	3.86192	9.50412	5.56650	41.32596	37.35813	38.91801	25.85404	7.84952	-6.03731	6.95662	13.18318	5.66236	6.77520	7.43863	6.59990
8.89843	1.00000	1136.67647	4.63220	8.79212	3.22202	55.02184	13.65805	50.07801	41.32437	6.43907	102.56365	11.23151	22.45134	6.90326	7.26642	6.80667	9.21221
8.05874	0.00000	1154.77894	9.12128	8.91936	9.50383	53.30680	55.25	54.52552	56.37710	8.73751	24.75	9.71698	2.94062	9.17678	8.41355	7.93964	7.63739
9.26830	0.00000	1120.68894	5.31389	8.40577	3.21470	88.03803	-27.4338	53.07233	54.33484	6.72592	-65.61427	8.13954	2.36834	8.81724	7.30886	8.32204	7.07109
6.38649	0.00000	1185.69110	9.92668	10.45051	5.18530	51.41064	11.8659	53.51266	63.36842	7.72227	34.3869	5.81745	9.37472	6.50915	9.14699	8.33772	6.11522
6.95176	0.00000	1128.99878	4.12266	5.81073	13.75222	9.92377	46.1351	65.25519	73.58434	9.06792	-60.1831	10.30463	2.05406	5.49623	5.87525	7.84151	4.02566
8.79505	1.00000	1137.12990	6.83916	7.71912	2.23402	28.81025	56.9083	39.37147	56.44676	5.58943	60.8019	9.10529	6.94015	8.46051	9.80894	7.01283	8.66243
7.13726	0.00000	1114.50161	4.58063	4.68639	8.51242	76.53604	39.33427	43.72203	31.92622	8.36106	-76.43941	9.11192	34.02973	5.82882	8.10839	7.16888	7.17779
4.89122		1059.14842	7.20485	8.88979	2.25216	57.61974	31.64615	69.55484	39.71291	5.87566	120.74221	6.95795	19.82921	7.32924	6.08399	6.89359	6.73647
8.97461	0.00000	1168.95368	6.18624	7.86828	3.15417	64.89196	16.455	71.89314	60.09058	6.94459	120.5875	10.56182	-3.26500	7.97030	5.65688	8.30338	6.13758
9.01562	1.00000	1058.95326	4.73369	6.38024	9.00202	64.63943	-54.8	33.98838	34.76014	8.52757	-68.3	10.55900	19.84499	6.66742	8.54817	6.59050	10.38038
10.13726	0.00000	1076.31972	4.90583	7.96286	2.78767	59.22906	-17.73648	40.89491	30.36365	7.10045	168.31366	9.18846	-1.31805	7.82990	7.47727	8.57075	7.11902
4.40765	1.00000	1193.78591	5.71809	7.02476	26.84653	47.57395	48.86667	46.69997	61.45239	9.75361	2.08333	8.99279	9.64625	10.13732	7.98657	4.73860	7.53840
4.48852	1.00000	1144.07695	6.49672	8.75193	17.11364	44.42846	18.42745	55.56501	31.84066	9.23677	-67.15407	7.93139	23.90988	9.76570	6.45787	8.88225	8.76179
10.19422	0.00000	1103.82170	2.79652	10.63877	1.48969	52.60884	31.76212	50.82990	40.09893	5.49727	-95.63079	9.98581	15.15653	8.17316	7.60827	8.32337	4.61862
12.08785	0.00000	1190.77673	2.94106	9.90665	2.19789	66.93969	42.67164	40.12062	41.99182	5.23049	14.01481	9.72070	23.96960	5.75513	7.24202	6.82720	6.19611
8.36448	1.00000	1166.37276	5.11779	7.69445	4.44800	27.50468	9.89206	55.33455	38.93429	6.90209	43.38531	8.94246	22.52166	7.46210	8.03981	7.66692	10.35081
7.97099	1.00000	1157.08932	6.20841	7.31410	4.88999	59.73745	8.35122	52.27456	41.84386	7.31770	-62.64102	8.24615	18.92230	7.40188	5.74362	7.05234	8.58622
4.47268	1.00000	1069.04154	6.25707	7.72249	25.14182	84.60071	-27.4338	61.87057	48.73948	9.67385	-65.61427	8.15813	9.72890	10.45391	6.18405	9.24509	8.31548
5.59489	0.00000	1192.19331	4.37956	6.42313	2.63994	67.13426	58.7002	50.74788	34.09285	6.61552	59.4839	8.16991	16.41290	6.46838	6.47294	8.67408	7.07019
6.95445	0.00000	1128.92360	7.84479	5.61896	3.70874	50.57774	44.27804	54.85553	41.67801	6.47880	-88.27205	7.43004	19.56446	7.79238	8.59111	7.50684	7.42317
11.24154	1.00000	1083.38362	4.08619	8.26894	3.97483	55.32604	43.61062	47.27741	52.30567	7.15437	-72.97261	8.57160	21.25724	6.51278	6.07662	6.17561	8.36953
4.03602	1.00000	1083.67130	5.74562	7.10146		59.77310	27.0174	54.03730	44.11542	5.95815	49.62251	8.91253	31.04556	8.68420	6.57888	8.28158	9.34477
7.54468	0.00000	1052.92621	4.81592	7.96666	4.26162	82.66423	-22.57306	46.20625	56.98850	7.46371	-47.1725	9.90982	24.66251	9.47442	6.02401	7.69978	3.90744
8.58700	0.00000	1185.29666	6.10713	9.29850	5.56151	37.75157	41.0051	47.21286	39.45685	7.86167	-73.78458	8.90415	12.52714	8.59148	7.65542	8.28115	6.00990
7.24875	0.00000	1081.09483	8.88861	8.05038	3.06243	52.08339	37.52487	59.04913	50.88430	6.88407	-77.55777	7.47327	12.33827	10.50667	6.61065	7.83915	8.06203
2.79208	1.00000	1074.15641	7.65268	9.77796	9.08245	65.13689	38.40917	45.91009	47.38741	8.52634	112.73333	5.65429	4.71011	10.28000	7.53976	6.51144	7.56640
9.31066	1.00000	1095.85904	5.19062	4.89661	3.14279	36.88526	-8.76194	46.72179	56.78249	7.02544	-63.90389	8.47145	-11.02351	4.03852	7.87780	9.14629	8.50448
8.91677	0.00000	1174.17528	7.19413	8.02475	3.87322	51.81133	0.49113	56.14127	47.81678	7.01476	29.47306	11.64223	11.81121	8.46371	6.66290	7.78608	7.03049
8.65767	1.00000	1149.98016	5.55922	7.62084	6.03783	53.45479	50.11861	72.88752	57.10035	7.88694	-5.53715	7.78439	9.94221	6.52933	9.45198	8.91302	11.04960
10.86196	0.00000	1144.17746	5.34258	9.16084	6.16556	28.87782	26.68451	46.58098	45.88491	7.74866	-80.66756	6.50391	6.02651	8.26149	8.24392	6.54674	7.05983
6.45305	0.00000	1119.27620	5.53814	6.54964	5.32755	57.20058	47.92526	70.81394	24.97833	7.66986	-97.03285	8.17244	27.96664	6.90316	6.86612	8.70264	6.83834
6.72654	0.00000	1055.92837	4.70623	8.82223	2.56499	52.74142	49.68369	50.91739	61.02814	5.51887	8.61839	9.19496	18.42406	10.30053	7.73400	9.42398	3.38605
9.88723	0.00000	1115.43229	5.22332	7.98174	3.43606	56.22372	27.55898	53.04319	64.65635	7.46016	68.21204	9.66876	21.48112	8.44324	6.63278	6.55513	6.59741
6.82316	0.00000	1080.30257	7.30893	6.88516	5.77832	40.15865	18.57677	46.24073	66.42898	7.78680	-72.22625	7.55863	13.99366	4.92570	7.38768	5.12732	5.16835
4.16572	0.00000	1099.29759	6.73286	6.42292	4.84786	23.90141	43.32686	56.56346	72.84204	7.45347	-2.98884	10.45798	13.55989	5.61680	6.14136	9.21273	4.91984
9.10280	1.00000	1185.01218	6.91649	7.27681	2.52900	63.31675	50.5107	73.34099	70.38024	6.73588	18.30056	10.35331	11.49377	8.45363	6.29126	7.65310	9.10148
9.43010	1.00000	1115.93534	5.98013	4.27338	3.36482	43.08794	53.53395	42.98487	39.47261	7.03219	33.72798	9.75713	14.42481	4.17818	9.41911	8.95938	7.56880
7.85671	1.00000	1108.21511	7.58549	4.92294	7.00829	40.54451	46.18396	45.36012	23.35651	7.82953	6.10237	10.11845	15.70704	7.12556	6.08660	9.08237	6.63803
6.47759	0.00000	1072.09760	7.02566	6.63339	3.69978	30.02754	65.84811	51.80424	41.26614	7.19651	24.14662	7.80339	10.17359	6.42220	7.47783	6.80366	6.00384
11.71213	0.00000	1181.75517	2.79116	9.52840	3.14949	54.82617	16.0438	38.44195	39.57001	5.39727	120.4861	6.83002	32.70560	7.77589	7.82644	8.39888	5.83103
0.00000	1.00000	1159.35959	8.75339	7.60261	4.84974	43.57617	44.73941	30.23900	78.91382	7.43911	-93.12577	4.55190	5.57081	10.75466	9.02550	5.99816	11.13580
6.22043	0.00000	1125.96979	5.03010	7.91501	4.71018	62.68220	-23.44361	27.99052	41.42015	7.17872	-51.87389	9.92905	34.18991	4.91685	7.26354	8.10243	4.24343
7.72334	1.00000	1159.41105	6.17035	10.06367	16.53035	45.18752	31.64615	39.20834	41.30718	9.09796	120.74221	9.08546	22.77880	8.61450	6.24348	9.21243	8.31363
8.08650	1.00000	1127.37781	4.93154	7.57506	29.40835	35.02969	51.14942	55.96963	21.47610	9.86825	15.00835	10.95757	3.30859	11.19216	6.64965	8.10284	7.74009
4.34556	1.00000	1056.63312	7.54801	8.97147	1.37071	40.17277	45.44694	55.70170	69.60159	5.91219	8.62118	7.09457	10.98052	9.26132	5.19951	7.24665	10.86695
7.31932	1.00000	1163.44873	5.13986	8.80407	10.56795	54.20773	40.11583	28.56762	55.90298	8.63147	67.84222	10.56735	22.34564	7.97776	8.51266	8.86292	8.87384
9.71645	1.00000	1193.10064	6.33113	7.29088	9.19696		8.48714	59.15385	59.19204	8.59008	-13.2356	7.68090	29.74427	6.28725	7.13426	9.74320	8.56116
3.94007	0.00000	1163.49485	7.05391	7.22486	25.03946	49.88163	-8.99167	41.81497	58.91322	9.67370	125.21972	8.61249	15.40025	4.89937	9.36969	9.11547	5.40797
6.56235	1.00000	1076.20640	8.06780	2.25252	4.47305	32.37999	36.76639	56.31830	33.68970	7.65366	3.47717	9.06606	5.45959	3.47395	7.63852	7.54203	9.13460
7.99965	1.00000	1134.43122	5.96607	9.38713	2.94263	47.68469	36.75965	57.43871	71.13801	6.39897	137.36215	10.29125	5.13759	6.24029	7.23901	7.72862	10.23865
7.48134	1.00000	1099.58510	7.07757	9.15527	2.83896	19.86353	-3.5403	44.62009	35.83958	6.44053	118.9707	8.75204	16.71515	9.73109	6.81734	7.46446	9.25061
8.82895	1.00000	1172.37257	7.39591	6.66433	4.54846	48.19088	27.0174	64.25609	44.29908	7.51299	49.62251	10.80978	10.47928	8.58328	7.34030	9.96448	8.46600
9.84758	1.00000	1068.28804	7.84159	7.41875	5.04304	52.12574	48.98333	72.12709	43.50728	7.13224	2.61667	6.61607	29.91444	6.08994	7.21305	8.59177	8.86216
4.01992	0.00000	1074.73850	6.98574	5.62692	9.70305	65.07506	35.61452	44.01023	69.02889	8.33074	-88.81395	10.26231	6.37941	5.38025	8.13645	7.32012	6.08079
7.86310	1.00000	1086.90189	4.82903	5.35473	4.79151	48.44597	33.43443	52.52614	49.42816	7.88380	-5.22126	7.69771	17.14600	3.58543	8.26424	7.63807	10.95769
9.32848	1.00000	1087.67902	4.58334	7.96083	5.89388	42.81558	5.90702	54.01649	47.47124	7.75276	116.10146	6.79251	21.36315	5.41229	8.84752	6.14039	11.30408
7.30356	1.00000	1050.69383	5.33297	7.99048	4.81858	48.81404	34.61667	52.83398	56.70324	7.99137	135.6	10.44384	17.86439	8.29743	6.03210	7.52728	9.37687
5.19324	1.00000	1126.52945	6.52138	8.13409	4.66156	49.49718	39.12074	65.30016	52.35073	7.35238	27.18052	8.44812	1.99342	8.89643	7.72002	7.28291	9.24427
7.79998	1.00000	1091.92840	6.06998	4.95270	11.13893	71.04978	48.35693	53.97144	52.69740	8.79573	10.98461	9.41246	22.31605	5.81228	8.66923	8.06874	8.59389
4.83871	0.00000	1087.22239	7.12549	8.40708	4.46553	52.79002	40.11583	48.09591	49.69160	7.23530	67.84222	8.69142	16.64194	6.10506	7.30100	7.42216	5.10133
7.06544	1.00000	1076.57027	5.60869	7.73608	3.67691	41.24921	34.95303	48.22776	51.46452	6.90626	-120.43572	9.91167	28.11278	11.26294	9.59238		7.67053
7.18647	1.00000	1076.39120	5.07354	8.88780	4.71353	60.13814	31.12406	55.56186	57.90703	7.63091	-97.90308	10.20561	9.83789	7.98690	6.39526	8.77035	7.48123
8.28591	0.00000	1064.96642	7.86564	7.41931	3.25366	52.33754	38.40917	49.22022	44.46633	6.91978	112.73333	11.28023	26.72800	7.78657	8.03239	8.38057	6.46882
9.52960	1.00000	1055.31676	5.50643	8.48686	4.21388	54.46170	18.03496	48.17872	40.87546	7.14470	-66.8499	7.43127	6.37649	7.11380	6.42542	7.13100	9.92933
7.81777	0.00000	1110.95920	4.47147	4.25396	2.84920	57.73068	30.46907	45.39114	50.83786	7.37100	70.96699	10.33508	-1.87126	4.26056	6.72345	8.54374	5.55515
4.25451	0.00000	1163.52344	7.51968	6.91401	3.96914	61.01616	49.03685	48.87966	44.42453	6.96117	8.70745	9.61124	11.88206	5.48070	5.55541	8.51715	6.52128
5.69964	0.00000	1120.15327	3.80074	4.67394	15.35405	78.02223	9.82564	66.53470	56.56861	9.14575	78.25795	12.09465	-5.88577	4.88602	7.47661	7.68287	4.75915
9.41247	0.00000	1101.31460	8.26868	8.54307	6.06158	81.12238	50.80904	46.30131	51.25322	8.07610	8.77069	8.33653	37.32191	8.84343	7.01878	5.15978	8.33104
7.71576	0.00000	1070.81214	8.76897	10.84193	6.11650	67.59266	34.9	65.78910	56.59832	7.84709	137.5	5.15272	28.87485	6.51998	7.80626	8.08837	6.92854
7.58092	1.00000	1163.88049	6.53895	10.41682	5.15664	35.97678	42.35843	60.90858	42.10793	7.71163	-71.05977	8.78177	17.69625	7.27243	7.24471	8.67305	8.81006
6.02000		1128.47806	4.79640	11.09079	3.33196	32.90804	32.35126	47.58639	73.43875	6.71553	-95.30106	7.72897	6.91262	11.50242	5.89870	8.84939	2.33395
4.87406	0.00000	1142.45968	6.91238	7.96282	1.90626	49.88864	43.61058	43.54026	41.86554	5.68254	1.33467	7.00820	19.80705	7.03139	9.46982	6.38612	7.07283
7.74978	1.00000	1141.17988	6.00598	9.54590	4.34760	47.62456	27.85	54.34291	43.19386	7.26146	112.9	10.30226	3.32028	6.96838	7.42579	6.89067	10.72625
9.72634	1.00000	1077.42384	6.32368	6.43733	10.28514	50.44965	48.46458	41.91865	55.45182	8.53919	9.22796	9.41167	-28.65364	6.61470	7.44622	5.18623	8.72989
