latitude	station	longitude	revision	QoS	code
8.56697	Dipolog	123.33471	04/13/2020, 00:00:00	accep	PH
34.25	Iwade	135.31667	2016/06/24	good	JP
13.44581	Phanat Nikhom	101.18445	28 Aug 2016	accep	TH
50.71229	Rixensart	4.52529	2020/02/16	accep	BE
19.64745	Paracho de Verduzco	-102.04897	08/29/2019, 00:00:00	average	MX
17.30858	Kyaikto	97.01124	01 Jun 2014	maintenance	MM
23.73333	Heyuan	114.68333	2019-10-08	good	CN
13.51825	Damnoen Saduak	99.95469	2013/01/16	excellent	TH
51.12794	Temse	4.21372	21 Apr 2019	accep	BE
9.82564	Tiruppuvanam	78.25795	30 Nov 2016	accep	IN
5.30383	Tarkwa	-1.98956	15 Mar 2017	excellent	GH
55.39485	Arzamas	43.83992	10/21/2016, 00:00:00	good	RU
3.51667	Mbalmayo	11.5	15 Jun 2013	good	CM
32.50611	Jiangyan	120.14278	2021-05-16	good	CN
51.39323	Strood	0.47713	26 Apr 2015	good	GB
58.7002	Kachkanar	59.4839	2020-06-29	excellent	RU
52.66277	Great Wyrley	-2.01111	2021-03-30	excellent	GB
51.44889	Tongelre	5.51978	2017-08-13	accep	NL
6.15038	Nkpor	6.83042	2021/05/14	building	NG
11.15583	'Ali Sabieh	42.7125	08/01/2020, 00:00:00	average	DJ
-28.44917	Marau	-52.2	04 May 2016	excellent	BR
48.90472	La Garenne-Colombes	2.2469	2012-11-23	accep	FR
26.91756	Punta Gorda Isles	-82.07842	04/10/2021, 00:00:00	good	US
39.43534	Lebanon	-84.20299	2014/04/20	accep	US
37.73222	Hengshui	115.70111	2019-09-09	good	CN
42	Saraj	21.32778	2021/02/11	average	MK
31.76212	Palestine	-95.63079	20 Feb 2015	good	US
32.35126	Tyler	-95.30106	2021-03-04	average	US
35.85	Dongdu	117.7	11/20/2015, 00:00:00	building	CN
27.71809	Sun City Center	-82.35176	15 May 2014	average	US
34.09668	Claremont	-117.71978	08/08/2013, 00:00:00	excellent	US
35.89972	Valletta	14.51472	2013-07-26	good	MT
38.38479	Novelda	-0.76773	04/12/2017, 00:00:00	accep	ES
35.89972	Valletta	14.51472	2015/08/17	good	MT
5.30383	Tarkwa	-1.98956	2014/09/28	good	GH
48.15659	Soroca	28.28489	11 Dec 2013	excellent	MD
28.92694	Bachhraon	78.23456	2019-10-26	good	IN
34.5624	Tadmur	38.28402	2014-02-17	maitennce	SY
61.72744	Hudiksvall	17.10558	2018/04/23	accep	SE
40.72586	Sassari	8.55552	11/11/2018, 00:00:00	acceptable	IT
32.17629	Fazilpur	75.06583	03/12/2018, 00:00:00	accep	PK
50.5107	Strzelce Opolskie	18.30056	17 Jul 2015	good	PL
38.07789	Villabate	13.44275	04/11/2019, 00:00:00	maintenance	IT
-23.44361	Sarandi	-51.87389	04/15/2022, 00:00:00	maintenance	BR
6.84019	Dehiwala-Mount Lavinia	79.87116	2018/08/12	average	LK
41.77583	Hakodate	140.73667	2018-12-14	good	JP
33.4425	Karatsu	129.96972	2016/12/28	average	JP
43.82634	Motomachi	144.09638	23 Nov 2019	average	JP
44.97639	Sremska Mitrovica	19.61222	26 Oct 2014	building	RS
43.35071	Gudermes	46.10925	2018/03/05	good	RU
39.22493	Patnos	42.85693	13 Sep 2014	accep	TR
22.49396	Acaponeta	-105.36369	07 Nov 2013	excellent	MX
60.2052	Espoo	24.6522	2014/10/04	building	FI
51.21187	Beveren	4.25633	2016/04/24	accep	BE
26.2649	Jais	81.54855	12 Mar 2016	average	IN
48.90982	Bobigny	2.45012	2021/11/06	excellent	FR
-4.06667	Same	37.73333	15 Jul 2014	building	TZ
3.8801	Buenaventura	-77.03116	05/23/2015, 00:00:00	building	CO
-6.25	Mvomero	38.66667	31 Dec 2021	average	TZ
14.62072	Sirsi	74.83554	03/28/2014, 00:00:00	maintenance	IN
50.74497	Mouscron	3.20639	20 Apr 2017	average	BE
21.34222	Kundla	71.30633	02 Sep 2019	excellent	IN
41.0051	Scarsdale	-73.78458	2020-05-08	excellent	US
31.28092	Patti	74.85849	06/27/2016, 00:00:00	good	IN
-19.32556	Resplendor	-41.25528	07 Apr 2018	average	BR
23.9028	Kushtia	89.11943	2013-03-17	accep	BD
52.31333	Oldenzaal	6.92917	02 Sep 2021	excellent	NL
-6.8048	Kudus	110.8405	2016-09-12	accep	ID
32.5007	Longview	-94.74049	2016-02-25	accep	US
49.28669	Elbeuf	1.00288	28 Sep 2021	building	FR
36.75965	Namerikawa	137.36215	15 Aug 2013	excellent	JP
37.52487	Bon Air	-77.55777	12/15/2021, 00:00:00	accep	US
35.88264	Thomasville	-80.08199	06/09/2021, 00:00:00	excellent	US
26.68451	Belle Glade	-80.66756	2017-12-31	accep	US
-7.60361	Kidodi	37.00438	2016/03/19	good	TZ
48.06919	Gauting	11.37703	2020/04/09	average	DE
51.21667	Schwalmtal	6.26667	10/27/2018, 00:00:00	good	DE
43.61058	Colomiers	1.33467	02/23/2017, 00:00:00	excellent	FR
3.27833	Kitgum	32.88667	20 Nov 2019	accep	UG
23.29549	Licheng	113.82465	2022/04/23	maintenance	CN
3.11988	Lodwar	35.59642	08/19/2013, 00:00:00	accep	KE
-8.99167	Maliana	125.21972	08 Apr 2022	average	TL
54.58048	Ustka	16.86194	21 Jun 2020	excellent	PL
49.03685	Bretten	8.70745	2012/12/25	building	DE
11.12018	Manjeri	76.11996	2016/11/15	average	IN
37.60876	Mechanicsville	-77.37331	01 May 2015	accep	US
-4.26613	Brazzaville	15.28318	2015/11/14	good	CG
53.93361	Kireyevsk	37.92792	03 Oct 2012	accep	RU
54.03876	Kovylkino	43.91385	2019/08/05	excellent	RU
37.08819	Albufeira	-8.2503	2015/06/12	average	PT
40.34912	Saratoga Springs	-111.90466	2013/06/06	building	US
40.92298	Afragola	14.30935	05 Nov 2012	average	IT
28.92694	Bachhraon	78.23456	06/14/2017, 00:00:00	building	IN
41.91886	Ajaccio	8.73812	2013/04/24	average	FR
30.75545	Ajdabiya	20.22625	05 Mar 2016	good	LY
-21.205	Itaperuna	-41.88778	17 Nov 2015	average	BR
33.35283	Gilbert	-111.78903	09 Jan 2013	average	US
42.7392	Waverly	-84.62081	02/26/2021, 00:00:00	excellent	US
-36.9256	Chiguayante	-73.02841	2016/01/25	good	CL
42.50729	les Escaldes	1.53414	2017-03-05	average	AD
-28.81833	Soledade	-52.51028	2016/08/01	maintenance	BR
43.61058	Colomiers	1.33467	2018-11-19	good	FR
44.31771	Chiavari	9.32241	05/23/2022, 00:00:00	building	IT
40.65538	Scotch Plains	-74.38987	2014/05/09	accep	US
50.82882	Lancing	-0.32247	08/13/2020, 00:00:00	maintenance	GB
36.82167	Eisen	128.63083	2021/01/12	building	KR
20.74122	Santa Rosa Jauregui	-100.44843	01/19/2018, 00:00:00	maintenance	MX
-33.75881	Baulkham Hills	150.99292	2014/05/21	accep	AU
50.71229	Rixensart	4.52529	2018-09-26	excellent	BE
40.72586	Sassari	8.55552	22 Sep 2015	average	IT
35.21222	Ksar Chellala	2.31889	22 Jan 2013	excellent	DZ
25.92127	Madhipura	86.79271	07 Mar 2014	excellent	IN
28.15112	Lutz	-82.46148	05/12/2021, 00:00:00	accep	US
40.49748	Hrazdan	44.7662	2017/11/08	excellent	AM
-19.7625	Esmeraldas	-44.31389	2018-11-08	average	BR
47.83333	Shalqar	59.6	10/04/2013, 00:00:00	good	KZ
48.25	Floridsdorf	16.4	2018/08/02	excellent	AT
-4.16694	Guaraciaba do Norte	-40.7475	2015-03-22	building	BR
36.20829	Pahrump	-115.98391	2015/02/01	maintenance	US
-11.48472	Rio Real	-37.93278	23 Feb 2015	excellent	BR
36.46917	Beni Khiar	10.78222	02 Nov 2012	accep	TN
55.82737	Viewpark	-4.0573	2015/11/03	average	GB
45.4473	Dorval	-73.75335	2013-06-15	average	CA
38.07789	Villabate	13.44275	2016/01/10	maintenance	IT
18.42745	Aguadilla	-67.15407	2015-04-25	excellent	PR
29.84576	Estelle	-90.10674	12/05/2016, 00:00:00	excellent	US
6.95194	Recodo	121.96361	2021-05-28	good	PH
40.93333	Jalal-Abad	73	2018/01/24	good	KG
7.83389	Villa del Rosario	-72.47417	07/28/2021, 00:00:00	good	CO
-22.45667	Santa Gertrudes	-47.53028	2020/01/07	good	BR
50.76306	Cowes	-1.29772	2014-04-02	good	GB
34.61667	Yao	135.6	02/08/2015, 00:00:00	excellent	JP
-22.97056	Valinhos	-46.99583	11/09/2021, 00:00:00	maintenance	BR
33.14447	Darreh Shahr	47.3799	24 Jan 2021	good	IR
55.63711	Solntsevo	37.38115	05/13/2020, 00:00:00	good	RU
-1.26753	Balikpapan	116.82887	2014-08-27	accep	ID
3.7278	Labuhan Deli	98.6738	2017-05-25	accep	ID
40.78206	Andijon	72.34424	09/25/2021, 00:00:00	good	UZ
6.46346	Bibiani	-2.31938	2021-01-21	excellent	GH
40.87363	Volla	14.34085	2016-08-09	accep	IT
20.28527	Jocotepec	-103.42897	27 Sep 2021	accep	MX
46.18396	Onex	6.10237	04/11/2016, 00:00:00	average	CH
-19.7625	Esmeraldas	-44.31389	11/30/2015, 00:00:00	building	BR
53.30972	Novosilikatnyy	83.62389	2017/10/08	good	RU
-27.4338	Aguilares	-65.61427	2018-09-02	good	AR
-29.2975	Carlos Barbosa	-51.50361	06/22/2019, 00:00:00	average	BR
45.51667	Vienne	4.86667	2012-12-13	average	FR
15.79408	Yasothon	104.1451	2019-03-21	accep	TH
41.16704	Bridgeport	-73.20483	2020-04-02	building	US
52.59319	Wittenau	13.32127	2019-08-10	accep	DE
5.20856	Honda	-74.73584	06 Dec 2012	excellent	CO
45.16024	Lino Lakes	-93.08883	2014-10-30	accep	US
-3.5403	Majene	118.9707	2015-03-26	accep	ID
53.81667	Blackpool	-3.05	30 Sep 2017	average	GB
32.57756	Mianwali	71.52847	11/03/2013, 00:00:00	accep	PK
37.31309	Mardin	40.74357	04/21/2020, 00:00:00	building	TR
44.43579	Sector 6	26.01649	2020/12/13	excellent	RO
51.64316	Bushey	-0.36053	2015/07/31	building	GB
-22.45667	Santa Gertrudes	-47.53028	05 Feb 2021	good	BR
51.64316	Bushey	-0.36053	30 Mar 2022	acceptable	GB
53.93361	Kireyevsk	37.92792	18 Oct 2013	average	RU
22.19303	Diamond Harbour	88.18466	2014/02/05	excellent	IN
16.06213	Hungund	76.0586	02/05/2016, 00:00:00	good	IN
50.18545	Shepetivka	27.06365	2016/01/26	excellent	UA
36.64852	Nowshahr	51.49621	07/20/2022, 00:00:00	accep	IR
-38.16604	Frankston South	145.13643	2017-08-07	excellent	AU
11.12018	Manjeri	76.11996	2016/03/28	average	IN
-3.74912	Iquitos	-73.25383	17 Sep 2022	accep	PE
19.30157	Bhayandar	72.85107	2018/09/13	accep	IN
8.48714	Freetown	-13.2356	20 Jun 2020	average	SL
-33.59217	San Bernardo	-70.6996	24 Sep 2015	average	CL
38.70734	Fort Washington	-77.02303	07/01/2015, 00:00:00	accep	US
33.41012	Greenville	-91.06177	2020-12-22	average	US
42.35843	Boston	-71.05977	2013-06-06	good	US
44.31771	Chiavari	9.32241	12/03/2012, 00:00:00	building	IT
-7.73379	Besuki	113.69785	2020/03/26	building	ID
40.11583	Jizzax	67.84222	05/24/2020, 00:00:00	good	UZ
7.83389	Villa del Rosario	-72.47417	03 Nov 2012	good	CO
42.35843	Boston	-71.05977	2014/10/27	good	US
36.02506	Brentwood Estates	-86.77917	23 Oct 2017	average	US
-37.9	Wheelers Hill	145.18333	10 Jun 2015	building	AU
34.95303	Santa Maria	-120.43572	12 Jan 2019	maintenance	US
28.90054	Deltona	-81.26367	26 Mar 2016	maintenance	US
31.96258	Naushahra Virkan	73.97117	11/28/2014, 00:00:00	average	PK
52.48173	Brierley Hill	-2.12139	24 Mar 2013	accep	GB
50.88506	Denderleeuw	4.07601	2018/06/10	average	BE
-28.81833	Soledade	-52.51028	02/28/2013, 00:00:00	excellent	BR
0.76755	Yangambi	24.43973	08/10/2015, 00:00:00	maintenance	CD
46.51872	Hoxtolgay	86.00214	26 Jul 2013	building	CN
-37.32167	Tandil	-59.13316	18 Jul 2013	excellent	AR
17.54907	Elamanchili	82.85749	08/31/2019, 00:00:00	building	IN
10.15031	El Copey	-73.9614	02/28/2015, 00:00:00	accep	CO
44.98901	Yablonovskiy	38.94324	2016/01/30	good	RU
9.15093	Chilibre	-79.62098	09/15/2016, 00:00:00	average	PA
-1.63333	Franceville	13.58357	2019-12-05	good	GA
36.06523	Porterville	-119.01677	30 Jan 2022	accep	US
33.45122	Hueytown	-86.99666	03/06/2016, 00:00:00	accep	US
42.50729	les Escaldes	1.53414	2014/05/26	average	AD
41.0051	Scarsdale	-73.78458	2022/05/10	average	US
52.2	Kirchlengern	8.63333	2017-08-24	building	DE
41.54566	Middletown	-71.29144	2012-10-31	maintenance	US
46.08333	Ulanhot	122.08333	2015/07/28	excellent	CN
16.0567	Roi Et	103.65309	07/17/2019, 00:00:00	excellent	TH
41.92361	Bogovinje	20.91361	01/20/2016, 00:00:00	average	MK
31.39547	Rahat	34.75699	2015-12-19	good	IL
37.35813	San Juan de Aznalfarache	-6.03731	2016/10/30	excellent	ES
51.14942	Zgorzelec	15.00835	01/25/2018, 00:00:00	maintenance	PL
41.15376	Bourbonnais	-87.88754	2015/06/07	building	US
9.6531	Jagna	124.3697	05/06/2014, 00:00:00	average	PH
-27.50578	Carindale	153.10236	12/15/2013, 00:00:00	maintenance	AU
-7.81667	Kediri	112.01667	2016/06/15	average	ID
-21.44345	Tupiza	-65.71875	2021/11/04	average	BO
36.06386	El Achir	4.62744	02/12/2015, 00:00:00	maintenance	DZ
37.74615	Ponta Delgada	-25.66689	2018/03/24	good	PT
41.57721	West Des Moines	-93.71133	23 Mar 2015	accep	US
40.85158	Haicheng	122.74754	03 May 2018	excellent	CN
48.46458	Pfullingen	9.22796	2016-08-23	good	DE
35.25064	Searcy	-91.73625	2017-05-28	good	US
20.21322	Salvatierra	-100.88023	2014/02/26	accep	MX
41.63976	Cardedeu	2.35739	25 Feb 2016	accep	ES
36.21544	Sar-e Pul	65.93249	2017/04/12	excellent	AF
37.05944	Gaziantep	37.3825	2020/08/05	accep	TR
33.52253	Laguna Niguel	-117.70755	26 Jun 2017	good	US
-1.9487	Rwamagana	30.4347	24 Jan 2022	maintenance	RW
7.06273	Mampong	-1.4001	12/08/2015, 00:00:00	excellent	GH
41.75338	Granger	-86.11084	04/24/2019, 00:00:00	maintenance	US
36.06386	El Achir	4.62744	19 Dec 2013	average	DZ
-4.5833	Kasangulu	15.16554	2019/08/28	accep	CD
35.82756	Ina	137.95378	2019-09-10	accep	JP
14.64056	Kantharalak	104.64992	03/27/2016, 00:00:00	building	TH
41.48199	Lakewood	-81.79819	2017/07/31	average	US
-11.78333	Luena	19.91667	09/27/2020, 00:00:00	good	AO
26.91756	Punta Gorda Isles	-82.07842	2016-07-03	accep	US
-23.85972	Maxixe	35.34722	2020/08/06	excellent	MZ
37.60876	Mechanicsville	-77.37331	25 Nov 2013	accep	US
37.95143	Rolla	-91.77127	2020/01/12	average	US
51.95838	Schiebroek	4.47124	06/17/2022, 00:00:00	excellent	NL
6.33444	Tupi	124.95278	16 Dec 2016	average	PH
19.8173	Teziutlan	-97.35992	2016-09-18	accep	MX
47.76232	Bothell	-122.2054	06 Jun 2018	good	US
50.5107	Strzelce Opolskie	18.30056	2013-03-04	good	PL
50.50301	Most	13.63617	2014-03-26	accep	CZ
50.11861	Penzance	-5.53715	2020-06-17	good	GB
-8.28333	Cabo	-35.03333	2019-03-27	accep	BR
40.37528	Mudanya	28.88222	15 Sep 2014	accep	TR
46.1351	Sydney	-60.1831	2017-10-17	good	CA
-6.91806	Sukabumi	106.92667	07 Jul 2014	accep	ID
35.89972	Valletta	14.51472	10 Sep 2022	accep	MT
-31.95224	Perth	115.8614	2020/10/07	building	AU
29.53885	Fresno	-95.44744	2013/08/14	accep	US
-22.45667	Santa Gertrudes	-47.53028	2012/10/17	maintenance	BR
51.47805	Oberhausen	6.8625	2014-01-20	maintenance	DE
45.99194	Artsyz	29.41824	2013-09-03	excellent	UA
45.0408	Columbia Heights	-93.263	04/14/2014, 00:00:00	excellent	US
34.9	Shinshiro	137.5	2013-09-12	good	JP
55.85	Likhobory	37.56667	2019-10-17	average	RU
8.35122	Ciudad Guayana	-62.64102	11 Mar 2014	average	VE
-1.9487	Rwamagana	30.4347	2015/03/10	excellent	RW
45.79377	Malnate	8.88104	2014-09-26	accep	IT
45.43341	Beaconsfield	-73.86586	11/24/2019, 00:00:00	good	CA
-23.85972	Maxixe	35.34722	02 May 2013	good	MZ
27.85	Xiangtan	112.9	22 May 2020	accep	CN
52.61131	Hermsdorf	13.31783	2016/05/16	excellent	DE
43.78956	Ventimiglia	7.60872	08 Dec 2014	good	IT
36.76775	Cheraga	2.95924	2018/11/04	building	DZ
37.35813	San Juan de Aznalfarache	-6.03731	2016-08-07	good	ES
47.80527	Bothell West	-122.24064	02/17/2015, 00:00:00	good	US
53.53395	Zhukovka	33.72798	2013-10-21	accep	RU
-20.88231	Saint-Denis	55.4504	2016/03/31	maintenance	RE
7.83389	Villa del Rosario	-72.47417	02/14/2016, 00:00:00	excellent	CO
39.33427	Middle River	-76.43941	01/16/2020, 00:00:00	accep	US
34.31	Jerada	-2.16	2021/06/25	excellent	MA
43.78956	Ventimiglia	7.60872	2020-07-22	good	IT
53.0233	Belper	-1.48119	18 May 2019	good	GB
60.02427	Kolomyagi	30.28491	07 Apr 2020	excellent	RU
19.04222	Casa Blanca	-98.11889	03/31/2020, 00:00:00	good	MX
54.39304	Bavly	53.26023	2021-05-18	accep	RU
-20.88231	Saint-Denis	55.4504	2015-02-10	excellent	RE
32.65246	Isfahan	51.67462	2019-08-30	maintenance	IR
41.15376	Bourbonnais	-87.88754	2020-09-02	excellent	US
45.69558	Saint-Genis-Laval	4.7934	10 Sep 2015	good	FR
3.27833	Kitgum	32.88667	2014-09-28	good	UG
25.6439	Narwar	77.9129	12/12/2015, 00:00:00	good	IN
10.29085	Sa Dec	105.75635	2016-09-10	accep	VN
45.35	Shuangcheng	126.28333	2022/09/03	good	CN
51.78771	Saraktash	56.36091	06/28/2015, 00:00:00	good	RU
-25.54073	Maryborough	152.70493	2016-01-25	good	AU
22.49396	Acaponeta	-105.36369	15 Nov 2017	good	MX
36.21544	Sar-e Pul	65.93249	2020/11/06	average	AF
52.21099	Gronau	7.02238	2017/03/03	accep	DE
42.819	Buynaksk	47.1192	2015-09-28	good	RU
53.95278	Roslavl’	32.86389	19 Jul 2019	excellent	RU
1.6	Ulu Tiram	103.81667	2013-05-14	maintenance	MY
32.54278	Danjiangkou	111.50861	2016/05/20	building	CN
29.53885	Fresno	-95.44744	29 Jun 2020	building	US
52.14	Barneveld	5.58472	2014-08-07	acceptable	NL
46.75451	Nova Kakhovka	33.34864	03 Aug 2016	excellent	UA
40.98894	Yakuplu	28.67582	09/13/2017, 00:00:00	building	TR
10.63504	Liberia	-85.43772	2018/11/04	good	CR
-1.9487	Rwamagana	30.4347	05 Nov 2015	maintenance	RW
14.66	Pilar	120.56528	2019/10/21	accep	PH
-38.16604	Frankston South	145.13643	2020/11/27	good	AU
14.67751	Le Robert	-60.94228	2020/07/03	maintenance	MQ
36.81667	Zhoucun	117.81667	06/14/2014, 00:00:00	maintenance	CN
4.94273	Carnot	15.87735	06 Feb 2020	good	CF
22.4711	Pujali	88.1453	2016-02-06	maintenance	IN
13.65805	Paoy Paet	102.56365	2020/12/31	accep	KH
40.85158	Haicheng	122.74754	2013/07/24	good	CN
51.65333	Vught	5.2875	30 Sep 2019	good	NL
-10.91722	Lagarto	-37.65	12/05/2013, 00:00:00	average	BR
12.18441	Mongo	18.69303	2017-10-23	average	TD
48.46458	Pfullingen	9.22796	2017/12/06	average	DE
48.52961	Landshut	12.16179	2022-01-23	accep	DE
44.73941	Rosemount	-93.12577	09 Dec 2014	accep	US
-22.53722	Guapimirim	-42.98194	17 Oct 2021	average	BR
50.71229	Rixensart	4.52529	2014/07/03	maintenance	BE
50.26729	Vernon	-119.27337	2016/05/28	accep	CA
27.0174	Al Jubayl	49.62251	2021-06-04	accep	SA
43.61092	Montpellier	3.87723	09/25/2018, 00:00:00	good	FR
52.26083	Losser	7.00417	2014/10/15	accep	NL
-22.57306	Artur Nogueira	-47.1725	2015-10-17	building	BR
60.02427	Kolomyagi	30.28491	2013/12/31	good	RU
30.46907	Kot Addu	70.96699	2021/09/08	excellent	PK
65.84811	Tornio	24.14662	13 Jul 2015	excellent	FI
33.14447	Darreh Shahr	47.3799	2019-01-31	good	IR
10.10649	Alwaye	76.35484	2016-10-04	excellent	IN
51.20219	Radevormwald	7.36027	2017/09/04	maintenance	DE
42.8334	Norfolk County	-80.38297	2016-09-01	good	CA
30.81383	Moga	75.16878	05/28/2017, 00:00:00	building	IN
35.88264	Thomasville	-80.08199	04/16/2017, 00:00:00	average	US
1.6	Ulu Tiram	103.81667	10 Sep 2021	excellent	MY
50.76306	Cowes	-1.29772	2014-03-01	excellent	GB
37.65181	Longgang	120.33063	04/27/2019, 00:00:00	average	CN
25.75728	Deoli	75.37991	2022/04/13	excellent	IN
46.32313	Niort	-0.45877	05/20/2020, 00:00:00	accep	FR
27.92333	Pucheng	118.53333	07/15/2015, 00:00:00	excellent	CN
49.88307	Kelowna	-119.48568	04/03/2021, 00:00:00	excellent	CA
41.63976	Cardedeu	2.35739	2022/06/06	good	ES
53.53395	Zhukovka	33.72798	19 Oct 2020	good	RU
34.95303	Santa Maria	-120.43572	2018/11/15	good	US
37.73222	Hengshui	115.70111	29 Feb 2020	accep	CN
48.90472	La Garenne-Colombes	2.2469	08 Dec 2015	average	FR
14.62578	Antipolo	121.12251	2020/03/04	average	PH
38.68712	Puertollano	-4.10734	08/02/2017, 00:00:00	excellent	ES
50.82882	Lancing	-0.32247	03/18/2018, 00:00:00	good	GB
17.54907	Elamanchili	82.85749	2014-03-10	building	IN
-4.26613	Brazzaville	15.28318	18 Aug 2017	excellent	CG
40.67705	Cypress Hills	-73.89125	2019-08-03	excellent	US
-31.4488	Esperanza	-60.93173	2019-04-22	accep	AR
55.82885	Rutherglen	-4.21376	04/06/2018, 00:00:00	accep	GB
43.11667	Pamiers	1.6	2016/08/19	good	FR
41.15612	Reus	1.10687	17 Apr 2018	average	ES
36.06523	Porterville	-119.01677	2016/09/10	accep	US
51.12794	Temse	4.21372	01/21/2021, 00:00:00	good	BE
32.35126	Tyler	-95.30106	2014-10-20	good	US
-7.01833	Pameungpeuk	107.60389	2019-02-20	excellent	ID
10.22677	La Victoria	-67.33122	2018/08/06	average	VE
25.95533	Jhol	68.88871	2013/05/24	average	PK
25.87972	Heroica Matamoros	-97.50417	08/25/2020, 00:00:00	average	MX
20.88197	Bhuban	85.83334	04/05/2020, 00:00:00	accep	IN
-27.4338	Aguilares	-65.61427	27 Dec 2018	accep	AR
55.82737	Viewpark	-4.0573	2021-03-25	average	GB
41.09246	Qazax	45.36561	2022-01-29	good	AZ
40.98894	Yakuplu	28.67582	05/24/2020, 00:00:00	good	TR
12.35275	San Jose	121.06761	2020/08/10	excellent	PH
-27.4338	Aguilares	-65.61427	01/04/2016, 00:00:00	good	AR
23.29549	Licheng	113.82465	16 Jun 2015	accep	CN
48.35149	Hechingen	8.96317	2015/12/13	average	DE
51.84819	Walton-on-the-Naze	1.26738	2022/03/19	excellent	GB
55.67938	Frederiksberg	12.53463	2013/12/03	excellent	DK
40.70995	Amposta	0.57856	11/03/2014, 00:00:00	good	ES
44.92934	Krymsk	37.99117	2015/10/31	maintenance	RU
53.6052	Barmbek-Nord	10.03988	2016-12-07	excellent	DE
41.16704	Bridgeport	-73.20483	01/14/2015, 00:00:00	good	US
43.31667	Gernika-Lumo	-2.68333	2018-07-26	maintenance	ES
32.44874	Abilene	-99.73314	2018/06/10	accep	US
35	Komono	136.51667	2014-07-25	maitennce	JP
-19.72806	Iturama	-50.19556	2012/11/13	excellent	BR
52.31333	Oldenzaal	6.92917	2013/11/01	excellent	NL
38.70734	Fort Washington	-77.02303	19 Jan 2018	good	US
42.67164	Roseto degli Abruzzi	14.01481	27 Sep 2019	excellent	IT
39.33427	Middle River	-76.43941	2019/06/03	average	US
38.96667	Gandia	-0.18333	2016/12/10	maintenance	ES
22.37066	Tsuen Wan	114.10479	2017/06/23	accep	HK
41.63976	Cardedeu	2.35739	18 Oct 2019	average	ES
16.0438	Manaoag	120.4861	29 Aug 2021	good	PH
-31.4488	Esperanza	-60.93173	2015-03-08	building	AR
