QoS	revision	code	station	latitude	longitude
accep	09/25/2021, 00:00:00	FR	Valence	44.92801	4.8951
average	2022-03-04	IT	Montecchio Maggiore-Alte Ceccato	45.50369	11.412
maintenance	2014-11-02	MA	Jerada	34.31	-2.16
average	14 Sep 2021	RU	Likhobory	55.85	37.56667
good	03/07/2015, 00:00:00	JP	Ina	35.82756	137.95378
accep	2020-11-19	AR	Tandil	-37.32167	-59.13316
good	02 Feb 2021	ID	Pameungpeuk	-7.01833	107.60389
accep	09 May 2018	KE	Lodwar	3.11988	35.59642
building	01 Apr 2018	US	Martinsburg	39.45621	-77.96389
good	2022-08-11	AU	Eastwood	-33.79176	151.08057
good	26 Dec 2016	ID	Wangon	-7.51611	109.05389
average	2013-08-31	FR	Ajaccio	41.91886	8.73812
accep	24 Jan 2013	DE	Gronau	52.21099	7.02238
average	2018-09-14	IT	Ventimiglia	43.78956	7.60872
average	11 Jan 2022	US	Glendale	34.14251	-118.25508
accep	25 Dec 2015	JP	Suzaka	36.65	138.31667
good	03/11/2014, 00:00:00	PK	Bhit Shah	25.80565	68.49143
excellent	2021/03/31	US	Harrisburg	40.2737	-76.88442
accep	2013-10-16	US	Yonkers	40.93121	-73.89875
excellent	2018-07-06	CN	Shaowu	27.34089	117.4831
accep	03 Jan 2016	LT	Ukmerge	55.25	24.75
building	2017-11-08	FR	Herblay	48.98994	2.1699
building	11/07/2015, 00:00:00	ES	Gernika-Lumo	43.31667	-2.68333
maintenance	2014/12/03	PH	Naga	10.20898	123.758
building	03/13/2021, 00:00:00	US	Hueytown	33.45122	-86.99666
accep	2021/10/27	IL	Ganei Tikva	32.05971	34.8732
accep	31 Jan 2018	US	Pleasant Prairie	42.55308	-87.93341
maintenance	11/05/2014, 00:00:00	TH	Bua Yai	15.58552	102.42587
maintenance	2020-07-28	FR	Saint-Omer	50.75	2.25
excellent	02/11/2021, 00:00:00	BG	Aytos	42.7	27.25
good	21 Jan 2020	GB	Rhosllanerchrugog	53.00974	-3.05814
building	2021-04-08	DE	Schleswig	54.52156	9.5586
building	2017-06-30	US	South Whittier	33.95015	-118.03917
average	25 May 2016	SO	Kismayo	-0.35817	42.54536
good	08 Jul 2013	US	Schererville	41.47892	-87.45476
excellent	2018-06-13	ES	Tudela	42.06166	-1.60452
accep	10/18/2012, 00:00:00	MQ	Le Robert	14.67751	-60.94228
excellent	02/04/2019, 00:00:00	SO	Baki	9.89206	43.38531
accep	04/20/2020, 00:00:00	IN	Sojat	25.92493	73.66633
excellent	16 Sep 2017	US	Punta Gorda Isles	26.91756	-82.07842
maintenance	2017-08-29	RU	Bogoroditsk	53.77166	38.12408
average	2016/08/02	US	South Lawndale	41.84364	-87.71255
average	2014-04-23	DE	Schwalmtal	51.21667	6.26667
good	09/19/2013, 00:00:00	US	Palm Valley	30.17746	-81.38758
accep	2014-05-08	CN	Yingkou	40.66482	122.22833
good	2014/03/19	PT	Ponta Delgada	37.74615	-25.66689
excellent	08/04/2016, 00:00:00	TH	Tak Bai	6.25947	102.05461
building	2016/09/07	DE	Dahlem	52.4581	13.28702
building	2018/05/11	DE	Oschatz	51.30001	13.10984
average	11 Feb 2022	FR	Arles	43.67681	4.63031
building	2018-08-18	CL	Chiguayante	-36.9256	-73.02841
building	2016/09/06	US	Crystal Lake	42.24113	-88.3162
accep	2018-02-08	DE	Barmbek-Nord	53.6052	10.03988
building	2018-09-30	TH	Phanat Nikhom	13.44581	101.18445
building	2022-03-20	IN	Chharra	27.9247	78.40102
accep	2015-12-12	US	Brenham	30.16688	-96.39774
excellent	2014/01/23	IL	Rahat	31.39547	34.75699
average	2015-09-02	IT	Somma Vesuviana	40.87329	14.43865
good	2019-02-20	US	Santa Maria	34.95303	-120.43572
accep	04 Jun 2014	MX	Jocotepec	20.28527	-103.42897
excellent	22 Dec 2021	CN	Xiangtan	27.85	112.9
excellent	05/26/2015, 00:00:00	CA	Sainte-Catherine	45.40008	-73.58248
accep	2016-11-08	GB	Winsford	53.19146	-2.52398
maintenance	2014-09-18	RU	Bavly	54.39304	53.26023
building	04/17/2022, 00:00:00	RU	Kashira	54.84444	38.16694
accep	2013/02/20	US	Dublin	32.54044	-82.90375
good	01/27/2019, 00:00:00	MX	Contla	19.32932	-98.1664
average	2019/07/20	VE	La Victoria	10.22677	-67.33122
average	03/27/2022, 00:00:00	BR	Alfenas	-21.42917	-45.94722
accep	2014-10-06	SK	Skalica	48.8449	17.22635
average	2016-03-21	PT	Carnaxide	38.72706	-9.24671
average	2016-01-24	GB	Great Wyrley	52.66277	-2.01111
excellent	2020/07/13	GN	Camayenne	9.535	-13.68778
building	2022/05/14	FR	Fontenay-aux-Roses	48.79325	2.29275
maintenance	2018/02/20	UA	Nova Kakhovka	46.75451	33.34864
average	30 Sep 2018	IN	Gajendragarh	15.73628	75.96976
good	17 Apr 2015	RU	Lesosibirsk	58.23583	92.48278
good	01/03/2017, 00:00:00	RU	Oktyabr’skiy	54.48147	53.47103
building	2022-02-23	GB	Kingston upon Hull	53.7446	-0.33525
excellent	2022/01/07	US	Jersey City	40.72816	-74.07764
accep	2022/06/26	BR	Pato Branco	-26.22861	-52.67056
excellent	02/01/2013, 00:00:00	MX	Jocotepec	20.28527	-103.42897
good	24 Mar 2016	BR	Soledade	-28.81833	-52.51028
average	2020/08/11	MX	Jocotepec	20.28527	-103.42897
accep	09 Jul 2022	US	Deltona	28.90054	-81.26367
accep	2014/09/25	YE	Ataq	14.53767	46.83187
average	10/27/2021, 00:00:00	GB	Kingston upon Hull	53.7446	-0.33525
maintenance	2018-04-15	PT	Ponta Delgada	37.74615	-25.66689
good	29 Oct 2019	GB	Hartley	51.38673	0.30367
maintenance	17 Apr 2018	NG	Olupona	7.6	4.18333
average	15 Jan 2015	BJ	Tchaourou	8.88649	2.59753
accep	2014/08/26	DE	Gifhorn	52.47774	10.5511
average	2016/03/14	BD	Manikchari	22.83957	91.84128
good	2015-07-23	MG	Sakaraha	-22.9	44.53333
excellent	04/08/2019, 00:00:00	PH	Jagna	9.6531	124.3697
building	2021-12-15	ZA	Vryheid	-27.76952	30.79165
good	12/06/2015, 00:00:00	NE	Mirriah	13.70727	9.15013
good	11 Jun 2014	US	Hutto	30.5427	-97.54667
excellent	2014-03-30	UA	Hlukhiv	51.67822	33.9162
good	2022-06-19	MK	Saraj	42	21.32778
maintenance	2016/07/06	GB	Blackpool	53.81667	-3.05
maitennce	2019-10-05	IN	Narwar	25.6439	77.9129
excellent	04 Feb 2017	IR	Isfahan	32.65246	51.67462
accep	11/10/2021, 00:00:00	ZA	Mokopane	-24.19436	29.00974
building	2019-10-25	IE	An Muileann gCearr	53.53333	-7.35
accep	30 Nov 2020	US	Bourbonnais	41.15376	-87.88754
average	2020-12-09	FR	Quimper	48	-4.1
good	2016/04/20	US	Yonkers	40.93121	-73.89875
building	11/02/2019, 00:00:00	PK	Kanganpur	30.76468	74.12286
maintenance	2017-02-04	US	New Canaan	41.14676	-73.49484
excellent	2020-12-29	AR	Aguilares	-27.4338	-65.61427
average	2021-05-29	UA	Krasyliv	49.65186	26.97253
maintenance	02/24/2017, 00:00:00	US	New Canaan	41.14676	-73.49484
good	2021-02-25	GB	Lancing	50.82882	-0.32247
good	2018-06-09	CR	San Rafael	9.92787	-84.13722
accep	2019/06/23	CN	Shuangcheng	45.35	126.28333
average	2012-10-27	US	Ken Caryl	39.57582	-105.11221
excellent	25 Jan 2015	US	Watsonville	36.91023	-121.75689
maintenance	03 Apr 2021	DK	Frederiksberg	55.67938	12.53463
building	2014-05-26	PH	Antipolo	14.62578	121.12251
maintenance	02/04/2014, 00:00:00	TZ	Nyangao	-10.33333	39.28333
excellent	09/06/2013, 00:00:00	PH	Talisay	10.7375	122.9666
accep	2019/09/29	UG	Kitgum	3.27833	32.88667
accep	10/31/2017, 00:00:00	IT	Sassari	40.72586	8.55552
building	11/22/2021, 00:00:00	NL	Barneveld	52.14	5.58472
good	2019-07-04	DE	Bretten	49.03685	8.70745
excellent	2022-06-04	RU	Lesozavodsk	45.47885	133.42825
accep	2018-03-07	PH	Guyong	14.8361	120.97844
accep	01/31/2019, 00:00:00	BR	Carlos Barbosa	-29.2975	-51.50361
excellent	2021/06/23	RU	Ishim	56.11281	69.49015
good	2018/09/25	US	Fairview Heights	38.58894	-89.99038
excellent	2015-05-18	GB	Newbury	51.40148	-1.32471
excellent	24 Sep 2016	US	Pekin	40.56754	-89.64066
average	2016/10/01	GB	Surbiton	51.39148	-0.29825
excellent	09/30/2017, 00:00:00	DE	Wesseling	50.82709	6.9747
maintenance	26 Dec 2019	CR	Liberia	10.63504	-85.43772
good	2015/10/29	MX	Heroica Matamoros	25.87972	-97.50417
average	2015-02-21	IL	Ramla	31.92923	34.86563
accep	14 May 2013	IT	Perugia	43.1122	12.38878
good	06 Apr 2019	IT	Misterbianco	37.51803	15.00913
excellent	13 Nov 2012	US	Hutto	30.5427	-97.54667
excellent	2021-12-07	BR	Aracaju	-10.91111	-37.07167
average	27 Aug 2017	IN	Dalsingh Sarai	25.66795	85.83636
accep	07/02/2013, 00:00:00	DE	Verl	51.88333	8.51667
building	2020-03-01	MZ	Maxixe	-23.85972	35.34722
average	20 Nov 2017	NG	Igbara-Odo	7.50251	5.06258
accep	2019-03-28	IN	Narwar	25.6439	77.9129
excellent	2022-06-16	TH	Kantharalak	14.64056	104.64992
excellent	2021/01/14	BR	Guaraciaba do Norte	-4.16694	-40.7475
excellent	07/13/2013, 00:00:00	US	North Lauderdale	26.2173	-80.22588
accep	01 Jan 2018	US	Tyler	32.35126	-95.30106
acceptable	09 Mar 2022	US	Aloha	45.49428	-122.86705
excellent	2017-11-10	BR	Barra dos Coqueiros	-10.90889	-37.03861
average	2018/01/31	GB	Southsea	50.79205	-1.08593
good	2014-08-28	GB	Chapletown	53.46506	-1.47217
good	11/01/2021, 00:00:00	US	Fairview Heights	38.58894	-89.99038
accep	31 Oct 2015	MX	Paracho de Verduzco	19.64745	-102.04897
good	16 Aug 2017	TZ	Usagara	-2.68333	33
good	03 Aug 2017	RU	Ishim	56.11281	69.49015
average	29 Aug 2016	IN	Udumalaippettai	10.58806	77.24779
maintenance	2017-12-02	PH	San Jose	12.35275	121.06761
average	2016/11/27	JP	Shimotoda	35.815	139.6853
excellent	18 Jul 2022	VE	Tinaquillo	9.91861	-68.30472
building	08/01/2016, 00:00:00	CN	Shaowu	27.34089	117.4831
building	2019/06/27	US	Encinitas	33.03699	-117.29198
maitennce	10/13/2019, 00:00:00	US	Tyler	32.35126	-95.30106
average	2020/12/24	TZ	Kidodi	-7.60361	37.00438
average	12/18/2016, 00:00:00	ID	Kediri	-7.81667	112.01667
accep	09/25/2013, 00:00:00	RU	Saraktash	51.78771	56.36091
building	30 Jul 2015	ES	Baza	37.49073	-2.77259
building	2021/10/07	BE	Rixensart	50.71229	4.52529
good	2017-01-26	US	Kent	47.38093	-122.23484
average	01 Jan 2020	LY	Ajdabiya	30.75545	20.22625
excellent	29 Apr 2013	IN	Dharmapuri	12.1277	78.15794
excellent	2016-01-25	ES	Maspalomas	27.76056	-15.58602
good	08/08/2021, 00:00:00	US	Searcy	35.25064	-91.73625
maintenance	21 Feb 2013	IT	Falconara Marittima	43.62558	13.39954
accep	07/13/2018, 00:00:00	IN	Elamanchili	17.54907	82.85749
accep	2017-05-30	TR	Sungurlu	40.1675	34.37389
accep	02/13/2022, 00:00:00	US	Troutdale	45.53929	-122.38731
good	2022-03-30	US	Grand Forks	47.92526	-97.03285
maintenance	2017-11-06	BE	Gembloux	50.56149	4.69889
excellent	2015/04/25	IQ	Karbala	32.61603	44.02488
accep	27 Nov 2014	ES	Maspalomas	27.76056	-15.58602
excellent	12 Jul 2014	UA	Krasyliv	49.65186	26.97253
maintenance	2019-08-16	AU	Strathfield	-33.88096	151.07986
excellent	01/14/2013, 00:00:00	FR	Bobigny	48.90982	2.45012
average	09/04/2016, 00:00:00	NO	Harstad	68.79833	16.54165
average	2018-10-19	TR	Bergama	39.12074	27.18052
building	2019/01/22	UZ	Jizzax	40.11583	67.84222
average	2013/05/25	GB	Inverness	57.47908	-4.22398
excellent	2022/07/27	US	Fairview Heights	38.58894	-89.99038
excellent	2020/05/24	US	Hutto	30.5427	-97.54667
accep	19 May 2016	PK	Naushahra Virkan	31.96258	73.97117
excellent	2022/06/08	DE	Schleswig	54.52156	9.5586
average	06/01/2021, 00:00:00	CN	Guli	28.88162	120.03308
accep	2020/12/18	RU	Danilov	58.1908	40.17171
accep	2016/02/04	NI	Somoto	13.48082	-86.58208
good	2020/01/31	US	Boston	42.35843	-71.05977
average	11 Oct 2014	US	Estelle	29.84576	-90.10674
maintenance	2013-05-14	DZ	Bordj Zemoura	36.27462	4.85668
excellent	2014/03/24	IT	Montecchio Maggiore-Alte Ceccato	45.50369	11.412
excellent	2018-09-27	KZ	Zaysan	47.46657	84.87144
accep	06/07/2017, 00:00:00	MY	Ulu Tiram	1.6	103.81667
average	06/22/2018, 00:00:00	PL	Jaworzno	50.20528	19.27498
maintenance	03/17/2015, 00:00:00	UA	Krasyliv	49.65186	26.97253
good	04 Feb 2021	CD	Yangambi	0.76755	24.43973
good	2016/11/28	CA	Sherwood Park	53.51684	-113.3187
accep	2013-11-03	ID	Pekanbaru	0.51667	101.44167
maintenance	2020/06/29	PE	Chosica	-11.94306	-76.70944
accep	2020-12-02	TN	El Alia	37.16911	10.03478
average	2019-03-30	RU	Yeysk	46.7055	38.2739
building	05 Apr 2014	IN	Parola	20.88098	75.11937
average	09 Oct 2014	ML	Kati	12.74409	-8.07257
accep	16 Mar 2013	DE	Memmingen	47.98372	10.18527
excellent	10 Feb 2017	PA	Chilibre	9.15093	-79.62098
accep	11/14/2012, 00:00:00	TN	El Alia	37.16911	10.03478
accep	2022/03/24	RU	Mikhaylovka	50.06	43.2379
acceptable	2014/07/19	LT	Ukmerge	55.25	24.75
acceptable	31 Dec 2015	IL	Rahat	31.39547	34.75699
accep	2019/09/11	US	Fayetteville	35.05266	-78.87836
excellent	2020-09-26	RU	Zhukovka	53.53395	33.72798
excellent	01 Aug 2015	IN	Gajendragarh	15.73628	75.96976
good	2016-11-12	BR	Cabo	-8.28333	-35.03333
average	12 Sep 2020	MN	Ulan Bator	47.90771	106.88324
accep	2016-07-19	RU	Krymsk	44.92934	37.99117
accep	2018-11-17	MY	Kampung Ayer Molek	2.2139	102.3278
excellent	2019-10-11	SY	Binnish	35.95664	36.7138
average	2016/05/22	SD	Ar Ruseris	11.8659	34.3869
maintenance	01 May 2018	GB	Newbury	51.40148	-1.32471
good	09/18/2021, 00:00:00	BJ	Tchaourou	8.88649	2.59753
maintenance	2012-12-31	ID	Cibinong	-6.48167	106.85417
excellent	2017/10/11	IN	Amreli	21.59983	71.21169
good	2021-06-08	GA	Franceville	-1.63333	13.58357
excellent	2014/10/19	ES	Tudela	42.06166	-1.60452
excellent	05 Mar 2020	JP	Iwade	34.25	135.31667
accep	12/27/2019, 00:00:00	JP	Namerikawa	36.75965	137.36215
accep	01/13/2021, 00:00:00	US	Middletown	41.54566	-71.29144
good	2017/06/06	TN	Siliana	36.08497	9.37082
building	16 Sep 2022	BR	Soure	-0.71667	-48.52333
average	2018-11-08	US	Rutland	43.61062	-72.97261
building	01/30/2018, 00:00:00	PE	Minas de Marcona	-15.21194	-75.11028
good	25 Mar 2022	SD	Ar Ruseris	11.8659	34.3869
average	2020-04-02	TR	Yakuplu	40.98894	28.67582
accep	11 Dec 2016	GB	Leyland	53.69786	-2.68758
building	2021/06/02	US	Lower West Side	41.8542	-87.66561
average	13 Dec 2013	IN	Udumalaippettai	10.58806	77.24779
accep	2020-12-08	PL	Jaworzno	50.20528	19.27498
maintenance	29 Dec 2017	XK	Glogovac	42.62833	20.89389
good	03 Dec 2012	CN	Hengshui	37.73222	115.70111
average	2016/01/08	MX	Salvatierra	20.21322	-100.88023
accep	01 Oct 2018	IN	Dombivli	19.21667	73.08333
excellent	02/21/2018, 00:00:00	GB	Exeter	50.7236	-3.52751
accep	2022/09/25	US	Cypress Hills	40.67705	-73.89125
accep	2013/07/12	US	Muskogee	35.74788	-95.36969
maintenance	12 Oct 2014	CL	Ovalle	-30.60106	-71.19901
accep	2017/03/01	ID	Sukabumi	-6.91806	106.92667
building	2022/03/10	BR	Itaperuna	-21.205	-41.88778
good	12/11/2017, 00:00:00	BR	Alfenas	-21.42917	-45.94722
excellent	2013-03-15	US	Ada	34.77453	-96.67834
maintenance	2013-07-11	IR	Nowshahr	36.64852	51.49621
average	05 Apr 2021	GB	Newbury	51.40148	-1.32471
excellent	08/13/2018, 00:00:00	US	Keizer	44.99012	-123.02621
building	2019/07/29	AR	Rafaela	-31.25033	-61.4867
accep	11/07/2012, 00:00:00	US	Searcy	35.25064	-91.73625
building	20 Feb 2021	US	Sicklerville	39.71734	-74.96933
excellent	2014/12/09	IE	Athlone	53.43333	-7.95
building	2022-04-19	RU	Lesnoy	58.63667	59.80222
excellent	04/29/2015, 00:00:00	RU	Privolzhskiy	51.40944	46.04833
good	2013/01/10	IN	Leteri	24.05979	77.40858
good	2018-03-12	US	Greenpoint	40.72371	-73.95097
excellent	11/25/2014, 00:00:00	SE	Boo	59.33333	18.28333
average	2020/05/14	BR	Pato Branco	-26.22861	-52.67056
good	2013-04-29	SO	Baki	9.89206	43.38531
accep	2013-03-11	TR	Gaziantep	37.05944	37.3825
good	2020-01-06	NL	Losser	52.26083	7.00417
maintenance	06/18/2013, 00:00:00	CM	Tonga	4.96667	10.7
good	2018-08-10	IT	Roseto degli Abruzzi	42.67164	14.01481
accep	2015/03/31	IN	Bachhraon	28.92694	78.23456
good	2018/09/23	DE	Stade	53.59337	9.47629
maintenance	2013-12-24	ID	Kudus	-6.8048	110.8405
average	12 Jun 2019	RU	Danilov	58.1908	40.17171
acceptable	2014/02/14	AU	Nowra	-34.88422	150.60036
excellent	2016-08-10	UA	Kherson	46.65581	32.6178
excellent	2021/06/16	CZ	Most	50.50301	13.63617
maintenance	2016-09-14	JP	Nonoichi	36.53333	136.61667
average	2015-07-04	ES	Ferrol	43.48961	-8.2194
maintenance	28 Dec 2014	DE	Gifhorn	52.47774	10.5511
accep	2018-04-12	DE	Barmbek-Nord	53.6052	10.03988
good	2015-05-03	UA	Nova Kakhovka	46.75451	33.34864
average	2015-05-24	SE	Hudiksvall	61.72744	17.10558
excellent	01 Aug 2013	PK	Alipur	29.38242	70.91106
average	2013/11/15	IT	Falconara Marittima	43.62558	13.39954
accep	07 Sep 2014	ME	Budva	42.28639	18.84
excellent	2013/04/28	TR	Patnos	39.22493	42.85693
excellent	2013-03-27	US	Copperas Cove	31.12406	-97.90308
accep	2021/03/15	DZ	Thenia	36.72544	3.55665
accep	20 Aug 2022	MG	Ambatondrazaka	-17.83333	48.41667
building	2013/07/08	LY	Ghat	24.96334	10.18003
excellent	2020-04-13	BR	Miracema	-21.41222	-42.19667
good	09/16/2020, 00:00:00	DE	Zeitz	51.04962	12.1369
accep	18 Dec 2021	GB	Blackpool	53.81667	-3.05
average	2021/06/06	JP	Motomachi	43.82634	144.09638
average	2018/03/09	FI	Tornio	65.84811	24.14662
good	2013-09-24	US	Pleasant Prairie	42.55308	-87.93341
accep	2019/03/05	BR	Imbituba	-28.24	-48.67028
average	25 Sep 2018	PK	Mianwali	32.57756	71.52847
average	12 Jan 2022	US	Lebanon	39.43534	-84.20299
excellent	2021/06/04	NE	Mirriah	13.70727	9.15013
average	11/25/2012, 00:00:00	BR	Imbituba	-28.24	-48.67028
average	08/11/2019, 00:00:00	IT	Perugia	43.1122	12.38878
average	2015/06/18	US	Kent	47.38093	-122.23484
good	23 May 2018	BR	Recife	-8.05389	-34.88111
average	02/18/2021, 00:00:00	LK	Hendala	6.9909	79.883
