Pb	CO	longitude	latitude	O3	CH4	TEMP	warning	PM2.5	PAHs	NH3	PM10	SO2	PRES	C2H3NO5	NOx	H2CO	CFCs
49.89939	9.72514	13.63617	50.50301	10.11379	6.05231	22.75601	0.00000	7.43858	5.10795	6.79512	7.81748	9.14269	1078.88789	0.31757	8.15855	35.40188	47.53447
52.87167	7.78376	13.63617	50.50301	8.59212	13.79155	34.23467	1.00000	7.14093	10.47650	8.02966	10.07657	6.62638	1069.31992	2.11430	4.58704	42.12079	62.41631
38.39918	3.72042	-41.25528	-19.32556	8.81240	2.35155	18.30474	0.00000	8.17174	9.47827	10.87384	10.57400	7.60426	1107.81572	3.35731	11.22807	39.80793	45.96015
50.35446	8.97396	12.1369	51.04962	8.98329	7.78783	-3.46180	1.00000	7.84906	7.76177	9.27677	7.60800	9.03101	1153.76357	0.27404	5.45333	46.34055	70.43179
36.16275	8.84283	102.3278	2.2139	10.63641	8.90897	19.61430	1.00000	5.99482	7.56759	9.99304	7.67485	6.99031	1107.98648	0.32756	8.06211	49.69001	47.64363
47.47394	9.10782	14.51472	35.89972	9.80003	7.69889	14.55685	1.00000	10.42393	9.02078	8.13014	8.90435	7.79318	1187.83798	0.78597	7.48188	44.04989	44.72795
45.62824	9.44760	34.34691	61.78491	9.43817	6.70962	20.16366	0.00000	8.01140	6.51153	8.45878	6.72971	9.62969	1197.93306	0.25187	8.46674	72.27243	41.03298
36.80440	10.67041	-4.1	48	11.59896	7.07046	18.76357	1.00000	9.25690	8.15955		7.76885	8.75728	1055.58153	0.39688	7.72859	52.01975	41.92980
50.51444	7.14530	-81.56929	41.55838	8.25066	13.16651	22.86115	1.00000	8.31405	11.81620	10.51400	8.91889	7.81969	1192.78555	0.78726	3.83615	35.70093	54.29382
38.26134	5.71854	-73.78458	41.0051	9.28832	6.18623	16.89136	0.00000	9.56468	10.93767	9.60985	9.47530	8.46747	1160.68350	1.23003	9.55973	46.07792	43.74032
32.49213	8.55331	113.13148	23.02677	10.07095	6.68107	5.25086	0.00000	8.69881	9.55096	9.48540	4.59360	6.91207	1184.03336	0.18023	7.54926	41.97870	49.75409
11.13038	9.77136	7.11393	51.08468	7.93741	9.44297	8.06346	1.00000	7.39695	9.84024	7.58043	11.33218	7.25801	1070.13787	6.92939	9.90098	50.80407	52.41379
65.66454	7.05482	150.99292	-33.75881	9.53638	8.77426	10.82651	1.00000	7.61325	12.22666	9.27165	7.48685	6.92181	1052.03189	0.31492	4.33361	32.89796	39.72501
25.05070	9.01835	-91.73625	35.25064	9.03734	9.62954	6.23097	1.00000	6.52307	9.77229	8.66268	6.14158	6.68357	1052.46717	0.17698	8.34244	49.25809	50.46768
59.34176	8.96449	72.54566	29.69221	10.26026	8.26816	21.66703	1.00000	9.33687	9.35692	7.92306	8.11186	6.29663	1078.86743	0.41313	7.22958	30.75811	31.10321
54.48465	8.96532	-96.39774	30.16688	10.13046	7.87887	16.78884	1.00000	9.11133	8.07754	6.90872	8.51283	8.02477	1102.47890	0.58747	7.35368	33.37467	35.23942
33.29280	6.97587	-7.95	53.43333	9.07143	7.19086	0.39070	1.00000	7.77798	9.08783	8.79094	7.19655	7.31347	1176.79264	0.27597	7.16056	30.74193	52.18567
29.33007	8.67619	9.40531	45.53069	9.51114	10.26124	0.89970	1.00000	7.28709	9.18603	8.27892	8.98022	9.01377	1126.11210	0.82934	10.60590	40.55768	56.24526
33.63662	3.85921	-122.23484	47.38093	5.74877	6.77345	20.79803	0.00000	10.36626	12.18215	7.15791	11.08549	7.71610	1195.30530	5.43120	8.31220	51.59512	52.90752
27.85936	8.98105	2.08333	48.86667	11.00106	9.53561	18.43440	1.00000	9.30664	7.78179	11.01280	7.42194	7.86658	1125.03831	0.31762	8.86253	35.11119	31.23382
49.49313	9.29521	151.07986	-33.88096	10.43244	5.95822	3.10625	0.00000	8.29092	9.54650	9.50218	5.43222	7.61305	1143.77658	0.16350	7.46262	48.85506	50.35440
63.07862	8.88466	-84.13722	9.92787	9.21774	6.84642	13.45562	0.00000	7.64207	9.48104	8.39279	4.56562	8.47355	1185.05775	0.20003	6.34842	58.50096	33.26060
31.75764	9.57147	-120.43572	34.95303	8.45811	7.51205	15.04803	1.00000	11.05520	7.68270	9.32585	10.59269	7.53539	1061.26188	3.51086	7.86719	57.38664	36.01361
50.76936	5.79808	-82.07842	26.91756	5.58188	8.80704	3.50366	1.00000	8.48017	7.07796	8.43940	7.33649	8.51904	1152.00784	0.28860	7.09828	61.62360	44.80428
53.17526	8.72408	9.5926	52.86147	8.29859	7.24896	10.98430	0.00000	8.51372	7.42864	8.19592	5.13051	7.09282	1116.10313	0.16474	4.95076	53.53979	53.42026
40.21637	10.67604	-111.90466	40.34912	10.11768	7.43233	22.79141	1.00000	6.37277	10.28623	7.66512	9.38420	7.81702	1133.75020	1.21781	7.70735	56.08266	49.31251
45.81207	6.87021	-102.04897	19.64745	6.59997	10.76391	13.13464	1.00000	8.69386	8.97289	7.99336	7.60366	8.12774	1104.55953	0.35529	7.66388	49.59046	40.21407
34.47740	9.55962	7.00417	52.26083	8.72763	7.65036	-1.72373	0.00000	7.57996	7.57496	9.35742	7.04681	6.18759	1089.13976	0.28022	5.66473	50.90144	52.04454
36.10060	6.71043	-123.02621	44.99012	7.93513	5.47993	29.92166	0.00000	8.45291	10.61826	7.55837	9.60005	8.28683	1065.76329	1.37754	8.99589	52.46258	46.52243
51.71806	8.92229	135.6	34.61667	10.19847	7.26441	17.17133	0.00000	8.46623	5.81174	10.24869	8.52494	7.39214	1169.58646	0.53221	8.58329	47.23570	20.53441
45.71759	6.03805	-91.73625	35.25064	7.24623	10.41440	19.79782	1.00000	7.86983	8.76861	7.50905		8.67298	1176.95557	1.08804	5.38208	62.24240	42.65021
45.29682	6.77934	6.26667	51.21667	8.79959	12.36873	8.38635	1.00000	8.34013	10.03902	7.02411	10.58079	9.52841	1195.67108	3.40001	4.67037	55.64030	51.37874
23.57199	9.51259	28.19028	59.37722	9.04361	9.51273	22.70270	1.00000	7.29054	10.02899	9.63000	9.80832	8.83043	1194.68961	1.63193	9.66455	48.21300	69.63423
48.96714	8.23755	-113.3187	53.51684	10.94660	7.82636	6.00144	0.00000	8.01975	9.56230	7.77288	8.31249	7.82933	1099.85776	0.49737	9.83462	46.70789	56.03414
58.62563	6.40313	77.70636	28.98002	3.82113	9.19402	24.78353	1.00000	6.71020	6.22328	6.08539	5.53514	8.37423	1156.78262	0.15667	10.00023	57.75398	56.04685
54.05556	9.11903	-96.39774	30.16688	8.43158	9.66777	13.71626	1.00000	8.90261	7.02637	9.00672	10.57199	8.36560	1113.62076	3.37903	10.67662	51.90970	60.31435
28.59476	4.73135	10.18527	47.98372	9.45262	5.99034	3.45602	0.00000	8.41706	9.59258	8.93686	9.96467	6.61991	1080.80130	1.92175	8.23894	45.00082	32.02789
40.06911	10.55627	-2.77259	37.49073	7.76618	9.44492	15.81585	1.00000	6.52316	10.49633	8.23817	11.72863	8.61915	1121.80082	10.29969	11.41657	48.58522	56.22558
49.58164	7.03687	84.63445	24.81757	7.76049	10.76230	17.20893	1.00000	8.79059	8.73225	9.80317	9.91363	8.75361	1130.72803	1.81959	9.36608	45.38861	57.54206
50.48099	7.14654	-86.99666	33.45122	9.04249	8.02383	22.25372	0.00000	7.23888	11.30907	9.31368	8.38370	8.27918	1180.97394	0.45755	6.00330	8.54348	61.62209
62.44538	7.18718	107.60389	-7.01833	6.58894	9.89329	9.26856	1.00000	8.10778	9.00195	8.14026	6.72407	7.16915	1195.65617	0.27707	8.79471	23.28246	31.93459
35.12124	8.10864	15.28318	-4.26613	11.27163	6.62443	18.84326	0.00000	7.38078	8.38745	8.48633	5.02072	8.11920	1140.01237	0.14247	8.83995	74.85324	52.67739
34.66821	8.24529	-7.32097	41.1053	10.14404	11.18548	16.35211	1.00000	8.21776	8.08527	8.55298	7.80066	7.47183	1187.16917	0.35711	10.17471	32.00326	39.20770
20.63864	14.23863	14.30935	40.92298	12.72782	7.21151	20.83607	1.00000	8.88947	12.41311	7.65539	8.10028	8.39299	1192.29230	0.49639	8.84689	70.13376	52.71418
50.73625	8.01501	-73.89125	40.67705	9.13976	9.99621	14.23762	0.00000	7.37883	7.03811	5.66228	9.27114	8.09308	1055.23146	1.00892	7.84364	57.03944	45.37502
34.84973	9.62069	144.09638	43.82634	9.38922	6.59061	23.80597	0.00000	9.48437	8.61147	9.20248	6.00875	8.87715	1125.99141	0.15804	7.09399	62.47934	31.99119
42.92322	8.01231	-2.68333	43.31667	8.32581	10.72726	20.29571	1.00000	5.96811	8.95327	8.66767	10.11971	9.27929	1094.90489	2.22280	10.25462	29.39699	45.95898
41.00777	5.27602	122.22833	40.66482	9.09276	5.43312	29.36154	0.00000	8.83775	11.61734	7.47509	8.93045	6.58817	1175.30145	0.83737	8.11254	47.33850	43.50598
68.83101	4.87198	-122.23484	47.38093	9.20620	3.93542	-5.28811	1.00000	10.03938	9.00629	8.09823	9.97249	7.97213	1109.15448	1.94280	8.45296	48.03351	49.83490
46.15847	10.00586	-1.47217	53.46506	9.47102	8.47948	12.10427	1.00000	6.46304	9.70201	8.96806	9.72085	7.46809	1187.65243	1.55541	8.93651	37.23409	62.65916
28.46149	6.62149	8.61839	49.68369	9.20391	10.72606	13.47625	1.00000	9.02364	8.01946	8.21643	8.16990	8.73768	1064.37810	0.47438	9.20183	62.55580	47.43647
43.62362	6.65891	-60.94228	14.67751	5.70055	9.28330	22.68382	1.00000	9.34198	9.60106	7.09238	5.80042	8.69539	1151.56008	0.20377	6.86507	39.69805	66.81019
38.55740	8.97110	27.18052	39.12074	9.92776	5.88820	17.94025	0.00000	8.09151	8.79793	8.77460	4.79009	8.52947	1106.16966	0.11632	7.40748	34.68991	28.49996
21.34082	7.40658	-116.97725	33.92946	5.91971	11.76430	0.34301	1.00000	8.10564	8.22834	6.79266	7.46904	7.37140	1082.16373	0.35097	8.10371	49.02339	51.25495
28.57881	5.91543	-47.53028	-22.45667	7.07272	6.18118	14.32708	1.00000	9.37807	10.81566	8.89831	5.65905	7.66694	1114.88729	0.22828	4.84587	37.21352	34.97784
31.43568	7.30603	68.49143	25.80565	10.82397	6.27109	16.16909	0.00000	8.68448	9.11301	9.22410	8.30474	8.05095	1095.16221	0.50337	9.27013	29.66340	31.98469
71.90293	5.13233	5.23333	52.09	5.99699	8.79276	4.65213	1.00000	7.78825	7.40781	6.95977	8.87967	8.49104	1132.40228	0.72616	6.80371	34.97796	51.96982
45.58128	7.38015	79.5286	29.22254	7.85462	10.26383	1.47047	1.00000	6.91663	7.64180	8.40558	10.27153	7.15583	1056.96458	2.58649	9.81873	14.92467	69.96153
26.52546	7.56359	-2.58736	56.56317	10.95011	7.49830	9.05769	0.00000	7.72208	6.85103	8.86093	6.97030	8.37520	1071.13915	0.25600	9.70547	30.23676	42.93420
66.85642	5.72389	37.56667	55.85	5.29961	7.47274	17.68824	1.00000	10.13029	10.32323	8.13072	4.78323	8.03780	1176.88397	0.13006	6.69281	49.92044	51.09827
38.68312	12.47763	-97.90308	31.12406	12.29351	6.09060	19.53284	1.00000	8.41887	10.62531	8.41381	7.90353	7.39104	1147.72258	0.33704	6.91493	42.95657	55.92891
42.81209	8.03123	15.28318	-4.26613	7.99237	10.79558	-3.56356	1.00000	7.49023	9.35977	9.34102	7.09882	7.70209	1087.25095	0.24530	9.07167	37.25959	37.11267
46.47359	6.37449	-123.02621	44.99012	9.98984	6.62124	13.37678	0.00000	8.44504	10.57636	9.43567	8.86211	7.29401	1120.36970	0.74457	8.60158	42.31564	44.03829
42.98002	9.82005	72.54566	29.69221	9.42348	8.89487	20.05495	1.00000	8.39044	10.51238	6.57273	9.61434	8.42524	1107.87869	1.43352	9.04786	48.57562	52.34138
41.99333	9.40801	4.7934	45.69558	10.76656	9.56102	8.96004	1.00000	8.94173	8.79324	8.34065	8.01658	8.48793	1197.71326	0.38699	9.68540	23.53754	54.32410
65.49144	9.49231	-5.682	5.84752	8.50813	9.06746	13.74979	1.00000	8.65447	8.78814	8.72114	10.48750	5.83060	1114.39931	3.10555	9.70255	70.83978	43.55530
47.50900	7.20856	2.35739	41.63976	6.16885	10.43190	15.56609	1.00000	7.07436	8.21942	9.56974	12.08715	7.08070	1094.72590	14.61887	10.85876	50.64679	53.23492
42.21871	7.68935	73.06784	25.13915	9.22945	11.80743	-2.66483	1.00000	7.94423	8.82473	7.70723	8.63819	9.73854	1161.14172	0.57276	10.54919	31.12260	40.16590
48.21759	9.98638	-48.67028	-28.24	9.04025	5.76347	-0.13766	0.00000	8.68141	6.90224	8.09262	5.90091	8.60267	1137.15548	0.15781	5.49502	43.19627	58.83131
51.31159	9.34760	-73.89875	40.93121	9.28211	11.46107	0.59451	1.00000	7.97692	11.50629	8.66847	9.84275	7.91972	1127.86876	1.69947	11.38020	59.50740	68.02483
35.50721	6.85442	34.8732	32.05971	7.02604	10.58730	10.46755	0.00000	8.64452	8.42285	8.47151	11.01556	6.94484	1060.21173	5.06875	10.03369	79.39911	58.10305
54.89800	8.89684	26.01649	44.43579	8.27107	11.46912	24.92878	1.00000	8.13762	12.14756	8.43433	10.64387	8.43903	1060.67214	3.60321	11.45553	28.53094	31.88041
59.78017	7.01996	-41.88778	-21.205	7.36365	8.23155	17.77469	1.00000	8.93211	9.50755	8.32849	6.69339	6.95140	1199.25341	0.27375	7.32811	54.10798	56.33950
42.83387	12.29863	4.85668	36.27462	11.90160	7.01651		1.00000	8.54610	10.49330	7.23999	8.26389	6.44507	1080.39108	0.44400	7.95776	58.17936	56.51859
61.25700	9.51194	72.68533	22.75218	10.16181	6.52902	18.78214	0.00000	8.89698	4.67305	9.01546	7.67489	9.11877	1066.21248	0.43124	7.49315	24.36898	55.27839
56.78575	10.34163	10.7	4.96667	9.91925	5.37518	13.78692	0.00000	8.48202	8.65400	7.50323	6.40321	8.39015	1081.13507	0.17986	8.10261	59.39674	19.37559
48.27699	8.96118	-73.58248	45.40008	12.05318	9.07768	11.64847	0.00000	6.50030	8.93016	7.83586	7.42997	7.30414	1079.74048	0.27215	8.07477	51.64685	42.04255
40.55401	9.38522	120.33063	37.65181	7.77981	9.19171	9.35858	1.00000	6.12054	9.71727	8.27745	11.37017	10.10950	1081.17981	7.27087	9.49443	20.86543	54.36124
41.86650	5.46188	16.54165	68.79833	5.08748	10.86919	4.34902	1.00000	9.33483	10.34827	8.40923	7.20667	7.39994	1116.41665	0.27635	3.22600	62.05239	58.49507
56.62496	8.51216	123.50266	41.94175	9.20653	9.04237	2.76634	1.00000	6.80051	8.98001	7.42319	9.09457	7.71164	1083.85481	0.86668	8.44674	44.15263	37.31166
46.68223	9.67364	74.83554	14.62072	7.24678	8.44997	19.64494	1.00000	8.79349	10.12201	7.11432	3.21644	8.60771	1175.67896	0.11869		70.88114	48.44136
37.37016	9.61498	34.75699	31.39547	8.40315	7.31402	11.38064	0.00000	9.42932	5.24217	8.27427	7.92720	7.64745	1192.17500	0.37540	5.65026	59.14715	35.83686
43.10983	8.80021	-120.43572	34.95303	8.36617	9.10785	17.24829	0.00000	6.37795	4.04656	7.68919	9.65832	7.98360	1197.93753	1.47613	6.59449	70.97480	31.47396
61.05510	6.75425	22.53083	44.22639	8.24626	10.12255	11.97241	1.00000	5.48372	10.30286	6.56267	8.42088	7.14699	1074.90050	0.52442	4.07493	42.80999	65.71982
52.67237	9.16948	39.28333	-10.33333	10.01438	7.44696	15.04401	0.00000	10.36836	6.76782	8.43434	8.02822	7.90848	1140.46070	0.43012	7.80881	46.12998	45.77136
40.69570	9.34947	38.02486	55.64776	8.26310	11.09425	13.00897	1.00000	8.32685	10.99754	9.04799	10.54840	8.49800	1156.84385	3.30729	11.80345	39.12036	44.87562
41.66359	5.66780	5.58472	52.14	10.21973	6.56548	5.73761	0.00000	10.19875	10.18824	9.35090	9.21720	8.17373	1144.17394	1.06140	8.80113	56.42929	54.03402
41.09873	7.92820	-2.77259	37.49073	8.50691	9.67428	27.79027	0.00000	7.54319	10.66571	8.11030	9.16715	7.09169	1190.74884	0.92817	8.04922	38.16225	44.18218
52.69011	5.67378	120.14278	32.50611	6.84384	7.80494	1.25540	0.00000	6.57871	8.41036	7.72178	7.69250	7.06235	1058.88472	0.35399	7.12866	49.62644	53.34753
38.84221	6.31012	71.21169	21.59983	6.97337	11.67049	12.19678	0.00000	7.10652	8.22788	7.71203	10.83813	8.94263	1156.02294	4.32354	11.04489	29.81146	63.91076
37.09838	8.60354	-1.325	38.47917	8.62173	10.01600	28.08174	1.00000	8.90410	8.73835	10.10063	9.90820	10.53481	1149.73977	1.78775	9.77374	51.90687	55.41085
44.18116	8.38186	-95.30106	32.35126	7.92854	8.88555	4.69679	1.00000	8.32464	9.87640	7.44596	5.82009	7.51846	1128.03059	0.19031	7.09099	53.26923	28.42644
55.25091	11.90414	-53.13722	-22.92306	10.02289	6.39086	15.38697	1.00000	7.52218	11.72797	8.15632	10.06201	6.45434	1115.46153	2.07672	7.45357	28.78136	59.96006
36.57265	8.14374	6.8625	51.47805	6.61461	9.90635	5.82501	1.00000	7.86301	9.13692	8.73180	5.42378	9.98794	1080.56199	0.21849	8.41995	27.71416	67.16259
19.46890	8.03217	13.39954	43.62558	7.93304	7.57725	22.28973	0.00000	8.55433	9.74320	7.06863	9.20330	8.60869	1074.35822	1.03493	7.93371	50.90488	60.57675
45.18353	6.74411	-1.08593	50.79205	7.68315	8.41799	14.73743	0.00000	7.67669	10.57004	7.08937	9.92893	8.81736	1137.23415	1.80836	8.19178	38.22397	42.26450
48.96620	5.19906	-122.23484	47.38093	6.95980	8.21573	2.30477	1.00000	7.31566	9.65667	8.69448	8.19715	9.23687	1170.81991	0.44883	6.47227	20.51857	46.10843
25.36231	6.33159	-47.53028	-22.45667	10.44382	6.79965	-3.53898	0.00000	6.92280	9.38332	8.42250	9.59910	8.04571	1153.44286	1.38126	10.10421	1.54213	54.86202
28.36953	10.61002	107.60389	-7.01833	10.48573	9.46673	20.59547	1.00000	8.44285	9.37955	8.06921	8.96047	10.21701	1058.61171	0.85666	10.59070	34.19895	60.13514
32.06430	6.42337	-91.73625	35.25064	5.61818	10.44740	6.35798	1.00000	8.40579	11.09236	8.66506	5.33049	9.28252	1053.44363	0.17167	5.24655	70.22055	51.13174
40.54496	9.21886	43.67663	53.53041	9.97741	8.73593	21.47824	1.00000	8.05240	8.27533	9.31900	8.54785	7.45096	1123.95687	0.60110	8.24071	16.78273	41.80828
29.65067	5.10105	37.92792	53.93361	7.47766	5.42857	5.25473	0.00000	6.70046	9.45750	7.38694	11.23161	7.91809	1130.67687	6.39506	10.84934	47.43733	42.99074
49.75008	9.32721	28.19028	59.37722	9.75209	9.70356	22.66249	1.00000	8.26972	9.61284	8.85902	8.85501	9.68435	1059.01099	0.64529	9.45534	51.25152	44.79622
56.43021	7.87733	-0.33525	53.7446	8.64873	8.59356	12.48826	1.00000	9.50091	9.01371	7.48738	6.57180	8.69989	1063.12102	0.24931	8.56879	30.68980	42.24470
52.40770	10.07093	18.34717	54.60528	11.10687	9.85878	6.84328	1.00000	8.40800	9.58190	7.86410	8.07046	9.00130	1053.45025	0.42345	9.89995	36.57156	46.58173
47.22690	10.69718	38.66667	-6.25	7.89304	6.69950	13.45875	1.00000	9.63595	2.69506	8.45028	9.20279	7.29868	1073.49205	1.02290	4.44853	36.58881	53.05036
57.73833	6.23420	135.31667	34.25	5.56705	5.44373	6.14049	0.00000	8.61579	8.57152	7.19891	11.57136	6.87321	1072.07260	8.82991	10.03063	51.84469	40.68529
49.77439	10.63298	-122.24092	47.4943	8.88061	6.02841	14.53601	0.00000	9.11810		8.52335	7.84864	8.11967	1126.15629	0.43733	6.47767	45.22347	45.47515
39.03792	7.30124	-5.682	5.84752	9.95921	7.16015	14.89545	0.00000	9.81283	7.58275	7.99397	10.07870	8.21897	1170.79543	2.08924	11.58401	62.46925	53.58267
46.04265	8.27284	27.46153	-21.44236	6.04907	9.04988	14.92692	1.00000	6.87598	9.99796	6.67280	3.71771	9.19554	1052.39072	0.16790	8.20502	65.15961	57.04324
40.94793	6.34934	3.50309	34.15429	7.43595	5.50866	12.44983	1.00000	6.71883	10.11846	8.95082	4.96700	8.65355	1091.31160	0.20414	6.29738	48.47683	30.96669
57.84479	6.23178	24.75	55.25	10.87364	5.04909	18.37920	0.00000	8.15322	8.50563	9.89085	9.06297	7.84214	1069.28696	0.84716	9.22407	56.75164	36.42701
33.00565	9.63065	-8.33147	41.20485	8.98298	5.69958	22.32067	0.00000	6.98370	5.20778	8.86637	5.81423	8.52737	1115.63665	0.21830	6.34562	46.63447	62.60302
40.11782	8.54794	40.17171	58.1908	8.36621	8.96042	16.41230	1.00000	10.96339	8.12734	7.76736	10.34373	9.12184	1198.49175	2.73686	9.02517	30.84293	70.80724
34.03744	10.80253	10.03478	37.16911	11.15062	7.20559	28.70117	1.00000	7.47346	9.50590	6.66276	8.48352	7.79640	1163.27637	0.53539	7.69223	44.33406	55.01840
50.11160	6.99250	37.56667	55.85	8.54872	6.48902	25.16994	0.00000	6.08536	10.11691	8.47044	9.00421	7.84074	1058.67166	0.83023	8.36319	36.71780	48.52883
61.97005	6.36751	14.43865	40.87329	5.74353	12.59992	16.33852	1.00000	7.75595	8.80943	7.67644	11.85283	7.95173	1054.09199	11.61192	12.52387	42.23972	46.37146
37.34043	5.52850	6.74549	49.5099	7.32445	9.53847	0.73043	1.00000	7.27635	8.18893	10.40547	9.02698	6.04661	1164.95976	0.79306	8.20860	47.94945	49.32648
48.02107	8.85007	-87.66561	41.8542	7.97771	9.10225	12.96033	1.00000	8.60667	10.24108	7.32760	4.49841	8.01798	1115.15678	0.16570	8.06358	42.41985	81.64323
62.44503	5.95237	-73.89875	40.93121	9.40983	8.00053	16.24112	0.00000	8.92021	9.34424	6.22643	9.68067	6.90186	1103.99041	1.47924	5.65631	32.49743	60.30563
31.49328	11.01453	-86.78777	33.44872	9.92936	5.00197	8.36655	0.00000	6.60065	6.51083	8.71626	7.15585	7.12307	1080.66173	0.38893	6.36505	62.41075	80.35573
60.00195	9.31007	9.5586	54.52156	9.97603	8.86977	9.35857	1.00000	8.28029	7.79654	8.85973	8.77483	6.76070	1088.66624	0.65191	8.46676	51.19146	74.50146
43.23788	10.16230	4.91667	45.73333	9.54233	5.34590	21.61254	0.00000	7.54267	7.12224	9.36181	5.82524	7.99228	1099.54722	0.21371	6.76930	54.17227	45.49963
42.27296	5.76501	-3.05	53.81667	6.37324	9.36118	23.74614	1.00000	8.78540	10.61626	8.06867	7.04793	9.74242	1162.31655	0.24913	5.18968	27.51865	42.45350
42.97082	8.04962	84.87144	47.46657	8.40298	11.62867	4.14381	1.00000	7.02225	10.40267	7.68543	9.74512	8.95912	1064.64034	1.52643	10.37003	43.87485	43.12630
59.03016	8.43231	-117.71978	34.09668	10.20206	6.44916	22.23099	0.00000	7.74224	9.12947	6.89365	4.03098	8.20920	1131.20014	0.13644	8.73579	44.85219	53.93200
57.92432	9.28484	-80.38297	42.8334	10.69059	9.27355	10.78863	1.00000	8.46236	9.48001	7.71738	7.62250	10.18205	1137.06925	0.32387	8.78181	40.11109	57.35001
59.18156	11.18676	-0.33525	53.7446	10.09148	7.76766	27.30781	1.00000	9.26394	10.17348	7.50401	9.87480	9.26365	1110.01202	1.72687	8.94620	52.47115	48.95947
47.81135	9.25000	-71.05977	42.35843	9.85099	7.34553		1.00000	8.64044	8.60106	8.08093	8.86712	9.04345	1146.03990	0.80004	6.96569	73.15560	53.97825
37.42105	6.95491	72.68533	22.75218	6.09012	10.16838	26.06166	1.00000	7.30082	8.99929	7.76895	6.58595	8.83402	1066.60791	0.27171	7.80531	49.76409	66.60851
31.69081	6.92685	35.34722	-23.85972	5.98813	10.06908	11.04810	1.00000	9.06832	7.82402	9.32225	6.44660	7.18558	1075.38434	0.29306	8.57150	52.56618	48.08398
51.53079	9.34013	32.6178	46.65581	9.44368	9.81434	13.73197		10.03550	8.10296	6.80814	9.35089	7.57624	1129.88680	1.12070	10.12328	29.49381	61.56525
49.59021	7.65760	-111.90466	40.34912	6.70159	9.71364	16.72209	1.00000	6.87928	7.92149	7.51220	7.13660	8.84697	1078.44305	0.22983	8.76088	58.15828	36.23348
41.62249	8.30489	151.07986	-33.88096	9.61331	8.46631	27.31077	1.00000	7.96220	11.87176	8.08427	5.59705	11.21496	1061.48137	0.16635	5.47605	31.25094	44.39293
44.44816	7.48216	6.51352	51.19139	6.64509	9.21457	7.22570	1.00000	7.25469	9.78620	6.45679	5.99137	9.25978	1170.24334	0.14831	7.59858	32.28593	45.83863
29.05398	10.11515	-91.73625	35.25064	8.57936	8.08153	4.99154	1.00000	9.33349	8.68097	7.63441	10.70252	7.52734	1181.93653	3.85488	8.82845	45.94563	43.17128
43.70928	6.69913	-105.36369	22.49396	8.79339	7.47703	24.65032	0.00000	7.90482	10.65625	6.97878	9.17091	8.13746	1118.00766	0.93725	9.28863	52.38869	77.87290
22.05453	9.85859	10.18003	24.96334	8.05524	9.34334	20.66008	1.00000	7.01359	9.27847	9.20213	11.15682	8.12455	1107.71844	5.90278	10.21257	34.11387	45.47704
