latitude	longitude	code	location	revision	QoS
25.13915	73.06784	IN	Asia/Kolkata	2018/04/27	good
26.9423	68.11759	PK	Asia/Karachi	15 Aug 2020	maintenance
54.90083	38.07083	RU	Europe/Moscow	05/05/2021, 00:00:00	building
35.30889	139.55028	JP	Asia/Tokyo	2018/09/25	accep
-13.7804	34.4587	MW	Africa/Blantyre	08/22/2014, 00:00:00	average
45.39402	9.29109	IT	Europe/Rome	2014/07/24	excellent
52.68333	0.93333	GB	Europe/London	08/20/2015, 00:00:00	average
41.27194	123.17306	CN	Asia/Shanghai	04 Feb 2017	average
51.42708	-0.91979	GB	Europe/London	03/09/2017, 00:00:00	good
34.86472	117.55417	CN	Asia/Shanghai	2021/10/18	excellent
40.72586	8.55552	IT	Europe/Rome	2017/12/13	average
53.37596	51.3452	RU	Europe/Samara	26 Jul 2020	building
27.55898	68.21204	PK	Asia/Karachi	19 Aug 2020	accep
51.84819	1.26738	GB	Europe/London	2013/09/17	excellent
-15.675	-38.94722	BR	America/Bahia	2014-04-26	accep
32.9156	-117.14392	US	America/Los_Angeles	16 Jun 2017	accep
31.71667	73.38333	PK	Asia/Karachi	07/05/2019, 00:00:00	building
-10.90889	-37.03861	BR	America/Maceio	10/31/2013, 00:00:00	maitennce
53.5942	25.8191	BY	Europe/Minsk	02/17/2020, 00:00:00	maintenance
42.64685	-5.55835	ES	Europe/Madrid	03/05/2013, 00:00:00	excellent
42.35843	-71.05977	US	America/New_York	2017/11/25	good
3.7278	98.6738	ID	Asia/Jakarta	2021-05-28	excellent
48.21644	9.02596	DE	Europe/Berlin	04/22/2018, 00:00:00	excellent
42.28639	18.84	ME	Europe/Podgorica	12 Jun 2015	maintenance
9.92787	-84.13722	CR	America/Costa_Rica	2022/06/11	average
11.84962	-86.19903	NI	America/Managua	2012/11/02	average
-21.42917	-45.94722	BR	America/Sao_Paulo	09 Feb 2018	average
40.82232	-74.15987	US	America/New_York	12/11/2018, 00:00:00	average
28.92694	78.23456	IN	Asia/Kolkata	07/24/2013, 00:00:00	excellent
39.32011	-76.51552	US	America/New_York	2020/09/22	accep
23.5654	119.58627	TW	Asia/Taipei	02/08/2020, 00:00:00	accep
41.1053	-7.32097	PT	Europe/Lisbon	2017-01-22	accep
33.78333	114.51667	CN	Asia/Shanghai	02/19/2019, 00:00:00	maintenance
40.72816	-74.07764	US	America/New_York	2019-01-20	good
9.6531	124.3697	PH	Asia/Manila	06/22/2022, 00:00:00	building
33.50921	-111.89903	US	America/Phoenix	2017-05-26	building
14.95472	120.89694	PH	Asia/Manila	2014/08/09	average
-4.42472	-41.45861	BR	America/Fortaleza	11 Jul 2018	average
28.71271	77.656	IN	Asia/Kolkata	21 Oct 2015	accep
41.24264	16.50104	IT	Europe/Rome	14 Oct 2012	accep
40.64621	-73.97069	US	America/New_York	2015-07-17	good
9.58126	8.2926	NG	Africa/Lagos	2021-10-01	average
22.10194	85.37752	IN	Asia/Kolkata	2019/10/17	excellent
53.49389	-1.29243	GB	Europe/London	2015/11/17	accep
12.95629	78.27539	IN	Asia/Kolkata	06/30/2017, 00:00:00	excellent
52.47774	10.5511	DE	Europe/Berlin	2013/03/20	excellent
40.87329	14.43865	IT	Europe/Rome	10 Jan 2014	excellent
26.91756	-82.07842	US	America/New_York	12/28/2020, 00:00:00	maintenance
-22.9	44.53333	MG	Indian/Antananarivo	05/18/2014, 00:00:00	maintenance
35.85	117.7	CN	Asia/Shanghai	2020-07-21	average
29.65163	-82.32483	US	America/New_York	2022/08/08	accep
34.8825	128.62667	KR	Asia/Seoul	03 Aug 2019	building
41.24264	16.50104	IT	Europe/Rome	2021-03-24	average
31.92923	34.86563	IL	Asia/Jerusalem	05/21/2018, 00:00:00	excellent
-34.64966	-58.38341	AR	America/Argentina/Buenos_Aires	11/22/2017, 00:00:00	good
4.02219	101.02083	MY	Asia/Kuala_Lumpur	2022/02/23	average
24.05979	77.40858	IN	Asia/Kolkata	04/16/2017, 00:00:00	maintenance
39.22493	42.85693	TR	Europe/Istanbul	11/02/2020, 00:00:00	excellent
53.63333	9.85	DE	Europe/Berlin	11/03/2014, 00:00:00	excellent
52.57583	6.61944	NL	Europe/Amsterdam	2022-05-15	building
46.09273	-88.64235	US	America/Menominee	2013-05-01	good
49.07866	30.96755	UA	Europe/Kiev	19 Dec 2021	maintenance
48	-4.1	FR	Europe/Paris	2022-07-08	maintenance
-34.28853	146.05093	AU	Australia/Sydney	21 Oct 2018	good
5.30383	-1.98956	GH	Africa/Accra	2021-05-18	maintenance
15.58552	102.42587	TH	Asia/Bangkok	2020/10/21	good
-4.5833	15.16554	CD	Africa/Kinshasa	09/15/2018, 00:00:00	accep
37.71715	-122.40433	US	America/Los_Angeles	23 Jul 2018	good
40.24537	-75.64963	US	America/New_York	12/01/2016, 00:00:00	excellent
6.8485	3.64633	NG	Africa/Lagos	22 Jan 2019	good
60.18427	24.95034	FI	Europe/Helsinki	2021/06/12	maintenance
58.1908	40.17171	RU	Europe/Moscow	2012-10-20	average
8.88649	2.59753	BJ	Africa/Porto-Novo	07/21/2020, 00:00:00	maintenance
50.82709	6.9747	DE	Europe/Berlin	28 Feb 2020	excellent
39.32011	-76.51552	US	America/New_York	04/06/2022, 00:00:00	good
29.65163	-82.32483	US	America/New_York	05/01/2018, 00:00:00	good
-34.74785	-58.70072	AR	America/Argentina/Buenos_Aires	05 May 2019	good
-10.91111	-37.07167	BR	America/Maceio	2021/05/14	maintenance
36.06386	4.62744	DZ	Africa/Algiers	2015/10/28	excellent
39.32011	-76.51552	US	America/New_York	2017/04/10	maintenance
20.14298	-77.43532	CU	America/Havana	2012/11/29	average
-21.15	46.58333	MG	Indian/Antananarivo	2016/02/11	good
14.53767	46.83187	YE	Asia/Aden	25 Sep 2014	maintenance
46.7055	38.2739	RU	Europe/Moscow	2016-03-23	excellent
51.12794	4.21372	BE	Europe/Brussels	07/23/2019, 00:00:00	building
48.35693	10.98461	DE	Europe/Berlin	2019-09-01	average
53.46506	-1.47217	GB	Europe/London	01/18/2013, 00:00:00	excellent
-31.4488	-60.93173	AR	America/Argentina/Cordoba	17 Feb 2020	maintenance
42.58342	-71.8023	US	America/New_York	2013/11/24	average
58.04254	65.27258	RU	Asia/Yekaterinburg	01 Aug 2021	accep
40.34912	-111.90466	US	America/Denver	2013-08-21	excellent
39.08367	-84.50855	US	America/New_York	06 Aug 2017	excellent
35.8	137.23333	JP	Asia/Tokyo	2019/07/18	excellent
52.86147	9.5926	DE	Europe/Berlin	04 Jan 2021	maintenance
-17.74431	-48.62789	BR	America/Sao_Paulo	2020-12-19	average
51.39323	0.47713	GB	Europe/London	04/23/2014, 00:00:00	good
27.76056	-15.58602	ES	Atlantic/Canary	17 Mar 2019	good
32.52515	-93.75018	US	America/Chicago	30 Jan 2021	good
55.8736	85.4265	RU	Asia/Novokuznetsk	02/12/2014, 00:00:00	average
-34.64167	-60.47389	AR	America/Argentina/Buenos_Aires	11 Apr 2015	excellent
52.4089	31.3237	BY	Europe/Minsk	2016/07/11	excellent
34.75856	136.13108	JP	Asia/Tokyo	10/17/2013, 00:00:00	maintenance
51.78771	56.36091	RU	Asia/Yekaterinburg	2018/07/29	excellent
29.98869	122.20488	CN	Asia/Shanghai	2013/04/06	average
42.7	27.25	BG	Europe/Sofia	2015/06/19	excellent
21.46527	83.97573	IN	Asia/Kolkata	2012-12-21	building
-22.92306	-53.13722	BR	America/Sao_Paulo	2019-06-25	good
41.29444	69.67639	UZ	Asia/Tashkent	2017-04-18	accep
-25.42944	-50.00639	BR	America/Sao_Paulo	14 Oct 2012	excellent
40.49748	44.7662	AM	Asia/Yerevan	08 Jun 2020	average
7.06273	-1.4001	GH	Africa/Accra	03/20/2015, 00:00:00	excellent
60.02427	30.28491	RU	Europe/Moscow	27 Jan 2015	accep
44.99012	-123.02621	US	America/Los_Angeles	12/14/2018, 00:00:00	good
52.48173	-2.12139	GB	Europe/London	2012-10-09	average
34.09668	-117.71978	US	America/Los_Angeles	2021/02/05	building
34.86472	117.55417	CN	Asia/Shanghai	2013-08-07	maintenance
49.65186	26.97253	UA	Europe/Kiev	01/04/2021, 00:00:00	excellent
39.45621	-77.96389	US	America/New_York	12/04/2012, 00:00:00	excellent
50.82709	6.9747	DE	Europe/Berlin	07/20/2022, 00:00:00	good
14.37395	100.48528	TH	Asia/Bangkok	15 Oct 2020	excellent
34.85	117.33333	CN	Asia/Shanghai	11/12/2012, 00:00:00	building
34.15429	3.50309	DZ	Africa/Algiers	2020/05/07	accep
50.23271	12.87117	CZ	Europe/Prague	09 Jan 2022	building
37.49223	15.07041	IT	Europe/Rome	2019/03/06	building
36.02506	-86.77917	US	America/Chicago	2017/06/19	building
42	21.32778	MK	Europe/Skopje	02/11/2019, 00:00:00	accep
43.78956	7.60872	IT	Europe/Rome	2013-08-11	accep
45.39402	9.29109	IT	Europe/Rome	2013-01-04	average
3.02013	30.91105	UG	Africa/Kampala	06/10/2019, 00:00:00	maintenance
33.03699	-117.29198	US	America/Los_Angeles	01/23/2015, 00:00:00	accep
8.43333	99.96667	TH	Asia/Bangkok	12/06/2016, 00:00:00	good
7.6	4.18333	NG	Africa/Lagos	2016/09/13	good
37.73604	-120.93549	US	America/Los_Angeles	2015/11/05	excellent
40.67705	-73.89125	US	America/New_York	02 Feb 2013	excellent
27.71809	-82.35176	US	America/New_York	12/12/2019, 00:00:00	accep
50.80019	7.20769	DE	Europe/Berlin	10/26/2014, 00:00:00	average
-4.26613	15.28318	CG	Africa/Brazzaville	2015/05/06	average
41.82143	41.77921	GE	Asia/Tbilisi	2019-08-05	accep
12.74482	4.52514	NG	Africa/Lagos	06/01/2019, 00:00:00	average
39.96348	-4.83076	ES	Europe/Madrid	2014-03-23	average
20.28527	-103.42897	MX	America/Mexico_City	2021/03/04	good
18.00747	-76.78319	JM	America/Jamaica	31 Jul 2016	good
35.06544	1.04945	DZ	Africa/Algiers	2017/12/23	excellent
37.35813	-6.03731	ES	Europe/Madrid	2014-09-05	excellent
33.37526	74.3092	IN	Asia/Kolkata	2017-09-06	average
17.94979	-94.91386	MX	America/Mexico_City	2021-08-09	excellent
40.81	-73.9625	US	America/New_York	2018-10-31	excellent
41.47892	-87.45476	US	America/Chicago	27 Nov 2016	accep
-2.13404	-79.59415	EC	America/Guayaquil	2022-09-19	good
6.15038	6.83042	NG	Africa/Lagos	2021/03/24	average
40.82232	-74.15987	US	America/New_York	20 Jun 2016	accep
36.08497	9.37082	TN	Africa/Tunis	08/25/2016, 00:00:00	accep
10.29085	105.75635	VN	Asia/Ho_Chi_Minh	26 Dec 2021	accep
37.31309	40.74357	TR	Europe/Istanbul	2016/05/15	average
51.65	-0.2	GB	Europe/London	2022-07-07	maintenance
23.0072	-82.4017	CU	America/Havana	2017-09-19	average
36.91023	-121.75689	US	America/Los_Angeles	04 Apr 2022	average
39.71734	-74.96933	US	America/New_York	25 Dec 2012	good
48.8222	2.12213	FR	Europe/Paris	03/06/2015, 00:00:00	good
54.84444	38.16694	RU	Europe/Moscow	09/27/2020, 00:00:00	good
10.98778	-74.95472	CO	America/Bogota	02/09/2020, 00:00:00	good
-8.05389	-34.88111	BR	America/Recife	2012-10-25	building
48.79325	2.29275	FR	Europe/Paris	14 Apr 2013	accep
58.63667	59.80222	RU	Asia/Yekaterinburg	2016-01-09	building
33.35283	-111.78903	US	America/Phoenix	08/23/2019, 00:00:00	good
28.54944	-81.77285	US	America/New_York	12/22/2020, 00:00:00	building
20.88197	85.83334	IN	Asia/Kolkata	05 Jan 2013	excellent
58.23583	92.48278	RU	Asia/Krasnoyarsk	2015-04-06	excellent
33.72255	-116.37697	US	America/Los_Angeles	15 Dec 2019	accep
40.1675	34.37389	TR	Europe/Istanbul	2017/06/24	building
27.34089	117.4831	CN	Asia/Shanghai	2013/03/03	average
38.06084	-97.92977	US	America/Chicago	2012-10-14	average
45.0408	-93.263	US	America/Chicago	10/03/2015, 00:00:00	excellent
36.20829	-115.98391	US	America/Los_Angeles	25 Jul 2022	average
25.49043	85.94001	IN	Asia/Kolkata	25 Dec 2018	excellent
38.96372	-76.99081	US	America/New_York	2015-08-06	maintenance
53.59782	34.33825	RU	Europe/Moscow	2013-02-01	excellent
52.86147	9.5926	DE	Europe/Berlin	2016/07/15	maitennce
50.76306	-1.29772	GB	Europe/London	2013/01/11	average
28.98002	77.70636	IN	Asia/Kolkata	2016/05/29	maintenance
42.819	47.1192	RU	Europe/Moscow	11/05/2021, 00:00:00	excellent
51.24197	4.82313	BE	Europe/Brussels	24 Jan 2015	excellent
-20.88231	55.4504	RE	Indian/Reunion	02/01/2013, 00:00:00	excellent
65.93381	111.4834	RU	Asia/Yakutsk	2014/05/18	good
36.64852	51.49621	IR	Asia/Tehran	30 Dec 2017	average
47.4943	-122.24092	US	America/Los_Angeles	07 Dec 2015	average
20.28527	-103.42897	MX	America/Mexico_City	2016/02/18	excellent
37.30553	120.82747	CN	Asia/Shanghai	2020-04-20	excellent
37.1759	128.9889	KR	Asia/Seoul	11 Oct 2016	building
51.35084	-1.99421	GB	Europe/London	2021-08-09	maintenance
44.35056	142.45778	JP	Asia/Tokyo	2018-04-30	average
26.18924	-98.15529	US	America/Chicago	09/27/2016, 00:00:00	average
34.65918	109.22921	CN	Asia/Shanghai	10/10/2012, 00:00:00	accep
41.15376	-87.88754	US	America/Chicago	30 Nov 2019	average
30.75545	20.22625	LY	Africa/Tripoli	2020/02/06	average
-21.15	46.58333	MG	Indian/Antananarivo	05/02/2014, 00:00:00	accep
46.65581	32.6178	UA	Europe/Kiev	30 Sep 2014	good
6.46838	-73.26022	CO	America/Bogota	2020-09-20	good
-1.26424	104.09701	ID	Asia/Jakarta	2019-03-22	accep
37.65181	120.33063	CN	Asia/Shanghai	2019-09-19	average
26.44931	91.61356	IN	Asia/Kolkata	2015/12/24	good
42.8139	-1.64295	ES	Europe/Madrid	2017-07-08	good
33.08014	-83.2321	US	America/New_York	10/27/2017, 00:00:00	average
48.49144	9.20427	DE	Europe/Berlin	2014-08-09	average
22.75218	72.68533	IN	Asia/Kolkata	02 Apr 2018	maintenance
34.9	137.5	JP	Asia/Tokyo	2020-02-14	maintenance
36.76639	3.47717	DZ	Africa/Algiers	10 Nov 2015	excellent
33.03699	-117.29198	US	America/Los_Angeles	2018/01/22	average
41.94175	123.50266	CN	Asia/Shanghai	06/08/2020, 00:00:00	maintenance
53.53395	33.72798	RU	Europe/Moscow	21 Feb 2020	maintenance
3.02013	30.91105	UG	Africa/Kampala	12/03/2017, 00:00:00	average
10.63504	-85.43772	CR	America/Costa_Rica	01 Oct 2014	accep
40.78206	72.34424	UZ	Asia/Tashkent	28 Jan 2018	good
27.0174	49.62251	SA	Asia/Riyadh	11/04/2012, 00:00:00	average
41.1053	-7.32097	PT	Europe/Lisbon	30 Apr 2018	excellent
45.75279	130.57211	CN	Asia/Shanghai	2021/07/18	excellent
35.21222	2.31889	DZ	Africa/Algiers	2020/02/13	good
44.89784	8.86374	IT	Europe/Rome	2019/10/18	average
50.26729	-119.27337	CA	America/Vancouver	11/20/2018, 00:00:00	good
-4.06667	37.73333	TZ	Africa/Dar_es_Salaam	01 Apr 2022	building
40.94065	-73.99681	US	America/New_York	20 Oct 2012	average
49.03685	8.70745	DE	Europe/Berlin	10/12/2017, 00:00:00	good
32.57756	71.52847	PK	Asia/Karachi	07/31/2022, 00:00:00	good
42.93369	-72.27814	US	America/New_York	27 Dec 2019	average
14.62578	121.12251	PH	Asia/Manila	14 Sep 2019	average
26.32293	91.00632	IN	Asia/Kolkata	2021-10-15	accep
6.8485	3.64633	NG	Africa/Lagos	2012-12-17	excellent
51.40148	-1.32471	GB	Europe/London	09 Dec 2019	average
8.43333	99.96667	TH	Asia/Bangkok	10/31/2019, 00:00:00	accep
25.67927	-80.31727	US	America/New_York	2022-06-21	excellent
43.83125	5.03586	FR	Europe/Paris	07/05/2018, 00:00:00	accep
47.83333	59.6	KZ	Asia/Aqtobe	01 Dec 2013	excellent
9.89206	43.38531	SO	Africa/Mogadishu	10 Jun 2018	average
10.10649	76.35484	IN	Asia/Kolkata	07/25/2018, 00:00:00	excellent
40.78206	72.34424	UZ	Asia/Tashkent	06/20/2015, 00:00:00	excellent
9.89206	43.38531	SO	Africa/Mogadishu	27 Jan 2016	good
39.57582	-105.11221	US	America/Denver	2013-02-04	good
38.70734	-77.02303	US	America/New_York	09/16/2015, 00:00:00	excellent
42	21.32778	MK	Europe/Skopje	2017-03-17	average
30.17746	-81.38758	US	America/New_York	05/13/2013, 00:00:00	accep
42	21.32778	MK	Europe/Skopje	03 Nov 2018	maintenance
42.30865	-83.48216	US	America/Detroit	2021-12-21	accep
33.92866	-6.90656	MA	Africa/Casablanca	07 Oct 2021	good
45.75279	130.57211	CN	Asia/Shanghai	2019/07/28	maintenance
-4.42472	-41.45861	BR	America/Fortaleza	2018/01/22	average
7.50251	5.06258	NG	Africa/Lagos	2018-01-19	excellent
-8.66667	-35.71667	BR	America/Recife	10 Nov 2013	accep
52.26083	7.00417	NL	Europe/Amsterdam	01 May 2013	building
27.52948	68.75915	PK	Asia/Karachi	26 Oct 2021	average
-7.01833	107.60389	ID	Asia/Jakarta	10 Apr 2022	building
7.65649	4.92235	NG	Africa/Lagos	2022-04-08	good
35.25064	-91.73625	US	America/Chicago	06 Feb 2016	average
35.64889	117.27583	CN	Asia/Shanghai	2020-09-09	maintenance
52.57583	6.61944	NL	Europe/Amsterdam	06/28/2016, 00:00:00	average
34.81667	137.4	JP	Asia/Tokyo	07/15/2019, 00:00:00	good
6.25947	102.05461	TH	Asia/Bangkok	09/08/2018, 00:00:00	excellent
48.90982	2.45012	FR	Europe/Paris	26 Apr 2022	accep
28.92694	78.23456	IN	Asia/Kolkata	2018/02/22	accep
51.12794	4.21372	BE	Europe/Brussels	2019/12/14	maintenance
39.71734	-74.96933	US	America/New_York	2017-01-06	good
19.64745	-102.04897	MX	America/Mexico_City	2017-07-24	good
14.93333	-91.11667	GT	America/Guatemala	2013/08/08	good
42.06166	-1.60452	ES	Europe/Madrid	2019/09/19	average
37.74615	-25.66689	PT	Atlantic/Azores	01/15/2018, 00:00:00	maintenance
46.18396	6.10237	CH	Europe/Zurich	06/09/2015, 00:00:00	good
48.98333	2.61667	FR	Europe/Paris	02 Oct 2015	average
37.31065	13.57661	IT	Europe/Rome	2017/03/25	good
52.66277	-2.01111	GB	Europe/London	2019-09-22	average
37.73604	-120.93549	US	America/Los_Angeles	11 Sep 2015	average
19.30157	72.85107	IN	Asia/Kolkata	2017/09/05	building
25.75728	75.37991	IN	Asia/Kolkata	2016/04/03	average
42.97086	-82.42491	US	America/Detroit	2022-09-12	maintenance
-19.7625	-44.31389	BR	America/Sao_Paulo	11/13/2014, 00:00:00	maintenance
14.8361	120.97844	PH	Asia/Manila	2021/11/04	maintenance
58.63667	59.80222	RU	Asia/Yekaterinburg	2022-09-25	accep
38.91817	-78.19444	US	America/New_York	2015/01/17	excellent
50.82709	6.9747	DE	Europe/Berlin	2022-08-19	good
48.06919	11.37703	DE	Europe/Berlin	2014-03-03	excellent
33.50921	-111.89903	US	America/Phoenix	10/22/2015, 00:00:00	excellent
48.35149	8.96317	DE	Europe/Berlin	02 Sep 2014	excellent
-15.21194	-75.11028	PE	America/Lima	2014-12-03	excellent
38.96667	-0.18333	ES	Europe/Madrid	14 Dec 2014	average
-34.64966	-58.38341	AR	America/Argentina/Buenos_Aires	2018-07-20	good
61.78491	34.34691	RU	Europe/Moscow	2019-10-04	good
-5.85746	144.23058	PG	Pacific/Port_Moresby	02/02/2020, 00:00:00	accep
8.88649	2.59753	BJ	Africa/Porto-Novo	10/14/2012, 00:00:00	maintenance
32.61603	44.02488	IQ	Asia/Baghdad	01/03/2022, 00:00:00	accep
25.92493	73.66633	IN	Asia/Kolkata	10 Jan 2014	maintenance
35.88264	-80.08199	US	America/New_York	01 Apr 2021	good
38.10558	-1.86343	ES	Europe/Madrid	01/07/2018, 00:00:00	excellent
54.39635	24.04142	LT	Europe/Vilnius	17 Jun 2013	excellent
51.26	-2.1875	GB	Europe/London	2015-12-02	building
52.48173	-2.12139	GB	Europe/London	2016/07/11	good
35.815	139.6853	JP	Asia/Tokyo	05/26/2018, 00:00:00	good
37.65181	120.33063	CN	Asia/Shanghai	2017-01-26	good
44.27804	-88.27205	US	America/Chicago	07/05/2021, 00:00:00	good
-3.20333	-52.20639	BR	America/Santarem	10/12/2021, 00:00:00	accep
33.50921	-111.89903	US	America/Phoenix	2015-07-27	excellent
31.76212	-95.63079	US	America/Chicago	02/05/2021, 00:00:00	accep
21.46527	83.97573	IN	Asia/Kolkata	02 Nov 2013	building
64.5635	39.8302	RU	Europe/Moscow	2017-07-02	excellent
35.82756	137.95378	JP	Asia/Tokyo	10 Apr 2019	good
27.92333	118.53333	CN	Asia/Shanghai	2014-12-11	good
-23.44361	-51.87389	BR	America/Sao_Paulo	2022-03-17	building
6.84019	79.87116	LK	Asia/Colombo	19 Dec 2012	good
48.15659	28.28489	MD	Europe/Chisinau	23 Oct 2018	excellent
46.1351	-60.1831	CA	America/Glace_Bay	06/09/2018, 00:00:00	excellent
-25.54073	152.70493	AU	Australia/Brisbane	22 Apr 2017	building
43.86682	-79.2663	CA	America/Toronto	11/21/2017, 00:00:00	average
25.80565	68.49143	PK	Asia/Karachi	06/02/2017, 00:00:00	accep
26.11527	86.59509	IN	Asia/Kolkata	07/31/2015, 00:00:00	excellent
42.93369	-72.27814	US	America/New_York	2013/09/20	building
39.32011	-76.51552	US	America/New_York	2017-09-14	good
25.92127	86.79271	IN	Asia/Kolkata	06/06/2017, 00:00:00	accep
14.64056	104.64992	TH	Asia/Bangkok	04 May 2020	good
48.8765	2.18967	FR	Europe/Paris	06/27/2014, 00:00:00	excellent
19.30157	72.85107	IN	Asia/Kolkata	2015/02/21	average
51.03427	5.37429	BE	Europe/Brussels	2015/08/03	average
-17.74431	-48.62789	BR	America/Sao_Paulo	03 Jun 2019	good
26.2173	-80.22588	US	America/New_York	2015-11-03	excellent
58.63667	59.80222	RU	Asia/Yekaterinburg	10/14/2013, 00:00:00	accep
30.21121	74.4818	IN	Asia/Kolkata	2014/05/02	accep
-36.9256	-73.02841	CL	America/Santiago	2016/02/14	accep
35.74788	-95.36969	US	America/Chicago	28 May 2018	good
32.54044	-82.90375	US	America/New_York	2022/05/24	maintenance
-4.42472	-41.45861	BR	America/Fortaleza	2017-05-06	accep
46.32374	-120.00865	US	America/Los_Angeles	07 Jul 2019	accep
13.51825	99.95469	TH	Asia/Bangkok	17 Jan 2022	excellent
40.78206	72.34424	UZ	Asia/Tashkent	03/12/2018, 00:00:00	excellent
3.02013	30.91105	UG	Africa/Kampala	05/17/2015, 00:00:00	average
25.80565	68.49143	PK	Asia/Karachi	2013-09-22	average
10.66668	-61.51889	TT	America/Port_of_Spain	2019-01-08	good
-1.26424	104.09701	ID	Asia/Jakarta	2014-08-23	accep
29.69221	72.54566	PK	Asia/Karachi	2017-08-15	excellent
52.59319	13.32127	DE	Europe/Berlin	09/03/2019, 00:00:00	good
44.22639	22.53083	RS	Europe/Belgrade	2017/03/10	average
5.84752	-5.682	CI	Africa/Abidjan	05/19/2018, 00:00:00	average
45.47885	133.42825	RU	Asia/Vladivostok	2019/01/17	building
14.37395	100.48528	TH	Asia/Bangkok	11/05/2014, 00:00:00	good
49.5099	6.74549	DE	Europe/Berlin	2017/08/11	good
-8.43333	114.33333	ID	Asia/Jakarta	09/26/2016, 00:00:00	good
-25.42944	-50.00639	BR	America/Sao_Paulo	2016/07/08	maintenance
42.8334	-80.38297	CA	America/Toronto	2016/08/21	average
48.46458	9.22796	DE	Europe/Berlin	22 Aug 2019	good
22.19303	88.18466	IN	Asia/Kolkata	2019-03-09	average
-8.28333	-35.03333	BR	America/Recife	2013-02-21	excellent
-54.8	-68.3	AR	America/Argentina/Ushuaia	01 Jun 2013	excellent
12.74409	-8.07257	ML	Africa/Bamako	08 Jan 2018	good
43.32686	-2.98884	ES	Europe/Madrid	03/22/2019, 00:00:00	excellent
-23.7975	-48.59278	BR	America/Sao_Paulo	15 Mar 2020	building
3.31332	117.59152	ID	Asia/Makassar	2020-10-11	accep
45.49428	-122.86705	US	America/Los_Angeles	02 Feb 2019	excellent
51.19139	6.51352	DE	Europe/Berlin	2021/06/28	good
-37.9	145.18333	AU	Australia/Melbourne	2015/03/04	accep
23.07492	88.28637	IN	Asia/Kolkata	2016-12-28	excellent
50.75	2.25	FR	Europe/Paris	2017-02-11	average
60.97944	76.92421	RU	Asia/Yekaterinburg	08/29/2014, 00:00:00	accep
