PM2.5	PAHs	CH4	NOx	latitude	O3	warning	H2CO	PRES	SO2	longitude	CFCs	TEMP	NH3	CO	PM10	C2H3NO5	Pb
8.53007	9.97958	7.67990	9.85490	9.91861	6.78990	1.00000	58.64903	1136.72048	9.63362	-68.30472	48.61421	17.19737	8.26484	8.18063	6.59306	0.23877	53.79784
8.11202	8.12852	7.25070	8.64510	45.40008	5.58976	1.00000	38.10829	1132.59389	9.13214	-73.58248	57.40598	22.93428	9.27663	7.75933	8.78730	1.17159	48.26159
7.54727	8.00565	10.73028	7.42312	34.65918	9.59496	0.00000	38.22370	1123.34635	9.21340	109.22921	34.49783	19.79843	9.35510	8.37691	6.17900	0.12290	59.68135
8.81776	6.88861	7.22603	6.83397	-25.54073	11.02143	1.00000	35.84249	1128.01581	5.02806	152.70493	45.55845	15.40185	7.15727	6.10958	7.26300	0.49756	43.57345
6.01427	7.99028	8.97933	8.36686	54.39635	7.09843	1.00000	47.25528	1108.24757	10.67207	24.04142	62.20600	-8.43806	11.13577	9.47530	6.57350	0.33440	42.63797
6.28380	6.06316	10.21713	2.41498	-54.8	8.25290	0.00000	63.59415	1151.85667	10.89866	-68.3	63.17172	30.70185	10.09948	7.54887	10.02554	3.79333	36.35225
9.67753	9.50388	7.31229	8.32089	50.18545	6.56292	0.00000	51.65946	1187.21752	6.48366	27.06365	28.87470	16.67618	7.27776	7.98802	9.74268	2.78641	25.20446
6.49996	8.70631	8.55916	6.59525	35.30889	9.07809	1.00000	34.06928	1126.09231	8.63643	139.55028	32.26003	30.77218	8.53888	7.31393	8.25761	0.78633	60.31531
11.54965	6.61772	8.32974	9.97209	34.31	6.75471	0.00000	41.38475	1148.91526	6.88247	-2.16	63.71183	20.02288	5.92884	9.40494	10.72558	6.98926	48.39914
6.12791	9.25935	9.04787	9.24722	6.33444	6.52426	1.00000	26.62217	1183.73157	12.08680	124.95278	65.64140	24.89920	10.88725	9.55429	5.80390	0.29850	38.61807
8.61008	9.58245	6.74529	8.49061	27.92333	5.08173	1.00000	54.19306	1182.07003	10.10148	118.53333	45.20019	25.39318	10.83422	7.99507	9.15234	1.74385	40.96824
6.55504	7.89572	9.21704	7.36779	43.32686	7.57513	1.00000	46.38742	1116.54757	13.55961	-2.98884	47.92165	17.65390	10.48714	7.98325	5.18575	0.35953	100.00000
10.04573	9.75922	8.53468	5.96513	9.91861	9.54315	1.00000	54.41926	1161.97979	5.18516	-68.30472	46.68412	6.85740	9.17569	7.86169	8.00092	0.60116	52.57525
7.41114	8.76352	8.54087	8.02078	44.92934	7.50114	1.00000	33.90808	1099.82647	10.31485	37.99117	36.86914	21.33488	9.79002	8.67844	7.17249	0.50220	36.70369
8.61612	10.90203	8.13064	7.78667	32.35126	10.21279	1.00000	36.34428	1084.52581	6.90572	-95.30106	44.60230	19.99412	10.10414	7.42934	7.29241	0.46297	49.08115
4.90838	8.57291	9.43074	6.69968	-3.5403	7.65113	1.00000	45.62208	1120.67751	8.07511	118.9707	69.12596	16.38424	5.17210	7.99341	5.16862	0.28644	54.82716
10.87960	6.61743	9.02256	6.97658	36.20829	7.26703		48.63272	1119.98101	6.52015	-115.98391	58.98709	23.83797	7.52741	6.93774	9.64879	2.54168	37.06642
7.19838	7.16084	7.92102	9.39995	28.98002	6.11267	1.00000	64.79526	1122.88257	9.32639	77.70636	65.89900	19.03204	11.03981	8.74070	8.04594	0.66127	57.89683
5.69875	9.57396	8.81036	8.74102	38.96667	7.43114	1.00000	20.18320	1129.58518	8.69734	-0.18333	72.01037	26.63463	8.90524	7.49984	6.20512	0.44339	59.43679
5.96192	9.75729	10.02417	7.61497	27.76056	9.62239	1.00000	52.61807	1059.14852	6.07573	-15.58602	56.63391	24.86100	4.50364	7.13614	4.73659	0.25481	37.54701
8.86801	10.33193	8.04210	6.81897	52.86147	7.53836	0.00000	53.14920	1188.29452	8.40284	9.5926	46.26385	23.48078	6.96485	10.37501	9.77598	2.78338	67.11471
7.91099	8.90443	7.63397	5.28554	48.07667	7.44297	1.00000	70.89686	1089.25382	6.46492	8.64409	73.53418	0.39104	7.67707	7.25686	7.68589	0.44669	34.82520
5.98700	8.43505	7.35350	6.23432	50.50301	10.24582	0.00000	54.27040	1125.36905	9.80041	13.63617	51.74514	14.36147	9.89816	7.66374	8.03923	0.67359	52.45330
4.46914	9.04961	6.92239	9.37261	49.07866	12.44066	1.00000	56.38000	1177.38246	9.33285	30.96755	36.28599	26.53345	6.95202	8.60473	7.30484	0.52941	39.51537
7.23236	8.98541	6.97683	9.04806	7.50251	6.76321	1.00000	58.45137	1110.23070	8.49545	5.06258	53.61488	18.87771	10.36137	7.16732	6.80620	0.28413	53.26251
5.87056	8.25313	9.68163	5.92432	51.21187	10.40824	0.00000	26.07702	1161.28936	9.52734	4.25633	62.81771	6.30580	10.83079	6.80601	7.48459	0.49547	63.91047
8.87525	7.26928	9.46786	5.02759	29.65163	7.68078	1.00000	49.53392	1183.91271	6.13218	-82.32483	49.70891	5.91851	8.55047	7.50840	7.98690	0.70358	30.88408
6.28291	7.99993	9.45701	7.56138	37.74615	10.92066	0.00000	71.38084	1136.44756	8.66470	-25.66689	50.42292	22.30097	10.22672	9.98734	5.80315	0.23701	30.15211
4.73412	8.72625	7.05580	7.93883	29.69221	9.39391	0.00000	55.04812	1071.20075	10.25157	72.54566	61.11668	20.75196	8.86204	9.77053	4.62353	0.29705	57.51275
8.09925	8.25381	8.33717	7.48785	-4.42472		0.00000	37.60496	1135.51888	9.32923	-41.45861	49.99565	0.87879	8.59829	7.57320	6.20759	0.30201	37.73958
6.07354	8.19374	8.35060	10.03284	14.8361	7.97108	1.00000	40.77007	1068.37391	7.86478	120.97844	40.62846	6.16277	8.92452	7.78580	6.14537	0.22368	29.30199
7.08533	8.92729	8.50399	8.67121	36.91023	5.96986		40.07880	1052.69692	9.66235	-121.75689	69.45102	29.14878	10.35999	7.40289	7.86084	0.46974	65.01059
8.03966	6.88993	7.73965	12.63274	40.55851	6.16328	1.00000	71.10801	1105.68370	7.32882	17.80774	5.70537	24.39917	8.04913	7.42569	7.65000	0.49327	46.40750
7.67240	5.93904	9.68417	9.70694	53.14657	8.94767	1.00000	22.41955	1144.54870	9.98458	140.72287	63.52234	10.78781	8.21101	7.39862	5.36774		56.79874
8.14260	7.74753	7.44643	9.34329	-37.32167	8.83729	0.00000	47.14552	1197.71043	8.68076	-59.13316	46.74088	15.74302	9.47895	6.27647	5.58997	0.28879	45.30480
9.36889	7.72721	8.15215	5.60714	55.63711	6.29353	0.00000	63.98434	1186.95693	7.60972	37.38115	31.96327	15.54799	6.48051	7.98407	9.69129	2.56122	70.71481
8.02255	6.39498	7.71396	9.19063	14.62072	6.81576	0.00000	53.08323	1092.60931	4.80720	74.83554	38.32398	-9.01525	10.11917	7.94363	8.32355	0.96918	61.22283
5.19400	8.93985	6.82391	7.02028	30.24706	8.68019	1.00000	52.11277	1163.39906	7.22105	115.04814	63.23183	10.18753	4.37534	8.51306	4.61287	0.14976	49.82403
8.62130	7.94115	7.57662	10.36066	25.92127	5.98778	0.00000	64.96501	1118.94180	12.52349	86.79271	57.81229	11.66218	9.16950	8.82373	6.92878	0.34715	59.29132
7.86207	9.17495	8.08448	11.60393	-1.63333	7.88867	1.00000	63.67817	1063.44899	8.90830	13.58357	67.76277	-0.17193	7.40015	7.75170	5.27328	0.23889	50.42071
6.58456	10.75427	8.65653	5.22423	25.80565	9.55099	0.00000	39.63248	1178.18422	9.26854	68.49143	54.59967	13.23298	10.00785	8.49729	7.80784	0.66528	50.63135
10.27313	9.77209	8.86845	7.05723	19.30157	7.34970	0.00000	58.23658	1079.10012	6.05965	72.85107	53.43058	28.35514	6.48071	9.51636	10.98081	9.04538	38.88905
6.68744	9.29577	7.76926	10.03887	48.90982	5.87142	1.00000	70.75285	1123.65328	7.79051	2.45012	46.66583	21.01972	8.69849	7.57868	8.47977		50.56594
7.00813	7.39792	8.74500	7.57744	35.25064	9.44825	1.00000	32.00548	1133.01201	7.67901	-91.73625	100.00000	10.98024	8.78880	9.87110	7.37553	0.39336	55.73786
5.36113	7.64227	7.74185	8.13535	53.63333	10.49428	0.00000	12.77377	1189.20654	10.33932	9.85	68.99913	24.76712	9.51138	8.08736	6.47959	0.30293	28.59356
5.16224	9.27462	6.34666	5.56269	25.80565	11.69055	0.00000	19.91511	1102.04794	9.15941	68.49143	35.97912	2.03248	10.92358	8.12708	8.21241	0.82482	62.40731
6.97746	10.32799	8.24853	10.03159	33.50921	8.05319	1.00000	60.59662	1101.53899	8.43567	-111.89903	47.36427	6.78730	7.82388	6.85669	5.63705	0.28126	72.53683
7.09583	9.01457	7.62651	5.75516	38.91817	8.19987	1.00000	67.09093	1052.26600	4.55339	-78.19444	69.34564	12.52670	3.33651	8.35317	4.78264	0.33291	33.16709
9.11585	8.49604	9.26269	5.64907	35.06544	7.37958	0.00000	39.81907	1167.52420	6.25950	1.04945	62.42187	-1.56043	8.22888	8.97105	10.34033	4.92305	48.33945
7.86520	8.61046	6.01621	11.54676	-22.9	5.95645	1.00000	9.55862	1120.39609	8.69715	44.53333	34.54949	14.41425	8.72354	8.02171	7.99918	0.62334	51.11196
6.84387	9.11250	7.34841	7.54742	42.58342	8.34510	0.00000	24.88863	1167.49082	10.64766	-71.8023	56.66453	8.79570	7.82216	9.09881	6.83901	0.34487	61.25749
6.41726	8.04848	6.43974	8.89990	45.51667	5.83870	1.00000	42.18391	1120.37281	9.19052	4.86667	39.59683	11.13628	10.28297	8.54681	8.99069	1.39777	69.23804
7.83348	9.64700	7.44408	7.36601	12.18441	10.07030	1.00000	42.35723	1054.68493	7.03912	18.69303	39.01016	8.16246	8.94014	9.37315	7.72947	0.50418	68.62343
8.87970	8.86754	9.25633	4.79954	46.51872	5.88799	0.00000	62.62260	1164.26167	10.62476	86.00214	71.13673	30.92441	8.46521	9.03642	7.85491	0.57392	61.01682
10.01797	6.33154	7.37302	8.36081	40.34912	6.36499	0.00000	32.16874	1129.40333	5.59436	-111.90466	41.95020	28.25080	7.16328	9.88448	8.50880	0.93774	69.19963
5.36137	8.18260	6.02964	8.30734	34.21639	9.06028	1.00000	46.21236	1138.42097	11.31809	-119.0376	49.04473	19.43478	8.57286	8.78625	4.11284	0.24603	84.73948
10.39725	9.02133	6.69465	10.06198	22.19303	7.24698	0.00000	57.34873	1171.12594	5.01968	88.18466	48.24269	4.33618	7.32582	6.85555	10.48762	5.68897	52.28312
4.62506	7.09204	9.97513	5.27131	-4.42472	7.82016	1.00000	52.58696	1121.16213	9.24737	-41.45861	62.34671	28.21131	5.77153	8.87045	8.62004	0.98894	74.26904
6.43764	8.26389	8.99878	6.04303	32.57756	8.91659	0.00000	65.45496	1088.08342	10.84654	71.52847	55.07347	25.88211	8.19611	8.53672	7.59824	0.59580	58.60301
10.02040	7.88302	8.84962	6.30816	11.8659	6.83942	0.00000	66.96932	1130.10019	8.61597	34.3869	45.62267	-2.47452	5.64832	8.20945	10.19125	4.27654	9.56436
8.50636	8.92291	10.48550	6.58435	50.50301	7.36277	0.00000	36.50678	1169.51999	7.19178	13.63617	73.53242	17.12763	6.32271	6.90298	9.23011	1.76158	65.14147
9.76694	8.28266	9.15955	6.59345	36.91023	8.03191	0.00000	49.10797	1103.59997	9.11551	-121.75689	47.59670	6.24279	4.74609	7.48870	11.08485	10.01073	64.30636
6.23699	8.28232	8.58369	7.33465	1.6	12.75429	0.00000	52.21146	1156.40353	6.65254	103.81667	64.59028	21.66905	12.60751	7.95434	6.41568	0.27285	59.20468
12.01980	8.09337	7.54146	8.10290	31.82539	8.29049	0.00000	43.09432	1182.27276	5.58681	72.54064	63.16814	3.61384	6.09558	9.80144	11.92262	23.01891	46.27901
5.29719	6.95709	8.60244	9.66205	42.8139	6.81901	1.00000	44.11271	1079.83310	12.13107	-1.64295	50.52472	4.91354	11.07241	7.83459	4.24586	0.15602	40.27333
5.84255	7.84826	8.63536	9.28387	49.13645	5.28144	1.00000	49.68402	1160.55987	9.80133	8.91229	32.93943	-1.22738	12.17158	6.94222	7.02493	0.41949	40.56004
7.39735	8.72358	7.78453	5.69906	48.06919	8.14493	0.00000	41.32706	1147.41040	10.04466	11.37703	47.62741	15.98737	9.82745	6.91281	8.11062	0.89381	50.12733
7.37491	8.68750	10.99438	6.65251	40.1675	9.64501	0.00000	27.98557	1069.02633	8.29534	34.37389	54.83913	18.26430	9.00251	9.21491	6.23195	0.40027	40.40032
3.68360	7.53968	9.03602	6.84512	-37.88333	11.48649	0.00000	61.86044	1189.74252	11.20313	145.06667	58.94494	10.21916	8.87098	9.34033	7.20783	0.48761	24.50201
10.58610	7.81637	8.16735	9.34152	52.66277	6.60554	0.00000	55.21477	1060.74209	4.51551	-2.01111	30.06521	8.98154	7.40756	7.66579	9.56797	2.44232	69.78289
5.16244	9.59743	9.37585	7.33725	27.34089	9.01072	1.00000	54.08031	1191.44836	11.05140	117.4831	57.84578	15.48008	8.30753	6.75909	4.97915	0.33997	45.38121
9.55377	8.48932	7.16581	10.77845	46.7055	6.27076	1.00000	40.83805	1069.80405	8.86643	38.2739	60.95027	19.68053	8.14432	8.77979	7.61368	0.47427	26.26667
9.14427		9.78921	9.08974	9.89206	8.25488	0.00000	53.41168	1127.83384	6.21941	43.38531	27.71299	26.89129	7.71606	7.16352	10.43692	5.24501	56.84048
6.37244	7.84816	7.80134	7.37521	53.19146	5.90815	1.00000	37.13554	1102.78885	10.27836	-2.52398	38.90923	15.03722	10.29998	9.10764	9.06679	1.49049	65.88393
7.10605	8.40489	8.75902	8.28938	53.94313	7.85818	1.00000	19.42396	1151.11790	8.41026	10.30215	39.55909	18.22139	8.93747	10.28746	7.12629	0.34349	29.46433
7.90452	9.15570	9.12585	9.35212	51.65	8.09375	0.00000	36.10229	1195.15557	4.77508	-0.2	41.96911	25.65054	9.00293	6.94240	7.80573	0.64392	42.02027
7.67713	8.10490	8.51199	9.01732	22.19303	11.36192	1.00000	47.01928	1122.10508	5.71438	88.18466	70.92219	13.33189	8.17391	9.14416	7.22618	0.50285	55.98812
8.39777	8.77930	7.59822	6.98075	26.76628	9.44955	1.00000	33.40942	1064.16023	4.89917	83.36889	45.05719	16.42481	6.82911	6.90134	6.11887	0.25605	58.12795
10.02616	8.57224	7.68151	6.41873	28.90054	6.97790	0.00000	52.68469	1166.33256	7.23081	-81.26367	43.93583	35.12879	4.19516	6.64252	9.80685	2.98806	58.06216
6.03481	6.93093	6.18517	8.21656	48.46458	7.16475	1.00000	41.28867	1167.24395	11.57887	9.22796	44.55596	20.68224	10.70651	9.00930	6.45736	0.27714	45.36952
6.32753	9.24014	8.49430	9.91948	10.66668	5.58628	1.00000	56.06093	1123.69247	13.66925	-61.51889	71.37627	15.76930	9.56697	7.14944	6.20748	0.39271	41.69331
8.23201	7.10191	6.79032	5.37464	53.63333	4.24115	0.00000	54.97680	1196.23526	7.86268	9.85	75.69874	21.16903	8.51806	7.91036	8.48338	0.85533	29.24295
7.36495	6.92607	7.26743	9.76271	50.72043	8.49665	1.00000	7.54639	1103.47567	11.13734	11.34046	61.45515	5.04490	7.68168	8.07080	4.97497	0.28718	41.90541
10.69069	7.85835	7.64119	6.13031	19.30157	9.42479	1.00000	51.54018	1050.09310	3.87182	72.85107	49.13627	20.38006	8.17799	7.55704	5.91475	0.26346	64.06124
10.02765	9.76493	8.42598	7.28739	31.82539	8.53229	0.00000	62.14672	1165.97299	6.67100	72.54064	94.53223	24.58267	6.18457	6.97221	12.03060	25.59925	25.09480
6.73683	8.02236	7.54711	9.61986	-28.44917	6.87533	1.00000	51.60916	1077.62864	9.72340	-52.2	80.12588	18.98488	10.01440	8.61249	7.73988	0.62284	42.08883
5.44918	9.41322	7.34261	7.32165	38.91817	9.62950	1.00000	38.92598	1058.32154	8.93328	-78.19444	51.82698	12.96310	7.62070	8.55114	7.61146	0.40883	42.96105
9.43113	8.63998	9.91590	8.61008	55.8736	7.73526	0.00000	55.17404	1138.36880	4.87682	85.4265	67.74658	0.35978	7.84632	8.22903	8.11557	0.78626	52.14820
7.38129	8.20967	7.78404	10.38753	-2.68333	6.39482	1.00000	34.45277	1056.19591	6.64847	33	52.70736	20.23112	8.82558	8.52407	8.51348	1.14926	41.54866
6.37505	8.59253	5.72927	10.78294	-4.42472	7.03171	1.00000	65.30631	1198.46291	10.42287	-41.45861	53.43948	12.14463	8.00833	9.58519	5.36409	0.26012	69.11207
5.59989	7.69699	7.63236	9.07112	41.77583	8.24474	1.00000	43.24446	1174.70678	11.05989	140.73667	56.27019		8.88567	8.99278	5.03216	0.33105	48.32582
7.42714	8.17493	6.46751	7.29543	39.32011	9.61721	0.00000	39.02287	1097.10839	9.56031	-76.51552	53.24645	9.28513	10.74164	9.27845	7.25427	0.49263	56.69026
6.27376	8.73404	6.61724	6.56546	48.06919	9.40978	1.00000	37.71204	1144.18620	6.48960	11.37703	70.11163	19.67539	4.56870	6.67251	4.99570	0.22451	67.52864
6.29075	8.05060	8.70630	10.24273	28.92694	5.08310	1.00000	75.70248	1122.49723	10.64746	78.23456	76.40820	-7.78922	11.40829	8.50402	7.00400	0.31620	34.33845
10.25319	8.07952	6.64640	7.37627	27.76056	6.72860	0.00000	60.81923	1059.21411	5.00518	-15.58602	45.43812	19.84780	8.29853	7.07531	8.32797	0.82446	27.00490
5.46375	8.26244	9.94052	9.92936	-1.9487	8.48254	1.00000	48.08883	1182.46719	12.13705	30.4347	38.61672	-3.92040	8.63154	8.08054	3.42743	0.21225	77.09573
6.67038	7.35224	8.35684	6.97672	35.815	8.72152	1.00000	63.18309	1189.48729	7.36698	139.6853	54.02882	16.51682	7.87128	7.04332	7.74025	0.64578	49.64871
7.01570	8.74903	6.21530	8.54274	42.97086	8.97707	0.00000	53.24175	1055.18936	10.10276	-82.42491	54.19656	16.50264	9.16169	7.79848	5.60501	0.14992	
6.72240	9.11279	7.09691	8.59708	39.72943	7.07375	1.00000	53.02738	1118.37194	12.15350	-104.83192	49.92731	10.93853	9.65293	9.10306	5.86798	0.31800	46.84496
5.51708	7.96510	8.25123	7.78373	36.91023	5.60404	1.00000	73.09977	1100.07983	12.29030	-121.75689	64.19268	-2.96177	11.64462	8.96203	7.41641	0.46657	52.56898
6.19625	7.08343	7.17432	9.57162	32.42067	6.99473	1.00000	69.97526	1144.55962	10.99234	-104.22884	59.13064	8.68556	10.69228	7.46554	5.57484	0.31413	37.33248
10.80304	7.58678	9.33782	6.49844	46.51872	6.38217	0.00000	40.91553	1167.69800	4.87487	86.00214	11.86060	20.08690	6.14041	7.53279	9.63986	2.55780	42.75602
8.42489	7.28357	8.01833	6.16564	50.64336	7.90108	0.00000	27.91898	1151.30703	9.17964	7.2278	54.22555	26.28110	8.67276	7.97105	6.32875	0.23728	54.40075
