SO2	longitude	PAHs	TEMP	CH4	C2H3NO5	PM2.5	latitude	PM10	NH3	warning	H2CO	NOx	Pb	PRES	O3	CO	CFCs
6.95976	-82.32483	6.48093	3.02605	10.98935	2.44537	6.35528	29.65163	10.21713	7.68730	1.00000	40.99916	7.50289	42.95466	1114.92662	6.51149	6.62544	69.78690
4.49052	10.03478	4.87459	-1.92770	8.49133	0.83217	5.36997	37.16911	8.96598	9.89965	0.00000	62.86749	8.69818	65.31481	1088.27722	5.31753	7.03997	76.16840
4.78553	88.1453	6.11023	21.88832	6.44893	0.23476	7.34348	22.4711	5.18161	7.48710	1.00000	80.32200	7.64769	39.86544	1146.55872	5.40072	7.58056	80.51655
8.12054	75.37991	6.12298	3.55360	9.44600	0.22454	9.68662	25.75728	6.97258	6.24927	0.00000	28.58858	6.07804	72.72378	1170.23686	6.52780	8.78669	85.61083
	-80.31727	9.94272	-0.15055	6.65133	0.34891	8.32082	25.67927	8.10006	6.74562	1.00000	57.20446	7.01448	49.59893	1107.78689	9.88749	5.47245	75.54422
5.39848	-98.15529	6.97205	-0.79051	7.33258	0.41880	7.81223	26.18924	8.03730	8.09562	1.00000	43.39490	6.85801	51.18798	1078.82904	6.76028	8.25849	78.26782
7.49865	38.02486	9.50244	6.64386	9.33946	0.11373	9.12746	55.64776	4.79418	6.46862	0.00000	36.42980	8.65179	57.08088	1127.67292	7.59570	9.15381	72.09434
5.71884	-74.07764	8.35931	13.18450	5.76241	0.50854	10.17094	40.72816	7.99273	7.53904	1.00000	36.70075	6.18701	51.64478	1144.98527	9.05585	6.23717	68.73450
4.83767	9.37082	6.14323	16.70707	6.74831	0.79136	9.45674	36.08497	8.83705	6.69055	1.00000	32.22718	8.95339	56.79077	1076.16550	6.61433	7.20343	80.46521
9.24199	-38.79084	6.85176	16.53648	6.46894	0.18896	4.58469	-10.95817	6.23458	8.10753	0.00000	52.08191	9.35839	48.51210	1098.68710	8.96101	8.10906	77.74958
8.99495	7.02238	9.98497	20.23520	5.76286	0.33010	9.18744	52.21099	6.97834	6.43588	0.00000	42.26645	7.48520	63.38763	1127.47863	7.98013	7.55999	71.44959
7.16736	-101.2591	8.40297	15.92970	9.07819	18.93320	6.53860	21.01858	12.29910	8.44944	1.00000	45.15627	7.23615	67.42218	1074.43845	6.59439	7.19400	76.77383
6.85360	9.15214	9.95064	20.37249	8.58061	0.75522	9.33924	49.97704	8.71171	8.18604	1.00000	51.67969	6.65393	42.63421	1093.68409	8.45687	7.07578	75.45327
6.40424	-97.54667	5.56571	13.45509	10.44927	1.35517	5.43174	30.5427	9.53840	9.78930	1.00000	49.89602	7.11380	34.29756	1141.12682	6.52985	5.80402	72.93561
6.23292	47.3799	5.57041	9.45250	8.93574	0.22856	4.13128	33.14447	6.94634	7.50476	1.00000	31.34875	8.17264	36.88212	1149.26580	5.42330	8.06195	82.40220
4.69587	120.5875	6.20604	18.99694	5.28567	0.20772	7.10613	16.455	6.19135	6.87477	1.00000	64.05589	7.31777	62.43891	1075.19380	6.41343	7.42797	76.12764
7.48722	-42.19667	6.95270	28.71665	11.35478	1.78334	9.86270	-21.41222	9.86836	8.47050	0.00000	38.05339	8.09637	48.60227	1147.75596	9.08728	6.59378	89.94792
9.45936	-75.64963	8.26010	28.21953	3.85500	0.42528	6.32628	40.24537	7.95010	6.85032	0.00000	52.65212	7.00810	55.30766	1111.40032	8.38476	7.56507	71.35244
4.83059	33.72798	7.60922	23.17998	4.99523	0.11081	7.40609	53.53395	5.72013	8.68455	1.00000	44.96833	6.84955	44.04898	1160.39189	8.93192	7.14838	86.74139
9.21150	-0.59543	10.86936	-1.28879	6.06576	0.19969	9.73082	44.80477	5.92161	7.43100	0.00000	55.75176	6.91272	38.27312	1164.09361	7.07015	8.05788	74.29814
6.92394	-73.81669	4.98888	7.43446	10.36137	0.16196	7.56222	45.44868	6.27972	8.82458	0.00000	69.73233	9.27800	26.98131	1099.89226	6.37256	7.99146	65.48619
8.47361	43.83992	10.14670	27.73200	7.32220	0.15226	9.72364	55.39485	6.23018	8.89581	1.00000	19.32691	7.82706	44.00620	1110.88266	9.86174	8.70956	76.26837
5.78433	5.03586	4.34805	36.09256	9.88244	0.19635	6.70189	43.83125	6.29644	7.18035	1.00000	55.87236	5.81323	59.62905	1115.69004	5.03380	7.11006	81.25529
4.61381	-88.81395	6.01907	22.89179	7.03821	0.96189	6.23932	35.61452	9.14382	7.54820	1.00000	63.93491	7.29806	36.58937	1099.82357	5.29773	7.19966	67.50581
6.86114	30.4347	7.38143	2.33980	7.06658	0.72129	8.39384	-1.9487	8.80949	8.91602	1.00000	29.81754	7.05341	72.76113	1176.85097	7.34771	7.09395	70.18813
5.39110	-104.83192	7.05090	2.98674	8.24142	1.42451	7.75478	39.72943	9.61596	6.38512	1.00000	47.35760	7.59632	61.88622	1104.67676	5.14908	8.93045	73.34868
8.65582	-44.31389	6.70628	16.37566	12.12815	0.29963	6.99755	-19.7625	6.83036	6.87087	0.00000	71.13172	9.07706	44.81036	1159.45658	7.53877	6.91106	68.51666
8.17140	123.89071	11.35373	14.19380	7.13306	0.19728	11.25508	10.31672	2.70867	7.75329	1.00000	39.19018	8.07721	80.16742	1155.31284	11.28079	6.55445	74.00294
4.82444	114.51667	7.88498	35.50752	7.56770	0.32293	9.92252	33.78333	7.76935	7.78952	1.00000	38.59939	7.06270	74.92729	1156.54794	7.26358	7.41691	68.64610
9.00701	137.23333	9.15843	13.12733	10.83626	40.60088	5.33661	35.8	13.06861	5.65680	1.00000	47.08967	8.77759	48.84772	1135.15785	9.57207	6.52439	75.63933
4.93985	77.9129	8.98857	11.23817	5.06661	0.20336	8.29069	25.6439	3.75587	8.31992	1.00000	41.87239	8.47348	49.12001	1067.00350	10.58652	6.53463	67.97436
5.96439	137.5	5.63940	10.93202	9.55497	0.83942	5.46666	34.9	9.07988	7.57385	1.00000	58.14176	7.04007	58.64527	1143.36614	6.49014	6.64472	77.15477
8.61119	77.0202	10.43298	19.83195	4.98093	0.67016	9.29616	43.41949	8.50638	8.77897	0.00000	75.95390	5.45292	40.41455	1187.09687	6.76591	8.51778	72.15091
5.45502	-60.94228	9.18785	0.17888	7.46866	0.36591	9.65653	14.67751	7.49370	8.67680	1.00000	52.86197	7.99384	54.90361	1064.75129	8.82446	6.61784	64.44237
9.84035	78.95693	8.56048	16.05573	10.29813	0.56315	6.67967	29.21399	8.42066	6.78942	1.00000	56.56272	8.80837	44.59816	1163.54567	8.89128	6.59770	87.59942
9.88838	8.70745	7.30587	5.95608	8.66612	0.21752	8.12237	49.03685	5.61663	7.15918	0.00000	52.75869	8.12924	51.99729	1059.78299	6.47599	6.79203	66.86401
4.00879	97.01124	6.04840	-5.39281	6.07141	1.06258	6.21375	17.30858	9.24974	8.91175	1.00000	35.65372	7.10320	34.58130	1159.17289	4.89026	8.52035	74.23521
6.34093	4.63031	6.82220	20.36793	7.73751	0.42801	2.47889	43.67681	8.11237	6.51099	1.00000	36.19783	8.39948	30.64826	1106.87078	5.53568	7.25035	78.41400
6.92075	-47.1725	8.22308	17.48366	6.81426	0.17000	8.88082	-22.57306	5.56928	8.32770	1.00000	23.93044	5.47090	47.20284	1149.96038	6.61700	7.61691	60.49135
8.00746	16.86194	6.44113	13.19274	10.90283	0.35639	10.59255	54.58048	8.02721	9.67562	1.00000	52.01879	7.24200	48.27121	1091.02045	6.87456		66.82237
8.44176	-15.58602	7.59765	33.78359	5.17118	0.26719	6.20943	27.76056	7.00808	7.94272	0.00000	42.85659	7.00313	62.37049	1074.29394	8.53525	7.24653	73.24841
9.51048	-116.37697	7.81210	16.41994	7.27325	0.12405	6.47414	33.72255	6.48410	7.10703	0.00000	29.72507	7.92956	44.75618	1127.81344	8.84018	6.78083	73.24804
6.68193	29.00974	7.01120	6.85285	9.19567	2.84071	7.37360	-24.19436	10.35316	9.01262	1.00000	50.16375	6.89221	59.39517	1093.17042	7.27225	7.85626	80.13402
8.46915	4.21372	6.21231	30.30562	8.92432	0.22550	7.59045	51.12794	6.53618	9.61156	0.00000	45.72236	7.83526	34.60097	1191.73250	6.69968	7.45875	74.17162
5.48804	42.85693	4.78989	15.00582	10.00279	0.56728	7.87936	39.22493	8.44354	7.68914	1.00000	49.33602	7.64798	60.97999	1062.02509	5.23801	6.79379	82.12401
5.63948	9.40531	7.73123	27.45121	5.70721	20.15404	8.09633	45.53069	12.36676	6.88670	1.00000	38.11530	10.08793	31.18539	1126.67563	7.80158	7.44804	80.77111
8.10461	39.8302	8.19295	28.54896	5.35699	0.64427	5.57118	64.5635	8.61600	8.14580	0.00000	48.99608	6.94646	31.53191	1145.78566	8.38274	9.56878	77.88002
7.79467	85.4265	8.48344	5.91544	7.48751	0.81149	7.52561	55.8736	8.90170	8.85770	1.00000	43.49601	9.66826	59.27622	1072.72939	6.68155	7.45623	79.76698
6.71252	5.2875	7.13298	-6.83179	8.46148	1.34102	6.40809	51.65333	9.51554	7.68929	1.00000	46.44065	8.81588	26.86011	1187.56552	6.93920	9.24670	79.14127
6.99418	109.22921	9.66432	4.57892	7.75693	0.11337	9.45298	34.65918	5.37764	7.78933	1.00000	75.39125	7.71813	42.43707	1050.50405	8.29909	7.17719	81.27719
5.73914	130.57211	5.67292	13.41049	6.84271	0.11886	7.20193	45.75279	6.07669	8.65123	1.00000	43.21294	6.15451	33.60928	1196.26756	5.43780	7.10203	75.09450
7.84413	51.3452	8.42919	11.77699	4.73804	0.19590	4.76669	53.37596	5.99316	9.44165	0.00000	33.90137	8.08207	52.00779	1182.75029	8.92139	10.04999	73.84969
7.51642	106.92667	7.47681	28.00078	8.15127	0.51360	8.74137	-6.91806	8.31861	8.18985	1.00000	56.94799	7.37932	60.66037	1167.27671	7.22101	7.76750	75.68603
5.70376	-74.07764	8.00928	1.09474	9.60641	0.25897	9.20953	40.72816	6.80643	7.42516	0.00000	48.73889	7.64511	51.58233	1147.13007	8.32046	7.95657	65.13290
5.46543	120.14278	6.23583	21.75084	7.28418	0.87199	3.88690	32.50611	9.03116	6.84902	1.00000	56.28495	8.83660	26.83830	1067.35595	6.96551	8.33290	86.22600
10.43561	-88.27205	5.52034	5.37463	7.69277	0.26069	10.34683	44.27804	6.01290	7.47543	1.00000	45.06689	8.01591	54.71878	1107.12440	6.10493	8.32163	60.72638
6.60051	-70.92866	7.51784	-6.75555	7.78132	2.48652	3.39973	42.52787	10.22827	7.02238	1.00000	39.94717	7.29940	34.37637	1164.87088	7.72334	6.31006	77.49729
8.58961	-89.71472	7.89259	2.51866	5.36253	0.18168	4.64883	13.73417	6.17880	8.86181	0.00000	46.19078	8.38561	78.06644	1125.93585	9.62950	5.88333	85.09464
4.57026	-6.00137	7.36622	8.40178	6.69437	0.14126	7.09818	33.42585	6.62886	6.03010	1.00000	51.54050	8.36049	41.71518	1099.42978	6.92654	7.07364	79.36539
6.10529	-82.32483	6.27336	23.62888	9.46950	1.12060	5.65411	29.65163	9.29099	8.61560	1.00000	52.36667	6.77885	66.56174	1086.88119	5.42330	7.23371	94.79862
11.38667	98.6738	6.36339	5.90700	6.59353	0.22662	9.26009	3.7278	5.00009	9.15588	0.00000	75.57679	7.20792	86.01362	1185.66407	4.71294	6.25474	76.12921
9.73551	-75.69947	4.37023	14.02282	8.12126	0.24700	7.89394	8.79577	7.00083	6.69817	0.00000	49.80397	6.42186	54.36747	1162.53818	3.75470	8.41707	73.13396
5.99304	13.63617	7.10755	18.88463	6.10420	0.42909	5.65265	50.50301	8.30463	8.66204	1.00000	41.00473	8.13924	49.40033	1142.89848	6.73044	8.25016	65.50539
11.68070	109.05389	12.82320	16.82596	5.85370	0.20753	10.79592	-7.51611	3.22489	9.05618	1.00000	44.06813	7.27631	64.02821	1109.07996	13.58825	7.36792	70.63458
6.94907	-75.11028	7.41158	17.06178	10.89258	14.24108	5.46579	-15.21194	12.00609	7.71906	1.00000	37.27119	7.76922	36.23790	1090.07428	6.35529	7.76441	74.31823
8.03955	-74.13653	9.23320	4.08588	8.65563	0.08800	7.88139	40.63316	5.15945	7.68647	0.00000	75.55734	8.66136	39.81650	1115.01580	7.55236	9.02159	70.95384
4.82461	-48.62789	7.81196	3.26779	5.62644	0.25766	5.32807	-17.74431	6.83345	7.21680	1.00000	44.04354	5.72173	50.37710	1142.81427	8.20906	7.06093	85.35108
3.90522	122.05228	7.89503	10.26403	6.91266	0.44958	8.87431	37.19723	8.15217	7.11434	1.00000	45.17468	6.67513	49.57251	1089.22767	8.34421	5.82154	75.57136
5.81748	-51.87389	8.14748	29.61921	4.26875	0.11301	8.37853	-23.44361	5.84392	8.51522	1.00000	27.87090	8.43849	46.54290	1057.69404	8.70235	6.56523	81.82890
5.74168	84.63445	8.65502	2.19282	5.91670	0.18913	9.04613	24.81757	6.71029	8.07222	1.00000	36.38457	7.46750	34.83895	1150.14933	8.79804	7.02543	79.34393
9.16134	35.90057	6.27449	6.08431	8.91639	0.12578	10.38529	56.85836	6.07521	6.73084	0.00000	64.41254	5.87535	46.65565	1111.27703	5.74914	7.75882	65.30440
9.48192	127.08472	9.83480	16.61839	7.13085	1.05914	7.31702	36.20389	9.28403	9.25671	1.00000	30.22827	7.92932	32.64349	1166.14152	9.35811	6.11233	83.00482
6.13709	57.3552	6.07431	18.48499	9.47769	0.99680	5.71034	51.4781	9.20775	8.32094	1.00000	58.32919	7.89390	69.55047	1106.21819	6.36712	7.15111	64.58087
5.42481	-97.90308	8.31742	11.56504	5.42515	0.24496	9.07599	31.12406	7.12622	6.54945	1.00000	46.24650	6.90108	46.21002	1132.76575	9.23167	8.03458	75.95089
10.92226	-122.24064	9.92870	17.46834	9.01185	0.21042	7.33006	47.80527	1.92583	7.40221	0.00000	37.79545	8.92061	68.03576	1158.39569	6.30011	8.43209	73.63311
5.97031	-5.682	8.52901	20.55920	7.67478	0.26801	9.52186	5.84752	6.85443	7.69163	1.00000	40.71219	7.91064	45.29256	1112.82370	7.75420	7.48064	71.52495
7.58449	9.15214	6.71994	9.19737	10.13820	0.67702	7.67168	49.97704	8.74158	8.77579	1.00000	45.13612	7.13898	56.64826	1057.74149	7.53681	6.52616	74.69697
7.88375	77.23826	12.09552	13.40270	6.00185	0.26486	10.59173	11.50526	2.54425	9.16943	1.00000	68.92922	7.52015	67.14926	1182.46794	13.84137	7.49750	65.93653
4.60222	73.66633	5.24101	38.87736	9.10013	2.01729	5.00252	25.92493	10.02206	7.74419	1.00000	52.77938	7.66447	68.77823	1074.39336	5.66284	6.42315	80.58910
11.68750	-3.52751	5.98167	14.13625	6.70032	0.13365	9.87707	50.7236	4.55716	9.02070	0.00000	46.44535	8.79131	37.79752	1161.66469	4.72016	8.71957	70.09901
8.33738	-0.59543	9.50050	28.41465	6.63259	0.22275	5.53080	44.80477	6.35483	7.53878	0.00000	72.22599	7.65351	18.82934	1117.92713	8.93649	7.72094	74.19375
5.43282	13.58357	4.47537	14.44979	11.11097	1.05139	8.21756	-1.63333	9.24466	9.30887	1.00000	61.45846	8.98681	65.60103	1175.46323	4.66618	8.93173	82.60250
5.09851	27.46153	4.57101	3.61593	9.89265	0.71758	7.72380	-21.44236	8.59273	9.59387	1.00000	55.00493	6.80999	43.17009	1070.71812	5.40685	6.64784	65.50629
11.07415	110.8405	6.39519	18.24399	8.87819	0.36837	11.22134	-6.8048	7.98456	7.54199	0.00000	71.30287	6.78022	60.86313	1066.22146	7.27307	6.46149	76.36249
5.67529	31.33078	8.45906	25.67660	7.37992	1.06226	8.10316	47.56494	9.23548	6.79895	1.00000	54.38786	8.30126	55.38275	1197.70600	7.99049	7.92215	72.58985
5.69320	-95.36969	8.66206	5.93347	5.55621	0.46242	8.97855	35.74788	8.35044	9.15652	1.00000	51.92748	7.79147	44.27969	1104.42857	8.77384	6.65446	64.26912
9.98641	83.97573	6.60543	16.43630	9.26637	0.10535	8.28224	21.46527	5.81996	6.54750	0.00000	44.47209	7.39596	42.72823	1068.79276	5.75067	8.41338	88.78076
7.92931	-1.86343	6.75668	19.46600	8.92294	0.41489	8.33574	38.10558	8.00168	8.58992	0.00000	51.32622	8.09951	49.26534	1064.73657	5.50548	8.20252	86.35193
6.99321	-73.95097	5.95667	21.44410	11.34802	1.53719	8.78091	40.72371	9.67000	7.73325	1.00000	52.46113	7.49777	58.17644	1078.27889	6.71305	7.80213	66.59896
6.11429	86.51499	6.30393	14.24672	7.96899	0.43506	7.15108	23.1959	8.12562	8.21265	1.00000	35.13991	7.57392	43.43522	1072.10970	7.09818	8.14190	77.08920
5.75479	102.56365	9.77304	21.93865	7.25932	0.15428	9.56307	13.65805	5.36718	8.61701	1.00000	52.40024	7.72315	25.18952	1052.01918	9.09932	7.45640	78.64685
10.04590	3.55665	5.12417	10.82130	8.56299	0.29389	10.73087	36.72544	7.58799	8.39328	0.00000	58.32369	8.04284	49.39381	1150.77561	6.89926	8.90679	63.61433
8.68846	69.49015	7.12736	4.39678	9.19895	0.19865	9.44092	56.11281	6.98488	6.80068	0.00000	57.82277	8.21428	60.35360	1083.67579	5.54534	6.90194	66.30738
6.25915	1.26738	8.84282	12.55834	9.31492	0.26091	10.09088	51.84819	6.71619	8.05182	1.00000	37.87739	7.31898	63.06216	1125.01908	7.50476	4.69431	78.46429
10.84338	7.973	3.85481	16.86959	7.04336	0.21384	9.61736	51.168	4.87609	6.60675	0.00000	37.21792	7.69493	61.07921	1164.31756	3.86143	8.32171	
10.36568	-111.89903	10.09648	25.24583	5.44709	0.20643	7.89978	33.50921	4.89071	7.40952	0.00000	38.55373	4.08775	60.86691	1116.70201	6.69048	9.56630	77.06269
5.26611	-39.25	5.01414	19.79501	10.41223	1.11372	2.61970	-12.91667	9.35189	7.85753	1.00000	50.84634	7.46351	22.38197	1099.69009	4.40332	7.59609	78.57748
6.32498	38.28402	6.69416	27.84941	8.48008	0.89376	7.20863	34.5624	9.04370	6.20741	1.00000	55.77772	8.37784	83.35787	1176.89012	5.69298	8.83205	73.19816
7.55335	99.89166	8.26281	7.84726	7.63638	0.16428	4.72319	15.46063	5.87503	7.12884	0.00000	45.12364	7.44463	55.62438	1050.95769	10.44952	7.85953	81.52447
10.56192	75.06583	8.31580	21.85631	5.83666	0.26856	7.06959	32.17629	6.01085	8.23352	0.00000	46.46687	7.61584	62.98446	1136.38682	8.92182	6.50445	77.39457
6.64124	168.31366	9.85810	17.20126	6.78402	0.28481	9.57730	-17.73648	4.11962	6.64392	1.00000	35.96067	6.87050	36.97864	1068.50038	9.62050	7.48858	54.25507
5.79974	-88.42814	8.96013	0.74981	6.14050	0.09259	8.48124	42.16808	6.09128	8.45288	1.00000	42.69380	6.41693	63.37978	1089.63069	9.51420	6.14694	85.36092
3.62395	-84.23381	5.23302	18.96065	6.57585	0.47197	7.29454	33.54428	8.43916	7.70290	1.00000	47.79361	8.98488	56.91484	1065.67978	2.99090	8.64574	72.61274
7.26927	2.95924	7.22444	31.34484	8.35351	0.38716	5.09128	36.76775	7.60272	9.47591	1.00000	18.59815	5.81632	30.74968	1095.78152	6.12906	7.19767	79.10447
7.64270	99.95469	8.64255	12.46288	7.21301	0.36112	8.84749	13.51825	7.82484	5.83892	1.00000	57.69267	8.54814	68.31023	1144.42785	7.31159	6.65285	71.43102
6.32356	85.37752	6.56694	12.43964	10.05447	3.79674	5.05215	22.10194	10.66085	6.13413	1.00000	62.13783	6.94213	38.05981	1192.83414	6.64301	10.56625	71.60236
8.36262	115.70111	10.44604	3.66850	5.95642	0.09371	10.52448	37.73222	2.21269	8.89173	1.00000	20.32149	6.71658	64.24927	1080.17975	10.76899	6.52133	64.56332
9.14852	-8.2503	7.91446	25.93218	9.13309	0.21355	9.46102	37.08819	6.78873	8.42880	0.00000	63.67582	9.91337	42.36743	1116.58571	7.62284	6.82982	58.79950
10.86028	6.8625	11.60283	29.57910	6.90094	0.20668	9.42889	51.47805	5.04636	7.55614	0.00000	56.00250	8.08553	55.02889	1189.14296	7.64979	8.54441	80.75699
9.86033	28.88222	8.92081	3.91449	6.89254	0.14977	6.27073	40.37528	4.95527	7.32290	0.00000	51.33441	6.19612	36.75838	1089.59048	8.48509	7.62098	79.90623
7.11794	38.07083	7.59118	26.45431	7.19082	0.15989	4.37699	54.90083	3.81809	8.21919	0.00000	40.30378	7.99436	59.42275	1198.55612	12.19924	7.82604	72.88925
6.69893	78.95693	7.84931	18.47180	6.94179	0.72709	9.17938	29.21399	8.67502	6.84939	1.00000	56.49422	8.44445	31.87243	1159.65540	7.39188	4.28901	73.47714
6.26578	113.13148	6.11348	20.20815	8.38343	0.56886	5.94051	23.02677	8.49474	6.75445	1.00000	32.02993	9.28986	83.61050	1148.17970	6.92424	8.16446	79.66473
8.34587	2.2469	8.31113	5.55492	8.27305	0.13591	5.15648	48.90472	5.65119	5.54697	0.00000	57.88500	8.86702	47.31147	1146.76206	11.34937	8.06477	69.52878
10.15353	137.5	9.22337	15.43311	6.64005	0.14005	7.60173	34.9	5.08377	8.02725	0.00000	34.33675	7.45426	34.41956	1098.28607	7.92859	8.96420	85.23402
9.09324	74.4818	9.55805	18.98218	6.38886	0.19608	6.66788	30.21121	6.88440	8.06003	0.00000	16.51504	9.55799	45.45956	1051.62134	8.02653	7.74246	84.14539
8.54977	7.973	5.62891	6.24382	10.60598	0.26333	10.28486	51.168	7.58143	7.49105	0.00000	43.17804	7.42443	53.23968	1172.12460	6.43016	7.85021	66.23484
9.10401	-42.29444	9.79673	16.09978	8.43127	0.15965	5.99959	-4.24444	5.42401	7.17364	0.00000	31.45163	6.82427	45.67413	1139.26256	10.19587	5.89881	84.85519
7.31104	79.41727	9.24373	2.23204	6.23831	0.22894	9.21543	12.25282	6.90702	8.21520	1.00000	74.86278	6.76194	50.88102	1124.84965	8.79599	8.96227	80.65719
9.32549	8.70745	10.39416	9.25000	5.25343	0.17437	6.77809	49.03685	5.14944	7.56220	0.00000	38.94360	9.35506	56.41455	1106.42701	7.83994	6.76560	68.68356
10.19680	-87.71255	11.01643	16.75341	7.27038	0.16278	8.47327	41.84364	6.25074	7.51621	0.00000	92.73246	8.40029	63.88576	1150.53101	7.68083	5.45744	75.02766
8.66138	-122.24092	7.94608	-3.06887	8.39300	0.23049	8.49179	47.4943	6.31856	6.84235	0.00000	47.39455	8.29633	66.78616	1094.74779	6.18748	8.60321	73.39061
6.72446	43.2379	5.39016	25.97389	10.74155	0.42256	6.49626	50.06	7.95703	8.13275	1.00000	54.44829	8.55963	55.26440	1088.42740	5.53941	6.95226	55.58283
8.68278	-74.95472	10.07847	27.78164	8.06820	0.18811	6.39842	10.98778	4.28810	5.93911	0.00000	42.29088	7.08856	57.95005	1175.92068	10.06229	6.18816	67.43044
4.69153	12.53463	3.84596	25.34461	10.25999	0.53575	5.26231	55.67938	8.56647	8.47996	1.00000	51.79920	6.80058	39.10537	1065.11029	4.80591	6.92146	58.94885
6.50151	9.20427	6.46031	17.19837	8.62484	0.72440	6.48751	48.49144	8.85876	7.35074	1.00000	34.40991	6.82129	56.66837	1143.85513	6.95912	7.61366	62.08414
3.78494	78.23456	8.21536	9.88374	6.91860	0.18923	6.27030	28.92694	6.47890	8.68189	1.00000	27.80140	6.73493	37.78599	1115.93129	8.09854	8.65060	77.66033
7.31744	19.21437	7.41898	17.58332	7.95275	0.41593	6.47718	44.75874	7.52229	7.86639	1.00000	56.72761	6.01495	45.78360	1078.94313	6.09219	7.80968	77.73379
7.24729	-41.45861	8.12667	12.76526	5.99977	0.15084	4.12554	-4.42472	6.35319	7.90284	0.00000	55.14897	8.75702	33.07382	1169.76444	9.59184	7.56421	68.49314
9.59470	2.61667	8.86845	5.14975	8.04048	0.11906	6.30178	48.98333	4.24877	7.40638	0.00000	58.05443	6.87936	57.49568	1095.60266	9.83138	7.61046	71.01299
11.06568	104.64992	5.00393	17.93380	9.33038	0.13858	8.91823	14.64056	4.03058	6.50616	0.00000	57.85207	8.04430	72.22952	1069.87619	5.04185	8.35627	62.96313
5.51628	19.21437	8.90997	19.73053	6.55544	0.29308	9.01010	44.75874	7.44064	8.40683	1.00000	29.70773	8.54611	77.90918	1112.81648	8.67499	7.56547	66.46033
