station	code	QoS	longitude	latitude	revision
Haicheng	CN	average	122.74754	40.85158	17 Nov 2019
Narwar	IN	average	77.9129	25.6439	17 Oct 2015
Fitchburg	US	building	-71.8023	42.58342	2020-01-13
Jiangyan	CN	excellent	120.14278	32.50611	25 Apr 2021
Karatsu	JP	accep	129.96972	33.4425	2015/04/29
Puducherry	IN	good	79.82979	11.93381	2013/12/07
Barmbek-Nord	DE	good	10.03988	53.6052	2014/06/22
Carnot	CF	accep	15.87735	4.94273	06/24/2015, 00:00:00
Tchaourou	BJ	excellent	2.59753	8.88649	2022/02/23
Harstad	NO	good	16.54165	68.79833	2013/07/25
Malaut	IN	good	74.4818	30.21121	2021-08-12
Dahlem	DE	good	13.28702	52.4581	2013-08-24
Puerto Colombia	CO	maintenance	-74.95472	10.98778	11/06/2021, 00:00:00
Gainsborough	GB	excellent	-0.76667	53.38333	2015-04-19
Vahdat	TJ	building	69.01354	38.55632	05/07/2022, 00:00:00
Cowes	GB	good	-1.29772	50.76306	05 Jan 2015
Chilibre	PA	building	-79.62098	9.15093	27 Aug 2020
Kamina	CD	excellent	24.99798	-8.73508	05 Mar 2022
Mira Mesa	US	average	-117.14392	32.9156	12/27/2018, 00:00:00
Bergama	TR	maintenance	27.18052	39.12074	2018/05/02
Inverness	GB	excellent	-4.22398	57.47908	2021/01/06
Carnot	CF	average	15.87735	4.94273	2018/08/03
Valday	RU	accep	33.2525	57.97472	2020/05/19
Morningside Heights	US	excellent	-73.9625	40.81	01/07/2017, 00:00:00
Acaponeta	MX	average	-105.36369	22.49396	2020/09/17
Rahat	IL	average	34.75699	31.39547	2013-11-17
Ramla	IL	average	34.86563	31.92923	06/07/2021, 00:00:00
Fairview Heights	US	good	-89.99038	38.58894	2021/10/14
Siliana	TN	excellent	9.37082	36.08497	06/08/2019, 00:00:00
Strood	GB	accep	0.47713	51.39323	27 Feb 2022
Lompoc	US	excellent	-120.45794	34.63915	2012-12-26
Caldas Novas	BR	excellent	-48.62789	-17.74431	12 May 2013
Gorakhpur	IN	excellent	83.36889	26.76628	2019-08-29
Boston	US	average	-71.05977	42.35843	11/14/2021, 00:00:00
Newburgh	US	accep	-74.01042	41.50343	12/09/2012, 00:00:00
Rutherglen	GB	accep	-4.21376	55.82885	30 May 2014
Volla	IT	good	14.34085	40.87363	2014/06/19
Arles	FR	average	4.63031	43.67681	2016/12/11
Split	HR	excellent	16.43915	43.50891	2013-08-24
Villabate	IT	average	13.44275	38.07789	04/17/2015, 00:00:00
Mokopane	ZA	excellent	29.00974	-24.19436	03 Dec 2015
Acaponeta	MX	accep	-105.36369	22.49396	06/26/2016, 00:00:00
Annaka	JP	excellent	138.89585	36.33011	2017-02-13
Brunswick	US	good	-69.96533	43.91452	03/01/2015, 00:00:00
Radevormwald	DE	average	7.36027	51.20219	2015/05/18
Mikhaylovka	RU	good	43.2379	50.06	2016-11-12
Porterville	US	maintenance	-119.01677	36.06523	2018/04/05
San Gabriel	US	acceptable	-118.10583	34.09611	03 Apr 2016
Perugia	IT	good	12.38878	43.1122	2018/05/19
Majene	ID	accep	118.9707	-3.5403	2021-11-25
Malden	US	good	-71.06616	42.4251	2020/01/11
Hongseong	KR	average	126.665	36.6009	10/06/2019, 00:00:00
Ustka	PL	good	16.86194	54.58048	2016-03-08
Qadirpur Ran	PK	excellent	71.67164	30.29184	2013/07/19
Gorgonzola	IT	average	9.40531	45.53069	2015-04-14
Pune	IN	excellent	73.85535	18.51957	2016-09-18
Lille	BE	excellent	4.82313	51.24197	06/20/2021, 00:00:00
Reda	PL	building	18.34717	54.60528	05 Mar 2015
Grand Forks	US	good	-97.03285	47.92526	02/05/2022, 00:00:00
Tver	RU	excellent	35.90057	56.85836	03/27/2019, 00:00:00
Sorsogon	PH	maintenance	123.99333	12.97389	01/07/2021, 00:00:00
Darreh Shahr	IR	good	47.3799	33.14447	2019/10/02
Dawei	MM	average	98.19151	14.0823	02/20/2013, 00:00:00
Khairpur Mir’s	PK	accep	68.75915	27.52948	11/05/2020, 00:00:00
Yenagoa	NG	excellent	6.26764	4.92675	03/21/2020, 00:00:00
Catania	IT	accep	15.07041	37.49223	2019/02/02
Bobigny	FR	average	2.45012	48.90982	03/02/2019, 00:00:00
Puducherry	IN	accep	79.82979	11.93381	2014/12/14
Le Chesnay	FR	average	2.12213	48.8222	25 Oct 2012
Artur Nogueira	BR	accep	-47.1725	-22.57306	12/15/2021, 00:00:00
Quimper	FR	accep	-4.1	48	10/27/2015, 00:00:00
Hakodate	JP	average	140.73667	41.77583	2014/01/28
Leteri	IN	excellent	77.40858	24.05979	08 Apr 2022
Custoias	PT	accep	-7.32097	41.1053	2020/03/09
Rueil-Malmaison	FR	accep	2.18967	48.8765	28 Apr 2017
Stupino	RU	accep	38.07083	54.90083	2013-11-22
Hushitai	CN	good	123.50266	41.94175	2020-07-03
Lesosibirsk	RU	building	92.48278	58.23583	01/08/2016, 00:00:00
Barnet	GB	average	-0.2	51.65	2016-06-08
Fitchburg	US	maintenance	-71.8023	42.58342	01/09/2017, 00:00:00
Puducherry	IN	average	79.82979	11.93381	2019/02/28
Betamcherla	IN	good	78.14797	15.45144	2015/12/04
Radevormwald	DE	excellent	7.36027	51.20219	17 Oct 2014
Arbroath	GB	good	-2.58736	56.56317	2022-06-03
San Gabriel	US	average	-118.10583	34.09611	11/26/2021, 00:00:00
Goyang-si	KR	accep	126.835	37.65639	2015-05-16
Vestavia Hills	US	good	-86.78777	33.44872	2018-11-20
Kherson	UA	excellent	32.6178	46.65581	2015-10-18
Hartley	GB	good	0.30367	51.38673	13 Mar 2022
Sinhyeon	KR	excellent	128.62667	34.8825	2019/05/13
Bang Ban	TH	excellent	100.48528	14.37395	05/09/2013, 00:00:00
Nyangao	TZ	building	39.28333	-10.33333	01/03/2014, 00:00:00
San Juan	US	excellent	-98.15529	26.18924	20 Jan 2014
Diwek	ID	good	112.23109	-7.57897	2021-01-03
Fazilpur	PK	accep	75.06583	32.17629	2019/11/10
Juhaynah	EG	accep	31.4976	26.67319	2021/11/14
Otradnyy	RU	good	51.3452	53.37596	11/14/2014, 00:00:00
Kangayam	IN	good	77.5609	11.00599	06/29/2018, 00:00:00
Misterbianco	IT	accep	15.00913	37.51803	05/09/2016, 00:00:00
Canton	US	good	-83.48216	42.30865	2016/11/07
Kahului	US	good	-156.47432	20.88953	15 Sep 2013
Karlovy Vary	CZ	acceptable	12.87117	50.23271	2016/11/25
Aistala	IN	excellent	88.58	23.18	2013/02/28
Yasothon	TH	excellent	104.1451	15.79408	24 Dec 2020
Sirsi	IN	accep	74.83554	14.62072	2014/09/10
Belper	GB	building	-1.48119	53.0233	2020-08-13
Pottstown	US	good	-75.64963	40.24537	2019-04-03
Casa Blanca	MX	average	-98.11889	19.04222	31 Aug 2016
Charlottenburg-Nord	DE	accep	13.29371	52.53048	06 Sep 2014
Aytos	BG	average	27.25	42.7	03 Jun 2022
Sungurlu	TR	average	34.37389	40.1675	2022/03/11
Aberdeen	GB	good	-2.09814	57.14369	17 Feb 2021
Lakota	CI	accep	-5.682	5.84752	06 Nov 2014
Lakewood	US	maintenance	-81.79819	41.48199	2018-03-31
Loanda	BR	average	-53.13722	-22.92306	2016/01/10
Sukabumi	ID	building	106.92667	-6.91806	06/29/2021, 00:00:00
Chanika	TZ	excellent	38.01667	-5.41667	08/07/2014, 00:00:00
Gainesville	US	average	-82.32483	29.65163	2019/12/12
Patti	IN	building	74.85849	31.28092	12/09/2021, 00:00:00
Boo	SE	accep	18.28333	59.33333	2012-11-18
Yao	JP	excellent	135.6	34.61667	2017/12/25
Patnos	TR	good	42.85693	39.22493	2020-08-08
Temse	BE	average	4.21372	51.12794	29 Mar 2017
Norfolk County	CA	maitennce	-80.38297	42.8334	2018/11/11
Reus	ES	excellent	1.10687	41.15612	03 Mar 2017
Andes	CO	excellent	-75.87877	5.6561	2018-01-16
Alytus	LT	maintenance	24.04142	54.39635	17 Jan 2014
Contla	MX	average	-98.1664	19.32932	2013/04/19
Shahre Jadide Andisheh	IR	average	51.0193	35.6803	09/22/2020, 00:00:00
Yenagoa	NG	good	6.26764	4.92675	07/16/2015, 00:00:00
Brazzaville	CG	good	15.28318	-4.26613	02 Jan 2021
Hakodate	JP	building	140.73667	41.77583	08/03/2013, 00:00:00
Nonoichi	JP	excellent	136.61667	36.53333	2015-05-17
Dalsingh Sarai	IN	average	85.83636	25.66795	2015/11/16
Damnoen Saduak	TH	excellent	99.95469	13.51825	02/28/2015, 00:00:00
Chosica	PE	average	-76.70944	-11.94306	2019/04/03
Shagamu	NG	accep	3.64633	6.8485	2018-10-09
Yauco	PR	average	-66.8499	18.03496	07/29/2019, 00:00:00
Efon-Alaaye	NG	accep	4.92235	7.65649	17 Jun 2014
Xinzhou	CN	accep	112.73333	38.40917	15 Nov 2015
Ina	JP	excellent	137.95378	35.82756	2020-01-24
Santa Gertrudes	BR	accep	-47.53028	-22.45667	05/09/2013, 00:00:00
Pune	IN	maintenance	73.85535	18.51957	10 Feb 2021
Simpang	ID	acceptable	104.09701	-1.26424	2013-01-12
Montecchio Maggiore-Alte Ceccato	IT	accep	11.412	45.50369	04/16/2013, 00:00:00
Ilopango	SV	maintenance	-89.10944	13.70167	09/21/2017, 00:00:00
Bothell	US	building	-122.2054	47.76232	2014-07-15
High Wycombe	GB	excellent	-0.74934	51.62907	2016/03/03
Belper	GB	good	-1.48119	53.0233	12/02/2017, 00:00:00
Oldenzaal	NL	excellent	6.92917	52.31333	2017-05-28
Elbeuf	FR	good	1.00288	49.28669	2020-08-05
Lutz	US	average	-82.46148	28.15112	11/10/2012, 00:00:00
Falconara Marittima	IT	good	13.39954	43.62558	30 May 2018
Sorsogon	PH	accep	123.99333	12.97389	2019-05-21
Camarillo	US	average	-119.0376	34.21639	2014/12/06
Antanifotsy	MG	average	47.31667	-19.65	2015/09/24
Msaken	TN	maintenance	10.58082	35.72917	18 Aug 2015
San Juan	US	excellent	-98.15529	26.18924	2016-01-07
Ambatondrazaka	MG	excellent	48.41667	-17.83333	2012-11-25
Zhukovka	RU	maintenance	33.72798	53.53395	01/27/2013, 00:00:00
Bachhraon	IN	excellent	78.23456	28.92694	02 Jan 2017
Gainsborough	GB	accep	-0.76667	53.38333	2016/10/20
Soroca	MD	accep	28.28489	48.15659	11 Dec 2018
Caldas Novas	BR	accep	-48.62789	-17.74431	04/24/2019, 00:00:00
Veracruz	PA	building	-79.62603	8.88988	05/11/2017, 00:00:00
Aschaffenburg	DE	good	9.15214	49.97704	11/23/2018, 00:00:00
Amposta	ES	good	0.57856	40.70995	26 Jan 2017
Jackson	US	good	-88.81395	35.61452	24 May 2019
Bad Honnef	DE	accep	7.2278	50.64336	2013/10/30
Dorval	CA	excellent	-73.75335	45.4473	2017/02/02
Itaperuna	BR	good	-41.88778	-21.205	10/27/2013, 00:00:00
Greenville	US	building	-91.06177	33.41012	2022/03/28
Haldwani	IN	accep	79.5286	29.22254	2019/11/25
Novogrudok	BY	accep	25.8191	53.5942	03 Nov 2012
Tortona	IT	good	8.86374	44.89784	09 Jul 2018
Reda	PL	building	18.34717	54.60528	2020-08-21
Carnegie	AU	average	145.06667	-37.88333	2019-07-16
Davis	US	accep	-121.74052	38.54491	2018/05/17
Peabody	US	good	-70.92866	42.52787	2012/11/25
Gilbert	US	excellent	-111.78903	33.35283	11 Jan 2018
Annaka	JP	average	138.89585	36.33011	2021-05-11
Saharsa	IN	building	86.59611	25.87498	2021/08/03
Efon-Alaaye	NG	excellent	4.92235	7.65649	12 Aug 2018
Scotch Plains	US	building	-74.38987	40.65538	12/01/2014, 00:00:00
Vahdat	TJ	good	69.01354	38.55632	2016/01/22
Tadmur	SY	accep	38.28402	34.5624	2019/08/29
Stuttgart	DE	average	9.17702	48.78232	2019/12/08
Redding	US	good	-122.39168	40.58654	2014/09/03
Baki	SO	excellent	43.38531	9.89206	2019-11-21
Soroca	MD	excellent	28.28489	48.15659	2018-11-02
Port-Vila	VU	good	168.31366	-17.73648	04/25/2014, 00:00:00
Silvan	TR	average	41.00817	38.13708	2019-03-02
Catende	BR	excellent	-35.71667	-8.66667	2015-05-01
Foshan	CN	average	113.13148	23.02677	27 Feb 2020
Lower Earley	GB	average	-0.91979	51.42708	05 Apr 2014
Haldwani	IN	accep	79.5286	29.22254	2015/03/01
Oldenzaal	NL	average	6.92917	52.31333	2021/11/14
Stade	DE	average	9.47629	53.59337	2013-03-15
Zeist	NL	average	5.23333	52.09	07/08/2016, 00:00:00
Chamba	IN	good	76.12647	32.55531	11/03/2020, 00:00:00
Stockbridge	US	excellent	-84.23381	33.54428	2013-05-04
Nidderau	DE	average	8.86704	50.23805	2016/01/24
Daud Khel	PK	maintenance	71.57118	32.87533	03/09/2014, 00:00:00
Sharypovo	RU	excellent	89.20083	55.54028	2015/08/04
Annaka	JP	building	138.89585	36.33011	2013-01-15
Ulanhot	CN	average	122.08333	46.08333	2018/11/25
Baulkham Hills	AU	accep	150.99292	-33.75881	2020-07-30
Osmanabad	IN	average	76.03889	18.18158	14 Jun 2022
Mwandiga	TZ	accep	29.65806	-4.83	2021-08-10
Scarsdale	US	excellent	-73.78458	41.0051	2020/06/13
Hutchinson	US	good	-97.92977	38.06084	2018/09/25
Novara	IT	accep	8.62118	45.44694	2015/04/02
Pleasant Prairie	US	average	-87.93341	42.55308	10/26/2021, 00:00:00
Covington	US	average	-84.50855	39.08367	2019/12/19
Yangambi	CD	maintenance	24.43973	0.76755	01/14/2020, 00:00:00
Winsford	GB	building	-2.52398	53.19146	2013-04-29
Jaruco	CU	good	-82.00919	23.04419	2021/09/09
Teghra	IN	excellent	85.94001	25.49043	11 Mar 2016
Mokopane	ZA	average	29.00974	-24.19436	2017-04-05
Aykhal	RU	maintenance	111.4834	65.93381	09 May 2014
Burscheid	DE	maintenance	7.11393	51.08468	2021-05-25
Pune	IN	accep	73.85535	18.51957	20 Mar 2020
El Alia	TN	excellent	10.03478	37.16911	05 Nov 2020
Sydney	CA	accep	-60.1831	46.1351	07/23/2022, 00:00:00
Annaka	JP	excellent	138.89585	36.33011	05/12/2016, 00:00:00
Kamakura	JP	good	139.55028	35.30889	19 Jul 2013
Shuangcheng	CN	excellent	126.28333	45.35	08/16/2018, 00:00:00
Pfullingen	DE	average	9.22796	48.46458	24 Oct 2021
Schererville	US	good	-87.45476	41.47892	18 Apr 2021
Les Olives	FR	good	5.4584	43.32393	13 Dec 2012
Emmeloord	NL	maintenance	5.74861	52.71083	2014/09/22
Puducherry	IN	building	79.82979	11.93381	2021-04-16
Arzamas	RU	excellent	43.83992	55.39485	2016/08/25
Polohy	UA	maintenance	36.25361	47.48444	08/23/2014, 00:00:00
Gorgonzola	IT	accep	9.40531	45.53069	06/18/2019, 00:00:00
Kensington	US	maintenance	-73.97069	40.64621	2017/10/07
Las Gabias	ES	maintenance	-3.67029	37.13548	2014/10/24
Lanciano	IT	excellent	14.39024	42.22718	01/03/2015, 00:00:00
Myawadi	MM	average	98.50893	16.68911	11/21/2012, 00:00:00
Bretten	DE	accep	8.70745	49.03685	07/10/2022, 00:00:00
Cebu City	PH	building	123.89071	10.31672	11/09/2021, 00:00:00
Al Jubayl	SA	maitennce	49.62251	27.0174	2013/09/16
Novelda	ES	good	-0.76773	38.38479	2013/06/04
Pekin	US	maintenance	-89.64066	40.56754	18 Aug 2014
Zvenihorodka	UA	excellent	30.96755	49.07866	10 Jul 2022
Deoli	IN	good	75.37991	25.75728	03/29/2016, 00:00:00
Aracaju	BR	maintenance	-37.07167	-10.91111	11/03/2012, 00:00:00
Misterbianco	IT	accep	15.00913	37.51803	2013-02-04
Brenham	US	average	-96.39774	30.16688	06/12/2021, 00:00:00
Temse	BE	good	4.21372	51.12794	18 Jul 2017
Marseille 11	FR	good	5.4384	43.2907	2020/05/16
Kendall	US	building	-80.31727	25.67927	05 Nov 2016
Walsrode	DE	excellent	9.5926	52.86147	03 May 2022
Volla	IT	maintenance	14.34085	40.87363	2015-07-22
Malakhovka	RU	good	38.02486	55.64776	09/24/2015, 00:00:00
Solntsevo	RU	excellent	37.38115	55.63711	2022-08-16
Finnentrop	DE	excellent	7.973	51.168	01 Aug 2014
South Lawndale	US	average	-87.71255	41.84364	2018/12/22
Collinwood	US	maintenance	-81.56929	41.55838	2015-04-04
Ozersk	RU	average	60.70278	55.75556	12 Jan 2016
Chichicastenango	GT	excellent	-91.11667	14.93333	05/23/2022, 00:00:00
Abilene	US	average	-99.73314	32.44874	2018/03/28
Bijeljina	BA	average	19.21437	44.75874	08/17/2015, 00:00:00
Barra dos Coqueiros	BR	excellent	-37.03861	-10.90889	07/30/2014, 00:00:00
Patnos	TR	average	42.85693	39.22493	01/11/2022, 00:00:00
Sirsi	IN	good	74.83554	14.62072	2017/06/03
Santa Gertrudes	BR	excellent	-47.53028	-22.45667	23 Oct 2015
Woodbridge	US	average	-74.28459	40.5576	08/17/2022, 00:00:00
Minokamo	JP	maintenance	137.02166	35.48199	11/11/2013, 00:00:00
Ilopango	SV	excellent	-89.10944	13.70167	2018/09/30
Meizhou	CN	accep	116.11768	24.28859	07/14/2017, 00:00:00
Mwandiga	TZ	average	29.65806	-4.83	05/17/2014, 00:00:00
Caravaca	ES	maintenance	-1.86343	38.10558	2013/09/05
Lagarto	BR	excellent	-37.65	-10.91722	28 Jul 2019
Carlos Barbosa	BR	excellent	-51.50361	-29.2975	2013-05-01
Jerada	MA	accep	-2.16	34.31	2018-06-04
Wangon	ID	good	109.05389	-7.51611	02/23/2013, 00:00:00
Hasilpur	PK	building	72.54566	29.69221	2019/11/09
Sukabumi	ID	excellent	106.92667	-6.91806	20 Mar 2013
Sa Dec	VN	excellent	105.75635	10.29085	06/14/2022, 00:00:00
Beni	CD	average	29.47306	0.49113	05/27/2013, 00:00:00
Westchester	US	excellent	-87.882	41.85059	2015/04/21
Sterling	US	building	-77.4286	39.00622	09/07/2021, 00:00:00
Shalqar	KZ	building	59.6	47.83333	2014-07-13
Kudus	ID	good	110.8405	-6.8048	06/08/2013, 00:00:00
Milagro	EC	average	-79.59415	-2.13404	2014-04-06
Minokamo	JP	excellent	137.02166	35.48199	2018/10/25
Port Huron	US	good	-82.42491	42.97086	02/03/2022, 00:00:00
El Copey	CO	building	-73.9614	10.15031	12 Oct 2018
Lompoc	US	accep	-120.45794	34.63915	2016/01/28
Pedro II	BR	excellent	-41.45861	-4.42472	2020/02/01
Hutto	US	excellent	-97.54667	30.5427	2013/12/07
Puertollano	ES	maintenance	-4.10734	38.68712	2013/03/14
Rosemount	US	accep	-93.12577	44.73941	2019/03/31
Korschenbroich	DE	accep	6.51352	51.19139	2019-09-28
Walsrode	DE	good	9.5926	52.86147	11/20/2013, 00:00:00
Onex	CH	good	6.10237	46.18396	2016/05/22
Mudanya	TR	excellent	28.88222	40.37528	2021/07/17
Chanika	TZ	excellent	38.01667	-5.41667	10/06/2019, 00:00:00
Ishim	RU	average	69.49015	56.11281	19 Aug 2015
Schiebroek	NL	good	4.47124	51.95838	11/18/2019, 00:00:00
Davis	US	good	-121.74052	38.54491	14 Feb 2015
Riverbank	US	excellent	-120.93549	37.73604	10/16/2015, 00:00:00
Ambatondrazaka	MG	building	48.41667	-17.83333	08/25/2015, 00:00:00
Caldas Novas	BR	good	-48.62789	-17.74431	03/25/2017, 00:00:00
Fujioka	JP	excellent	139.07204	36.24624	01 Feb 2017
Palm Desert	US	accep	-116.37697	33.72255	2019-05-30
Gonesse	FR	good	2.44892	48.98693	2015/05/02
Aracaju	BR	accep	-37.07167	-10.91111	01/23/2021, 00:00:00
Manaoag	PH	excellent	120.4861	16.0438	2018/06/15
High Wycombe	GB	maintenance	-0.74934	51.62907	01/01/2017, 00:00:00
Kahului	US	good	-156.47432	20.88953	10/28/2017, 00:00:00
Lakota	CI	accep	-5.682	5.84752	07/03/2017, 00:00:00
Muskogee	US	good	-95.36969	35.74788	2015/08/30
Lons-le-Saunier	FR	maintenance	5.55575	46.67535	2021-02-26
Quimper	FR	excellent	-4.1	48	05/08/2018, 00:00:00
Zgorzelec	PL	good	15.00835	51.14942	2015-11-18
South Whittier	US	maintenance	-118.03917	33.95015	2014-12-08
Ponta Delgada	PT	average	-25.66689	37.74615	05/17/2022, 00:00:00
Tupiza	BO	average	-65.71875	-21.44345	14 Mar 2022
Jagna	PH	accep	124.3697	9.6531	17 Mar 2022
Guli	CN	good	120.03308	28.88162	2012-11-22
Shepetivka	UA	excellent	27.06365	50.18545	2019/06/18
Iringa	TZ	good	35.7	-7.76667	08/25/2017, 00:00:00
Aklera	IN	maintenance	76.56719	24.41288	26 Feb 2019
Le Chesnay	FR	building	2.12213	48.8222	04/12/2020, 00:00:00
Caravaca	ES	good	-1.86343	38.10558	09/30/2019, 00:00:00
Fresno	US	accep	-95.44744	29.53885	20 Jun 2017
Zacoalco de Torres	MX	excellent	-103.5687	20.22816	2017-06-25
Karbala	IQ	good	44.02488	32.61603	24 Jul 2013
Foshan	CN	excellent	113.13148	23.02677	2012-11-01
Finnentrop	DE	good	7.973	51.168	03/20/2013, 00:00:00
Ajdabiya	LY	excellent	20.22625	30.75545	2019/11/24
Chiavari	IT	maintenance	9.32241	44.31771	13 Apr 2018
Chamba	IN	average	76.12647	32.55531	2019/01/11
Independence	US	average	-94.41551	39.09112	2015-10-13
Ushuaia	AR	building	-68.3	-54.8	2020/04/04
Zacoalco de Torres	MX	average	-103.5687	20.22816	2014/03/14
Carnaxide	PT	excellent	-9.24671	38.72706	17 Feb 2019
Vestavia Hills	US	average	-86.78777	33.44872	2014-06-12
Brierley Hill	GB	good	-2.12139	52.48173	2017-10-25
Ngemplak	ID	good	110.71639	-7.54972	27 Jul 2017
Rafiganj	IN	excellent	84.63445	24.81757	09/30/2018, 00:00:00
Chiguayante	CL	maintenance	-73.02841	-36.9256	2020/11/27
Westbury	GB	accep	-2.1875	51.26	2019/06/02
Wittenau	DE	accep	13.32127	52.59319	14 Mar 2015
Rafiganj	IN	accep	84.63445	24.81757	05/28/2020, 00:00:00
Pilar	PH	building	120.56528	14.66	05/20/2020, 00:00:00
Sremska Mitrovica	RS	excellent	19.61222	44.97639	19 Sep 2014
Tver	RU	average	35.90057	56.85836	2017/11/15
Voznesensk	UA	average	31.33078	47.56494	08/25/2013, 00:00:00
Sydney	CA	average	-60.1831	46.1351	2020/06/10
Lons-le-Saunier	FR	building	5.55575	46.67535	2015-02-07
Lutz	US	building	-82.46148	28.15112	2016/07/29
Poulton-le-Fylde	GB	building	-2.98333	53.83333	2016-09-25
Altamira	BR	good	-52.20639	-3.20333	12/09/2015, 00:00:00
Mitry-Mory	FR	excellent	2.61667	48.98333	08/21/2015, 00:00:00
Paoy Paet	KH	accep	102.56365	13.65805	11/22/2013, 00:00:00
Lodwar	KE	average	35.59642	3.11988	08/15/2022, 00:00:00
Ponta Delgada	PT	maintenance	-25.66689	37.74615	15 Sep 2020
Fontenay-aux-Roses	FR	average	2.29275	48.79325	02/28/2016, 00:00:00
Bang Ban	TH	maintenance	100.48528	14.37395	2015/07/13
Perugia	IT	good	12.38878	43.1122	12/14/2014, 00:00:00
Pottstown	US	excellent	-75.64963	40.24537	02/20/2015, 00:00:00
Eppingen	DE	excellent	8.91229	49.13645	09/07/2018, 00:00:00
Neuburg an der Donau	DE	accep	11.18709	48.73218	03/03/2013, 00:00:00
Kashipur	IN	average	78.95693	29.21399	2014-08-07
Kushtia	BD	average	89.11943	23.9028	2016/04/07
La Garenne-Colombes	FR	accep	2.2469	48.90472	2020-12-03
Zhuangyuan	CN	good	120.82747	37.30553	2015/03/01
Karben	DE	average	8.77155	50.23019	2013/03/22
Dumont	US	average	-73.99681	40.94065	05 May 2015
Most	CZ	average	13.63617	50.50301	2014-01-08
Jaruco	CU	good	-82.00919	23.04419	2019/07/27
Cowes	GB	good	-1.29772	50.76306	2015/11/15
Bisceglie	IT	excellent	16.50104	41.24264	15 Aug 2013
Claremont	US	excellent	-117.71978	34.09668	2016-10-07
Burscheid	DE	good	7.11393	51.08468	01/08/2020, 00:00:00
Esmeraldas	BR	accep	-44.31389	-19.7625	03/14/2013, 00:00:00
Ambatondrazaka	MG	excellent	48.41667	-17.83333	2020/03/03
Marau	BR	excellent	-52.2	-28.44917	2019-07-23
Jersey City	US	maintenance	-74.07764	40.72816	30 Jan 2019
Shreveport	US	average	-93.75018	32.52515	02/22/2020, 00:00:00
Stupino	RU	good	38.07083	54.90083	2019-12-22
Wacheng	CN	maintenance	114.51667	33.78333	2019-12-10
