code	QoS	location	latitude	longitude	revision
DE	accep	Europe/Berlin	52.21099	7.02238	12 Feb 2017
US	average	America/New_York	39.08367	-84.50855	2022-05-25
DE	excellent	Europe/Berlin	49.97704	9.15214	05/14/2021, 00:00:00
BR	accep	America/Sao_Paulo	-22.57306	-47.1725	2018-06-15
UA	excellent	Europe/Zaporozhye	49.41029	38.15035	2013-06-06
NG	accep	Africa/Lagos	10.61285	12.19458	28 Mar 2022
GB	average	Europe/London	51.40148	-1.32471	2017/08/14
JP	building	Asia/Tokyo	36.65	138.31667	01 Jan 2022
PK	average	Asia/Karachi	31.82539	72.54064	14 Mar 2016
ID	building	Asia/Jakarta	-7.01833	107.60389	30 Jul 2017
TR	good	Europe/Istanbul	37.05944	37.3825	2017-10-10
DE	average	Europe/Berlin	50.9803	11.32903	04/25/2018, 00:00:00
US	accep	America/Los_Angeles	33.76446	-117.79394	16 Jun 2015
CL	accep	America/Santiago	-33.59217	-70.6996	15 Sep 2021
US	good	America/Chicago	41.6764	-91.58045	13 Oct 2015
JP	excellent	Asia/Tokyo	35.8	137.23333	08/25/2022, 00:00:00
DE	excellent	Europe/Berlin	48.78232	9.17702	20 Jan 2016
US	building	America/New_York	41.24255	-82.61573	2017-12-19
JP	good	Asia/Tokyo	41.77583	140.73667	2017/05/04
US	accep	America/Los_Angeles	34.63915	-120.45794	01/10/2015, 00:00:00
US	good	America/Chicago	41.80753	-87.65644	22 Jan 2020
CN	good	Asia/Shanghai	41.94175	123.50266	10/21/2013, 00:00:00
DE	excellent	Europe/Berlin	51.21667	6.26667	04/25/2017, 00:00:00
NG	good	Africa/Lagos	4.92675	6.26764	09/26/2022, 00:00:00
ES	building	Europe/Madrid	37.35813	-6.03731	20 Apr 2021
RU	average	Europe/Volgograd	50.06	43.2379	03/17/2014, 00:00:00
GB	good	Europe/London	50.82882	-0.32247	2012-11-15
FR	accep	Europe/Paris	48.98994	2.1699	2016-08-08
IR	good	Asia/Tehran	35.6803	51.0193	04/09/2018, 00:00:00
GB	good	Europe/London	50.76306	-1.29772	08 Oct 2014
PK	good	Asia/Karachi	27.52948	68.75915	13 May 2013
CU	accep	America/Havana	23.0072	-82.4017	11/25/2014, 00:00:00
ID	excellent	Asia/Makassar	3.31332	117.59152	2015-07-24
IT	accep	Europe/Rome	37.51803	15.00913	2013-07-17
MY	accep	Asia/Kuala_Lumpur	5.4709	100.24529	03 Feb 2019
US	excellent	America/Menominee	46.09273	-88.64235	11 Oct 2012
PL	excellent	Europe/Warsaw	50.20528	19.27498	10/31/2020, 00:00:00
US	accep	America/Chicago	44.27804	-88.27205	2016/03/02
US	good	Pacific/Honolulu	20.88953	-156.47432	2016-04-30
FR	building	Europe/Paris	48.79325	2.29275	09 Nov 2012
IT	excellent	Europe/Rome	45.50369	11.412	11/09/2021, 00:00:00
NG	excellent	Africa/Lagos	7.50251	5.06258	2017/06/20
US	maintenance	America/Denver	39.57582	-105.11221	11 Nov 2012
DZ	excellent	Africa/Algiers	35.06544	1.04945	08/25/2021, 00:00:00
IN	accep	Asia/Kolkata	28.92694	78.23456	13 Aug 2017
NG	accep	Africa/Lagos	11.86064	9.0027	2019/01/28
RU	excellent	Europe/Moscow	53.53041	43.67663	20 May 2021
US	excellent	America/Denver	39.72943	-104.83192	27 Feb 2021
FR	average	Europe/Paris	48.90472	2.2469	2019-06-20
FR	maintenance	Europe/Paris	48.8765	2.18967	2016-09-22
DE	excellent	Europe/Berlin	49.97704	9.15214	2020-09-30
DE	excellent	Europe/Berlin	48.28259	9.72749	2016-05-13
ID	average	Asia/Jakarta	-6.91806	106.92667	2018/03/05
TR	good	Europe/Istanbul	37.58105	29.26639	21 Dec 2012
ES	average	Europe/Madrid	37.49073	-2.77259	03 Jun 2022
DZ	good	Africa/Algiers	36.06386	4.62744	2021-10-01
SV	accep	America/El_Salvador	13.70167	-89.10944	04 Oct 2019
GB	building	Europe/London	51.39148	-0.29825	18 Jan 2013
IN	accep	Asia/Kolkata	22.4711	88.1453	06/24/2015, 00:00:00
GB	good	Europe/London	51.26	-2.1875	12 Mar 2021
PA	good	America/Panama	9.15093	-79.62098	2012/10/10
RU	accep	Europe/Moscow	46.7055	38.2739	10 Oct 2019
BR	excellent	America/Belem	-0.71667	-48.52333	18 Sep 2021
IN	excellent	Asia/Kolkata	25.87498	86.59611	2019/09/19
MX	excellent	America/Mexico_City	17.06542	-96.72365	2021-04-08
RU	accep	Europe/Moscow	44.98901	38.94324	10/08/2014, 00:00:00
PK	accep	Asia/Karachi	27.52948	68.75915	06 Apr 2013
IN	maintenance	Asia/Kolkata	11.12018	76.11996	2020/02/13
DE	accep	Europe/Berlin	51.47805	6.8625	2020/12/11
IT	excellent	Europe/Rome	45.79377	8.88104	12 Aug 2022
DE	good	Europe/Berlin	50.64336	7.2278	10/21/2019, 00:00:00
ES	building	Europe/Madrid	38.10558	-1.86343	08/05/2022, 00:00:00
HN	maintenance	America/Tegucigalpa	15.48131	-86.57415	2018-11-28
CN	maintenance	Asia/Shanghai	23.29549	113.82465	2019-08-25
RU	accep	Europe/Moscow	43.35071	46.10925	2016/09/22
CN	good	Asia/Shanghai	30.24706	115.04814	11/20/2016, 00:00:00
GB	building	Europe/London	52.41667	0.75	12/27/2020, 00:00:00
NE	good	Africa/Niamey	13.70727	9.15013	2014/02/18
NL	average	Europe/Amsterdam	52.26083	7.00417	2013-03-14
VE	accep	America/Caracas	9.91861	-68.30472	20 May 2017
ID	excellent	Asia/Jakarta	-7.0981	109.3243	18 Jan 2018
UA	average	Europe/Kiev	45.99194	29.41824	14 Jun 2021
CN	building	Asia/Shanghai	27.34089	117.4831	04/06/2018, 00:00:00
JP	average	Asia/Tokyo	35.06667	135.21667	04/04/2018, 00:00:00
IR	good	Asia/Tehran	36.64852	51.49621	2021-11-07
DE	maintenance	Europe/Berlin	50.23019	8.77155	2018-06-01
EG	excellent	Africa/Cairo	26.67319	31.4976	08/15/2020, 00:00:00
TH	average	Asia/Bangkok	15.79408	104.1451	31 Mar 2021
GB	accep	Europe/London	51.64316	-0.36053	2016-02-10
PL	building	Europe/Warsaw	50.5107	18.30056	15 Jul 2016
US	good	America/Chicago	41.72059	-87.70172	15 Feb 2018
FR	average	Europe/Paris	48	-4.1	04/16/2020, 00:00:00
MY	average	Asia/Kuala_Lumpur	2.2139	102.3278	2014/06/05
PK	accep	Asia/Karachi	32.57756	71.52847	24 Dec 2016
US	excellent	America/New_York	41.48199	-81.79819	2015/10/09
IN	good	Asia/Kolkata	18.51957	73.85535	2016-12-28
FR	average	Europe/Paris	43.67681	4.63031	2014-04-21
NG	accep	Africa/Lagos	6.45407	3.39467	2021-04-05
NL	average	Europe/Amsterdam	51.65333	5.2875	09 Aug 2016
BR	excellent	America/Sao_Paulo	-21.205	-41.88778	24 Sep 2013
UA	accep	Europe/Zaporozhye	47.48444	36.25361	02 Oct 2021
KZ	maintenance	Asia/Almaty	43.41949	77.0202	11 Feb 2020
CH	maitennce	Europe/Zurich	47.30997	8.52462	2021/08/21
IT	excellent	Europe/Rome	42.67164	14.01481	30 Jul 2015
UA	excellent	Europe/Zaporozhye	49.41029	38.15035	03 Sep 2022
IT	building	Europe/Rome	45.50369	11.412	2014-06-10
BY	excellent	Europe/Minsk	55.1904	30.2049	2016-10-28
RU	average	Europe/Moscow	55.63711	37.38115	2017-04-29
MX	maintenance	America/Mexico_City	17.94979	-94.91386	07/06/2015, 00:00:00
PR	building	America/Puerto_Rico	18.03496	-66.8499	2015-01-18
IN	average	Asia/Kolkata	26.11527	86.59509	2020-08-26
RU	excellent	Europe/Moscow	55.62047	37.49338	12/01/2017, 00:00:00
IT	excellent	Europe/Rome	45.50369	11.412	2016-05-25
GA	accep	Africa/Libreville	-1.63333	13.58357	2019-07-31
ES	excellent	Europe/Madrid	43.32686	-2.98884	2014-05-03
RU	average	Europe/Moscow	61.78491	34.34691	2017-10-25
GB	excellent	Europe/London	57.14369	-2.09814	10/17/2013, 00:00:00
DE	accep	Europe/Berlin	49.03685	8.70745	2013-12-17
US	good	America/New_York	41.0051	-73.78458	01/27/2022, 00:00:00
CN	average	Asia/Shanghai	38.40917	112.73333	2017/05/15
IN	building	Asia/Kolkata	28.71271	77.656	2020-07-07
GB	excellent	Europe/London	51.84819	1.26738	10 Jul 2020
BG	maintenance	Europe/Sofia	42.7	27.25	2018-08-09
US	average	America/Los_Angeles	38.17492	-122.2608	2018/08/09
US	good	America/New_York	40.60538	-73.75513	2018/10/23
DE	accep	Europe/Berlin	49.03685	8.70745	14 Oct 2014
GB	average	Europe/London	53.00974	-3.05814	02/12/2018, 00:00:00
BR	maintenance	America/Sao_Paulo	-21.41222	-42.19667	10/29/2018, 00:00:00
CM	excellent	Africa/Douala	4.96667	10.7	16 Nov 2020
US	maintenance	America/New_York	41.24255	-82.61573	2022-05-27
US	accep	America/Indiana/Indianapolis	41.75338	-86.11084	20 Oct 2017
RU	building	Europe/Moscow	55.39485	43.83992	06/17/2016, 00:00:00
BR	excellent	America/Maceio	-10.90889	-37.03861	15 Mar 2013
IT	good	Europe/Rome	45.53069	9.40531	2016-09-19
IT	good	Europe/Rome	40.87329	14.43865	12 Jun 2015
BR	average	America/Sao_Paulo	-19.32556	-41.25528	26 Oct 2021
MM	building	Asia/Yangon	14.0823	98.19151	03/03/2017, 00:00:00
FI	building	Europe/Helsinki	65.84811	24.14662	2019-03-25
DE	accep	Europe/Berlin	52.4581	13.28702	10/12/2013, 00:00:00
KG	excellent	Asia/Bishkek	40.93333	73	2016/04/20
GB	average	Europe/London	57.47908	-4.22398	12/15/2015, 00:00:00
IN	good	Asia/Kolkata	19.21667	73.08333	2020/08/15
PT	accep	Atlantic/Azores	37.74615	-25.66689	01/09/2016, 00:00:00
PA	excellent	America/Panama	8.88988	-79.62603	2017/03/13
MX	maintenance	America/Mexico_City	16.75973	-93.11308	15 Jul 2020
AU	building	Australia/Brisbane	-25.54073	152.70493	04 May 2021
PL	accep	Europe/Warsaw	50.20528	19.27498	2019/07/18
GM	maintenance	Africa/Banjul	13.56667	-15.6	25 Feb 2017
BR	excellent	America/Sao_Paulo	-21.42917	-45.94722	03/07/2014, 00:00:00
IN	average	Asia/Kolkata	16.06213	76.0586	02 Aug 2013
RU	maintenance	Europe/Moscow	42.819	47.1192	09/05/2020, 00:00:00
IT	accep	Europe/Rome	45.78071	12.84052	2012-10-17
RU	accep	Europe/Moscow	55.62047	37.49338	01/18/2017, 00:00:00
CN	maintenance	Asia/Shanghai	27.92333	118.53333	11/19/2014, 00:00:00
SK	excellent	Europe/Bratislava	48.43174	17.8031	2020/09/27
TH	average	Asia/Bangkok	13.44581	101.18445	2015-03-30
US	accep	America/New_York	39.32011	-76.51552	2014/03/24
IN	average	Asia/Kolkata	12.04161	75.35927	2021-06-22
BE	maintenance	Europe/Brussels	50.71229	4.52529	2017-12-07
US	good	America/Chicago	29.53885	-95.44744	2021/06/01
DE	maintenance	Europe/Berlin	50.09019	8.4493	31 Jul 2013
AR	excellent	America/Argentina/Cordoba	-31.25033	-61.4867	2022/08/24
US	good	America/New_York	33.08014	-83.2321	10/10/2017, 00:00:00
US	excellent	America/Los_Angeles	33.52253	-117.70755	30 Sep 2017
NZ	average	Pacific/Auckland	-44.39672	171.25364	2020/08/28
DE	accep	Europe/Berlin	50.23019	8.77155	04/11/2020, 00:00:00
RU	excellent	Europe/Moscow	53.53395	33.72798	2016-11-15
US	excellent	America/Chicago	34.25807	-88.70464	10/07/2019, 00:00:00
ID	average	Asia/Jakarta	-1.6	103.61667	05/27/2021, 00:00:00
UZ	excellent	Asia/Samarkand	40.11583	67.84222	2016/05/19
CN	excellent	Asia/Shanghai	32.50611	120.14278	2017/07/17
US	accep	America/Denver	39.72943	-104.83192	2014/10/29
US	average	America/New_York	38.91817	-78.19444	2017-07-16
UA	excellent	Europe/Kiev	49.65186	26.97253	2022/06/29
ID	accep	Asia/Jakarta	-6.8048	110.8405	2016/11/09
DE	accep	Europe/Berlin	48.73218	11.18709	2016-11-01
BA	average	Europe/Sarajevo	44.75874	19.21437	04 Jul 2015
NG	good	Africa/Lagos	4.92675	6.26764	2019/09/25
RU	average	Asia/Yekaterinburg	56.9083	60.8019	04 Feb 2022
GB	average	Europe/London	51.38673	0.30367	2014/06/29
FR	average	Europe/Paris	43.32393	5.4584	2015-06-07
JP	excellent	Asia/Tokyo	37.56667	140.11667	2015-05-28
FR	accep	Europe/Paris	48.8765	2.18967	2020-03-17
BR	good	America/Sao_Paulo	-22.92306	-53.13722	2021/11/16
FR	maintenance	Europe/Paris	43.2907	5.4384	2019/04/16
CA	good	America/Glace_Bay	46.1351	-60.1831	28 May 2017
HR	maintenance	Europe/Zagreb	43.50891	16.43915	2021-11-15
RS	average	Europe/Belgrade	44.97639	19.61222	2022-04-10
US	average	America/Chicago	34.25807	-88.70464	02/28/2020, 00:00:00
MK	excellent	Europe/Skopje	41.92361	20.91361	03/02/2018, 00:00:00
GB	good	Europe/London	51.64316	-0.36053	01/17/2022, 00:00:00
US	building	America/New_York	41.50343	-74.01042	15 Oct 2018
NG	average	Africa/Lagos	4.92675	6.26764	2015/01/11
JP	average	Asia/Tokyo	33.4425	129.96972	2013-03-27
SE	building	Europe/Stockholm	61.72744	17.10558	24 Feb 2016
US	excellent	America/Chicago	44.73941	-93.12577	2016/12/07
DE	good	Europe/Berlin	49.68369	8.61839	2018-11-21
IT	good	Europe/Rome	40.87363	14.34085	2013-07-17
US	excellent	America/Chicago	33.45122	-86.99666	04/16/2020, 00:00:00
FR	average	Europe/Paris	43.61092	3.87723	14 May 2018
CU	accep	America/Havana	22.98212	-80.58556	01/10/2022, 00:00:00
FR	average	Europe/Paris	45.69558	4.7934	10/27/2018, 00:00:00
GB	average	Europe/London	53.19146	-2.52398	01/26/2014, 00:00:00
TR	excellent	Europe/Istanbul	39.12074	27.18052	2014-07-09
TN	average	Africa/Tunis	35.72917	10.58082	11/18/2020, 00:00:00
JP	maintenance	Asia/Tokyo	34.4833	136.84186	05 Jan 2016
ES	good	Europe/Madrid	43.32686	-2.98884	24 Jan 2019
BR	accep	America/Fortaleza	-4.16694	-40.7475	2016/05/15
RU	average	Asia/Novokuznetsk	55.8736	85.4265	03/06/2021, 00:00:00
US	excellent	America/New_York	40.24537	-75.64963	2020/02/12
CO	average	America/Bogota	10.98778	-74.95472	22 Apr 2014
BR	average	America/Sao_Paulo	-22.97056	-46.99583	04 Aug 2016
DZ	good	Africa/Algiers	36.76775	2.95924	20 Nov 2019
RU	excellent	Europe/Moscow	64.5635	39.8302	10/17/2020, 00:00:00
JP	accep	Asia/Tokyo	34.81667	137.4	21 May 2022
DE	average	Europe/Berlin	48.78232	9.17702	2018-07-09
US	average	America/New_York	33.98154	-81.23621	21 Jul 2014
RU	accep	Europe/Moscow	53.77166	38.12408	2013-07-20
PG	accep	Pacific/Port_Moresby	-5.85746	144.23058	2019-06-14
RU	excellent	Europe/Moscow	61.78491	34.34691	2016-08-24
US	maintenance	America/New_York	40.24537	-75.64963	2019/12/05
JP	maintenance	Asia/Tokyo	34.81667	137.4	2014/01/16
MX	average	America/Mexico_City	19.8173	-97.35992	2017/11/17
IQ	maintenance	Asia/Baghdad	32.61603	44.02488	10 Jan 2016
DE	average	Europe/Berlin	52.47774	10.5511	06/20/2021, 00:00:00
NL	good	Europe/Amsterdam	52.31333	6.92917	11/09/2016, 00:00:00
BW	average	Africa/Gaborone	-21.44236	27.46153	09 Jun 2015
PK	average	Asia/Karachi	31.82539	72.54064	2015-05-21
US	good	America/New_York	26.68451	-80.66756	28 Jan 2015
UA	good	Europe/Kiev	49.07866	30.96755	01 May 2016
CN	average	Asia/Shanghai	37.30553	120.82747	2017-09-14
US	building	America/Chicago	32.44874	-99.73314	2019/03/03
DE	average	Europe/Berlin	49.03685	8.70745	04/22/2015, 00:00:00
US	accep	America/Chicago	44.27804	-88.27205	12/22/2020, 00:00:00
IN	good	Asia/Kolkata	11.00599	77.5609	25 Feb 2017
TW	excellent	Asia/Taipei	23.5654	119.58627	09/24/2019, 00:00:00
UY	excellent	America/Montevideo	-33.38056	-56.52361	05/07/2015, 00:00:00
IN	average	Asia/Kolkata	11.00599	77.5609	2015-02-26
US	building	America/Denver	32.42067	-104.22884	2022/08/02
IN	excellent	Asia/Kolkata	25.49043	85.94001	2022-09-01
IN	excellent	Asia/Kolkata	22.10194	85.37752	12/16/2019, 00:00:00
GH	average	Africa/Accra	6.46346	-2.31938	11/20/2012, 00:00:00
DE	average	Europe/Berlin	53.94313	10.30215	2015-04-10
IT	building	Europe/Rome	40.53123	17.58522	2016/08/14
US	building	America/Los_Angeles	38.17492	-122.2608	10/25/2017, 00:00:00
DE	accep	Europe/Berlin	48.21644	9.02596	2015/07/27
RU	accep	Asia/Yekaterinburg	58.04254	65.27258	05/05/2015, 00:00:00
SY	average	Asia/Damascus	34.5624	38.28402	20 Nov 2015
US	average	America/New_York	40.67705	-73.89125	2013-06-14
CN	average	Asia/Shanghai	37.30553	120.82747	2019/04/02
US	good	America/New_York	39.71734	-74.96933	02/29/2020, 00:00:00
CI	good	Africa/Abidjan	5.27247	-3.59625	27 Dec 2017
IN	maintenance	Asia/Kolkata	11.12018	76.11996	09/24/2021, 00:00:00
TL	accep	Asia/Dili	-8.99167	125.21972	22 Jul 2016
AU	accep	Australia/Melbourne	-38.16604	145.13643	2014/10/23
RU	excellent	Asia/Yekaterinburg	54.48147	53.47103	2018-02-04
IN	average	Asia/Kolkata	25.92493	73.66633	04/13/2016, 00:00:00
CN	excellent	Asia/Shanghai	37.19723	122.05228	2018/06/01
BR	average	America/Sao_Paulo	-22.92306	-53.13722	28 Sep 2015
GH	excellent	Africa/Accra	7.06273	-1.4001	09/19/2015, 00:00:00
UA	good	Europe/Zaporozhye	49.41029	38.15035	2014-01-08
ES	average	Europe/Madrid	42.64685	-5.55835	08/29/2022, 00:00:00
UZ	building	Asia/Tashkent	40.78206	72.34424	2014-03-24
CN	average	Asia/Shanghai	32.54278	111.50861	07/03/2019, 00:00:00
DE	good	Europe/Berlin	51.04962	12.1369	23 Nov 2018
NL	maintenance	Europe/Amsterdam	51.95838	4.47124	2016-02-02
IN	good	Asia/Kolkata	30.81383	75.16878	2021-10-03
IN	excellent	Asia/Kolkata	21.34222	71.30633	2014-10-12
US	maintenance	America/Chicago	39.09112	-94.41551	26 Oct 2013
US	excellent	America/New_York	43.61062	-72.97261	22 Sep 2022
CN	excellent	Asia/Urumqi	46.51872	86.00214	2016/09/03
JP	good	Asia/Tokyo	35.48199	137.02166	16 Aug 2014
BG	average	Europe/Sofia	42.7	27.25	09/06/2020, 00:00:00
US	average	America/Denver	39.57582	-105.11221	11/24/2017, 00:00:00
IN	building	Asia/Kolkata	30.81383	75.16878	18 Oct 2015
ZA	maintenance	Africa/Johannesburg	-26.93366	29.24152	2013-08-17
US	excellent	America/New_York	42.35843	-71.05977	26 Aug 2019
BR	accep	America/Fortaleza	-4.16694	-40.7475	12/17/2016, 00:00:00
RU	accep	Europe/Moscow	59.80917	30.38167	08/14/2018, 00:00:00
BR	excellent	America/Sao_Paulo	-22.53722	-42.98194	04/11/2014, 00:00:00
IN	good	Asia/Kolkata	18.51957	73.85535	2016-05-22
US	good	America/Chicago	31.84568	-102.36764	28 Sep 2020
MX	building	America/Mexico_City	19.8173	-97.35992	2020-10-06
GB	good	Europe/London	53.83333	-2.98333	12 May 2015
GB	excellent	Europe/London	53.69786	-2.68758	2021/08/23
GB	average	Europe/London	53.81667	-3.05	2018-08-11
FR	building	Europe/Paris	48.8222	2.12213	17 Apr 2020
JP	excellent	Asia/Tokyo	36	139.55722	27 May 2022
BR	accep	America/Sao_Paulo	-22.92306	-53.13722	2022/01/27
IT	accep	Europe/Rome	40.53123	17.58522	01/19/2018, 00:00:00
ID	good	Asia/Makassar	3.31332	117.59152	18 Dec 2013
BR	maintenance	America/Sao_Paulo	-29.2975	-51.50361	31 Dec 2014
AU	maintenance	Australia/Sydney	-33.79176	151.08057	2018/09/12
JP	building	Asia/Tokyo	35.815	139.6853	2019/05/24
PH	building	Asia/Manila	15.72892	120.57224	2020-02-15
ES	excellent	Europe/Madrid	39.96348	-4.83076	10/09/2012, 00:00:00
GB	accep	Europe/London	53.00974	-3.05814	2013/05/02
DE	accep	Europe/Berlin	54.52156	9.5586	2017-12-14
IN	maitennce	Asia/Kolkata	10.10649	76.35484	2016-09-15
US	excellent	America/New_York	39.71734	-74.96933	09/28/2021, 00:00:00
PK	maintenance	Asia/Karachi	25.80565	68.49143	20 Nov 2016
DZ	maintenance	Africa/Algiers	36.76775	2.95924	2013/10/14
US	good	America/Chicago	44.27804	-88.27205	2022/01/16
CN	excellent	Asia/Shanghai	30.35028	112.19028	14 Aug 2022
FR	excellent	Europe/Paris	48.98994	2.1699	25 Oct 2017
CH	accep	Europe/Zurich	47.30997	8.52462	2022/05/18
LK	accep	Asia/Colombo	6.9909	79.883	2016-03-31
KH	excellent	Asia/Phnom_Penh	13.65805	102.56365	2014-10-06
DE	average	Europe/Berlin	54.52156	9.5586	2018/08/22
FR	average	Europe/Paris	43.83125	5.03586	08 Oct 2016
JP	average	Asia/Tokyo	39.46667	141.95	06 Jan 2013
BE	excellent	Europe/Brussels	51.24197	4.82313	2021-08-05
AU	average	Australia/Melbourne	-37.9	145.18333	01/31/2013, 00:00:00
RU	good	Europe/Moscow	54.84444	38.16694	2018/09/20
IN	average	Asia/Kolkata	27.9247	78.40102	11/20/2016, 00:00:00
CA	good	America/Edmonton	53.51684	-113.3187	2019-09-17
AT	building	Europe/Vienna	47.05	15.46667	09/12/2014, 00:00:00
US	good	America/Boise	43.54072	-116.56346	07/22/2021, 00:00:00
PE	building	America/Lima	-15.21194	-75.11028	2021-02-09
IN	excellent	Asia/Kolkata	32.55531	76.12647	01/06/2016, 00:00:00
RU	good	Europe/Moscow	43.35071	46.10925	2012-11-18
RU	good	Asia/Yekaterinburg	51.4781	57.3552	03 May 2014
RU	accep	Asia/Krasnoyarsk	58.23583	92.48278	2019/06/25
RU	good	Europe/Moscow	53.77166	38.12408	11/04/2019, 00:00:00
CN	accep	Asia/Shanghai	32.54278	111.50861	2019/08/16
SO	excellent	Africa/Mogadishu	-0.35817	42.54536	13 Dec 2018
IN	average	Asia/Kolkata	25.49043	85.94001	19 Nov 2012
RU	maintenance	Europe/Moscow	54.84444	38.16694	01/12/2022, 00:00:00
RU	accep	Asia/Yekaterinburg	58.63667	59.80222	2017-10-02
IT	good	Europe/Rome	37.31065	13.57661	2015/04/08
DE	average	Europe/Berlin	48.28259	9.72749	2022-01-25
DE	good	Europe/Berlin	48.78232	9.17702	2017-07-09
NG	good	Africa/Lagos	6.45407	3.39467	2020/05/07
CN	maintenance	Asia/Shanghai	34.65918	109.22921	2018-09-15
DE	average	Europe/Berlin	48.52961	12.16179	2012-10-06
TH	good	Asia/Bangkok	13.44581	101.18445	08 Dec 2018
BR	accep	America/Recife	-8.66667	-35.71667	2012-12-09
CN	average	Asia/Shanghai	34.86472	117.55417	04 Oct 2016
RU	accep	Asia/Yakutsk	65.93381	111.4834	2017/04/25
IN	accep	Asia/Kolkata	14.46693	75.92694	2017-05-04
GB	good	Europe/London	51.78967	1.15597	28 Apr 2015
HT	building	America/Port-au-Prince	18.57677	-72.22625	2012-09-27
US	excellent	America/Chicago	40.56754	-89.64066	2013/06/28
US	accep	America/Denver	32.42067	-104.22884	26 Oct 2018
IT	maintenance	Europe/Rome	42.22718	14.39024	2013-01-24
TN	average	Africa/Tunis	36.08497	9.37082	10 Feb 2017
UG	excellent	Africa/Kampala	3.27833	32.88667	08/26/2015, 00:00:00
IT	good	Europe/Rome	45.39402	9.29109	18 Dec 2012
BE	excellent	Europe/Brussels	50.56149	4.69889	2014/11/27
ES	good	Europe/Madrid	38.10558	-1.86343	12 Oct 2013
IN	average	Asia/Kolkata	25.92493	73.66633	2015/03/30
RU	accep	Asia/Yekaterinburg	58.04254	65.27258	05 Jul 2018
FR	accep	Europe/Paris	45.69558	4.7934	10/22/2015, 00:00:00
US	maintenance	America/New_York	41.55815	-73.0515	22 Oct 2020
UA	excellent	Europe/Zaporozhye	47.48444	36.25361	2015/02/14
