SO2	latitude	PM2.5	PRES	NOx	O3	NH3	warning	Pb	CH4	CO	TEMP	CFCs	C2H3NO5	longitude	PM10	H2CO	PAHs
9.41175	36.75965	7.20744	1136.87105	9.19280	7.60496	7.60070	1.00000		6.26329	6.03394	9.04899	80.37453	0.07979	137.36215	7.43528	63.48172	8.50870
9.07262	8.88649	4.33993	1105.81146	7.92286	7.34891	6.86489	1.00000	60.37902	7.69395	6.79917	10.33235	56.14158	0.08400	2.59753	7.51152	42.20637	7.02751
8.26606	25.6439	12.60014	1147.09219	9.11489	8.91376	7.10695	0.00000	31.08995	5.92985	7.53273	18.38968	43.82378	0.07879	77.9129	7.57115	62.45894	8.66152
10.96211	45.44694	5.98053	1107.70189	8.50133	4.70111	8.86818	1.00000	43.58556	8.09432	8.14236	24.20848	44.26150	0.05808	8.62118	6.19961	55.71258	5.51774
6.09498	50.80904	6.13299	1096.99299	6.03218	7.10110	8.53101	0.00000	63.24832	8.58328	8.90900	12.55272	51.23924	0.37147	8.77069	9.55852	53.92011	8.31579
5.89399	57.14369	10.06393	1149.89493	7.63185	8.21178	7.72611	0.00000	41.93427	7.91292	10.86072	10.47295	41.01952	0.96297	-2.09814	10.58429	25.02030	5.52820
11.33972	23.18	6.61042	1104.28601	8.42254	5.54476	9.63392	1.00000	37.80149	6.61895	8.66848	17.13710	25.44194	0.11179	88.58	8.00104	63.26458	7.93854
8.11269	36.81667	8.62764	1053.16957	8.46856	7.28297	9.19321	0.00000	46.09700	5.65445	8.17402	17.02008	60.96982	0.05328	117.81667	6.35392	58.83551	7.89356
7.59300	13.56667	6.29829	1050.25050	8.29223	6.35761	9.09490	0.00000	40.57007	8.21724	12.57724	20.45720	64.75860	0.06344	-15.6	6.97218	58.70991	8.35059
10.27160	56.56317	6.05510	1163.77330	7.60675	5.63063	8.98670	1.00000	54.08206	8.35991	8.53760	18.17350	40.78222	0.44525	-2.58736	9.77336	46.26639	8.82492
8.56855	-3.5403	8.86733	1099.57041	8.52637	6.17996	6.98502	1.00000	33.71448	9.95522	6.29916	25.48445	31.68860	0.03495	118.9707	3.72266	62.50626	11.42592
9.85027	53.16167	6.54731	1101.99551	6.74239	8.04890	6.83221	1.00000	30.80561	8.26839	7.16698	23.27022	54.45855	0.06538	6.76111	7.21144	57.72479	9.02378
8.50664	32.5007	4.74390	1185.33101	7.84545	5.64955	6.85237	1.00000	42.13370	8.44353	5.11252	16.06155	22.66961	0.06637	-94.74049	7.22899	52.67229	4.98505
10.31961	39.96348	7.55590	1169.73743	8.50256	7.27652	8.85176	1.00000	48.51881	8.07274	7.18653	23.46040	44.58632	0.04268	-4.83076	7.00316	50.92211	9.42630
7.26886	43.2907	11.99621	1082.50370	7.50880	8.57973	7.38600	0.00000	54.57238	6.63935	8.82490	7.16270	54.51024	0.92056	5.4384	10.51618	42.92344	6.27709
7.75955	0.51667	6.47938	1151.04481	10.08989	6.94027	6.54340	1.00000	45.23986	10.24078	4.71746	38.51710	43.86362	0.03039	101.44167	5.18991	63.12782	9.45949
8.71417	45.50369	5.23060	1150.59106	7.53323	8.51194	7.59067	1.00000	19.14045	6.60711	4.88157	27.00559	59.75810	0.04866	11.412	6.44870	54.53098	7.20776
9.45752	28.90054	6.72434	1061.07477	7.95229	6.03594	6.81553	1.00000	39.52686	7.71317	8.96325	10.42008	52.25148	0.14182	-81.26367	8.33841	64.78722	10.31558
9.61012	14.14989	7.47717	1102.49274	8.38332	6.19711	8.70995	1.00000	52.15184	7.44487	6.55921	0.98351	39.98690	0.03725	121.3152	5.32588	42.18330	8.94012
5.74626	26.91756	4.99226	1166.42992	9.24258	5.41401	8.96937	0.00000	55.63838	7.61992	8.34332	14.71538	67.67522	1.18459	-82.07842	10.80102	33.61040	5.49303
9.04341	51.88333	6.98352	1141.92626	7.55859	4.42404	7.77802	1.00000	49.44258	8.53788	7.44549	12.71981	32.38684	0.27547	8.51667	9.13517	54.76121	9.90237
6.39378	34.09611	6.14090	1196.28082	7.99253	6.83326	8.22616	0.00000	33.66511	7.16039	9.41121	1.36014	26.65030	0.22336	-118.10583	9.06639	44.37868	8.91593
9.93972	12.97389	5.68447	1152.39269	8.08328	4.56946	7.57896	1.00000	31.08601	7.05170	7.55081	16.62338	74.74041	0.05947	123.99333	6.39125	42.63591	6.73669
5.65321	40.82232	5.69104	1077.23676	8.28614	7.63090	9.53107	0.00000	27.60481	9.65686	8.56723	7.76042	46.24709	0.60633	-74.15987	10.10572	30.90751	8.65816
8.43862	41.55947	10.44861	1126.90397	7.49846	7.06675	7.46525	0.00000	40.34700	6.73450	7.07185	7.85985	51.68923	0.17940	14.66737	8.70539	53.61929	8.40476
6.70942	-10.91722	5.76554	1122.03463	8.94552	5.62162	8.10449	1.00000	38.96496	9.11360	4.99456	3.09635	43.93839	0.06669	-37.65	5.55054	53.56709	9.01396
10.76563	35.82756	7.27304	1062.37360	8.66937	6.19671	5.62718	1.00000	32.33199	8.07896	7.52996	9.50776	40.57180		137.95378	5.90415	45.92268	8.90004
10.30333	42.28639	6.81232	1190.23134	8.02030	7.43510	7.99563	1.00000	58.31379	7.95362	7.30935	13.18867	74.33961	0.07579	18.84	6.86291	69.65279	9.03983
8.60570	52.4581	8.81221	1098.64241	8.61916	4.91331	8.54376	0.00000	34.37129	6.84265	7.70313	13.12825	29.33355	0.08308	13.28702	7.68635	82.71834	8.94762
7.36857	16.68911	5.72507	1145.35653	8.06347	6.87232	7.51551	0.00000	37.36685	8.09046	10.42598	3.97189	43.41844	0.15268	98.50893	8.51585	64.67775	10.93555
7.96449	32.54044	6.37366	1081.07235	7.27965	8.48000	8.97565	1.00000	53.97190	6.62562	2.85414	-3.06392	55.59104	0.04195	-82.90375	4.81539	60.49604	9.00103
8.25713	30.21121	11.75390	1084.61906	7.03648	7.78174	8.35283	1.00000	22.52654	6.77800	5.03524	-2.04778	45.17322	0.10247	74.4818	8.10566	41.10165	7.35614
11.54620	49.97704	7.59680	1111.06301	7.10673	6.90255	7.40387	1.00000	52.31834	6.28082	7.84881	29.84483	48.32932	0.04866	9.15214	6.25304	44.36331	9.31050
10.44070	51.40148	6.37220	1171.72150	7.13114	6.40912	8.19744	1.00000	35.07960	7.25585	5.44348	7.53694	73.76983	0.11502	-1.32471	8.09263	61.21968	7.52659
	50.71229	6.93150	1132.96591	7.54535	7.01937	6.72613	1.00000	33.96811	6.21443	7.04795	30.63014	71.81805	0.04687	4.52529	6.09534	52.35755	6.02359
9.45255	47.4943	11.17279	1096.56822	7.40669	6.51896	8.07820	0.00000	54.02667	8.87507	4.47122	16.02388	38.73222	0.12415	-122.24092	8.28396	54.54654	8.73298
5.81293	48.35149	10.67202	1114.26299	8.47622	7.88510	8.03768	0.00000	53.90453	7.57310	9.27599	17.84400	38.26982	0.41256	8.96317	9.66037	42.54941	5.33812
9.61223	-34.28853	7.41432	1050.78282	7.46103	5.47984	8.98178	1.00000	64.18820	8.69546	7.57689	13.44565	40.92730	0.10541	146.05093	7.82411	39.89645	10.02501
10.09916	50.18545	8.25515	1100.14870	8.59051	4.88238	7.89411	1.00000	59.52226	9.43645	8.32270	10.55615	49.82020	0.02230	27.06365	4.10484	53.27214	9.52818
7.22379	42.7	5.89100	1178.95990	10.09305	6.27289	6.09668	0.00000	44.58966	9.04151	11.55588	2.14992	56.49097	0.22310	27.25	9.04342	42.18055	10.01428
7.14185	29.53885	8.21773	1106.48145	7.78207	4.19110	5.68949	0.00000	64.47102	10.04874	11.18825	22.88115	62.58642	0.18042	-95.44744	8.77679	59.51909	6.92576
7.71528	41.75338	6.24995	1171.19695	7.49973	7.96210	7.96748	0.00000	28.97951	9.68269	6.46426	12.34603	63.54484	0.75322	-86.11084	10.31585	56.43401	9.84409
9.98417	51.64316	7.19840	1082.95028	7.69943	7.03054	7.62233	1.00000	26.16025	8.36025	7.12740	9.29325	68.18552	0.03560	-0.36053	6.05110	39.60681	9.91733
7.55826	-6.8048	9.14431	1183.54431	7.39709	5.88749	7.61393	0.00000	37.04757	6.88276	9.21624	11.38333	66.56810	0.22348	110.8405	8.98264	32.73701	7.49305
8.68234	-10.90889	5.64987	1167.76997	8.46678	4.37597	9.38841	1.00000	62.65485	7.48047	7.88339	28.16434	48.51910	0.04023	-37.03861	6.02456	59.93391	6.46435
7.50060	48.28259	7.82280	1168.83607	6.76578	6.38863	9.06815	0.00000	50.53460	8.46012	7.73527	40.86753	26.89207	0.09984	9.72749	8.02527	41.08228	8.41164
9.56729	11.86064	6.34771	1131.24261	7.20231	6.37858	7.25822	0.00000	43.27865	6.43117	5.12661	16.20721	63.72128	0.09413	9.0027	7.91283	74.51756	6.05270
10.76934	32.5007	8.47048	1185.62336	9.03449	8.63418	7.04952	1.00000	40.19762	8.47101	4.87152	20.63324	68.25805	0.17276	-94.74049	8.64832	40.38098	6.79906
5.27244	41.0051	7.95510	1187.58490	9.82378	5.48792	7.50328	0.00000	60.44064	7.04714	10.37035	27.65989	70.59406	0.43571	-73.78458	9.71916	51.88821	9.92271
8.77433	33.08014	8.22896	1159.24285	8.58199	7.25859	7.82644	1.00000	46.14098	7.49729	6.87662	28.42883	44.13261	0.05736	-83.2321	7.30054	57.67907	9.25013
11.57577	23.07492	9.85920	1055.76096	6.98506	9.35194	7.97246	1.00000	37.07733	7.44048	3.49672	31.35733	34.98719	1.12192	88.28637	10.74067	42.02725	9.55277
8.60527	40.68066	5.55712	1063.57738	8.53891	5.92165	8.34174	1.00000	30.96616	9.87130	5.27090	17.76615	35.76320	0.07096	-73.47429	7.32795	36.85315	5.04060
5.65508	43.16547	7.00241	1189.52609	9.30721	7.97349	7.49464	1.00000	31.83420	6.47919	2.18388	24.86809	55.83818	0.05328	-77.70066	6.92449	67.73479	11.71229
6.70818	49.28669	8.23119	1085.50665	8.88896	5.93500	7.05891	0.00000	62.97305	8.63015	9.38606	0.20450	56.36522	0.84136	1.00288	10.44672	57.76924	6.07955
6.06451	11.00599	6.80294	1145.35028	8.59521	5.48606	8.33123	0.00000	43.17215	7.84477	11.01164	0.45436	61.46969	0.40200	77.5609	9.68940	55.14364	6.16304
7.55899	40.60538	7.25836	1057.41384	7.34620	6.28875	7.25587	0.00000	39.73299	8.87974	9.32787	-13.74086	54.21787	0.52406	-73.75513	9.94093	37.48339	8.82408
6.05327	48.98693	7.92839	1172.61327	7.70930	6.06232	6.64398	0.00000	46.87704	7.09041	10.19448	34.51998	49.96978	0.11442	2.44892	8.27348	59.30970	8.60289
10.20598	8.88649	8.41258	1060.23734	8.08548	10.89121	8.18405	1.00000	54.99014	7.84393	1.56601	33.60332	42.00007	0.93974	2.59753	10.54296	62.92111	7.00332
8.42978	50.82882	6.08259	1064.56376	7.76699	5.87494	7.08517	1.00000	20.21060	9.32788	7.89797	16.72553	59.10970	0.32590	-0.32247	9.44836	46.68799	
9.18829	33.52253	6.83052	1168.63201	8.23720	7.80098	8.61759	1.00000	51.68988	9.41419	6.59658	18.96712	76.73596	0.04676	-117.70755	6.22559	61.21133	6.30678
10.40246	40.67705	6.58507	1081.25289	8.37793	6.10401	8.18992	1.00000	37.93094	8.04428	7.00072	13.67384	57.10330	0.06998	-73.89125	7.03039	51.52965	7.55921
9.18335	45.39402	5.44115	1092.80383	7.37735	3.95865	5.77194	1.00000	41.28459	9.08704	9.05998	17.78092	36.65581	0.03560	9.29109	5.27975	58.26925	7.38065
3.75848	46.09273	6.23731	1130.10554	8.95235	4.81142	7.45086	0.00000	65.40486	8.43288	11.16487	23.15445	66.41171	12.71675	-88.64235	13.19040	58.66537	9.01690
5.23256	31.76212	5.46885	1142.43659	7.71971	3.78205	7.20495	0.00000	64.57780	11.17302	9.16302	0.53508	21.68940	0.44537	-95.63079	9.77574	41.00882	5.34019
7.77554	33.92946	6.45770	1110.07145	7.92065	7.11472	7.69635	0.00000	30.20953	7.84068	10.93420	4.65037	62.30344	0.08834	-116.97725	7.85337	68.46113	9.20057
6.36222	41.57439	8.89370	1078.36474	6.61129	5.67628	7.39559	0.00000	45.98760	8.96762	9.27827	18.66486	22.98991	0.38981	24.71204	9.59951	30.13072	6.23483
8.80992	49.97704	9.76042	1174.84131	8.29368	7.46685	6.11831	0.00000	46.26758	7.86690	9.40366	10.74271	51.73115	0.08089	9.15214	7.78946	36.47892	9.89301
10.94912	24.81757	6.79927	1141.81613	8.97023	5.76486	8.18889	1.00000	18.36358	8.43395	6.28835	6.14889	36.07914	0.11965	84.63445	8.07929	42.68658	7.58363
5.97612	-8.28333	7.17470	1148.89329	8.88185	6.04052	6.78784	0.00000	35.04154	7.84089	10.79901	37.51345	62.29329	0.45663	-35.03333	9.79895	35.33753	6.18089
8.97363	51.42708	8.97932	1170.00260	9.00024	6.13022	8.52198	0.00000	42.98900	7.95264	6.61474	24.76853	64.50122	0.08918	-0.91979	7.91549	46.11929	9.73488
10.76502	35.95664	8.19372	1116.35133	8.55941	8.31130	8.07030	1.00000	37.19900	8.60052	5.96232	11.02643	58.40947	0.08455	36.7138	7.50232	46.80537	6.36219
10.39270	-6.8	6.75502	1140.90055	9.47599	8.06793	9.50302	0.00000	51.96380	5.71923	6.26247	21.36512	69.09263	0.05824	39.25	6.04557	54.34512	8.10362
7.60080	41.55947	4.86752	1072.91232	10.06571	5.43872	8.63697	1.00000	35.02203	8.92444	6.77028	12.27789	41.55700	0.03952	14.66737	5.54054	44.26452	5.00400
7.56399	6.9909	5.63810	1117.23121	7.19863	6.84754	7.39253	1.00000	62.42507	6.78160	8.68399	4.94341	32.69891	0.03126	79.883	3.37409	63.13419	3.87618
9.61445	55.75556	7.35136	1096.29785	8.27766	4.51076	5.98328	1.00000	57.45600	7.61323	7.15913	19.29556	41.92781	0.03379	60.70278	5.32579	28.85148	8.96490
9.38526	0.51667	6.41679	1172.71302	8.68304	8.06484	7.75434	1.00000	41.60550	7.74743	4.63623	22.13822	48.25010	0.04861	101.44167	4.02003	47.74762	7.91053
4.56479	40.68066	7.71713	1135.96097	8.04572	5.80128	9.14292	0.00000	32.44448	7.94449	11.45680	12.51090	45.24585	0.43649	-73.47429	9.70603	50.38112	8.08706
6.38208	51.65333	5.27840	1156.81779	6.22271	7.64421	8.36110	0.00000	46.10911	8.69848	10.19616	15.55337	49.15427	0.06674	5.2875	7.43910	66.65600	10.50886
4.64679	57.97472	6.90462	1065.13011	8.42047	5.63837	8.77366	0.00000	67.52877	7.44278	10.27852	14.10222	45.61430	0.67479	33.2525	10.21600	40.41058	8.91319
8.73328	-1.26753	5.56741	1124.61045	8.49868	4.64460	7.24142	1.00000	41.42638	7.87538	10.03398	13.17781	41.91363	0.01990	116.82887	3.78957	34.41779	6.52699
7.74395	37.73604	5.84793	1089.64249	7.71472	6.16457	8.29471	0.00000	31.40539	7.25286	12.88644	16.42939	32.82042	0.11399	-120.93549	7.91377	70.68015	7.86878
6.70875	8.88988	11.46627	1174.88270	9.91540	8.53369	7.56475	0.00000	51.95411	7.02569	10.06635	0.04616	82.72104	0.49399	-79.62603	9.88090	46.07287	6.32961
10.75083	56.9083	5.04859	1111.36000	7.38100	7.01146	8.34142	1.00000	51.74592	9.97768	6.57350	22.20194	50.56453	0.05909	60.8019	4.36050	61.50508	5.43516
8.88577	-22.97056	6.68974	1109.26740	6.16663	8.15353	8.14884	1.00000	36.78482	7.53833	6.89501	17.41993	48.05107	0.06736	-46.99583	5.37403	40.32162	5.17268
11.18939	43.4125	5.21614	1082.84761	8.64829	9.43866	9.26751	1.00000	55.25338	8.62188	6.68021	32.82407	47.24740	0.04026	23.225	5.55952	66.68868	6.19980
8.97214	31.76212	6.37765	1096.97396	7.91613	7.63547	7.80936	1.00000	39.71289	7.11970	5.95347	25.56860	51.35904	0.08266	-95.63079	7.63735	29.66876	9.61355
9.78173	34.06635	6.97585	1176.70327	8.07152	6.14391	8.71021	1.00000	29.69925	6.85654	6.39996	13.26817	49.52618	0.08381	-84.67837	7.72838	50.09461	8.23722
10.03742	37.73222	8.09071	1134.11151	7.23821	7.52734	9.10559	1.00000	57.12378	7.44955	7.30912	13.94777	70.80813	0.05253	115.70111	6.76014	34.61089	8.53303
10.09745	24.81757	5.35066	1151.05787	7.93037	3.54504	9.69572	1.00000	63.64840	9.32386	10.71602	-1.76675	33.50727	0.03298	84.63445	3.87633	59.26898	6.42099
7.37855	21.34222	7.71505	1166.13695	7.92511	5.77286	7.92772	0.00000	33.39063	8.09547	11.00993	33.44853	41.55524	0.50910	71.30633	9.87243	41.14413	9.02597
13.36210	39.22493	6.06247	1103.47065	7.56463	3.47379	9.07306	0.00000	76.55181	5.74514	4.27351	15.81492	62.29827	1.56758	42.85693	11.07448	62.26321	7.59397
7.02401	6.25947	7.15748	1058.48873	7.57765	6.33674	7.16100	1.00000		7.14866	5.21120	9.40383	37.04890	0.07692	102.05461	6.73394	29.68629	11.20785
13.67995	45.44694	6.35210	1076.07024	9.03589	4.10856	8.96428	1.00000	35.64667	7.59870	5.41188	15.05667	60.02156	0.49995	8.62118	9.88020	39.80164	6.89970
7.48239	31.39547	8.29083	1131.09020	7.35927	6.41666	6.66412	0.00000	32.29795	9.14711	9.55716	11.33322	38.52224	0.17796	34.75699	8.64838	60.43867	7.63394
8.56866	23.73333	5.63771	1181.38279	7.66712	6.40230	9.11736	1.00000	41.73362	7.29031	6.12833	24.62486	44.09026	0.05840	114.68333	6.91569	62.68342	8.68835
4.64018	15.72892	6.72131	1050.87887	8.28321	5.40677	8.13166	0.00000	57.31879	8.13599	11.12849	12.57999	59.66228	0.83183	120.57224	10.42086	70.73909	10.05267
8.29817	8.88649	5.92981	1161.30019	8.45656	6.16050	8.55242	1.00000	67.89196	8.00706	8.22336	23.33736	46.94979	0.03067	2.59753	4.80632	49.10385	5.82000
9.15985	51.44889	4.48612	1067.33778	9.87024	7.40316	9.73628	1.00000	49.60491	8.76058	5.62372	9.08746	57.79995	0.05041	5.51978	5.36852	42.12071	6.10361
11.52316	43.91452	6.61104	1167.77757	7.28020	6.86280	8.39689	0.00000	52.92117	8.32507	9.08797	14.74311	54.23421	0.09272	-69.96533		36.16561	8.71008
7.16840	-0.35817	4.21263	1056.43548	7.39516	6.70723	6.86170	1.00000	53.43259	8.15526	5.99595	14.32422	51.28802	0.32660	42.54536	9.45463	31.08687	8.47412
6.84139	40.87329	5.45899	1189.88590	10.66987	7.27520	8.02290	0.00000	40.67435	8.97988	8.86666	15.47352	68.52419	0.33894	14.43865	9.42331	54.65715	9.11133
8.58069	-25.54073	5.49698	1171.12711	7.97286	3.60143	7.89449	1.00000	46.20949	8.32288	7.63582	9.86474	71.95650	0.03045	152.70493	6.56539	35.16253	10.33674
8.89408	9.89206	7.99509	1076.70375	8.47436	8.35532	9.38556	1.00000	34.62029	8.59745	9.32063	28.66798	43.42221	0.03665	43.38531	4.33533	52.64894	7.97843
7.41560	35.88264	6.36416	1086.97475	7.38542	6.55317	7.95308	0.00000	51.22322	8.93610	9.69784	15.96705	52.28958	0.34281	-80.08199	9.52732	68.09892	8.06608
7.90918	39.33427	7.20973	1146.94162	7.92340	7.94589	7.60869	1.00000	27.90784	8.59821	9.15649	31.26093	36.99888	0.03506	-76.43941	3.99890	39.59513	7.37520
8.76901	7.62789	5.36650	1145.22584	7.08417	3.56813	9.16558	1.00000	44.55107	10.10846	10.92219	0.87565	30.55995	0.03672	4.74161	3.53401	51.94544	6.94965
9.41748	37.73222	7.23087	1081.97473	9.71470	7.16878	7.84985	0.00000	60.13871	7.58320	6.14447	17.80481	44.72231	0.08509	115.70111	7.76894	34.83183	10.14304
5.59548	47.83333	8.84750	1198.93559	6.99092	4.44375	7.09166	0.00000	61.08924	7.46572	10.38282	37.42989	75.90908	11.64508	59.6	13.10234	77.47469	10.80722
7.51785	30.17746	9.08037	1191.52723	9.47292	5.66256	8.62719	0.00000	76.73143	8.59283	9.16157	8.11541	57.18470	0.16460	-81.38758	8.69427	60.76676	7.81724
10.43897	13.56667	5.31942	1054.77411	8.92518	6.28979	8.83587	1.00000	72.69529	9.37829	8.69809	4.12605	54.79203	0.13973	-15.6	8.08298	45.52426	7.61640
10.57221	53.7446	6.26772	1176.31593	6.12932	7.06977	6.84362	1.00000	57.52648	7.61791	7.56101	23.07050	48.96479	0.05485	-0.33525	6.28666	63.96038	7.90875
5.72910	32.54278	10.26794	1095.74900	6.44003	6.85237	7.15717	0.00000	26.16209	9.03179	8.26764	18.11698	46.52355	1.47623	111.50861	11.02438	39.72452	4.27111
10.85549	30.76468	8.53836	1064.45922	7.15166	7.88257	7.34703	1.00000	38.44721	7.84698	4.71424	-0.93890	44.70924	0.30556	74.12286	9.34848	34.29554	7.58895
6.10947	41.75338	9.32775	1051.73860	8.64846	4.89798	7.33034	0.00000	63.74724	8.09928	10.95498	7.97356	61.29200	1.52111	-86.11084	11.05585	32.92887	6.81105
9.57773	10.66668	6.64060	1100.22997		5.71080	7.64608	1.00000	52.62527	7.01308	9.94669	27.85378	29.12969	0.02911	-61.51889	4.43561	32.52876	8.96736
8.51372	-38.16604	5.59995	1180.94964	7.77247	8.29937	8.70109	0.00000	61.72529	8.13581	9.08711	3.53553	54.72095	0.06586	145.13643	5.60409	62.85843	10.64024
8.52062	35.8	5.45818	1130.55703	7.20190	6.06432	8.00394		55.92641	8.47056	7.98522	10.41791	50.17406	0.03527	137.23333	4.85379	44.44087	5.91802
7.57149	-8.28333	6.42617	1050.71954	9.49686	9.53968	6.35122	1.00000	41.84025	8.34514	2.32931	7.35067	59.54595	0.16674	-35.03333	8.61834	33.53283	3.83884
