longitude	revision	QoS	code	station	latitude
133.42825	08 Nov 2012	good	RU	Lesozavodsk	45.47885
88.1453	2015/05/11	building	IN	Pujali	22.4711
2.45012	2014-03-26	good	FR	Bobigny	48.90982
-63.13414	11 Jun 2016	building	CA	Charlottetown	46.23899
32.86389	2021-04-07	good	RU	Roslavl’	53.95278
-94.74049	2021/10/02	average	US	Longview	32.5007
-35.03333	11/03/2014, 00:00:00	good	BR	Cabo	-8.28333
47.3799	2013/10/19	maintenance	IR	Darreh Shahr	33.14447
82.85749	06 Oct 2012	accep	IN	Elamanchili	17.54907
-74.96933	02/23/2019, 00:00:00	average	US	Sicklerville	39.71734
-3.59625	02/20/2017, 00:00:00	average	CI	Bonoua	5.27247
114.33333	05 Jul 2022	excellent	ID	Muncar	-8.43333
77.9129	13 Dec 2015	maintenance	IN	Narwar	25.6439
2.2469	10/06/2020, 00:00:00	excellent	FR	La Garenne-Colombes	48.90472
-82.42491	2020-09-01	average	US	Port Huron	42.97086
4.25633	01/12/2017, 00:00:00	average	BE	Beveren	51.21187
48.41667	2019/05/01	accep	MG	Ambatondrazaka	-17.83333
12.6723	2019-10-16	maintenance	IT	Ariccia	41.72063
-65.61427	12 Jan 2021	good	AR	Aguilares	-27.4338
11.412	2018/02/10	average	IT	Montecchio Maggiore-Alte Ceccato	45.50369
91.00632	04 Nov 2020	good	IN	Barpeta	26.32293
59.6	2013/08/11	building	KZ	Shalqar	47.83333
-75.60804	2020/07/05	maintenance	US	West Chester	39.96097
1.10687	2021/02/28	excellent	ES	Reus	41.15612
35.34722	2021/01/02	accep	MZ	Maxixe	-23.85972
19.91667	12/07/2012, 00:00:00	good	AO	Luena	-11.78333
-1.47217	2014/10/12	good	GB	Chapletown	53.46506
117.81667	26 Apr 2022	average	CN	Zhoucun	36.81667
-2.52398	2021/02/12	average	GB	Winsford	53.19146
117.55417	20 May 2019	average	CN	Zaozhuang	34.86472
-81.23621	24 Sep 2020	excellent	US	Lexington	33.98154
65.93249	2015-06-23	good	AF	Sar-e Pul	36.21544
73.08333	2014/12/06	good	IN	Dombivli	19.21667
121.96361	14 Mar 2016	accep	PH	Recodo	6.95194
45.36561	2021/03/31	good	AZ	Qazax	41.09246
151.07986	08 Jun 2015	accep	AU	Strathfield	-33.88096
37.55	23 Oct 2019	maintenance	ET	Arba Minch	6.03333
178.00417	2012-09-28	accep	NZ	Gisborne	-38.65333
1.15597	06/05/2022, 00:00:00	maintenance	GB	Clacton-on-Sea	51.78967
5.2875	30 Aug 2018	good	NL	Vught	51.65333
-77.43532	2018-10-04	good	CU	Media Luna	20.14298
-85.76942	2013/12/21	average	US	Greenfield	39.78504
71.30633	2018-04-18	accep	IN	Kundla	21.34222
-91.73625	03 Oct 2016	average	US	Searcy	35.25064
5.51978	16 Aug 2013	maintenance	NL	Tongelre	51.44889
-88.27205	10/19/2014, 00:00:00	accep	US	Kaukauna	44.27804
73.97117	2014-02-20	excellent	PK	Naushahra Virkan	31.96258
-72.22625	06 Aug 2022	good	HT	Croix-des-Bouquets	18.57677
1.15597	2012/12/17	average	GB	Clacton-on-Sea	51.78967
106.92667	2014/05/16	good	ID	Sukabumi	-6.91806
6.10237	2018-03-05	accep	CH	Onex	46.18396
2.29026	2014-01-19	accep	FR	Sceaux	48.77644
-0.76773	04/24/2019, 00:00:00	accep	ES	Novelda	38.38479
27.06365	2016/04/14	maintenance	UA	Shepetivka	50.18545
-40.7475	17 Nov 2020	average	BR	Guaraciaba do Norte	-4.16694
103.65309	11/08/2016, 00:00:00	excellent	TH	Roi Et	16.0567
78.27539	01/21/2021, 00:00:00	excellent	IN	Robertsonpet	12.95629
122.9666	23 Jun 2019	excellent	PH	Talisay	10.7375
-0.36053	2022-01-05	average	GB	Bushey	51.64316
116.10146	2022-09-17	building	MY	Donggongon	5.90702
2.35739	08/18/2022, 00:00:00	average	ES	Cardedeu	41.63976
37.55	23 Apr 2022	building	ET	Arba Minch	6.03333
27.25	2021/09/22	maintenance	BG	Aytos	42.7
-74.26419	11 Feb 2019	good	CO	Madrid	4.73245
27.25	2014/03/12	building	BG	Aytos	42.7
-113.3187	06/16/2019, 00:00:00	maintenance	CA	Sherwood Park	53.51684
38.16694	2019/03/28	acceptable	RU	Kashira	54.84444
-86.58208	2018-05-12	accep	NI	Somoto	13.48082
-60.47389	12 Jul 2021	average	AR	Chacabuco	-34.64167
-105.11221	2020-08-12	average	US	Ken Caryl	39.57582
79.5286	2020/02/26	excellent	IN	Haldwani	29.22254
0.30367	2020/07/23	good	GB	Hartley	51.38673
69.49015	2019-01-29	average	RU	Ishim	56.11281
-95.30106	2015/11/11	average	US	Tyler	32.35126
8.77069	2017/10/08	average	DE	Marburg an der Lahn	50.80904
-77.70066	2018-03-21	good	US	Gates-North Gates	43.16547
-1.29772	02/13/2022, 00:00:00	excellent	GB	Cowes	50.76306
-83.2321	2021/01/02	excellent	US	Milledgeville	33.08014
-84.13722	2015-03-03	good	CR	San Rafael	9.92787
-96.39774	01/19/2022, 00:00:00	acceptable	US	Brenham	30.16688
7.11393	2016-06-07	accep	DE	Burscheid	51.08468
-1.4001	17 Oct 2012	excellent	GH	Mampong	7.06273
-47.1725	08/27/2016, 00:00:00	average	BR	Artur Nogueira	-22.57306
44.7662	2022-03-17	good	AM	Hrazdan	40.49748
126.28333	02 Feb 2018	accep	CN	Shuangcheng	45.35
113.13148	05/12/2019, 00:00:00	average	CN	Foshan	23.02677
30.98551	09/15/2018, 00:00:00	maintenance	UG	Paidha	2.41669
34.37389	2022-08-27	good	TR	Sungurlu	40.1675
-113.3187	2018-09-02	average	CA	Sherwood Park	53.51684
72.93924	12 Oct 2016	average	IN	Uran	18.87813
110.8405	2021-12-30	excellent	ID	Kudus	-6.8048
98.50893	2021/10/31	accep	MM	Myawadi	16.68911
-0.32247	09 Sep 2022	excellent	GB	Lancing	50.82882
120.97844	10 Sep 2013	accep	PH	Guyong	14.8361
-95.36969	2020-09-10	accep	US	Muskogee	35.74788
65.50917	16 Sep 2015	excellent	KZ	Kyzylorda	44.85278
120.74792	2022-08-30	good	CN	Nanpiao	41.09822
-61.51889	04 Apr 2013	excellent	TT	Port of Spain	10.66668
4.47124	06 Mar 2016	excellent	NL	Schiebroek	51.95838
-1.86343	07/26/2020, 00:00:00	maintenance	ES	Caravaca	38.10558
118.9707	2013/10/30	good	ID	Majene	-3.5403
-88.64235	13 Dec 2012	excellent	US	Iron River	46.09273
-86.78777	2017/06/11	accep	US	Vestavia Hills	33.44872
4.18333	22 Oct 2020	good	NG	Olupona	7.6
13.39954	2013/10/30	accep	IT	Falconara Marittima	43.62558
14.66737	30 Jul 2013	building	IT	Campobasso	41.55947
-116.21677	2018/10/20	excellent	US	Indio	33.7207
-0.33525	2015/02/14	accep	GB	Kingston upon Hull	53.7446
-4.21376	2013/01/18	building	GB	Rutherglen	55.82885
73.08333	2013-03-30	maintenance	IN	Dombivli	19.21667
4.21372	2019-11-10	building	BE	Temse	51.12794
77.24779	2014/04/27	excellent	IN	Udumalaippettai	10.58806
115.70111	2018-01-04	average	CN	Hengshui	37.73222
71.21169	10/24/2014, 00:00:00	good	IN	Amreli	21.59983
-8.53778	2016/06/29	average	LR	New Yekepa	7.57944
-84.67837	2016-09-04	average	US	Acworth	34.06635
-89.64066	10/22/2012, 00:00:00	excellent	US	Pekin	40.56754
79.883	2021/03/19	average	LK	Hendala	6.9909
-86.99666	02 Dec 2021	accep	US	Hueytown	33.45122
6.76111	2013-06-19	building	NL	Hoogezand	53.16167
99.89166	2021/11/18	accep	TH	Thap Than	15.46063
-42.29444	2018/01/01	average	BR	Barras	-4.24444
68.49143	2015/06/11	accep	PK	Bhit Shah	25.80565
-46.99583	2018-02-04	excellent	BR	Valinhos	-22.97056
-2.98884	01/11/2015, 00:00:00	average	ES	Leioa	43.32686
-116.37697	12 Jul 2020	good	US	Palm Desert	33.72255
-82.42491	2013-01-16	maintenance	US	Port Huron	42.97086
-1.64295	10/27/2013, 00:00:00	good	ES	Segundo Ensanche	42.8139
-5.53715	21 Dec 2015	accep	GB	Penzance	50.11861
46.5813	2016/08/20	building	RU	Alatyr’	54.8421
-117.79394	2022-07-13	excellent	US	North Tustin	33.76446
12.53463	24 Aug 2017	good	DK	Frederiksberg	55.67938
10.78222	19 Jan 2022	good	TN	Beni Khiar	36.46917
1.6	2014-03-14	excellent	FR	Pamiers	43.11667
3.47717	01/12/2017, 00:00:00	accep	DZ	Boumerdas	36.76639
137.36215	2015-02-15	excellent	JP	Namerikawa	36.75965
15.07041	03 Jun 2016	average	IT	Catania	37.49223
-122.86705	2020/03/15	excellent	US	Aloha	45.49428
5.16108	29 Dec 2017	average	FR	Bar-le-Duc	48.77275
-2.98333	30 May 2021	average	GB	Poulton-le-Fylde	53.83333
-116.97725	2022/03/15	accep	US	Beaumont	33.92946
16.43915	2016/09/13	accep	HR	Split	43.50891
146.05093	14 Jun 2014	accep	AU	Griffith	-34.28853
2.2469	2021-06-06	accep	FR	La Garenne-Colombes	48.90472
30.98551	09/22/2019, 00:00:00	accep	UG	Paidha	2.41669
42.7125	11/19/2021, 00:00:00	excellent	DJ	'Ali Sabieh	11.15583
-1.05366	2020-11-08	good	FR	Dax	43.71032
121.3152	09/21/2014, 00:00:00	good	PH	Calauan	14.14989
9.85	2014-05-10	building	DE	Halstenbek	53.63333
-1.64295	2018/06/21	accep	ES	Segundo Ensanche	42.8139
5.55575	2016/07/26	excellent	FR	Lons-le-Saunier	46.67535
-8.33147	03/06/2017, 00:00:00	average	PT	Paredes	41.20485
-37.07167	24 Jul 2021	excellent	BR	Aracaju	-10.91111
-100.44843	2019-05-04	good	MX	Santa Rosa Jauregui	20.74122
141.95	02/24/2015, 00:00:00	accep	JP	Yamada	39.46667
71.21169	05/03/2013, 00:00:00	excellent	IN	Amreli	21.59983
-88.27205	2021/01/06	building	US	Kaukauna	44.27804
78.25795	2014-04-29	building	IN	Tiruppuvanam	9.82564
5.22778	2012/11/05	average	NL	Culemborg	51.955
88.28637	2022/09/27	excellent	IN	Pandua	23.07492
78.14797	2017-11-24	average	IN	Betamcherla	15.45144
91.00632	06/02/2022, 00:00:00	maintenance	IN	Barpeta	26.32293
47.31667	2019/10/09	building	MG	Antanifotsy	-19.65
2.59753	2019-09-04	accep	BJ	Tchaourou	8.88649
7.36027	17 Mar 2017	good	DE	Radevormwald	51.20219
-73.78458	06/20/2013, 00:00:00	maintenance	US	Scarsdale	41.0051
39.25	2014-06-29	accep	TZ	Magomeni	-6.8
37.56667	16 Apr 2013	good	RU	Likhobory	55.85
32.6178	2013-02-10	average	UA	Kherson	46.65581
-89.64066	2018-08-26	good	US	Pekin	40.56754
-74.26419	18 Sep 2013	building	CO	Madrid	4.73245
-1.29243	2013-12-27	accep	GB	Mexborough	53.49389
-5.53715	11/13/2015, 00:00:00	good	GB	Penzance	50.11861
-84.20299	26 Jul 2021	good	US	Lebanon	39.43534
8.91229	10/28/2018, 00:00:00	average	DE	Eppingen	49.13645
-90.10674	16 Jun 2022	good	US	Estelle	29.84576
5.22778	24 Apr 2020	average	NL	Culemborg	51.955
-116.97725	06 Jan 2015	accep	US	Beaumont	33.92946
10.58082	13 Feb 2015	accep	TN	Msaken	35.72917
88.58	07 Jul 2019	excellent	IN	Aistala	23.18
8.62118	09/23/2022, 00:00:00	average	IT	Novara	45.44694
28.19028	25 May 2016	maintenance	EE	Narva	59.37722
-113.3187	2013-11-11	excellent	CA	Sherwood Park	53.51684
75.96976	2013-01-16	good	IN	Gajendragarh	15.73628
-82.46148	20 Nov 2015	average	US	Lutz	28.15112
103.81667	01 Jan 2013	average	MY	Ulu Tiram	1.6
16.86194	11/22/2014, 00:00:00	excellent	PL	Ustka	54.58048
33.2525	2013-10-14	good	RU	Valday	57.97472
-0.91979	2017-01-23	excellent	GB	Lower Earley	51.42708
-4.83076	06/16/2016, 00:00:00	average	ES	Talavera de la Reina	39.96348
34.86563	2013/06/06	average	IL	Ramla	31.92923
-4.22398	07/17/2021, 00:00:00	acceptable	GB	Inverness	57.47908
122.74754	2014-01-14	good	CN	Haicheng	40.85158
9.00472	06/03/2018, 00:00:00	building	CM	Idenao	4.2475
6.8625	2016-04-27	average	DE	Oberhausen	51.47805
9.29109	2012-12-12	excellent	IT	San Giuliano Milanese	45.39402
4.08282	06/11/2021, 00:00:00	average	DZ	Beni Douala	36.61954
13.63617	14 Oct 2012	average	CZ	Most	50.50301
-86.57415	06 Jun 2021	accep	HN	Olanchito	15.48131
75.35927	11 Jan 2022	excellent	IN	Talipparamba	12.04161
-118.10583	2014/12/20	average	US	San Gabriel	34.09611
-42.98194	2020/03/18	excellent	BR	Guapimirim	-22.53722
-116.37697	2020/11/16	good	US	Palm Desert	33.72255
68.21204	10/30/2014, 00:00:00	maintenance	PK	Larkana	27.55898
75.37991	09/27/2022, 00:00:00	excellent	IN	Deoli	25.75728
124.3697	2022-04-19	accep	PH	Jagna	9.6531
-50.19556	01/16/2022, 00:00:00	building	BR	Iturama	-19.72806
-72.86843	22 Jul 2020	good	US	East Haven	41.27621
-5.53715	01 Jul 2020	good	GB	Penzance	50.11861
-76.72803	2016-11-16	accep	US	Woodlawn	39.32288
86.59611	11/13/2017, 00:00:00	good	IN	Saharsa	25.87498
25.34244	17 Mar 2020	accep	UA	Lutsk	50.75932
102.3278	01/01/2019, 00:00:00	accep	MY	Kampung Ayer Molek	2.2139
-86.11084	2014-04-06	excellent	US	Granger	41.75338
89.11943	19 Sep 2021	building	BD	Kushtia	23.9028
-41.25528	2015/06/19	average	BR	Resplendor	-19.32556
8.70745	17 Dec 2013	average	DE	Bretten	49.03685
84.63445	2017-08-09	good	IN	Rafiganj	24.81757
86.00214	2018/01/13	average	CN	Hoxtolgay	46.51872
8.77155	21 Mar 2015	accep	DE	Karben	50.23019
19.61222	2017/01/16	accep	RS	Sremska Mitrovica	44.97639
142.45778	11/21/2017, 00:00:00	building	JP	Nayoro	44.35056
-91.73625	13 Jun 2020	excellent	US	Searcy	35.25064
30.2049	2014-01-17	good	BY	Vitebsk	55.1904
-94.41551	2014-02-17	good	US	Independence	39.09112
-48.29694	02/14/2016, 00:00:00	accep	BR	Viradouro	-20.87306
72.93924	30 May 2014	accep	IN	Uran	18.87813
9.47629	2018/11/04	good	DE	Stade	53.59337
-4.83076	2020/05/12	accep	ES	Talavera de la Reina	39.96348
-72.86843	28 May 2020	building	US	East Haven	41.27621
-122.24092	2020/04/08	maintenance	US	Bryn Mawr-Skyway	47.4943
17.10558	12 Feb 2014	average	SE	Hudiksvall	61.72744
-71.23106	01/29/2013, 00:00:00	building	CL	La Ligua	-32.45242
38.66667	2020-07-21	average	TZ	Mvomero	-6.25
-74.26419	24 Apr 2014	building	CO	Madrid	4.73245
-3.53261	01/02/2016, 00:00:00	accep	ES	San Fernando de Henares	40.42386
10.98461	13 Apr 2019	average	DE	Friedberg	48.35693
72.34424	01/29/2016, 00:00:00	average	UZ	Andijon	40.78206
-0.33525	02/20/2020, 00:00:00	accep	GB	Kingston upon Hull	53.7446
-38.79084	2021-08-01	accep	BR	Tucano	-10.95817
-96.67834	2012-10-21	average	US	Ada	34.77453
122.9666	2016/06/11	good	PH	Talisay	10.7375
-71.8023	2018/07/11	accep	US	Fitchburg	42.58342
12.6723	08/16/2017, 00:00:00	good	IT	Ariccia	41.72063
-71.05977	2014/10/01	maintenance	US	Boston	42.35843
74.4818	12/10/2021, 00:00:00	maitennce	IN	Malaut	30.21121
-2.68333	2020/10/08	building	ES	Gernika-Lumo	43.31667
99.89166	2017-08-17	good	TH	Thap Than	15.46063
76.03889	29 Apr 2015	good	IN	Osmanabad	18.18158
19.21437	01/07/2014, 00:00:00	maintenance	BA	Bijeljina	44.75874
-77.4286	15 Jun 2016	good	US	Sterling	39.00622
14.01481	07/21/2015, 00:00:00	excellent	IT	Roseto degli Abruzzi	42.67164
-88.27205	2020-05-14	average	US	Kaukauna	44.27804
9.29109	12/17/2012, 00:00:00	accep	IT	San Giuliano Milanese	45.39402
-34.88111	10/10/2012, 00:00:00	average	BR	Recife	-8.05389
-51.50361	24 Jul 2019	maintenance	BR	Carlos Barbosa	-29.2975
100.48528	04/01/2022, 00:00:00	building	TH	Bang Ban	14.37395
-71.05977	2015-01-07	excellent	US	Boston	42.35843
15.46667	10/24/2015, 00:00:00	maintenance	AT	Sankt Peter	47.05
75.35927	2012-10-15	accep	IN	Talipparamba	12.04161
14.51472	18 Jul 2018	building	MT	Valletta	35.89972
73.38333	08/21/2015, 00:00:00	accep	PK	Sangla Hill	31.71667
34.33825	2019-04-27	good	RU	Dyat’kovo	53.59782
126.665	09/03/2018, 00:00:00	maintenance	KR	Hongseong	36.6009
83.62389	2017/05/10	good	RU	Novosilikatnyy	53.30972
25.8191	2020-01-30	excellent	BY	Novogrudok	53.5942
29.47306	2020-06-12	building	CD	Beni	0.49113
-87.93341	15 Nov 2021	good	US	Pleasant Prairie	42.55308
-73.47429	01 Nov 2013	good	US	Massapequa	40.68066
88.58	07/05/2015, 00:00:00	average	IN	Aistala	23.18
136.84186	2015-04-07	average	JP	Toba	34.4833
33.2525	2022/04/04	accep	RU	Valday	57.97472
128.63083	2022-01-04	average	KR	Eisen	36.82167
1.04945	2015/03/31	excellent	DZ	Frenda	35.06544
-3.05814	02 Aug 2022	excellent	GB	Rhosllanerchrugog	53.00974
44.7662	07/01/2022, 00:00:00	excellent	AM	Hrazdan	40.49748
152.70493	21 Jul 2020	accep	AU	Maryborough	-25.54073
114.68333	2017/03/27	excellent	CN	Heyuan	23.73333
28.19028	21 Aug 2018	excellent	EE	Narva	59.37722
44.7662	02/18/2016, 00:00:00	maintenance	AM	Hrazdan	40.49748
47.31667	08/13/2019, 00:00:00	accep	MG	Antanifotsy	-19.65
-71.05977	04/20/2022, 00:00:00	good	US	Boston	42.35843
14.66737	09 Jun 2017	building	IT	Campobasso	41.55947
35.23388	11/30/2016, 00:00:00	building	PS	East Jerusalem	31.78336
117.65694	2014-03-07	excellent	CN	Laiwu	36.19278
123.99333	2019/05/19	average	PH	Sorsogon	12.97389
-0.76773	2015-10-16	maintenance	ES	Novelda	38.38479
-77.02303	20 Mar 2019	good	US	Fort Washington	38.70734
60.8019	12/06/2019, 00:00:00	accep	RU	Beryozovsky	56.9083
30.28491	14 Oct 2015	maintenance	RU	Kolomyagi	60.02427
119.58627	10/10/2017, 00:00:00	average	TW	Magong	23.5654
4.74161	07/14/2017, 00:00:00	accep	NG	Ilesa	7.62789
-117.29198	28 Nov 2021	good	US	Encinitas	33.03699
76.56719	29 Nov 2018	maintenance	IN	Aklera	24.41288
16.86194	06 Jul 2013	good	PL	Ustka	54.58048
1.15597	2015/10/22	average	GB	Clacton-on-Sea	51.78967
29.24152	2017/09/02	average	ZA	Standerton	-26.93366
6.61944	05 Dec 2020	excellent	NL	Hardenberg	52.57583
117.33333	2020-04-02	good	CN	Taozhuang	34.85
43.38531	12 Feb 2021	good	SO	Baki	9.89206
-0.32247	2017-01-03	excellent	GB	Lancing	50.82882
109.05389	2016-11-05	maintenance	ID	Wangon	-7.51611
15.16554	19 Apr 2015	excellent	CD	Kasangulu	-4.5833
-81.56929	11/03/2017, 00:00:00	building	US	Collinwood	41.55838
-75.60804	09/07/2021, 00:00:00	building	US	West Chester	39.96097
-96.67834	18 Sep 2013	excellent	US	Ada	34.77453
42.54536	2022/04/03	good	SO	Kismayo	-0.35817
-0.74934	2020-09-13	excellent	GB	High Wycombe	51.62907
-4.21376	2014-09-02	building	GB	Rutherglen	55.82885
-89.66123	2014/06/05	accep	MX	Progreso	21.28306
49.62251	2013-02-01	average	SA	Al Jubayl	27.0174
9.0027	2022-07-30	excellent	NG	Gaya	11.86064
-99.73314	2019/10/21	maintenance	US	Abilene	32.44874
9.72749	01 Mar 2014	excellent	DE	Ehingen	48.28259
9.47629	2013-09-22	excellent	DE	Stade	53.59337
2.31889	05/31/2022, 00:00:00	average	DZ	Ksar Chellala	35.21222
-79.62603	2014/10/26	maintenance	PA	Veracruz	8.88988
1.6	2016/02/28	good	FR	Pamiers	43.11667
3.87723	2021/10/08	average	FR	Montpellier	43.61092
82.85749	06 Jan 2017	building	IN	Elamanchili	17.54907
-82.90375	29 Jan 2017	excellent	US	Dublin	32.54044
51.49621	05/15/2013, 00:00:00	maintenance	IR	Nowshahr	36.64852
135.21667	2018-07-13	average	JP	Sasayama	35.06667
30.91105	02/21/2017, 00:00:00	accep	UG	Arua	3.02013
6.61944	04/13/2018, 00:00:00	good	NL	Hardenberg	52.57583
6.76111	20 Apr 2017	accep	NL	Hoogezand	53.16167
-81.26367	2014-06-18	accep	US	Deltona	28.90054
117.4831	10 Dec 2018	average	CN	Shaowu	27.34089
92.48278	2016-04-27	accep	RU	Lesosibirsk	58.23583
17.80774	2015/04/09	excellent	IT	Mesagne	40.55851
74.3092	2017-10-02	average	IN	Rajaori	33.37526
-82.00919	30 Mar 2020	good	CU	Jaruco	23.04419
88.28637	2019/08/30	acceptable	IN	Pandua	23.07492
-1.5443	2017-06-15	excellent	GB	Lymington	50.75767
91.00632	01 Aug 2016	average	IN	Barpeta	26.32293
-0.59543	28 Dec 2017	accep	FR	Talence	44.80477
-37.03861	2014/09/17	maintenance	BR	Barra dos Coqueiros	-10.90889
38.01667	2018-08-04	excellent	ET	Debre Tabor	11.85
1.6	12/17/2020, 00:00:00	good	FR	Pamiers	43.11667
71.57118	2013-05-01	excellent	PK	Daud Khel	32.87533
27.02444	2021/04/02	average	TR	Edremit	39.59611
24.95034	2016-09-21	accep	FI	Kallio	60.18427
128.9889	01/21/2013, 00:00:00	good	KR	T’aebaek	37.1759
13.10984	2014-02-06	good	DE	Oschatz	51.30001
141.95	12 Nov 2021	good	JP	Yamada	39.46667
-79.62603	2020-12-28	average	PA	Veracruz	8.88988
111.50861	12/11/2013, 00:00:00	maintenance	CN	Danjiangkou	32.54278
-77.96389	2013-12-23	excellent	US	Martinsburg	39.45621
-122.2608	04/28/2014, 00:00:00	accep	US	American Canyon	38.17492
-122.24092	08/20/2019, 00:00:00	excellent	US	Bryn Mawr-Skyway	47.4943
-103.42897	2022/05/14	good	MX	Jocotepec	20.28527
-3.52751	02/20/2020, 00:00:00	excellent	GB	Exeter	50.7236
5.03586	2022/03/14	average	FR	Cavaillon	43.83125
-82.90375	2016/08/30	excellent	US	Dublin	32.54044
-74.95472	2014-01-01	excellent	CO	Puerto Colombia	10.98778
128.63083	2020-12-15	building	KR	Eisen	36.82167
6.26764	01/27/2014, 00:00:00	good	NG	Yenagoa	4.92675
3.87723	2021-12-09	good	FR	Montpellier	43.61092
123.758	07/19/2013, 00:00:00	excellent	PH	Naga	10.20898
4.07601	06/04/2020, 00:00:00	accep	BE	Denderleeuw	50.88506
-13.68778	2014/09/22	accep	GN	Camayenne	9.535
135.6	2016/12/25	building	JP	Yao	34.61667
8.70745	19 Apr 2013	excellent	DE	Bretten	49.03685
123.33471	2020/01/14	accep	PH	Dipolog	8.56697
-123.02621	04/21/2014, 00:00:00	maintenance	US	Keizer	44.99012
